Спартовая пляцоўка|рынг
Спартовая спецыялізацыя алімпійскага чэмпіёна Аляксандра Папова|плывун
Спартовая спецыялізацыя трохкратнага алімпійскага чэмпіёна В. Іванова|вясляр
Спартова-лагічная гульня|рэндзю
Спартовае вяслярнае судна|каноэ
Спартовы рух, прыём|штуршок
Спартовы пачатак|старт
Спартовае грамадства ў Арменіі|Арарат
Спартовае грамадства міліцыянераў|дынама
Спартовае грамадства, якому ў 1998 году выканалася 75 гадоў|дынама
Спартовы плаўсродак на аснове надзіманых балонаў для сплава па бурных рэках (рафтинга)|рафт
Спартовае збудаванне для велосоревнований|трэк
Спартовае збудаванне, якое бывае высакагорным, штучным і нават зачыненым|коўзанка
Спартовае збудаванне?|стадыён
Спартовае збудаванне|корт
Спартовае спаборніцтва на аўтамабілях ці матацыклах на дакладнасць выканання зададзенага графіка руху па вызначаным маршруце|ралі
Спартовае спаборніцтва па кругавой сістэме|турнір
Спартовае спаборніцтва, якое праводзіцца па кругавой сістэме|турнір
Спартовае змаганне ў бегу, яздзе|прабег
Спартовае змаганне ў гульні|матч
Спартовае змаганне, адзінаборства|бой
Спартовае судна|скутар
Спартовая халодная зброя|шпага
Спартовы атожылак “аўдзі”|пола
Спартовыя балы|ачкі
Спартовыя чаравікі|кеды
Спартовыя нормы|ГТО
Спартовыя спаборніцтвы з серыі гонак на вяслярных, ветразных ці маторных судах|рэгата
Спартовыя практыкаванні, што патрабуюць рознабаковай фізічнай падрыхтоўкі|атлетыка
Спартовы аўтамабіль|багги
Спартовы бег па перасечанай мясцовасці?|крос
Спартовы варыянт джиу-джитсу?|дзюдо
Спартовы глісер з падвесным рухавіком|скутар
Спартовы інвентар для гульні ў бадмінтон|валан
Спартовы інвентар для гульні ў баскетбол|мяч
Спартовы інвентар для павелічэння хуткасці плавання|ласты
Спартовы інвентар?|лыжы
Спартовы інвентар|кій
Спартовы клуб|дынама
Спартовы каментатар-класік|Озеров
Спартовы настаўнік|трэнер
Спартовы аб'ект, змешчаны пад абаронай спартакаўца А. Филимонова?|вароты
Спартовы чаляднік|юніёр
Спартовы прыз|кубак
Спартовы снарад у хакеі|шайба
Спартовы снарад для гульні|клюшка
Спартовы снарад для кідання|дыск
Спартовы снарад для кідання|молат
Спартовы снарад для скачкоў у вышыню|тычка
Спартовы снарад для развіцця цягліц?|эспандар
Спартовы снарад для развіцця цягліц|молат
Спартовы снарад для развіцця сілы, гіра з дзвюх цяжкіх частак, злучаных дзяржальняй для захопу?|гантэля
Спартовы снарад для штурхання|ядро
Спартовы снарад, які ўсё цягнуць|ліна
Спартовы снарад, які зрабіў Андрэя Чемеркина алімпійскім чэмпіёнам|штанга
Спартовы снарад|батут
Спартовы снарад|бум
Спартовы снарад|ядро
Спартовы суддзя|арбітр
Спартовы тэрмін|цук
Спартовы човен|каноэ
Спартовы шампур|шпага
Спартовы элемент парнага фігурнага катання|тодес
Спартовец 18–20 гадоў, выступ. у сваёй узроставай групе|юніёр
Спартовец з Латвіі, чэмпіён Алімпіяды 1968 г.|Лусис
Спартовец ці каманда, якія занялі ў спаборніцтвах адно з апошніх месцаў|аўтсайдар
Спартовец ці спартовая каманда, што ідуць першымі ў змаганні|лідар
Спартовец малодшай узроставай групы?|юніёр
Спартовец, артыст цырка|акрабат
Спартовец, атлет|барацьбіт
Спартовец, які бегае на доўгія дыстанцыі|стаер
Спартовец, бягун|стаер
Спартовец, што займаецца барацьбой?|барацьбіт
Спартовец, які займаецца ўзыходжаннем на цяжкадаступныя вяршыні|альпініст
Спартовец, кіраўнік гоначным аўтамабілем|пілот
Спартовец, дуль. катанне|Бушков
Спартовец-конник, акцёр у 42 да/фільмах|Касых
Спартовец-лёгкаатлет|бягун
Спартовец-скакун|акрабат
Спартовец-вандроўца|турыст
Спартовец-сілавік|атлет
Спартовец-скалалаз, горовосходитель|альпініст
Спартовец; парода сабак|баксёр
Спартовец?|шашыст
Спартовец|баксёр
Спартовец|барацьбіт
Спартовец|лыжнік
Спартоўка (веславанне)|Аляксеева
Споры ў парламенце|дэбаты
Спорынья на коласе|ржанец
Спорынья, якая пашкоджвае каласы хлебнай травы|ржанец
Спос-ть клетак афарбоўвацца кіслымі фарбавальнікамі|ацыдафілія
Спосаб “браткоў” выбіваць бабкі са сваіх ахвяр|наезд
Спосаб бегу каня (высокая рысь)|трусца
Спосаб бегу каня|алюр
Спосаб бегу каня|рысь
Спосаб биол. і хим. абеззаражанні ран|антысэптыка
Спосаб у ажыццяўленні якога-небудзь дзеяння|прыём
Спосаб увядзення ў зман партнёраў па картачнай гульні|блеф
Спосаб вядзення бух. уліку|ажур
Спосаб вядзення бухг. уліку; узор; тонкая карункавая тканіна|ажур
Спосаб раптоўнага нападу?|засада
Спосаб выклікання словам|гіпноз
Спосаб ваенных дзеянняў|абыход
Спосаб ваенных дзеянняў|аблога
Спосаб паветранага бою|таран
Спосаб выбівання сведчанняў|катаванне
Спосаб вязання ці вышыванні завеса ў завесу|тамбур
Спосаб гравіравання|лавис
Спосаб гравіроўкі ці тручэнні з адценнем, блізкім да працы пэндзлем|акватинта
Спосаб дзеяння, прыём|метад
Спосаб рабіць|манера
Спосаб дзялення клеткі|мейоз
Спосаб дзялення клетак|мітоз
Спосаб трымання за ручкі і завесы вольтижировочного сёдлы|зух
Спосаб нарыхтоўкі пладоў і ягад|сушка
Спосаб запрэжкі канёў сябар за сябрам|цуг
Спосаб загадзя здушыць супраціў суперніка перад нападам|артпадрыхтоўка
Спосаб гукавой арганізацыі верша|памер
Спосаб імітацыі склейваннем аграненых камянёў|дублет
Спосаб выканання спеваком ці музыкам, злучаны з прыёмамі вядзення з'яднанне, удару па клавішы, выкарыстанні голасу (легата, стаката і інш.)|артыкуляцыя
Спосаб дотыку клавіш (муз.)|тушэ
Спосаб таўравання жывёл|таўро
Спосаб прыгоннага хабарніцтва|аблога
Спосаб летазлічэння|стыль
Спосаб лячэння крывёй, узятай з вены самага хворага?|аўтагематэрапія
Спосаб надавання зямлёй падчас адмены прыгоннага права|водруб
Спосаб нанясення фарбы на паперу, тканіна распырскваннем з дапамогай пульверызатара|аэраграфія
Спосаб нанясення фарбаў распырскваннем з пом. аэрографа|аэраграфія
Спосаб абеззаражання ран і прадметаў|антысэптыка
Спосаб обеспеч. выкананні абавязанняў|заклад
Спосаб апрацоўкі металаў ціскам|каванне
Спосаб зносін баксёраў на рынгу|удар
Спосаб аб'ёмнага хим. аналізу|ацыдыметрыя
Спосаб аб'ёмнага хімічнага аналізу, які ўжываецца для вызначэння ўтрымання шчолачы ў падыспытным рэчыве|алкаліметрыя
Спосаб вызвалення ходніка ад тоўстай наледзі|скол
Спосаб аддзялення змешчаных у растворы коллоидных часціц ад соляў|дыяліз
Спосаб перадачы сігналаў на адлегласць пры дапамозе электрамагнітных хваль|радыё
Спосаб перасоўвання ў прасторы для бар'ерыста?|бег
Спосаб перасоўвання пры дапамозе “фанты” (рекл.)|аўтастоп
Спосаб друкавання шматкаляровых вырабаў|афсет
Спосаб плавання|брас
Спосаб па-французску|манера
Спосаб падрыхтаваць яму для блізкага|капанне
Спосаб спазнання, даследаванні з'яў прыроды і грамадскага жыцця|метад
Спосаб атрымання дэталяў складанай формы|ліццё
Спосаб атрымання неразъемного злучэнні|паянне
Спосаб атрымаць сатысфакцыю|двубой
Спосаб прышчэпкі раслін|аблактоўка
Спосаб далучэння афіксаў да асновы слова|фузія
Спосаб продажу і закупы тавараў|гандаль
Спосаб проста не даць яму сысці|пагоня
Спосаб працы “ўсляпую”|аўтаматызм
Спосаб размнажэння клетак жывёльных і раслінных арганізмаў|мітоз
Спосаб размнажэння некаторых раслін|апагамія
Спосаб размнажэння|амфимиксис
Спосаб размяшчэння і парадак чаргавання пальцаў пры гульні на музычных прыладах|аплікатура
Спосаб разгляду спрэчных спраў, пры якім бакі звяртаюцца да трацейскага суддзі|арбітраж
Спосаб рашэння пэўнай задачы|метад
Спосаб рэшты іспыту прынцыповаму выкладчыку|змор
Спосаб складання вуснаў і мовы выканаўца пры гульні на духавых музычных прыладах|амбушур
Спосаб злучэння бярвення ў драўляным будаўніцтве|усечка
Спосаб злучэння бярвення па кутах, пры якім іх канцы выходзяць за межы сцяны зруба|обло
Спосаб злучэння металічных дэталяў|зварка
Спосаб стварэння арнаментаў ці мастацкіх малюнкаў шляхам налепвання ці нашивания асобных фрагментаў|аплікацыя
Спосаб стварэння арнаментаў, малюнкаў|аплікацыя
Спосаб спартовага плавання|трус
Спосаб стрыжкі валасоў, пры якім яны зразаюцца роўна вакол усёй галавы і лба|дужка
Спосаб строга мернай хады ў ладу|марш
Спосаб будаўніцтва з бярвення|зруб
Спосаб існавання ўтрымання, неаддзельны ад яго і служэлы яго выразам|форма
Спосаб існавання, побыт; верш. Н. Гумілёва|жыццё
Спосаб існавання, побыт|жыццё
Спосаб здымкі і паказу кінастужак|стэрэа
Спосаб друкарскага друкавання|афсет
Спосаб трэніроўкі маладых сабак|саджанне
Спосаб кладкі валасоў|начос
Спосаб химич. аналізу для определ. содерж. лугуй|алкаліметрыя
Спосаб ювелірнай тэхнікі|чэрнь
Спосаб, паслядоўнасць дзеянняў для дасягнення мэты|метад
Спосаб, які ўжываецца ў барацьбе|прыём
Спосаб, якасць салення прадуктаў|засол
Здольная да размнажэння лічынка некаторых амбистом|аксалотль
Здольнасць атамаў да адукацыі вызначанага ліку хим. сувязяў?|валентнасць
Здольнасць атамаў да адукацыі хімічных сувязяў?|валентнасць
Здольнасць хутка цяміць, расчитывать|кемнасць
Здольнасць казаць|гаворка
Здольнасць дзейнічаць не разважаючы, на падсвядомым, рэфлекторным узроўні?|аўтаматызм
Здольнасць жывёл заўважаць, выяўляць органамі пачуццяў|нюх
Здольнасць выпраменьвання аказваць фотогр. дзеянне|актынічнасць
Здольнасць да лагічнага і творчага мыслення|розум
Здольнасць клетак афарбоўвацца кіслымі фарбавальнікамі|ацыдафілія
Здольнасць твару сваімі дзеяннямі набываць правы і абавязкі?|дзеяздольнасць
Здольнасць мыслення і разуменні|розум
Здольнасць некаторых рэчываў у залежнасці ад умоў выяўляць або шчолачныя, або кіслотныя ўласцівасці|амфатэрнасць
Здольнасць аказваць вызначальнае ўздзеянне на дзейнасць людзей|улада
Здольнасць паверхні нябеснага цела адлюстроўваць падальнае святло|альбеда
Здольнасць атрымліваць уяўленне пра гукі|слых
Здольнасць раслін распроствацца пасля згіну (напрыклад, узняцце палеглай травы)|аўтатрапізм
Здольнасць захоўваць і прайграваць у свядомасці ранейшыя ўражанні, досвед|памяць
