Трагедыя Адысона|катон
Трагедыя Альфьери; араторыя Генделя; п'еса А. Жыда|Саул
Трагедыя Альфьери|агис
Трагедыя Альфьери|Антигона
Трагедыя Альфьери|Орест
Трагедыя Альфьери|Саул
Трагедыя Альфьери|Піліп
Трагедыя В. Шэкспіра; опера Дж. Верди|Атэла
Трагедыя В. Шэкспіра|Атэла
Трагедыя Вальтэра|Брут
Трагедыя Вальтэра|заіра
Трагедыя Вальтэра|Эдип
Трагедыя Г. Державина|цёмны
Трагедыя Еўрыпіда|Андромаха
Трагедыя Ж. Расина|федра
Трагедыя І. Гётэ|Фаўст
Трагедыя Корнеля|Медэя
Трагедыя Корнеля|отон
Трагедыя Корнеля|Эдип
Трагедыя П. Корнеля|цинна
Трагедыя Шэкспіра, якая паказала расістам, што можа зрабіць негр з белай жанчынай|Атэла
Трагедыя Шэкспіра; опера Дж. Верди|Макбет
Трагедыя Шэкспіра|Гамлет
Трагедыя Эсхіла|персы
Трагедыя-балет Мольера|Псіхея
Трагік з дакладнасцю да наадварот?|комік
Трагікамедыя Корнеля|сид
Трагікамедыя Шэкспіра|Перикл
Традиц. ангельская мера даўжыні = 12 цалям|фут
Традиц. ангельская мера даўжыні = 30,48 гл|фут
Традиц. верхняя ворная мужчынская адзежа ў Ср. Азіі, на Каўказе, збіраецца зморшчынамі і падпяразваецца ў станы|бешмет
Традиц. адзінка даўжыні, якая мела розную велічыню ў розных краінах, у розныя часы, на сушы і на моры|міля
Традиц. адзінка вымярэння памеру шрыфта|пункт
Традиц. індыйская жаночая адзежа: абгорнуты вакол цела і перакінуты праз плячо кавалак тканіны|сари
Традиц. назва працы радыё- і тэлевяшчання|эфір
Традиц. пазначэнне твораў древнегреч. і римск. мастацтвы|антык
Традиц. паўдзённы адпачынак у гарачыя гадзіны пасля абеду ў Іспаніі, Італіі і інш. краінах|сіеста
Традиц. руская мера аб'ёму, 0,123 л = 2 чарачкі = 1/10 штофа|чарка
Традиц. руская мужчынская кашуля з разрэзам з левага боку каўняра?|касаваротка
Традыцыйная кітайская сістэма ўдасканалення асобы, якая ўключае физич. практыкаванні і прыёмы бою са зброяй і без яго|ушу
Традыцыйная лодка народаў Поўначы са шкур на каркасе|каяк
Традыцыйна праводжаныя вялікія гонкі спартовых судоў|рэгата
Традыцыйна якія ўсталяваліся правілы грамадскіх паводзін|звычай
Традыцыйнае жыллё североамер. індзейцаў?|вігвам
Традыцыйнае жыллё паўночнаамерыканскіх індзейцаў, купалападобная ці конич. каркасная халупа са шкур ці тканін|вігвам
Традыцыйнае на Русі святочны збор сельскай моладзі з песнямі і скокамі|ігрышча
Традыцыйная руская страва, старажытная збажына|аладкі
Традыцыйная руская страва, неабходны атрыбут Масленіцы|бліны
Традыцыйны рускі сродак “пасля ўчорашняга”|расол
Традыцыйны сродак для пахудання|дыета
Традыцыйныя дзеянні|абрад
Традыцыйныя правілы паводзін|звычай
Традыцыйны выгляд худож. твораў, напр. партрэт і пейзаж у жывапісе, нарыс, аповяд і раман у літаратуры|жанр
Традыцыйны галаўны ўбор для акторак ва ўсе часы|капялюш
Традыцыйны застольны рытуал|тост
Традыцыйны інданэзійскі тэатр|ваянг
Традыцыйны кітайскі выгляд спорту|ушу
Традыцыйны матэрыял для навагодніх гарнітураў у савецкія часы|марля
Традыцыйны персанаж французскага народнага тэатра?|п'еро
Традыцыйны рускі напой?|брага
Традыцыйны рускі напой|квас
Традыцыя|звычай
Траекторыя палёту спадарожніка|арбіта
Трактат древнегреч. матэматыка Еўкліда|пачала
Трактат пра спальванне гэтага газу апублікаваў у 1821 году вялікі фізік Майкл Фарадей?|хлор
Трактат пра аўтараў, пішучых пад псеўданімамі (1690); старажытная сталіца галаў у Францыі|байе
Трактат пра аўтараў, пішучых пад псеўданімамі (1690)|байе
Карчма ў Расіі пры Пятру I|аустерия
Карчма пры Пятру I|австерия
Карчма, забягалаўка; песня Алябьева|карчма
Карчма, забягалаўка|карчма
Карчма, заезны двор|карчма
Трактар, аўтамабіль для перавозкі прычапных прылад|цягач
Трактарны інстытут|намі
Трамвай у 2 конскія сілы|конка
Трамвай на аўсяным паліве|конка
Транец|кормы
Транскрыпцыя адной з літар ангел. алфавіту|ти
Транскрыпцыя адной з літар ангельскага алфавіту|зед
Транскрыпцыя адной з літар ангельскага алфавіту|оу
Трансмісійнае масла, якое служыць для змазкі зубчастых перадач|нигрол
Трансплантант, што выкарыстоўваўся ў біблейскай “хірургіі”|рабро
Транспарт Насрэддзіна?|ішак
Транспартная адзінка пры лесасплаве, якая складаецца з пучкоў бярвення|плыт
Транспартнае збудаванне, што складаецца з апор і пралётныя пабудовы?|эстакада
Транспартнае збудаванне|мост
Транспартны сродак (машына, самалёт), здольнае перасоўвацца і па вадзе|амфібія
Транспартны сродак для перавозкі пасажыраў і грузаў|вагон
Транспартны сродак для перавозкі пасажыраў і грузаў|мапед
Транспартны сродак рускіх ведзьмаў|памяло
Транспартны сродак, у якое запрагаюць ішака|арба
Транспартны сродак, для якога не трэба запасное кола|санкі
Транспартны сродак, магутнасць якога вымяраецца ў сабачых сілах|нарты
Транспартнае судна, загрузка якога вырабляецца праз адкідальную карму|ролкер
Траншэя, якая ўжывалася пры аблозе|сапа
Трапеза на прыродзе|пікнік
Марнаванне, выдаткі, выдаткі|выдатак
Жалобная тканіна|мошаст
Адпраў. законам лік сведак|калода
Патрабаванне на тавары з боку пакупніка|попыт
Патрабаванне паўтору нумара|біс
Патрабаванне, запрашэнне з'явіцца куды-небудзь|выклік
