Манета Заіра|сенк
Манета Замбіі|нгве
Манета Заходняга Самоа; рака ў Францыі|сене
Манета Заходняга Самоа|сене
Манета Індыі, 1/6 рупіі|ганна
Манета Казахстана, Узбекістана|тиын
Манета Кітая|фынь
Манета Карэі|чона
Манета Крымскага ханства (17 ст.)|пары
Манета Маўрытаніі|хумс
Манета Малаві|тамбол
Манета Малайи і Явы з цыну (свінцу) у выглядзе пеўня 16–20 стст.|айям
Манета Мальты|міль
Манета Малдавіі, Румыніі|бань
Манета Новай Зеландыі|цэнт
Манета Папуа-Н. Гвінея|тойя
Манета Польшчы і Прусіі 17–18 стст.|ахтценгрошер
Манета Румыніі|лазні
Манета Саудаўскай Аравіі|халал
Манета Туніса|миллим
Манета Турцыі|пары
Манета ў 1,25 пені ў брытанскай асадзе Пегу ў Індыі (Бірма)|ганца
Манета ў Інданэзіі|сен
Манета ў Малайзіі, 1/100 ринггита|сен
Манета ў Японіі|сен
Манета з казкі пра Карлсана|эрэ
Манета на Кубе|песа
Манета польскай грашовай сістэмы з 16 ст.|траякі
Манета польскай грашовай сістэмы з 16 ст.|шостак
Манета польскай грашовай сістэмы, выпушчаная ў 1663–1666 гг.|тимфа
Манета прыватнай чаканкі ангельскіх купцоў 17–18 стст.|токен
Манета, грашовая адзінка Амана|байз
Манета, за якую можна было купіць лісток з навінамі|газета
Манета, назва кёльнскіх денариев 11 ст.|агриппинер
Манета, наміналам вышэй кошты вытворчасці|білон
Манета, роўная 10 амерыканскім цэнтам|дайм
Манета, скифатный денарий, які чаканіўся ў Вероне ў 1039–1125|бернер
Манета, назв. пістолі герц-тва Ангальт-Бернбургского 18–19 ст.|алексиусдор
Манета|орар
Манетная адзінка княства і каралеўствы Чарнагорыя|перпер
Манеты, боны, якія выпускаліся для міласці ў ср. стст. і новы. хлусім|альмозенгельд
Маналог шызафрэніка|дыялог
Манапольнае аб'яднанне гандлёвых на біржы для правядзення адзінай палітыкі|зграя
Моносахарид у складзе рібанукляінавай кіслаты, які прысутнічае ва ўсіх жывых клетках|рибоза
Моносахарид, малекула якога ўтрымоўвае альдэгідную групу|альдоза
Монстар кроссовочного бізнэсу|адидас
Мантаж|зборка
Мантэсума па нацыянальнасці|ацтэк
Монтсеррат (голены.) (сталіца, цэнтр)|Плимут
Манумент кіргізскага скульптара Тургунбая Садыкова, усталяваны ў Бішкеку|манас
Манументальны старажытнарымскі будынак для публічных гледзішчаў?|амфітэатр
Манументальны парадны будынак, “княжы двор”|палац
Манументальны твор, якое апавядае пра значныя гістарычныя падзеі|эпапея
Манументальнае, круглае ў плане будынак у эгейскай культуры|толос
Манументальнае, пахавальнае збудаванне?|маўзалей
Мапед без педальнага прывада|мокик
Мор скаціны, які адлюстроўваецца на канчатках слоў|склон
Мор. кишечнополостное кл. каралавых паліпаў|антипатария
Моравяне, старажытнаславянскае племя|моравы
Маральная навука?|этыка
Маральная традыцыя|аснова
Маральны крывадушнік|ханжа
Мардовія (горад)|Інсар
Мардоўская жалейка, духавы муз. прылада|нудей
Мардоўская сталіца?|Саранск
Мардоўская юха|шурьба
Мардоўскі пісьменнік (“Найман”, “Сцяпан Эрьзя”)|Абрамаў
Мардоўскі пісьменнік (1919–60)|Антонаў
Мардоўская страва са свініны, лука і цесты, накшталт галушак|цемарт
Мора Атлантычнага акіяна|Адрыятычнае
Мора Атлантычнага акіяна|Азоўскае
Мора Індыйскага акіяна|Андаманскае
Мора Індыйскага акіяна|Аравійскае
Мора Індыйскага акіяна|Арафурское
Мора Паўночнага Ледавітага акіяна|Белае
Мора Ціхага (Паўднёвага) акіяна|Роса
Мора Ціхага акіяна|Бали
Мора Ціхага акіяна|Банда
Мора Ціхага акіяна|Висаян
Мора Ціхага акіяна|Жоўтае
Мора Ціхага акіяна|Саву
Мора Ціхага акіяна|Серам
Мора Ціхага акіяна|Сибуян
Мора Ціхага акіяна|Сулу
Мора Ціхага акіяна|Фіджы
Мора Ціхага акіяна|Флорэс
Мора Паўднёвага акіяна|Скоша
Мора ў Арктыцы|Белае
Мора ў Малайском архіпелагу са шматлікімі каралавымі рыфамі|Серам
Мора ў берагоў Антарктыды|Роса
Мора ў берагоў Еўразіі|Белае
Мора, якое залезла глыбока ў бераг|заліў
Мора, якое і цвярозаму па калена|Арал
Мора, на якім адбываецца дзеянне фільма Рыгора Чухрая “Сорак першы”|Аральскае
Мараплавец і географ, даследнік Арктыкі|Литке
Мараплавец, што абмінуў свет на шлюпцы “Сенявин”|Литке
Мараплавец, нарадзіўся ў Генуі ў 1451 году|Калумб
Мореходное судна для перавозак, рыбалоўнай здабычы?|бот
Маржаня (Далеч)|абрамка
Марожаніца|фризер
Марозіва на палачцы|эскімо
Моррель з рамана “Граф Монте-Кристо”|арматор
Морск. кишечнополостн. животн. класа карал. паліпаў|актынія
Морск. членістаногае; падводны мінны загараджальнік|краб
Морск. членістаногае|краб
(морск.) Вось кручэння руля, змацаваная з пяром руля|балер
