Ангел. кінарэжысёр|Хадсон
Ангел. князь|лорд
Ангел. комед. маска|панч
Ангел. камедыянт, аўтар папулярнага киношоу|Хилл
Ангел. кампазітар, дырыжор, піяніст, музыкавед|Тови
Ангел. кампазітар|Блисс
Ангел. кароль які захапіў Кіпр|Рычард
Ангел. кароль, які заснаваў шэсць стагоддзяў назад ордэн Падвязкі|Эдуард
Ангел. матэматык 19 ст.; барабаншчык групы “Quееn”; 12-й прэзідэнт ЗША|Тэйлар
Ангел. матэматык|Муавр
Ангел. мера вагі|фунт
Ангел. мера даўжыні, роўная 91,44 гл|ярд
Ангел. мера даўжыні|палм
Ангел. мера даўжыні|фут
Ангел. мера масы, роўная 28,35 грама|унцыя
Ангел. мера аб'ёму вадкасцяў і сыпкіх целаў = 36,3687 л., у ЗША 35,2393 л|бушаль
Ангел. мера аб'ёму, 1/8 галона = 0,5683 л|пінта
Ангел. мера пляца|акр
Ангел. ядлаўцовая гарэлка|джын
Ангел. манета з чыстага золата, якая падарыла сваё імя афрыканскай краіне|гінея
Ангел. мараплавец 16 стагоддзі|Дрейк
Ангел. мараплавец, гісторык, драматург|Ролі
Ангел. мараплавец, забіты гавайцами|Кук
Ангел. мараплавец|Гудзон
Ангел. выспа ў Брыстальскім заліве|Ланди
Ангел. спявачка|Уілсан
Ангел. пісьменнік (“Пентамерон”)|Лендор
Ангел. пісьменнік (1612–80)|Батлер
Ангел. пісьменнік (пра Віні-Пуху)|Милн
Ангел. пісьменнік 15 стагоддзі, аўтар эпапеі “Смерць Артура”|Мэлори
Ангел. пісьменнік 19 стагоддзі, аўтар рамана “Марый – эпикуреец”|Патар
Ангел. пісьменнік 19 стагоддзі, майстар прыгодніцкага рамана|Седуны
Ангел. пісьменнік 19 ст.|Лір
Ангел. пісьменнік ХVIII ст., сатырык-віртуоз|Свіфт
Ангел. пісьменнік польскага паходжання (1857–1924 гг.), аўтар прыгодніцкіх раманаў|Конрад
Ангел. пісьменнік эп. Асветы, сатырык|Арбетнот
Ангел. пісьменнік, “шпіёнскі” раман|Карре
Ангел. пісьменнік, аўтар гістарычных раманаў “Пурытане”, “Квентин Дорвард”|Скот
Ангел. пісьменнік, аўтар рамана “Цяжар запалу чалавечых”|Моэм
Ангел. пісьменнік, аўтар рамана “Замак Броуди”|Кронин
Ангел. пісьменнік, аўтар рамана “Месяц і грош”|Моэм
Ангел. пісьменнік, аўтар рамана “Я, Клаўдзій”|Грейвс
Ангел. пісьменнік, аўтар рамана “Жоўты кром”|Хаксли
Ангел. пісьменнік, лаўрэат Нобелеўскай прэміі па літаратуры|Элиот
Ангел. пісьменнік, на сумленні якога раман “Высакароднае рамяство”|Делони
Ангел. пісьменнік, сатырык-мараліст|У
Ангел. пісьменнік, стваральнік жанру гістарычнага рамана|Скот
Ангел. пісьменнік-літаратуразнавец ХХ стагоддзі|Ален
Ангел. пісьменнік-фантаст, аўтар рамана “2001: касмічная адысея”|Кларк
Ангел. пісьменнік-фантаст|Уэллс
Ангел. пісьменнік?|Кэрролл
Ангел. пісьменнік|Барри
Ангел. пісьменнік|Беньян
Ангел. пісьменнік|Брейн
Ангел. пісьменнік|Годвин
Ангел. пісьменнік|Джером
Ангел. пісьменнік|Оруэлл
Ангел. пісьменнік|Сноу
Ангел. пісьменнік|Стерн
Ангел. пісьменніца, імя Джозефина|Тей
Ангел. пісьменнік|Харди
Ангел. пісьменніца (“Абатыса Круская”, “Высяленне”, “Балада пра прадмесце”)|Спарк
Ангел. пісьменніца 19 ст.|Бронте
Ангел. пісьменніца|Сейерс
Ангел. палітык, заснавальнік ангельскага Звяза фашыстаў|Мосли
Ангел. политич. мысляр|Понет
Ангел. поллитра|пінта
Ангел. полукровн. конь универсальн. прызначэнні|коб
Ангел. палярны даследнік; персанаж трагедыі “Макбет”|Рос
Ангел. палярны даследнік|Баффин
Ангел. палярны даследнік|Рос
Ангел. паэт сярэднявечча|Чосер
Ангел. паэт-класік|Байран
Ангел. паэт-рамантык 19 стагоддзі|Шелли
Ангел. паэт-рамантык, пэр Англіі|Байран
Ангел. паэт|Китс
Ангел. паэт|Саути
Ангел. вандроўца, якое адкрыла паўночнае магнітнае канцавоссе Землі|Рос
Ангел. вандроўца|Кук
Ангел. радиохимик, Ноб. прэмія 1921 г.|Содди
Ангел. рэлігійны спеў|антем
Ангел. раманіст, больш за ўсё вядомы як стваральнік вампіра па імі граф Дракула|Стокер
Ангел. гатунак піва|эль
Ангел. сацыяліст-утапіст, осн-ці дасведчанай комм. асады ў ЗША|Оўан
Ангел. стары. танец|жыга
Ангел. танец; фасон мужчынскага абутку|шымі
Ангел. танец|джига
Ангел. танец|шымі
Ангел. трагік ХIХ ст., які памёр, гуляючы Атэла|Кин
Ангел. запражная парода канёў|гакне
Ангел. навуковец, лаўрэат Нобелеўскай прэміі па фізіцы|Паўэл
Ангел. навуковец, лаўрэат Нобелеўскай прэміі па фізіцы|Томсон
Ангел. навуковец, лаўрэат Нобелеўскай прэміі па фізіялогіі і медыцыне|Чейн
Ангел. навуковец, лаўрэат Нобелеўскай прэміі па хіміі|Синг
Ангел. навуковец, лаўрэат Нобелеўскай прэміі па эканоміцы|Мзс
Ангел. навуковец, лаўрэат Нобелеўскай прэміі па эканоміцы|Стоун
Ангел. навуковец, лаўрэат Нобелеўскай прэміі па эканоміцы|Хикс
Ангел. навуковец-фізік, лаўрэат Нобелеўскай прэміі|Баркла
Ангел. фізік, вынаходнік мас-спектрометра|Астон
Ангел. фізік, адзін з заснавальнікаў квантавай механікі|Дирак
Ангел. фізік; ед. вымярэнні працы і энергіі|Джоўль
Ангел. фізік; сав. баскетбаліст|Томсон
Ангел. фізік|Бернал
Ангел. фізік|Бойль
Ангел. фізік|Ват
Ангел. фізік|Гук
Ангел. фізік|Доннаж
Ангел. фізік|Стокс
Ангел. фізік|Томсон
Ангел. фізік|Юнгаў
Ангел. фізіёлаг, які заслужыў Нобелеўскую прэмію|Кац
Ангел. філосаф 17 стагоддзі|Гобс
Ангел. філосаф 18 ст., матэрыяліст|Лок
Ангел. філосаф і логік, з імем якога злучана слова “брытва”|Оккам
Ангел. філосаф і пісьменнік 15–16 стст.|Мор
Ангел. філосаф эмпірык|Бэкон
Ангел. філосаф эмпірык|Лок
Ангел. філосаф|Айер
Ангел. філосаф|Бентам
Ангел. філосаф|Берклі
