Пустэльня ў Аравіі|Тихана
Пустэльня ў Афрыцы|Сахара
Пустэльня ў Егіпце|Аравійская
Пустэльня ў Заходняй частцы Інда-Гангской нізіны?|Тар
Пустэльня ў Ізраілі|Негев
Пустэльня ў Емене|Шарки
Пустэльня ў Казахстане|Устюрт
Пустэльня ў Каліфорніі|Махаве
Пустэльня ў Кітаі|Гоби
Пустэльня ў Мексіцы|Сонора
Пустэльня ў Перу|Наска
Пустэльня ў Паўночнай Амерыцы|Невада
Пустэльня ў Сярэдняй Азіі?|Каракумы
Пустэльня ў Цэнтральнай Азіі|Алашань
Пустэльня ў Цэнтральнай Азіі|Гоби
Пустэльня ў Эфіёпіі, самае гарачае месца на Зямлі|Афар
Пустэльня ў Ю. Азіі|Тар
Пустэльня ў Ю. Афрыцы|Карру
Пустэльня ў Паўднёвай Азіі?|Тар
Пустэльня ў Паўднёвай Амерыцы|Атакама
Пустэльня і горны хрыбет у Кітаі|Алашань
Пустэльня на паўднёвым захадзе Афрыкі|Намиб
Пустэльня на паўднёвым захадзе ЗША|Махаве
Пустэльня-памежжа Індыі і Пакістану|Тар
Шляхавая машына на чыгунцы|струг
Пуцёўка ў жыццё (школьн.)|атэстат
Даведнік, экскурсавод|гід
Путеводительница для вандроўцы|дарога
Пуцяводная дарожка, па якой 23-летняя італьянка Марыя Спелтерина 12 ліпеня 1876 г. перасекла Ніягарскі вадаспад|ліна
Вандроўца ў старажытныя стагоддзі|археолаг
Вандроўца па свеце духоў|спірыт
Вандроўца, даследнік Цэнтральнай Азіі|Спевакоў
Вандраванне “наўскач па Еўропах”|турнэ
Вандраванне на борце “карабля думкі”?|чытанне
Вандраванне па вадзе (турыстычнае, забаўляльнае)|круіз
Вандраванне па кругавым маршруце|турнэ
Вандраванне, паездка, круіз, паход, падарожжа, вандроўка, ваяж – якога слова тут бракуе?|турнэ
Вандраванне, знаходжанне ў шляхі|дарога
Вандраванне, якое здзяйсняецца з мэтай адпачынку|турызм
Вандраванне|ваяж
Што вандруе шафа?|кантэйнер
Шляхі зносін у прыфрантавой паласе, уздоўж лініі фронта|ракада
Пустое месца з пункту гледжання матэматыкі|нуль
Шлях аўтобуса, наступнага па вызначаным маршруце|рэйс
Шлях руху нябеснага цела|арбіта
Шлях руху планет, спадарожнікаў і інш. нябесных целаў|арбіта
Шлях наймудрага кіраўніка (па Канфуцыю)|дао
Шлях ад лазні да хаты|сцежка
Шлях мінання электрич. сігналу|гасцінец
Шлях самалёта, судны па вызначаным маршруце|рэйс
Шлях слаламіста?|спуск
Шлях прытрымлівання карабля?|курс
Шлях зносін, лінія сувязі, якія праходзяць уздоўж лініі фронта|ракада
Шлях транспартнага сродку па вызначаным маршруце|рэйс
Шлях, дарога|шлях
Шлях, дарога|траса
Шлях, мінаны суднам за адзін зварот шрубы|аванс
Шлях|дарога
Пульхная круглая булачка|пампушка
Пучок завітых валасоў, які раней падкладалі ў прычоску|мошасце
Пучок пёраў ці стаялых конскіх валасоў – упрыгожванне на формавым галаўным уборы, а таксама на падгалоўе каня|султан
Пучок што прыляглі адзін да аднаго волас, валокнаў|пасма
Пучок галля для будаўніцтва абароніць. збудаванняў|фашына
Пучок, якая тырчыць пасма|жмут
Пухнатая вата плыве кудысьці: чым вата ніжэй, тым дожджык бліжэй|воблака
Пухнаты камячок са спіртам на месца ўколу|ватка
Пухнаты пласт на паверхні тканіны, трыкатажу|ворс
Пушкін: “На ўзгорках Грузіі ляжыць начная імга; шуміць ... предо мною” (назва ракі)|Арагва
Пушкинс. персанаж|Елісей
Пушкінскі выканаўца песні “Ці ў садзе, у гародзе”|вавёрка
Пушкінскі персанаж з трагедыі “Каменны госць”|Лаура
Пушкінскае дрэва, “грозны вартавы”, з якога кожны школьнік пачынае сваё знаёмства з ядахімікатамі|анчар
Пушны звярок з “інжынернай адукацыяй”|бабёр
Пушны звярок з каштоўным мехам|янот
Пушны звярок, які жыве пад зямлёй; жаніх Дюймовочки|крот
Пушны звярок|вавёрка
Пушны звярок|ілька
Пушны звярок|куніца
Пушны звярок|норка
Пушны звярок|собаль
Пушны звер з цёмна-жоўтым мехам?|янот
Пушная здабыча|паляванне
Пушту, мова Азіі|афганскі
Пушча|лес
Пуэрта-Рыко, адм. ц. муніцыпальнай акругі Баямон (горад у Амерыцы)|Баямон
Пуэрта-Рыко, муніцыпальная акруга, адм. ц. – Баямон|Баямон
Пчаліны клей, які валодае гаючым дзеяннем|пропаліс
Пчаліны клей, выкарыстоўваецца як лекі|пропаліс
Пчаліны інтэрнат|вулей
Пчаліная кодла|дзятва
Пчалінае мястэчка|пчальнік
Пчалінае малако|апилак
Пчаліная прылада?|джала
