Спадарожнік планеты Сатурн?|Тытан
Спадарожнік планеты Ўран?|Порцыя
Спадарожнік Сатурна, адкрыты з борта касмічнага апарата “Вояджер-2” у 1980 году. Адлегласць ад Сатурна каля 378000 км, дыяметр каля 30 км?|Алена
Спадарожнік Тура Хейердала Пуга Хаунгланд атрымаў вышэйшую ангельскую ваенную ўзнагароду за знішчэнне заводу ў Нарвегіі ў гады Другой сусветнай вайны. А што ж менавіта вырабляў гэты завод?|цяжкую ваду
Спадарожнік Урана, плоскасць арбіты якога перпендыкулярная плоскасці арбіты Ўрана?|Аберон
Спадарожнік Юпітара, адкрыты Галілеем у 1610 году. Адлегласць ад Юпітара 422000 км, дыяметр 3630 км, мае атмасферу?|Ио
Спадарожнікі якой планеты дазволілі датчаніну Олафу Ремеру ў 1676 году вылічыць хуткасць святла?|Юпітар
Сярод лепшых фільмаў франц. коміка П'ера Ришара ёсць “... парасонікам”?|укол
Сярод металаў гэты эпітэт носяць рутэній і паладый. Сярод газаў – гелій і неон. Што за эпітэт?|высакародныя
Сярод гэтых драпежнікаў ёсць белыя і чорныя, трусіныя і супавыя. Гэта ... ?|акулы
Міжземнаморскае ўзбярэжжа, куды Каннают на адпачынак богатенькие?|Рыўера
Сярэдняя і галоўная частка чаго-небудзь?|цэнтр
Сярэднеазіяцкае кушание з рысу?|плоў
Сярэднявечная залатая ці срэбная манета ў некаторых еўрапейскіх краінах?|гульдэн
Сярэднявечная дзяржава ў Азербайджане?|Ширван
Сярэднявечная зброя?|аркебуза
Сярэдні танк перыяду 2-й сусветныя войны (маса 32 т, экіпаж 4–5 чал., гармата 85 мм калібра, 2 кулямёта, браня 45–90 мм, хуткасць да 55 км/г.)?|Т-34
Сродак вертыкальнага перасоўвання целаў?|ліфт
Сродак для наганяю?|шампунь
Сродак для старога, які ловіць залатую рыбку?|невад
Сродак індывідуальнай абароны ў Муркі пад спадніцай (песень.)?|наган
Сродак абязбольвання, званага ў прастамоўі “замарозкай”?|новакаін
Сродак, з дапамога якога лекар пазбаўляецца ад рад хворага падчас аперацыі?|знячуленне
Зрэзаныя ці сарваныя кветкі, падабраныя адзін да аднаго?|букет
Сваркі, лаянка?|розніца
Пазыка, якая выдаецца крэдытнай установай пад заклад нерухомай маёмасці?|іпатэка
Старорусское жаночае імя?|Ульяна
Будаўнічая “расліннасць”?|лясы
Стаўка ці аплата за карыстанне чым-небудзь?|тарыф
Стадыён для правядзення скаканняў, спаборніцтваў па конным спорце?|іпадром
Статак скаціны?|гурт
Зграйны аматар падлы, навадны грэблівы жах на львоў?|шакал
Сталін неяк прыстрашыў Крупскай, што ў пакаранне за крытыку ён адбярэ ў яе гэты ганаровы тытул і перадасць Алене Дзмітрыеўне Стасовой. Гэта тытул ... ?|жонкі Леніна
Сталін лічыў, што савецкая жанчына павінна пахнуць чысцінёй і ... ?|маладосцю
Сталёвы сродак абароны?|даспехі
Станцыя мятро ў Маскве?|Варшаўская
Станцыя мятро на Ленінградскім праспекце?|Сокал
Станцыя Маскоўскага метрапалітэна, апетая Н. Расторгуевым?|Таганская
Стары. назва паэта?|паэт
Старая руская мера аб'ёму вадкасцяў?|вядро
Старэць непрыемна, але гэта адзіны спосаб ... ?|жыць доўга
Старадаўняя аўтаручка?|пяро
Старадаўняя жаночая верхняя адзежа ў выглядзе кофты, целагрэйкі?|шушун
Старадаўняя мера даўжыні?|вярста
Старадаўняя руская мера вагі, 10 пудаў?|беркавец
Старадаўняя руская срэбная манета?|грош
Старадаўняя руская (16–17 стагоддзі) чара для віна на братчинных балях (“на ўсю брацію”)?|конаўка
Старадаўняя срэбная, затым залатая манета ў Заходняй Еўропе?|дукат
Старадаўняя французская мера даўжыні?|лье
Старадаўняя назва вуснаў, рота?|вусны
Старадаўняя руская жаночая парадная сукенка з доўгімі рукавамі|летнік
Старадаўняя ручная агнястрэльная зброя?|кулеврина
Старадаўняе 3-4-шчоглавае судна з прамым ветразным узбраеннем?|каравэла
Старадаўняе ваеннае парусно-вяслярнае судна, месца катаргі для весляроў?|галера
Старадаўняя халодная зброя?|бярдыш
Старадаўнія імёны яго – грэцкае “антракс” і лацінскае “карбункул” – азначаюць вугаль ці вугольчык. Агонь па-грэцку – “баль” – хаваецца ў назве адной з яго разнавіднасцяў. Яго і сапраўды можна параўнаць з агнём. Што гэта?|гранат
Старадаўні правераны опохмелятор?|расол
Старадаўняя руская народная музычная прылада?|домра
Старадаўняе славянскае свята правадоў зімы, падчас якога пякуцца бліны і ўладкоўваюцца забавы?|масленіца
Старадаўні струнны клавішна-шчыпковы муз. прылада?|клавесін
Старое разг. назва эстонцаў, а таксама карэла-фінскага насельніцтва пад Пецярбургам?|чухонцы
Старорусское жаночае імя?|Акуліна
Старорусское жаночае імя?|Лізавета
Старорусское жаночае імя?|Золата
Старорусское жаночае імя?|Матрона
Старорусское жаночае імя?|Пелагея
Старорусское жаночае імя?|Соф'я
Старорусское мужчынскае імя?|Афінаген
Старорусское мужчынскае імя?|Зосіма
Старорусское мужчынскае імя?|Ігнат
Старорусское мужчынскае імя?|Капітон
Старорусское мужчынскае імя?|Назар
Старорусское мужчынскае імя?|Трыфан
Старорусское мужчынскае імя?|Харытон
Старорусское мужчынскае імя?|Якаў
Старорусское слова “брезг” азначае ... ?|ранняя раніца
Старорусское слова “укрох” азначае ... ?|кавалак
Старая?|карга
Статуі якіх жывёл упрыгожваюць уваходы ў будыйскія храмы?|сланоў
Статуя паганскага бажаства, прадмет культавай глыбокай пашаны?|ідал
Артыкул з разборам і адзнакай новага спектакля?|рэцэнзія
Зграя, якая носіцца за птушкамі высокага палёту?|эскорт
Шкло, схільнае да перабольшання?|лупа
Шкляная пасудзіна для пітва?|шклянка
Шкляная цыліндрычная пасудзіна?|шклянка
Стендаль сказаў: “Гнуткасць ... можа замяніць прыгажосць”. Якое слова прапушчана?|розуму
Сталасць, самавітасць?|велічнасць
Ступень сталасці яблыкаў?|наліў
Стыль у архітэктуры?|ампір
Стыль мары?|рамантыка
Стыль плавання, які скарыўся Галіне Прозуменщиковой?|брас
Змоўк Лермантава?|сон
Змоўк Некрасова?|агароднік
Змоўк Пушкіна?|Дельвигу
Верш. М. Лермантава; высокая скала?|уцёс
Вершы на зададзеныя рыфмы; папулярная форма свецкай “лёгкай паэзіі” 17–18 стст.?|бурыме
Стыхійнае бедства; верш. А. Блока?|пажар
Стыхію паветра ўвасабляе знак Задыяку ... ?|двайняты
Верш А. С. Пушкіна?|Адэлі
Верш А. С. Пушкіна?|Арион
Верш А. С. Пушкіна?|вёска
Верш у 14 радкоў з двух чатырохрадкоўяў і двух трохрадкоўяў?|санет
Верш, у якім першыя літары радкоў складаюць якое-небудзь слова?|акраверш
Вершаваная ступня з двух кароткіх і трэцяга?|анапест
Вершаваны памер антычнай эпічнай паэзіі: шестистопный дактыль?|гекзаметр
Вершаваны памер, ужыты Б. Л. Пастарнакам: “Я знік, як звер у загоне”?|тхароў
Вершаваны памер?|анапест
Вершаваны памер?|санет
Кошт каштоўных папер, банкнот, манет і т. п.?|намінал
Столік у цэрквы для абразаў, кніг, крыжоў?|аналой
Сталіца 14-х Алімпійскіх гульняў (1988 г.)?|Сеўл
Сталіца ХVIII зімовай Алімпіяды?|Нагана
Сталіца Аўстрыі?|Вена
Сталіца Гвінеі-Бісаў, адм. ц. аўтаномнага сектара Бісаў (горад у Афрыцы)?|Бісаў
Сталіца Ганконга?|Ганконг
Сталіца дзяржавы Руанда?|Кигали
Сталіца дзяржавы Кірыбаты?|Байрики
Сталіца дзяржавы на паўночным захадзе Русі?|Ноўгарад
Сталіца Замбіі?|Лусака
Сталіца Ірака?|Багдад
Сталіца Ірана?|Тэгеран
Сталіца Італіі?|Рым
Сталіца Канады?|Атава
Сталіца Конга?|Браззавиль
Сталіца Непала?|Катманду
Сталіца Новай Зеландыі?|Велінгтон
Сталіца Нарвегіі?|Осла
Сталіца Асманскай імперыі ў 15 у.?|Эдирне
Сталіца Партугаліі?|Лісабон
Сталіца Свазіленда|Мбабане
Сталіца ЗША размешчана ў акрузе ... ?|Калумбія
Сталіца ўкраінскіх шахцёраў?|Данецк
Сталіца штата Ваёмінг?|Шайенн
Самая паўночная ў свеце сталіца?|Рэйк'явік
Сталіца гэтай федэратыўнай дзяржавы адзіная, пабудаваная па загадзя зацверджаным плане. Што гэта за сталіца?|Вашынгтон
Сталіца Ямайкі?|Кінгстон
