Курча?|канвульсія
Сутаргавае скарачэнне цягліц канечнасцяў ці цягліцавай сценкі крывяносных пасудзін, стрававода, кішачніка і іншых полых органаў?|спазм
Мяркуючы па назве, гэта частка твару павінна быць пакрыта густой расліннасцю нават у дам?|падбародак
Мяркуючы па назве, гэты гарнітур прызначаны толькі для якія паляць?|смокінг
Мяркуючы па гісторыі нашай дзяржавы, дэвіз расейцаў: “Праз цёрне – да ...!”?|цернам
Сукаватае патанулае дрэва?|карчак
Сульфат жалеза, медзі ці цынку – гэта ... ?|купарвас
Сульфат магнію мае і іншая назва, гэта ... ?|ангельская соль
Торба для нашэння прадуктаў?|сетка
Сума звестак пра злачынца?|дасье
Сума грошай, прыкладна ў два разу меншая, чым тая, чаго вы сапраўды стаіце?|зарплата
Сумчатое жывёла, якое насяляе ў Паўночнай Амерыцы?|апосум
Жонкай Геракла была?|Геба
Сустаў, які злучае сцегнавую і галёначную косткі; месца згіну на назе?|каленка
Сутачны рацыён?|дыета
Сухая даліна?|вади
Суша, на якой караблі вядуць здаровы лад жыцця?|стапель
Сушка прадуктаў на адкрытым паветры на ветры?|вяленне
Істота, якое прынята клікаць джус, кент, завітушка ці шорик. (моладзевы слэнг)?|прыяцель
Існавала піянерская прымаўка: “Піянер – усім дзецям ...”?|прыклад
Існуе толькі адзін заменнік уяўлення – ... (Берджес)?|досвед
Схема якога-небудзь фізічнага аб'екта ці з'явы?|мадэль
Сцэнічная пляцоўка?|арэна
Шчасце па Марксе?|барацьба
Ядомы пласціністы грыб?|грузд
Ежа, разлічанае на тонкі густ пры тоўстым кашальку?|дэлікатэс
Сын Уладзіміра Манамаха Юры атрымаў мянушку Долгорукий за замах на ... ?|Кіеў
Сын Геліяса, не які зладзіўся з кіраваннем яго калясніцы?|Фаэтон
Сын Гермеса і Афрадыты, двуполое істота ў греческ. міфах?|Гермафрадыт
Сын збяднелага купца з камедыі А. Н. Астроўскага “Гарачае сэрца”?|Вася
Сын Рурыка, вялікі князь Кіеўскі з 912 г. У 941 і 944 здзейсніў паходы ў Візантыю, з якой склала дамова. Забіты ў 945 г. дрэўлянамі, воставщими падчас збору даніны. Хто гэта?|Ігар
Сын сына ці дочкі?|унук
Сын Адама і Евы, забіты з зайздрасці ўласным братам Каінам?|Авель
Сынам турэцкага султана спадару Журдену (“Мяшчанін у дваранстве”) было прысвоена званне ... ?|мамамуши
Сыр з авечага малака ці змясі авечага і казінага?|брынза
Волкія дровы лёгка ўспыхнуць, калі на іх высыпаць жменю ... ?|салі
Сыравіну для маннай кашы?|проса
Гандлёвы звычай|узанс
Тая, хто займаецца дабрачыннасцю?|дабрачынніца
Тая, якую Зеўс, звярнуўшыся ў быка, павёз на сабе?|Еўропа
Таблеткі ад кашля, ад якіх можна стаць наркаманам?|кодеин
Так у Дзяржаўнай думе РФ завуць сельскагаспадарчых працоўных?|аграрнікі
Так у Старажытнай Грэцыі зваўся сплаў золата са срэбрам?|электрон
Так у Старажытным Рыме звалі раба, якое суправаджала дзіцяці ў школу і зваротна дахаты?|педагог
Так клікалі таго, чыя смерць у лістападзе 1825 гады ў Таганрозе падпіхнула дзекабрыстаў да выступу?|Аляксандр I
Так гучала першая з тэлеграм, атрыманых грамадзянінам Корейко ад Астапа Бэндара: “Графіня ... тварам бяжыць сажалцы”?|якія змяніліся
Так крычыць салдат, калі яму добра, а ворагу дрэнна?|ура
Так марак заве захад?|вест
Так мы завём дзень тыдня, калі Бог стварыў Адама і Еву?|пятніца
Так завецца вертыкальны стрыжань у сонечных гадзінах?|гноман
Так завецца віно, зробленае зблізку гарады Порту?|портвейн
Так завецца і руская дометрическая мера масы, і адміністрацыйна-тэрытарыяльная адзінка ў Расіі ХVIII у.?|дзель
Так завецца рукапісны шрыфт, якім напісана знакамітае “Остромирово евангелле”?|статут
Так звалася апошняя кніга Дзюма-бацькі: “Вялікая ... ”?|кулінарная энцыклапедыя
Так звалася першае ў Расіі вышэйшая навучальная ўстанова для жанчын?|Бестужевские курсы
Так завуць чалавека ва ўзросце да дзесяці дзён?|нованароджаны
Так перакладаецца на кельцкую мову выраз “вада жыцця”?|віскі
Так перакладаецца з французскай мовы слова “каркас”?|шкілет
Так далі мянушку ката, які праславіўся выбітным выкананнем калыскавых песень?|кот-баюн
Таксама, як і праваслаўная, гэта хрысціянская царква прызнае сем святых таемстваў?|каталіцкая
Такая мянушка была ў прускага князя Бісмарка, чыё імя носіць архіпелаг у Ціхім акіяне. Гэта ... ?|жалезны канцлер
Талент спазняцца на меншы час, чым той, з кім у вас прызначана сустрэча?|пунктуальнасць
Талон на бясплатнае наведванне спектакля, канцэрту?|кантрамарка
