Заалагічная ўстанова|зообаза
Зодиакальное сузор'е, кастрычнік|скарпіён
Зодиакальное сузор'е, снежань|казярог
Зодиакальное сузор'е, травень|двайняты
Зодиакальное сузор'е, студзень, пад заступніцтвам Урана|вадаліў
Дойлід|архітэктар
Попелаў. манета Нідэрландаў у 16–17 стст.|альберцінаў
Залатая (14–16 ст.) манета, якая хадзіла ў Нямеччыне і інш. краінах|гульдэн
Залатая руская манета ў 10 рублёў, а пасля 1897 г. у 15 рублёў|імперыял
Залатая ці срэбная нітка для вышывання|важданіна
Залатая манета, чаканілася ў 13 павеку для Сіцыліі|августаль
Залаты Яблык у перакладзе|памідор
Залаты корань, шукаюць яго на Алтаі|родиола
Золотоносный раён у Сяўбу. Амерыцы на аднайменнай рацэ|Кландайк
Зона марскога дна, якая ахоплівае глыбіні кантынентальнага схілу|батыяль
Парасонік дэсантніка|парашут
Бачная думка. Генрых Гейне|прырода
Відушчая яечня|яечня
Зубасты кіт|кашалот
Зубадзёр|дантыст
Зубоизмерительный прыбор|ходомер
Зубное гучанне|скрыгат
Зубны лекар па даўніне|дантыст
Зубны пратэз|мост
Зубны тэхнік ці лекар, не мелы вышэйшага мёд. адукацыі|дантыст
Зубчастае кола|шасцярня
Сверб у вядомым месцы, испытываемый нецярплівым|сверб
За колькі сребренников прадалі Ісуса?|30
Загадкі Леанарда: “Пра колькі будзе такіх, якім не дазволена будзе нарадзіцца”|яйкі
За веру, пануючы, Айчына|дэвіз
За ўсё жыццё ён прапускае праз сябе семдзесят пяць тон вады, сямнаццаць тон вугляводаў, дзве з палавіннай тоны бялкоў?|чалавек
За другую палову ХХ стагоддзі ў бюро імя М. А. Міля было створана каля 15 мадэляў. А мадэляў чаго?|шрубалётаў
За горамі, за ... (пра што гаворка ў гэтым паэтычным сіноніме слова “далёка”?)|дол
За здароўе п'юць да гэтага месца|дно
За якімі лацінскімі адчуваннямі раз-пораз ганяюцца журналісты? “за ...”|сенсацыямі
За якой птушкай хаваецца пажар у рускіх загадках|певень
За кім заляцалася багіня здароўя Гигея? “За ...”|змяёй
За каго Кот у ботах выдаваў свайго гаспадара?|Карабас
За каго выйшла замуж Вольга неўзабаве пасля згубы Ленского (Онегин)|улан
За хвіліну вы павінны сцяміць, якую мянушку маюць у заходніх дзелавых кругах працаўнікі швейцарскіх банкаў|гномы
За яе на Русі давалі Георгія|адвага
За ёй у свой час сядзеў кожны з нас|парта
За непашану да Хрыста асуджаны на вечныя тулянні|Агасфер
За адну гадзіну гутаркі фін выкарыстоўвае гэта 1 раз, італьянец – 80, француз – 120 а мексіканец – 180 раз. Што?|жэстыкуляцыю
За мяжой: людзі, найманыя для стварэння поспеху ці правалу артыста, спектакля|клака
За самавольны штурм Туртукая наш вялікі вайскавод Аляксандр Сувораў ледзь не дагадзіў пад|суд
За свае звычкі барракуда заслужыла мянушку “марской ...”|тыгр
За колькі срэбранікаў прадалі Ісуса?|30
За кошт іх, не лічачы лясоў і рэк, шырокая краіна мая родная|палі
За тое, што адзін чалавек зрабіў з імпартным таварам, Аляксандр Паўлавіч заплаціў мільён рублёў срэбрам. А як клікалі гэтага чалавека?|Ляўшун
За поспех зусім безнадзейнай справы! (жанр)|тост
За чатыры месяца заняткаў у трэнажорнай зале гэты папулярны “бяспрозвішчны” спявак скінуў 20 кг вагі|Юльян
Завошта лавіць соню бескарысна|хвост
Завошта плацяць кілеру?|адстрэл
Завошта стралок падтрымлівае стрэльбу пры стральбе?|цаўё
Завошта часцей за ўсё дзяруцца міністры?|партфель
За гэтага рускага цара не жадаў маліцца юродзівы, а таму, хто сядзіць сягоння ў яго палатах, прама кажуць, што ён не мае рацыю|Барыс
За гэты ангельскі клуб выступаў А. Канчельскис?|Эвертон
За гэты, дагэтуль не які выйшаў з арсенала медыкаў, спосаб лячэння гогалеўскі Собакевич пераважыў бы ўсіх немцаў і французаў. Які ж спосаб лячэння яму так не спадабаўся|дыета
Забава на гадзіну|пацеха
Забава, спартовае змаганне; раман Ю. Бондарава|гульня
Забава, спартовае змаганне|гульня
Пацешная байка, якая пачынаецца часта з таго, што муж з'яжджае ў камандзіроўку|анекдот
Пацешнае, цікаўнае здарэнне, акалічнасць?|кур'ёз
Пацешны кинобеспорядок|ералаш
Страйк дробных крывяносных артэрый|ангіяспазма
Страйк; фільм Эйзенштейна|стачка
Страйк|стачка
Страйкоўцы, якія ахоўваюць сваё прадпрыемства|пікет
Забиваемая ў грунт апора збудавання|паля
Скура хромавага выраба з авечых шкур|шаўрэт
Загадзя ўмацаваны доўгачасовымі збудаваннямі пункт са сталым гарнізонам?|крэпасць
Памылка, паводле якога адна жанчына чымсьці адрозніваецца ад іншай. (Генры Менкен)?|каханне
Памылка|аберацыя
Забой з суцэльнай сістэмай распрацоўкі вугальнага пласта?|лава
Забойная частка праграмы|цвік
Захворванне чалавека і жывёл, якое выклікаецца чарвяком-паразітам|анкилостомидоз
Захворванне артэрыяльнай сістэмы|атэрасклероз
Захворванне волосистой часці галовы|шолудзі
Захворванне вока?|трахома
Захворванне скуры твару|нома
Захворванне крыві|анемія
Захворванне пяшчотай|каханне
Захворванне раслін|абортивность
Захворванне ў жывёл паразитич. істужачнымі чарвякамі|авителлиноз
Захворванне ў рагатай скаціны і свінняў|яшчур
Захворванне цэнтральнай нервовай сістэмы|ангионевроз
Захворванне цэнтральнай нервовай сістэмы|неўроз
Захворванне цэнтральнай нервовай сістэмы|атыт
Захворванне чалавека дызентэрыйнай амёбай|амебіяз
Захворванне, вірус якога згадваецца В. Высоцкім у песні “Гімнастыка”|грып
Захворванне, выкліканае недахопам вітамінаў у ежы|авітаміноз
Захворванне, якое выклікаецца сістэматычным ужываннем спіртнога|алкагалізм
Захворванне, абумоўленае недахопам вітамінаў З (аскарбінавая кіслата) і Р|цынга
Захворванне, пры якім у крыві рэзка павялічваецца лік лейкацытаў (напр., пры радыяцыйнай паразе)|лейкоз
Захворванне, што праходзіць у выглядзе прыступаў падвышанага настрою, звычайна падзеленых перыядамі звычайнага стану|манія
Захворванне, злучанае з недахопам у арганізме адмысловых біялагічна актыўных рэчываў|авітаміноз
Захворванне, эмфізэма лёгкіх у канёў|запал
Захворванне; назв. ружы ў юж. раёнах Расіі; твар (грубіянскі.)|рожа
Захворванне|рожа
Забалочаная пойма ракі|плаўні
Забалочаная тундра|лайда
Забалочаныя джунглі ў Гімалаях|тераи
Забалочаны лес|согра
Плот, якім абнесены ўчастак|агароджа
Плот, частакол, а даўней яшчэ і абарончае збудаванне|тын
Плот, частакол; даўней – абарончае збудаванне з бярвення|тын
Плот, частакол|тын
Плот, рашотка|агароджа
Клопат пра душу|апека
Клопат пра сірот|апека
Клопат, апека, нагляд, назіранне за недзеяздольнымі тварамі|апека
Клопат|сыход
Якая закісла дабрадзейнасць|загана
Забыўшыся пераключыць клавіятуру на рускую мову, я аднойчы набраў: DНТVZ. Што я жадаў набраць?|час
Заварное пірожнае з крэмам|эклер
Установа для рызыкоўных людзей|казіно
Ўстанова для гульні ў рулетку і карты|казіно
Ўстанова для прыёму донарскай крыві|пункт
Установа з красунямі (муз.)|кабарэ
Ўстанова, дзе бачыў ясныя вочы Астапа Бэндара адміністратар Тэатра Калумба|турма
Ўстанова, дзе вучацца дзеці|школа
Загадчыца навучальным працэсам у школе|завуч
Загадчык універсітэтам|рэктар
Загадчык гаспадаркай|эканом
Завяршальная будынак 4-гранная ці шматгранная піраміда|шацёр
Завяршальная фаза ўхілення ад паразы|перамога
Завяршальная, выніковая частка, напр. фінальная ўрачыстая сцэна ўяўлення, апошняя бітва вайны|апафеоз
Завяршальны этап палявання гепарда|кідок
Завяршэнне пабудовы ў выглядзе высокай піраміды|шацёр
Завяршэнне слупа, калоны ці тарца сцяны, служ. апорай|импост
Завяршэнне, канец|зыход
Завеса ці пліта з упрыгожваннямі на пярэднім боку алтара|антепендиум
Запаветнае месца, якое нікому не паказваюць|схованка
Адпісальная адмова|легат
Залежная дзяржава, твар (перен.)|васал
Залежнасць уласцівасцяў асяроддзя ад кірунку|анізатрапія
Залежнасць сілы якога-небудзь характэрнага для физ. аб'екта ці працэсу эфекту, звычайна злучанага з выпраменьваннем ці паглынаннем энергіі|спектр
Залежнасць, рабства|кабала
Залежнасць; у стары. Расіі – пазыковае абавязанне|кабала
Залежнасць|кабала
Залежны селянін у феод. Польшча|лясь
Залежны ад феадала ў славян|кмет
Ці залежыць жаночы аргазм ад якасці мужчынскай эрэкцыі?|няма
Завітыя кучары|буклі
Завітыя пасмы валасоў|буклі
