Аргентынскі абаронца Лас Пальмаса?|Шурэр
Аргентынскі абаронца Тэнэрыфэ?|Лусэнхоф
Аргентынскі абаронца-ветэран з Пармы?|Сэнсіні
Аргентынскі нападнік Лечэ?|Асорыа
Аргентынскі нападнік Мальёркі?|Квінтерас
Аргентынскі нападнік Ромы, які быў гулец зборнай?|Бальбо
Аргентынскі нападнік Эспаньёла?|Марцін Посэ
Былы паўабаронца Ромы, а цяпер П'яченцы|Дзі Франчэска
Бразільскі паўабаронца Дэпартыва?|Джалмінья
Бразільскі паўабаронца Мадрыдскага Рэала?|Флавіа Кансейсао
Бразільскі паўабаронца Ромы?|Маркас Асунсао
Бразільскі паўабаронца Ромы?|Ліма
Бразільскі правафланговы гулец Кьево?|Эрыберта
Бразільскі абаронца Лечэ?|Жуарэз
Бразільскі абаронца Пармы?|Жуніор
Бразільскі абаронца Перуджы?|Зэ Марыя
Бразільскі абаронца Ромы?|Антоніа Карлас
Бразільскі левафланговы нападнік Мадрыдскага Рэала?|Савіа
Бразільскі нападнік Вероны?|Адаілтан
Бразільскі апорны паўабаронца Дэпартыва?|Эмерсан
Бліскучы нямецкі гулец мінулых гадоў|Меллер
Бліскучы паўабаронца зборнай Францыі?|Кантона
Атакавалы паўабаронца Рэал Сасьедада?|Дэ Педра
Аргентынскі паўабаронца Мальёркі?|Ібагаза
Аргентынскі паўабаронца Марсельскага Алімпіка, гулец у Асасуне на правах арэнды?|Мантэнегра
Аргентынскі флангавы паўабаронца Інтэра?|Гулі
Аргентынскі форвард Удзінэзэ?|Соса
Аргентынскі цэнтральны паўабаронца Брэшыі?|Йлана
Аргентынскі цэнтральны паўабаронца Дэпартыва?|Душэр
Італьянскі паўабаронца К'ево?|Дзанчэтта
Дацкі паўабаронца Ўдзінэзэ?|Гаардэ
Вялікі французскі паўабаронца МЮ?|Кантона
Вялікі французскі футбаліст, які гуляў у васьмідзесятыя за Ювентус|Плаціні
Італьянскі паўабаронца Мілана?|Гатуза
Італьянскі паўабаронца Ромы?|Фузэр
Камерунскі паўабаронца Балонні?|Вамэ
Камерунскі паўабаронца Рэала?|Нжытап
Калумбійскі нападнік Мадрыдскага Рэала?|Конга
Калумбійскі паўабаронца Пармы?|Балана
Левы абаронца Валенсіі і моладзевай зборнай Бразіліі?|Фабіа Аурэліо
Левы абаронца Дэпартыва і зборнай Іспаніі?|Рамэра
Левы абаронца Інтэра і зборнай Грэцыі?|Геаргатас
Левы абаронца К'ево?|Д'Ганна
Левы абаронца Мадрыдскага Рэала і зборнай Бразіліі?|Раберта Карлас
Левы абаронца Мальёркі?|Діаз
Левы абаронца Мілана, набыты з Кіеўскага Дынама?|Каладзэ
Левы абаронца Пармы і зборнай Беларусі?|Гурэнка
Левы абаронца Пармы?|Фалсіні
Левы абаронца Перуджы?|Міланэзэ
Левы абаронца Рэал Сас'едада і зборнай Іспаніі?|Аранзабаль
Левы абаронца Рэала і зборнай Бразіліі?|Раберта Карлас
Левы абаронца Ромы і зборнай Францыі?|Кандэла
Левы абаронца Ўдзінэзэ і моладзевай зборнай Італіі?|Манфрэдзіні
Левы абаронца Ювентуса і зборнай Бразіліі?!|Ацірсан
Левы паўабаронца Дэпартыва і зборнай Іспаніі?|Фран
Левы паўабаронца Валенсіі і зборнай Аргентыны?|Кілі Ганзалес
Левы паўабаронца Мадрыдскага Рэала з Аргентыны?|Салары
Левы паўабаронца Мадрыдскага Рэала?|Баліч
Левы паўабаронца Райо Валекана?|Мічэл
Левы паўабаронца Райо, арандаваны ў Эспаньёла?|Арцеага
Левы паўабаронца Сандэрленда і зборнай Аргентыны?|Арка
Левы паўабаронца Севіллі?|Томас
Левы паўабаронца Тэнэрыфэ?|Іван Аня
Малады талент мадрыдскага Рэала ў нападзе?|Парцілья
Малады уругвайскі паўабаронца Брэшыі?|Карэа
Малады цэнтральны паўабаронца Валенсіі?|Маркена
Малады нападнік Мальёркі і зборнай Камеруна?|Этоа
Малады нападнік Эспаньёла?|Раўль Тамуда
Малады нігерыец у Барселоне?|Бабангіда
Малады паўабаронца Інтэра і зборнай Турцыі?|Эмрэ
Малады паўабаронца Лацыё і зборнай Югаславіі?|Станковіч
Малады паўабаронца Лакаматыва і зборнай Расіі?|Ізмайлаў
Малады паўабаронца Мілана?|Данаці
Малады аргентынскі паўабаронца Мадрыдскага Рэала аддадзены ў арэнду ў Рывер Плэйт?|Камбіаса
Малады бразільскі паўабаронца П'ячэнцы?|Матузалем
Малады брамнік Брэшыі?|Агліардзі
Малады брамнік Мадрыдскага Рэала і зборнай Іспаніі?|Касільяс
Малады галкіпер Ювентуса (Заняў 3-е месца сярод брамнікаў па выніках 2001 гады)|Буфон
Малады абаронца Аякса і зборнай Румыніі?|Ківу
Малады абаронца Балоні?|Закарда
Малады абаронца Брэшыі і зборнай Італіі?|Банера
Малады абаронца Мілана, гулец у Дэрбі на правах арэнды?|Даіна
Паўабаронца Пармы?|Лямушы
Паўабаронца Арсенала і зборнай Швецыі?|Юнберг
Паўабаронца Аталанты і моладзевай зборнай Італіі?|Беліні
Паўабаронца Аталанты і моладзевай зборнай Італіі?|Пінардзі
Паўабаронца Аталанты?|Зеноні
Паўабаронца Аякса і моладзевай зборнай Галандыі?|Ван дэр Ваарт
Паўабаронца Баварыі і зборнай Англіі?|Харгрыўс
Паўабаронца Барселоны і моладзевай зборнай Бразіліі?|Джэавані
Паўабаронца Барселоны?|Жэрар
Паўабаронца Балонні, арандаваны ў Ювентуса?|Брыгі
Паўабаронца Балонні?|Аліве
Паўабаронца Балонні?|Пекіа
Паўабаронца Барусіі Дортмунд і зборнай Чэхіі?|Расіцкі
Паўабаронца Брэшыі і ў мінулым Мілана?|Джунці
Паўабаронца Брэшыі?|Філіпіні
Паўабаронца Валенсіі і зборнай Аргентыны?|Аймар
Паўабаронца Валенсіі і зборнай Іспаніі?|Бараха
Паўабаронца Валенсіі?|Албельда
Паўабаронца Венецыі?|Брэсан
Паўабаронца Вероны?|Калучы
Паўабаронца Вероны?|Мацола
Паўабаронца Вероны?|Теадарані
Паўабаронца Вічэнцы?|Заўлі
Паўабаронца Дэпартыва і зборнай Іспаніі?|Валерон
Паўабаронца Дэпартыва?|Амавіска
Паўабаронца Інтэра і зборнай Галандыі?|Зеедорф
Паўабаронца Інтэра і зборнай Іспаніі?|Фарынас
Паўабаронца Інтэра і зборнай Партугаліі?|Сержыа Кансейсаа
Паўабаронца Інтэра і зборнай Турцыі?|Окан
Паўабаронца Інтэра і зборнай Францыі?|Дальма
Паўабаронца Лас Пальмаса і зборнай Перу?|Джайо
Паўабаронца Лацыё і зборнай Іспаніі?|Мендзета
Паўабаронца Лацыё і зборнай Італіі?|Ліверані
Паўабаронца Лацыё і зборнай Італіі?|Фіарэ
Паўабаронца Лечэ?|Канцічыа
Паўабаронца МЮ і зборнай Англіі?|Бэкхэм
Паўабаронца МЮ і зборнай Аргентыны?|Верон
Паўабаронца Мадрыдскага Рэала і зборнай Англіі?|Макманаман
Паўабаронца Мілана і зборнай Партугаліі?|Руі Кошта
Паўабаронца Мілана і зборнай Турцыі?|Юміт Давала
Паўабаронца Ньюкаслу і зборнай Англіі?|Дайер
Паўабаронца Пармы і зборнай Францыі?|Міку
