Хто славіўся доўгім носам?|Бержерак
Хто змяніў на расійскім троне Лізавету Пятроўну?|Пётр III
Хто зняў бліскучую “Каўказскую палонніцу” (прозвішча)?|Гайдай
Хто зняўся ў ролі савецкага афіцэра Івана Драгі, які супрацьстаіць знакамітаму баксёру Рокки?|Лундгрен
Хто стварыў Вінаваць Пуху (прозвішча)?|Милн
Хто стварыў легендарнага шпіка Шэрлака Холмса (прозвішча)?|Дойль
Хто стварыў адно з цудаў свету – статую Зеўса ў Афінах?|Фидий
Хто склаў “Танец з шаблямі”?|Хачатурян
Хто складаў кансоны ў сярэднявечным Лангедоке?|трубадуры
Хто ваяваў з немейским ільвом?|Геракл
Хто з'еў Піражка?|лісіца
Хто згуляў галоўную мужчынскую ролю ў фільме “Маўчанне ягнятаў”?|Хопкінс
Хто згуляў галоўную ролю ў фільме “Вясёлыя дзеці” (прозвішча)?|Уцёсаў
Хто згуляў Івана Грознага ў фільме “Іван Васільевіч змяняе прафесію”?|Якаўлеў
Хто згуляў Эммануэль?|Кристель
Хто такая “Ўлюбёнка Клаппа”?|груша
Хто такая павея?|прастытутка
Хто такія “лжывыя вампіры”?|кажаны
Хто такія мытары?|зборшчыкі падаткаў
Хто такі пралетар?|працоўны
Хто такі рулявы на судне?|стырнік
Хто такі Фаррух Булсара?|спявак
Хто такі Эдсан Арантыс ду Насімента?|Пеле
Хто такі Эклесіаст?|Саламон
Хто памёр з больш за 1000 патэнтамі на сваім рахунку?|Эдысан
Хто ішоў на гусака, як тарэадор на быка?|Паниковский
Хто з'яўляецца аўтарам камедыі “Брыгадзір”?|Фонвизин
Хто з'яўляецца народнай гераіняй Францыі часоў Стогадовай вайны?|Жана д'Арк
Хто быў дакладным спадарожнікам Шэрлака Холмса?|Ватсон
Хто дадумаўся да гадзін з гірамі дадаць ківач?|Гюйгенс
Хто ж насамрэч адкрыў Амерыку?|Калумб
Хто заявіў гераіні байкі Крылова “Ах ты спявала, гэта справа, так поди жа паскачы”?|мурашка
Хто гуляў галоўную ролю ў амерыканскім фільме “Залатая ліхаманка”?|Чаплин
Хто з італьянскіх кіназорак адначасова і вядомы спявак?|Челентано
Хто шчыра лічыць, што “Кампутар ніколі не заменіць чалавека”?|людаед
Хто брахаў на Слана, каб паказаць – “яна моцная”?|Мопсік
Хто лётаў на Месяц?|Армстронг
Хто не спаў тысячу начэй?|Шехерезада
Хто спяваў у мультфільме “Брэменскія музыкі” за большасць персанажаў?|Анофриев
Хто спяваў песню для бухгалтара (“Бухгалтар, мілы мой бухгалтар”)?|камбінацыя
Хто першы ўвёў дадатныя ірацыянальныя лікі?|Хайям
Хто першы адкрыў існаванне аднабаковых паверхняў?|Мебиус
Хто ўяўляўся “Ў меру ўкормленым мужчынам у самым росквіце сіл”?|Карлсан
Хто прамовіў “Ад вялікага да смешнага толькі адзін крок”?|Напалеон
Хто прамаўляў перад выступам слова: “Ідучыя на смерць вітаюць цябе!”?|гладыятар
Хто сказаў “Ды абміне мяне чара гэта”?|Ісус
Хто сказаў: “Карэту мне! Карэту!”?|Чацкий
Хто лічыць, што “каньяк блашчыцамі пахне”?|песіміст
Хто згуляў галоўную ролю ў фільме “Вясёлыя дзеці”?|Уцёсаў
Хто ўладкоўвае сабе для адпачынку і разважанняў сады камянёў?|японцы
Хто жадаў прызначыць сенатарам свайго каханага каня?|Калігула
Хто, абудзіўшы ўначы ваяроў, выратаваў Рым?|гусакі
Хто: “Прыйшоў, убачыў, перамог”?|Цэзар
Кубанскія казакі спяваюць: “... , раз-два-тры, каліна, чарнявая дзіўчына ў садзе ягаду рвала”?|Маруся
Куды ў адной з песень прасілася Маша Распуціна? У ...|Гімалаі
Куды тэлефануе чалавек, які набраў 02?|міліцыя
Куды тэлефануе чалавек, які набраў 03?|хуткая дапамога
Куды тэлефануе чалавек, які набраў 04?|служба газу
Куды марыць Генадзь Селезнев перавесці Дзяржаўную Думу са сталіцы?|Санкт-Пецярбург
Куды накіроўваўся Чырвоны Капялюшык з кошыкам піражкоў?|да бабулі
Куды адправіўся Радзішчаў з Пецярбурга ў сваё знакамітае вандраванне?|Масква
Куды адпраўляўся на здымкі рэжысёр Якин?|Гагры
Куды ў адной з песень прасілася Маша Распуціна?|Гімалаі
Куды, паводле прыказкі, глядзіць воўк, колькі яго ні кармі?|у лес
Куилу-Мадагаскар, ямайскі “Блю Маунтен”, бразільскія “Сантос” і “Бурбон Сантос”, усяго іх у свеце каля 1000 гатункаў. А пра гатункі чаго ідзе гаворка?|кава
Кулінарны выраб, у склад якога ўваходзяць узбітыя вавёркі?|суфле
Кулінарна-агародная закуска?|салата
Кулінарны рэцэпт: “Мяса ...: Прыйсці ў госці. Узяць мяса і сысці не развітваючыся.”?|па-ангельску
Культавыя будынкі балгарскіх хрысціян перыяду асманскай няволі не будаваліся толькі ... ?|увысь
Куртка турыста?|анарак
Кавалак акіяна?|мора
Кавалак адборнага мяса без костак?|паляндвіца
Хмызняк ці дрэўца з сакавітымі кісла-салодкімі ягадамі?|кизил
Хмызняк сямейства бабовых?|акацыя
Хмызняк-меданос?|кизил
Кухонная печ з фаеркамі?|пліта
Кухонны посуд?|рондаль
Кухонная прыналежнасць?|лыжка
Кухонная прыналежнасць?|талерка
Кухонны электрапрыбор?|блендер
Кухонны электрапрыбор?|міксер
Кухонны электрапрыбор?|сокавыціскалка
Кухонны электрапрыбор?|халадзільнік
Страва з кавалачкаў мяса, засмажаных на ражне?|шашлык
Л. Талсты, “Вайна і свет”. “Дубец народнай вайны паднялася і прынялася ... ворага з усёй сваёй якая бунтуе сілай”: і) пляжыць з) пендюрить а) лупошить р) бацать м) чпокать ц) ядзерная адплата няўхільна?|і
Л. Н. Талсты сказаў: “... ёсць задавальненне без раскаяння”. Што ён меў на ўвазе?|шчасце
Лэдзі-атрутніца ў Трох мушкецёрах?|Винтер
Леанід Жаботинский быў чэмпіёнам Алімпійскіх гульняў у ... (горад)|Токіо
Лабороторный пасудзіна?|колба
Лагерны аўтарытэт?|пан
Ласуха, знаток і аматар вытанчаных страў?|гурман
Ласунак, рыхтуецца з узбітай карамельнай масы, змяшанай з расцёртымі абсмаленымі ядрамі арэхаў, арахіса, сланечнікавага насення?|халва
Латв. кампазітар, адзін з осн. лат. профессион. музыкі?|Витол
Лацінскі выток гэтага слова і “выхаванне”, і “адукацыя”, і “развіццё”, і “апрацоўка”, і “шанаванне”. Што гэта?|культура
Лёваў, як леў, які бараніў вароты зборнай СССР па футболе?|Яшин
Левы бок бухгалтарскіх рахункаў?|дэбет
Левы прыток ракі Масква?|Истра
Легендарнае мястэчка пад Масквой, які забяспечваў увесь Звяз прэзерватывамі тыпу “наждачная папера”?|баковка
Легендарны рускі крэйсер, затоплены напачатку руска-японскай вайны?|вараг
Легендарны рыцар?|Тристан
Лёгкая пластмаса, якая мае выгляд застылай пены?|пенапласт
Лёгкая прымешка хрому ператварае карунд у ... ?|лал
Лёгкі конны воз, звычайна без рысор і з адкрытым верхам?|брычка
Лёгкая тканіна саржавага перапляцення?|кашмір
Лёгкаатлеты звычайна ядро ... ?|пхаюць
Легкавы аўтамабіль “Жыгулі” ў экспартным выкананні?|ладу
Легкавы аўтамабіль з адкрываным верхам, раней такая ж карэта?|ландо
Лёгкае рассоўнае крэсла са спусцістай спінкай і падоўжанай сядушкай, у якім можна напаўляжаць?|шэзлонг
Лёдавае поле?|коўзанка
Ледакольны параход?|Челюскин
Ляжачыя дзверы?|люк
Лейтэнант Грозных з фільма “Дужы арэшак” камандаваў атрадам ... ?|аэрастатаў
Лекавае рэчыва з групы стымулятараў нервовай дзейнасці, якое насілу пераносіць здаровы нос, але любіць хворае сэрца?|камфара
Лекавая дэкаратыўная травяністая расліна, меданос?|першацвет
Лекавая расліна?|святаяннік
Лекавы сродак, атрыманае выманнем вызначаных рэчываў з раслінных ці жывёльных тканін з дапамогай растваральніка?|экстракт
Лекавы прэпарат?|вакцына
Лекі?|нафтизин
Ленінскія “апартаменты” ў Разліве?|будан
Стужка (тасьма) у формавай адзежы.|галун
Леанард Левинсон: “Месяц, калі вы не зможаце адкрыць у аўтобусе акно, тое самае, якое не маглі зачыніць у снежні”?|ліпень
Леанід Куравлев гуляў слесара-сантэхніка ў фільме ... ?|Афоня
Аладка з бульбы?|драчена
Лясная птушка – нікуды не вартая маці?|зязюля
Лясная птушка сямейства крумкачыных?|кедраўка
Лясная птушка, палюе звычайна з засады. Род налічвае 47 выглядаў. У Расіі распаўсюджана 5 выглядаў. Некаторыя выгляды выкарыстоўваюцца як лоўчыя птушкі?|каршак
Лясная птушка?|жаўтушка
Лясная птушка?|зязюля
Лясная птушка?|гіль
Лясное месца, куды заводзяць злыя лесуны і дурныя думкі?|нетры
Лясны прыгажун, вілаваты?|лось
Усходы на судах?|трап
Лятальны апарат цяжэй паветра з вертыкальным узлётам і пасадкай?|шрубалёт
Лятальны апарат, паветраны загараджальнік у ваенны час?|аэрастат
Лятальны апарат, які спалучае рысы самалёта і шрубалёта?|аўтажыр
Летні вечар ... самы быў у нас з табой, размаўлялі з намі зоркі і прыбой.|цёплы
Летні месяц?|жнівень
Летні месяц?|чэрвень
Летняе свята ў старажытных славян?|Купала
Лётчык, герой савецкага звяза? (жанчына)|Чечнева
Лётчык (прозвішча)|Арцеулов
Лётчык, герой айчыннай вайны, аўтар першага начнога тарана?|Талалихин
Лётчык-герой Савецкага Звяза?|Чечнева
Лётчык-выпрабавальнік, палкоўнік, Герай Савецкага Звяза (1971)?|Сухомлин
Лётчык-выпрабавальнік?|Арцеулов
Лётчык-касманаўт СССР?|Горбатко
Лех Конопиньский казаў: “Мысленне нікога яшчэ не навучыла ... ”?|розуму
Лячэбная ўстанова; ваенна-медыцынская ўстанова для стацыянарнага лячэння?|шпіталь
Лячэбная ўстанова?|стацыянар
Лячэбна-прафілактычная ўстанова?|санаторыя
Лідар звяза мастакоў “Блакітная ружа”?|Барысаў-Мусатов
Лідара руху вызвалення Палестыны клічуць ... ?|Ясир Арафат
Лідарам якой музычнай групы быў Фред Меркьюри?|quееn
Лілапсафобія – гэта боязь ... ?|ураганаў
Ліманадны каўбой?|Джо
Лінгвістычнае срэбра?|слова
Лініі жыцця на твары?|маршчыны
Лінія ўяўнага судотыку неба з зямной ці воднай паверхняй?|гарызонт
Лінія, перпендыкулярная вертыкалі?|гарызанталь
Лінія, якая злучае процілеглыя ці несумежныя куты шматкутніка?|дыяганаль
Лінія, якая ў кожнай сваёй кропцы дакранаецца лініі некаторага сямейства?|агінальная
Лін, манастыр?|Шао
Лірычны верш, прасякнутае сумным настроем?|элегія
Лісцянае дрэва, якім па дакументах цалкам можа “стаць” іглічнае?|ліпа
Лісцянае дрэва?|клён
Лісцянае дрэва?|ясень
Літ. жанр; аповяд А. Чэхава?|драма
Літаратурная прафесія?|сцэнарыст
Літоўскія песні?|сутартине
Твар “манеты”?|аверс
Твар сярэдняга медыцынскага персанала?|сястра
Твар (арганізацыя), мелае права на карыстанне чым-небудзь?|абанент
Твар, якому варта перадаваць крадзеную нявесту?|кунак
Твар, назіралае за якой-небудзь працай, ходам спраў?|куратар
Твар, якое здзяйсняе расправу па заданні злодзеяў?|гладыятар
Асабіста залежны ад сеньёра?|васал
Спрытная выхадка, нечаканая выхадка?|фортэль
Спрытны трук ілюзіяніста?|фокус
Спрытны трук?|фокус
Пастка з жалезнай хваткай?|капкан
Логорея – гэта славесны ... ?|панос
Лодка запарожскіх казакоў?|гарбаткі
Лодка Тура Хейердала?|Ра
Лакальная комп. сетка?|інтранэт
Локаць; месца згіну рукі; частка рукава адзежы?|локцік
Локцевы сустаў як разнавіднасць механічнага злучэння?|шарнір
Лоренс Дау казаў: “У спадніцы няма нічога асаблівага, калі яна калышацца на ...”?|вяроўцы
Лососевидная рыба?|харыус
Кудлаты слон, вымерлы з наступам леднікоў?|мамант
Конь Аляксандра Македонскага клікалі: а) Дэцыбел бы) Буцэфал у) Цеденбал г) Задзяўбаў?|б
