Участак воднай паверхні?|акваторыя
Ўчастак змярцвення органа, які ўзнікае з-за спазму ці закаркаванні сілкавальных яго крывёй пасудзін?|інфаркт
Навучальная ўстанова з пражываннем і поўным утрыманнем выхаванцаў?|пансіён
Навучальная ўстанова?|вучэльня
Вучэнне пра “шлях” (рэчаў), паўстала ў Кітаі ў 6–5 стст. да н. э. Заснавальнік – Лао-цзы, які заклікае вынікаць прыродзе, жыць натуральным жыццём?|даасізм
Вучэнне пра мараль?|этыка
Вучэнне пра спосабы выкладання той ці іншай навукі?|методыка
Вучэнне пра інтуіцыю як самай галоўнай і самай надзейнай крыніцы спазнання?|інтуіцыянізм
Вучань дервишского шэйха?|мюрид
Вучань Ісуса Хрыста, абраны і пасланы Ім на пропаведзь?|апостал
Навукоўцы лічылі, што гэта рыба змерла 70 млн. гадоў назад, а яна преспокойно плавае ў паўднёвых берагоў Афрыкі. Друое яе назва – Целакант. Што за звер?|латимерия
Навуковец, які вывучае пісьмовыя тэксты на аснове іх змястоўнага, моўнага і стылістычнага аналізу?|філолаг
Навуковец, які пацвярджае сваю кваліфікацыю навуковай ступені?|диссертант
Навуковец, працамі якога карыстаюцца рыбакі?|іхтыёлаг
Ф. Линдеман даказаў нездзяйсняльнасць рашэння задачы о ... ?|квадратуры круга
Фабрычны знак, лагатып?|марка
Фаза месяца, падчас якой адбываюцца сонечныя зацьменні?|маладзік
Факт знаходжання абвінавачванага ці падазраванага па-за месцам здзяйснення злачынства ў момант злачынства ці проста доказ невінаватасці?|алібі
Фальшывы дакумент, цыдулка, ліст?|ксива
Прозвішча 39-ого прэзідэнта ЗША супадала з часткай ... ?|рухавіка
Прозвішча акцёра, які “зняў” Джулію Робертс?|Гир
Прозвішча якога вядомага палітычнага дзеяча адбываецца ад вядомага жесткокрылого?|Хрушчоў
Прозвішча блазна Алоўка?|Румянцаў
Прозвішча рэжысёра фільма “Поўнае зацьменне”?|Холланд
Прозвішча таго, хто адмовіўся ад ролі Ісуса Хрыста ў фільме Марціна Скорсезе?|Дэ Ниро
Прозвішча ўкраінскага пісьменніка, аўтара “Берага кахання”, “Тронки” і “Сабора”, мае дачыненне да прафесіі вытворцы маёлікі і метлахской ... ?|пліткі
Прозвішча “сонечнага блазна”?|Папоў
Прозвішча таго, у каго ўпадабаным з'яўляецца слова “разумееш”?|Ельцын
Прозвішча таго, чый дзядзька быў самых строгіх правіл?|Онегин
Фасон мужчынскіх штаноў?|штаны
Фаунистич. царства сушы?|неогея
Фаэтон у адносінах да Геліяса?|атожылак
Фізік-сопротивленец?|Ом
Фізік-тэарэтык, стваральнік тэорыі рэлятыўнасці?|Эйнштэйн
Фізіялагічны стан арганізма, якое суправаджаецца адчуваннем сухасці ў роце і глотцы, што падахвочвае да спажывання вады?|смага
Фізічны недахоп гэтага вайскавода дала нагода назваць яго менавіта так: Цімур – ... ?|жалезны хромец
Філасофія марксізму. Зыходзіць з таго, што матэрыя – адзіная аснова свету, свядомасць – уласцівасць матэрыі; прызнае ўсеагульную ўзаемасувязь прадметаў і з'яў, рух і развіццё свету як вынік яго ўнутраных супярэчнасцяў?|дыялектычны матэрыялізм
Філасофскі кірунак, які высоўвае сумнеў у якасці прынцыпу мыслення, асабліва сумнеў у надзейнасці праўды?|скептыцызм
Філасофская плынь, якое адмаўляе Бога. У радыкальнай форме вядомыя ярка выяўленыя такія формы, як марксізм і пазітывізм?|атэізм
Філасофская плынь, процілеглае матэрыялізму?|ідэалізм
Філасофскае вучэнне пра звышпачуццёвыя (недаступных досведу) прынцыпах быцця; пра тое, што пазнавальна намі толькі пасля прыроды (таму што ляжыць “ззаду яе”), але само па сабе не з'яўляецца першым?|метафізіка
Філасофскае, эканамічнае і палітычнае вучэнне, створанае К. Марксам і яго сябруком Ф. Энгельсам?|марксізм
Фільм Б. Берталучы “Апошняе ... у Парыжы”?|танга
Фільм Н. Міхалкова?|аўтастоп
Фільм з удзелам Л. Гурченко?|вакзал для дваіх
Фільм з удзелам Л. Гурченко?|каханне і галубы
Фільм з удзелам Мадоны (гл. роля)?|эвита
Фільм Э. Разанава?|гараж
Фільм, у якім зняўся Віктар Цой?|іголка
Фільм, які ўславіў амерыканскую акторку Лайзу Миннелли, завецца?|кабарэ
Які фінансуе твар ці арганізацыя?|фундатар
Фінансы гэтага поп-выканаўца “спяваюць рамансы”?|Буйнов
Фініш наземнай падрыхтоўкі касманаўта?|старт
Фінскі нацыянальны эпас пра подзвігі і прыгодах герояў казачнай краіны Калева?|калявала
Фінскі халадзільнік, мара савецкіх жанчын, за які была прададзена “каўказская палонніца”?|Розенлев
Фірма вядомая на сусветным рынку як вытворца маршрутызатараў? (адказ ангел. літарамі)|сisсо
Фірма вядомая сваімі акустычнымі сістэмамі ў савецкі час?|радыётэхніка
Фірма-вытворца працэсараў (рус. літарамі)|АМД
Фірмовая папера з загалоўкам?|бланк
Фірмовая назва, якое дала ацэтыльсаліцылавай кіслаце фірма “Байер” – гэта ... ?|аспірын
Фірмовы прыкід і слугаў, і выбіваў?|ліўрэя
Сцяг Вялікабрытаніі завуць ... ?|юніён джэк
Флоцкі чын у дарэвалюцыйнай Расіі 2-го класа?|адмірал
Флоцкі чын у дарэвалюцыйнай Расіі 6-го класа – Капітан ... ?|першага рангу
Флоцкі чын у дарэвалюцыйнай Расіі 8-го класа – Капітан ... ?|трэцяга рангу
Фальклорны жанр?|плач
Форма кнігі ў Старажытным Рыме са змацаваных разам папирусных лістоў ці ваксаваных дошчачак?|кодэкс
Форма пад падмурак?|апалубка
Форма кіравання, пры якой на чале дзяржавы варта адзін твар?|манархія
Форма праявы волі?|дыктат
Форма рэльефу?|раўніна
Форма сыравіны для вытворчасці пластмасавых вырабаў – пеллеты, глобулы, ...?|гранулы
Форма манаполіі; аб'яднанне некалькіх незалежных кампаній з мэтай недапушчэння канкурэнцыі?|картэль
Форма кіравання, пры якой вярхоўная ўлада цалкам прыналежыць манарху?|абсалютызм
Фармаліст, валаводнік, прыхільнік канцыляршчыны?|бюракрат
Формавая адзежа слугі, швейцара, кучары?|ліўрэя
Формавая куртка?|кіцель
Формавыя штаны, шырокія ў сцёгнах і вузкія ў халявах?|галіфэ
Форос сумнае месца для Гарбачова. Што яно азначае літаральна?|падатак
Фраза “Карэту мне! Карэту!” прыналежыць ... ?|Чацкому
Фраза, вымаўленая французскім рэжысёрам Рене Клером: “Фільм гатовы, засталося толькі ...”?|зняць
Фразеалагізм – гэта тое ж самае, што і ...|ідыёма
Фразу “Я сам ведаю, што гэта задача не мае рашэнні. Я жадаю ведаць, як яе вырашаць” сказаў Кристобаль ... ?|Хунта
Франс Снейдерс – гэта сучаснік і супрацоўнік Піцера ... ?|Рубенса
Франц. жывапісец 19 у.?|Кара
Франц. кінарэжысёр, пастаноўшчык фільма “Дэтэктыў”?|Годар
Франц. кампазітар, аўтар оперы “Дзіцё і чараўніцтва”?|Равель
Франц. кампазітар?|Пуленк
Франц. пісьменнік, аўтар “Напалеон”, “Чума”?|Камю
Франц. пісьменнік?|Дзюма
Францыя – “мадам”, Англія – “місіс”, Іспанія – ...?|донна
Француз налічыў 80, швед прапанаваў 100, а немец настойваў на 180. Гаворка ідзе пра кропку ... ?|кіпенні вады
Французскі пісьменнік, “бацька” “Каралевы Марго” і “Графа Монте-Кристо”?|Дзюма
Французскі скульптар?|Роден
Французская акторка, прынцэса з Вrаvеhеаrt?|Марса
Французская асада ў Паўночнай Амерыцы?|Реньо
Французскі акцёр Андрэ Рембур абраў у якасці псеўданіма назва вёскі, у якой нарадзіўся. А звалася яна ... ?|Бурвиль
