Даследнік Арктыкі|Візе
Даследнік гарадскіх падзямелляў|дзігер
Даследнік падземнай прасторы гарадоў|дзігер
Даследнік прыроды|прыродазнавец
Даследчая праца, выкананая выпускніком вышэйшай навучальнай установы|дыплом
Ашалела-захоплены стан|экстаз
Ист. вобласць у Югаславіі|Крайна
Ист. правінцыя ў Партугаліі|Алгарви
Праўда, праўда, аксіёма|факт
Праўда, якая прыкінулася хлуснёй|абсурд
Праўдзівы каталік у чыне|абат
Гісторыя пра маньяка, што забіў і які з'еў 40 ахвяр, была перакладзена на рускую мову і дагэтуль карыстаецца вядомай папулярнасцю. Назавіце імя маньяка|Робін-Бабін-Барабек
Выток Тунгускі|Урми
Вытокі якой вялікай еўрапейскай ракі, апетай паэтамі і музыкамі шматлікіх краін, знаходзяцца ў Нямеччыне, у горах Шварцвальда?|Дунай
Апальшчыца, ад якой танчаць|печка
Гісторыка-геаграфічная вобласць на паўночным усходзе Нямеччыны|Лужынка
Историч. вобл. у Італіі|Апулия
Историч. вобл. у Італіі|Лацыё
Историч. вобл. у Італіі|Марку
Историч. вобласць у Грэцыі|Фракія
Историч. вобласць у Грэцыі|Эпир
Историч. вобласць у Літве|Аўкштоце
Историч. вобласць на терр. Ірана; двухстворкавы малюск|мідыя
Историч. вобласць на терр. Ірана|Мідыя
Историч. правінцыя Францыі|Аквітанія
Историч. правінцыя Францыі|Берри
Историч. правінцыя Францыі|Мен
Историч. правінцыя Францыі|Онис
Историч. правінцыя ў Іспаніі|Бургос
Историч. частка Малой Азіі|Іонію
Историч. правінцыя Францыі|Фуа
Историческ. правінцыя Францыі|Эльзас
Гістарычная дысцыпліна пра жыццяпіс святых|агіяграфія
Гістарычная дысцыпліна, якая займаецца вывучэннем гербаў?|геральдыка
Гістарычная дысцыпліна, якая займаецца ўсталяваннем дакладных дат гістарычных падзей?|храналогія
Гістарычная дысцыпліна, навука пра методыку выдання пісьмовых гістарычных крыніц|археаграфія
Гістарычная дысцыпліна?|усходазнаўства
Гістарычная дысцыпліна|архівазнаўства
Гістарычная дысцыпліна|атрыбутыка
Гістарычная кубінская яхта|гранма
Гістарычная вобл. Нямеччыны|Швабия
Гістарычная вобл. у Ср. Азіі|Харэзм
Гістарычная вобласць Нямеччыны|Ангальт
Гістарычная вобласць Нямеччыны|Ганза
Гістарычная вобласць Нямеччыны|Кёльн
Гістарычная вобласць Нямеччыны|Клеве
Гістарычная вобласць Нямеччыны|Любек
Гістарычная вобласць Нямеччыны|Рур
Гістарычная вобласць Нямеччыны|Юлих
Гістарычная вобласць Грэцыі|Крыт
Гістарычная вобласць Грэцыі|Фракія
Гістарычная вобласць Італіі|Абруцци
Гістарычная вобласць Італіі|Аоста
Гістарычная вобласць Італіі|Апулия
Гістарычная вобласць Італіі|Марку
Гістарычная вобласць Італіі|Молизе
Гістарычная вобласць Францыі, галоўны горад якой – Па.|Беарн
Гістарычная вобласць ва Ўсходняй Грузіі|Картли
Гістарычная вобласць у Грузіі|Кахети
Гістарычная вобласць у Заходняй Грузіі|Гурыя
Гістарычная вобласць у Індыі (сучасны шт. Уттар-Прадеш)|Ауд
Гістарычная вобласць у Іране|Парса
Гістарычная вобласць у Іспаніі|Мурсия
Гістарычная вобласць у Ср. Азіі|Харэзм
Гістарычная вобласць у Сярэдняй Азіі|Согд
Гістарычная вобласць у Сярэдняй Азіі|Харэзм
Гістарычная вобласць у Цэнтральнай Італіі|Умбрия
Гістарычная вобласць у цэнтральнай Італіі|Лацыё
Гістарычная вобласць у паўднёва-усходняй Еўропе|Банат
Гістарычная вобласць у Францыі|Овернь
Гістарычная вобласць у Францыі|Турень
Гістарычная правінцыя Бельгіі|Намюр
Гістарычная правінцыя Бельгіі|Эннае
Гістарычная правінцыя Вялікабрытаніі|Англія
Гістарычная правінцыя Вялікабрытаніі|Уэльс
Гістарычная правінцыя Іспаніі|Арагон
Гістарычная правінцыя Іспаніі|Астурия
Гістарычная правінцыя Іспаніі|Лявон
Гістарычная правінцыя Іспаніі|Мадрыд
Гістарычная правінцыя Канады|Квебек
Гістарычная правінцыя Канады|Юкон
Гістарычная правінцыя Лівіі|Фециан
Гістарычная правінцыя Нідэрландаў|Дренте
Гістарычная правінцыя Нідэрландаў|Утрехт
