Падсямейства птушак атрада чыюкоў|лоры
Падказка|намёк
Падслухвальная “казурка”|жучок
Сланечнікавае масла?|ідэал
Падстаўка ў выглядзе бруса на ножках, збітых крыжавінай|казлы
Падстаўка для катла пры варэнні на адкрытым агні ў выглядзе абруча на ножках|трыножка
Падстаўка для катла, чыгуну|трыножка
Падстаўка для нот, настольная падстаўка для кніг|пюпітр
Падстаўка для нот; школьная парта (устар.)|пульт
Падстаўка для нот|пульт
Падстаўка для пілкі дроў|казлы
Падстаўка для стрэльбы, кулямёта пры стральбе з упора|сошка
Падстаўка пад ніжнюю частку чаго-небудзь|паддон
Падстаўка, складаны трыножак|штатыў
Падстаўка, стойка для якіх-небудзь прыбораў|штатыў
Падстаўны твар (архитект.)|атлант
Падстаўны твар акцёра|дублёр
Якія падбухторваюць дамаўленні|падгаворванне
Падлік і зверка статыстычных дадзеных, атрыманых у выніку статыстычнага назірання|зводка
Падлік, адзнака|цэнз
Пацверджанне атрыманых ведаў|атэстацыя
Падумаеш, важная ...|асоба
Подушный падатак, які спаганяўся з немусульманского насельніцтвы краін мусульманскага Ўсходу|джизья
Подхалимское тварэнне|ода
Подхвостн. рамень, які ўтрымлівае. казачае сядло ад споўз. наперад|пахвы
Падыходная мянушка для зусім чорнага ката|вугольчык
Падыходная лодка для Джонаў|джонка
Падыходны конік для чалавека “метр з кепкай”|поні
Падыходная малітва для мусульманіна?|намаз
Падыходная праца для ланцужнога сабакі|ахова
Падыходнае асяроддзе пасялення для паўночнага аленя|тундра
Падыходная тара для кансерваў|слоік
Падыходная тканіна для паліто?|драп
Падыходная тканіна для паліто|рацін
Падыходная характарыстыка для штукара, які выкарыстоўвае толькі рукі “і ніякага мошенства”|спрытняк
Падыходная шапка для дзеда Щукаря|треух
Падыходнае імя для Гиммлера з тэлесерыяла “17 імгненняў вясны”|Генрых
Падыходнае імя для Макаровой – нашай кіназоркі|Іна
Падыходнае імя для народнай артысткі Расіі Аросевай|Вольга
Падыходнае імя для нашай кіназоркі Голубкиной|Ларыса
Падыходнае месца для жалезнага каня|гараж
Падыходнае месца для крайняй хаты|аддаленне
Падыходнае месца для вартавога|пост
Падыходнае месца для змаганняў па сінхронным плаванні?|басейн
Падыходнае судна для рэгаты|яхта
Падыходная ўстанова для экскурсавода|музей
Падыходныя арэхі для “Снікерса”|арахіс
Падыходны для выпечкі прадукт|цеста
Падыходная хатка для новага рускага?|асабняк
Падыходны жаніх для Дюймовочки|эльф
Падыходная прылада для Эола?|арфа
Падыходны камень для камей|онікс
Падыходны матэрыял для галёшаў|гума
Падыходны матэрыял для швіва вясельнага вэлюму|кісяя
Падыходны помнік для Зураба Церетели|калос
Падыходная нагода спажыць вогнетушыцель|пажар
Падкрэслена ўпэўненае выкананне танца|апломб
Падпарадкаваная, залежная дзяржава ці твар|васал
Падпарадкаваны феадала-землеўладальніка|васал
