Корпус артылерыйнага снарада?|шклянка
Касманаўт СССР?|Романенко
Гарнітур удзельніц ансамбля “Бярозка”?|сарафан
Каціны банк у Бразіліі?|лапабанк
Котка можа без разбегу падскочыць на вышыню, якая перавышае ўласны рост у ... раз?|7
Вельмі пераборлівы і грэблівы чалавек?|чысцёха
Вельмі суровы, бязлітасны, бязлітасны ўчынак?|жорсткасць
Вельмі захапленне збіраннем кніг?|бібліяманія
Крайняе здзіўленне?|здзіўленне
Крайняе запаволенне жыццёвых працэсаў арганізма?|анабіёз
Крайняя заходняя кропка Еўропы – мыс ... ?|Рока
Крайняя паўночная кропка Азіі – мыс ... ?|Челюскин
Крайняя паўднёвая кропка Афрыкі – мыс ... ?|Іголкавы
Прыгажуню, якую выкраў Зеўс, абгарнуўшыся быком, клікалі?|Еўропа
Прыгожая дэкаратыўная расліна з прыгожымі буйнымі кветкамі і сцяблом, пакрытым шыпамі?|ружа
Прыгожая назва “козлиной бародкі”?|эспаньёлка
Фарба; технич. вуглярод?|сажа
Чырвонае дэсертнае віно?|кагор
Кароткі запіс на палях кнігі?|пазнака
Кароткая праграма дзеянняў?|план
Кароткі запіс, якая выкладае ўтрыманне лекцыі, навучальнага курсу, артыкулы і т. п.?|канспект
Кароткі выклад утрымання кнігі, артыкулы?|рэферат
Кароткі выклад сутнасці гаворкі, кароткая выснова са сказанага?|рэзюмэ
Кароткае выслоўе, якое выказвае ідэю, мэта?|дэвіз
Кароткі ўстойлівы выраз?|прымаўка
Кароткатэрмінова які навучаецца для падвышэння кваліфікацыі?|курсіст
Найкароткая адлегласць паміж двума барамі?|зігзаг
Крэдыт, які атрымліваецца дзяржавай?|пазыка
Крапежная дэталь, якую просяць з трыбун хакейныя заўзятары?|шайба
Дужыя і дэсертныя белыя віны?|кокур
Дужае і густое ангельскае піва?|эль
Прыгонная акторка тэатра Шарамеццева, якая атрымала вольную, а затым сталая жонкаю графа?|Жемчугова
Хросная маці ў адносінах да бацькоў хросніка?|кума
Хросная маці ў адносінах да бацькоў хросніка і да хроснага бацькі?|кума
Хросны бацька ў адносінах да бацькоў хросніка і да хроснай маці?|кум
Крыжовы паход ці іншае вандраванне, якое здзяйсняецца рыцарам?|квэст
Сяляне, якія жывуць пры ямах?|фурманы
Сяляне, якія займаюцца перавозкай сена, саломы і іншых сельгаспрадуктаў, вельмі б здзівіліся пачуўшы як завуць скаргу ў крымінальным свеце. Як жа?|калёсы
Крышталь карунду з лёгкай прымешкай тытана?|сапфір
Крышталь нябёсаў мне не перашкода боле; разбурыўшы яго подъемлюсь у бясконцасць. Гэтыя словы прыналежаць ... ?|Бруна
Кристаллич. ці плаўлены дыяксід крэмнія?|кварц
Акрамя рамана “Кафедра”, савецкая пісьменніца-матэматык І. Грекова напісала кнігу ... ?|тэорыя верагоднасці
Круг паўнамоцтваў судовага ці адміністрацыйнага органа па прававой адзнацы пэўных фактаў?|юрысдыкцыя
Круглы хлеб, даўней які рыхтаваўся з доўга пераціраемай цесты?|калач
Кругавая безадказнасць?|парука
Крупы “Геркулес” вырабляецца з ... ?|аўса
Буйная ёмістасць для захоўвання гаручага ці вадкіх газаў?|танк
Буйная пералётная птушка, гняздуецца побач з людзьмі?|бусел
Буйная птушка гарачых краін з прыгожым апярэннем?|страўс
Буйная чайка?|гагара
Найбуйны архіпелаг у Расіі (82 600 кв. км)?|Новая Зямля
Найбуйны горад у Кітаі?|Шанхай
Буйная фінансава-крэдытная ўстанова?|банк
Буйны маёнтак, зямельнае валоданне ў Лат. Амерыцы і інш.?|латыфундыя
Буйны капіталіст?|магнат
Стромкі бераг, абрыў?|яр
Стромкі ўзлёт, стромкі ўздым?|свечка
Стромкі заваротак, выгін ракі?|лукавіна
Стромкі спуск, абрыў?|строма
Крыты воз?|фура
Крыты нежылы будынак?|адрына
Крыты праход утвораны калонамі і размешчанай паралельна ім сцяной?|порцік
Гаплік для марскога карабля?|якар
Хто “і зараз живее ўсіх жывых”?|Ленін
Хто “вучыўся ў кулінарным тэхнікуме”?|Хазанов
Хто аўтар вядомага сцвярджэння “Розумам Расію не зразумець” (прозвішча)?|Тютчев
Хто аўтар выслоўя: “У адну раку нельга ўвайсці двойчы”?|Геракліт
Хто аўтар карціны “Сланечнікі”?|Ван Гог
Хто аўтар карціны “Саввинский манастыр пад Масквой”?|Камянеўшы
Хто аўтар паэмы “Энеида”?|Вяргілій
Хто аўтар твора “Навуковыя жанчыны”?|Мольер
Хто аўтар рамана “Зыбка для коткі”?|Воннегут
Хто аўтар рамана “Спартак”?|Джованьоли
Хто аўтар казкі “Дюймовочка”?|Андэрсан
Хто аўтар слоў: “Расія без кожнага з нас абыйсціся можа, але ніхто з нас без яе не можа абыйсціся”?|Тургенеў
Хто аўтар верша (песні): “Тройка імчыцца, тройка скача, уецца пыл з пад капытоў...”?|Вяземскі
Хто аўтар радкоў “Сяджу за рашоткай у вязніцы волкай. Ускормлены ў няволі арол маладой...”?|Пушкін
Хто аўтар гэтага бота (нік)?|снежка
Хто адрасаваў свой ліст “на вёску дзядулю”?|Жукаў
Хто быў віцэ-прэзідэнтам пры Джоне Кэнэдзі?|Джонсан
Хто быў галоўным ворагам Чабурашкі?|Шапакляк
