Персанаж Пушкіна “Скупы рыцар”|герцаг
Персанаж Пушкіна “Станцыйны наглядчык”|Вырин
Персанаж Тима Райса прапанаваў выкарыстоўваць для гэтай мэты плавальны басейн. Аднак, па агульнапрынятым меркаванні, для гэтага спатрэбіўся натуральны вадаём. Назавіце гэты вадаём|Тивериадское возера
Персанаж Чэхава “Ганна на шыі”|Артынов
Персанаж Чэхава “Безабаронная істота”|Шчукіна
Персанаж Чэхава “Вішнёвы сад”|Дуняша
Персанаж Чэхава “Дама з сабачкай”|Ганна
Персанаж Чэхава “Дзядзька Янка”|Марына
Персанаж Чэхава “Ионыч”|Туркин
Персанаж Чэхава “Ашуканец нехаця”|Гриша
Персанаж Чэхава “Нявеста”|Шумина
Персанаж Чэхава “Палата нумар 6”|Рагин
Персанаж Чэхава “Скакуха”|Дымоў
Персанаж Чэхава “Тры сёстры”|Маша
Персанаж Чэхава “Тры сёстры”|Родэ
Персанаж Чэхава “Забойства”|Аглая
Персанаж Чэхава “Гарбаткі”|Дорн
Персанаж Шэкспіра “Бура”|Алонзо
Персанаж Шэкспіра “Віндзорскія гарэзы”|Фентон
Персанаж Шэкспіра “Гамлет”|Озрик
Персанаж Шэкспіра “Генрых IV”|Грудзі
Персанаж Шэкспіра “Генрых IV”|Толбот
Персанаж Шэкспіра “Генрых IV”|Блент
Персанаж Шэкспіра “Генрых IV”|Бофорд
Персанаж Шэкспіра “Два веронца”|Лана
Персанаж Шэкспіра “Два веронца”|Пратэй
Персанаж Шэкспіра “Дванаццатая ноч”|Антоніа
Персанаж Шэкспіра “Дванаццатая ноч”|Орсино
Персанаж Шэкспіра “Як вам гэта спадабаецца”|Феба
Персанаж Шэкспіра “Камедыя памылак”|Солин
Персанаж Шэкспіра “Кориолан”|Марций
Персанаж Шэкспіра “Кароль Лір”|Регана
Персанаж Шэкспіра “Кароль Лір”|Эдгар
Персанаж Шэкспіра “Кароль Лір”|Эдмонд
Персанаж Шэкспіра “Кароль Лір”|Кент
Персанаж Шэкспіра “Макбет”|Дункан
Персанаж Шэкспіра “Мера за меру”|Анджело
Персанаж Шэкспіра “Мера за меру”|Эскал
Персанаж Шэкспіра “Шмат шуму з нічога”|Педро
Персанаж Шэкспіра “Шмат шуму з нічога”|Хуан
Персанаж Шэкспіра “Атэла”|Кассио
Персанаж Шэкспіра “Атэла”|Эмілія
Персанаж Шэкспіра “Перикл”|Антиох
Персанаж Шэкспіра “Перикл”|Клеон
Персанаж Шэкспіра “Рычард II”|Ленгли
Персанаж Шэкспіра “Рычард II”|Гант
Персанаж Шэкспіра “Ромео і Джульета”|Эскал
Персанаж Шэкспіра “Тимон Афінскі”|Лукулл
Персанаж Шэкспіра “Траіў і Крессида”|Гектор
Персанаж Шэкспіра “Траіў і Крессида”|Гяленаў
Персанаж Шэкспіра “Траіў і Крессида”|Парыс
Персанаж Шэкспіра “Траіў і Крессида”|Приам
Персанаж Шэкспіра “Ўтаймаванне свавольнай”|Соай
Персанаж Шэкспіра “Цимбелин”|Клотен
Персанаж Шэкспіра “Цимбелин”|Постум
Персанаж Шэкспіра “Юлій Цэзар”|Брут
Персанаж Шэкспіра “Юлій Цэзар”|Марилл
Персанаж Шэкспіра “Юлій Цэзар”|Флавий
Персанаж Шэкспіра з камедыі “Зімовая казка”|Леонт
Персанаж Шэкспіра|Тимон
Персанаж ангел. народнага тэатра лялек|Панч
Персанаж балета “Лебядзінае возера” П. Чайковского|Одетта
Персанаж балета “Шчаўкунок” П. Чайковского|Клара
Персанаж балета “Шчаўкунок” П. Чайковского|Коклюш
Персанаж балета “Шчаўкунок” П. Чайковского|Аршад
Персанаж балета “Шчаўкунок” П. Чайковского|Фрыц
Персанаж балета “Шчаўкунок”|Жигонь
Персанаж балета А. Хачатуряна “Спартак”|Красс
Персанаж балета Л. Минкуса|Китри
Персанаж балета П. І. Чайковского “Лебядзінае возера”|Одетта
Персанаж байкі І. Крылова|Тришка
Персанаж біблейскай міфалогіі, сын Адама і Евы|Каін
Персанаж бібліі, волат, гігант|Галіяф
Персанаж быліны “Вольга і Микула”|Вольга
Персанаж у балеце С. Прокофьева|Ромео
Персанаж у інш.-греч. міфалогіі: сын Агамемнона|Орест
Персанаж у інш.-греч. міфалогіі|Даная
Персанаж у інш.-греч. міфалогіі|Пилад
Персанаж у мусульм. міфалогіі|Хадир
Персанаж у аднайменным рамане рамане А. Н. Талстога|Аэліта
Персанаж у оперы “Іяланта”|Роберт
Персанаж у п'есе А. Чэхава “Тры сёстры”; п'еса Л. Андеева|Анфіса
Персанаж у п'есе А. Чэхава “Тры сёстры”|Анфіса
Персанаж у п'есе Горкага “Ягор Булычов і іншыя”|Татаў
