Грашовая адзінка Анголы|кванза
Грашовая адзінка Арабскіх краін|дирхам
Грашовая адзінка Афганістана|афгані
Грашовая адзінка Беларусі|рубель
Грашовая адзінка Балгарыі|леў
Грашовая адзінка Батсваны|пула
Грашовая адзінка Вугоршчыны з 1925 да 1946 гг.|пенге
Грашовая адзінка Гаіці|гурд
Грашовая адзінка Гамбіі|бубут
Грашовая адзінка Гамбіі|даласи
Грашовая адзінка Ганы|седи
Грашовая адзінка Гватэмалы|кетсал
Грашовая адзінка Гвінеі|сили
Грашовая адзінка Старажытнай Русі 10–15 стагоддзяў|нагата
Грашовая адзінка Старажытнай Русі|вавёрка
Грашовая адзінка Старажытнай Русі|куна
Грашовая адзінка Старажытнай Русі|рэзана
Грашовая адзінка Егіпту і інш. краін|фунт
Грашовая адзінка З. Самоа|ракіты
Грашовая адзінка Заіра|заір
Грашовая адзінка Ізраілю з 1985 г. = 100 агорам|шекель
Грашовая адзінка КНДР і Паўднёвай Карэі?|вона
Грашовая адзінка Камбоджы|риель
Грашовая адзінка Кампучыі|риель
Грашовая адзінка Кітая|цзяо
Грашовая адзінка Лаоса|стосаў
Грашовая адзінка Латвіі|лат
Грашовая адзінка Лесота|лоти
Грашовая адзінка Літвы|талон
Грашовая адзінка Маўрытаніі|угия
Грашовая адзінка Маўрытаніі|хумса
Грашовая адзінка Малаві|тамбал
Грашовая адзінка Мальдыўскай рэспублікі|скрыні
Грашовая адзінка М'янмы|джа
Грашовая адзінка Нігерыі, 1/100 найры|кобо
Грашовая адзінка Нігерыі, роўная 100 кобо|найра
Грашовая адзінка Папуа-Новая Гвінея|кина
Грашовая адзінка Перу|инти
Грашовая адзінка Перу|соль
Грашовая адзінка Польшчы|злоты
Грашовая адзінка Расіі|рубель
Грашовая адзінка Румыніі|лі
Грашовая адзінка Сан-Томе і Принсипи|дабра
Грашовая адзінка Саудаўскай Аравіі|риял
Грашовая адзінка Славеніі|толар
Грашовая адзінка Самалі ў 1950–1960 гг.|сомало
Грашовая адзінка Сьера-Леонэ, роўная 100 цэнтам|леонэ
Грашовая адзінка Турцыі, Югаславіі|пары
Грашовая адзінка Турцыі|ліра
Грашовая адзінка Ўкраіны ў “догривенный” перыяд|купон
Грашовая адзінка Францыі да ўводзін у 1799 г. франка|ліўр
Грашовая адзінка Чэхіі|крона
Грашовая адзінка Швецыі|крона
Грашовая адзінка Эквадора|сукре
Грашовая адзінка Эфіёпіі|бирр
Грашовая адзінка Эфіёпіі|быр
Грашовая адзінка Японіі = 100 сена|ена
Грашовая адзінка Японіі?|ена
Грашовая адзінка азіяцкіх краін|пайс
Грашовая адзінка азіяцкіх краін|сена
Грашовая адзінка арабскіх краін, Ірана|рыал
Грашовая адзінка арабскіх краін|филс
Грашовая адзінка ў Аргентыне|аустраль
Грашовая адзінка ў Вугоршчыне|форынт
Грашовая адзінка ў Гане|седи
Грашовая адзінка ў Гватэмале|кетсал
Грашовая адзінка ў Нямеччыне і ў Фінляндыі|марка
Грашовая адзінка ў Замбіі, Малаві|квача
Грашовая адзінка ў Ізраілі|шекель
Грашовая адзінка ў Індыі, Інданэзіі і некаторых іншых краінах|рупія
Грашовая адзінка ў Італіі, Ватыкане, Турцыі|ліра
Грашовая адзінка ў Кітаі|юань
Грашовая адзінка ў Марока|дирхам
Грашовая адзінка ў Манголіі|тугрык
Грашовая адзінка ў Польшчы|злоты
Грашовая адзінка ў Партугаліі|эскуда
Грашовая адзінка ў Румыніі|лея
Грашовая адзінка ў ЗША, Канадзе, Аўстраліі і некаторых іншых краінах|даляр
Грашовая адзінка ў Югаславіі, Іраку, Тунісе і некаторых іншых краінах|дынар
Грашовая адзінка ў некаторых краінах|фунт
Грашовая адзінка ў шэрагу краін|марка
Грашовая адзінка ў шэрагу краін|рупія
Грашовая адзінка ў краінах Лацінскай Амерыкі|песа
Грашовая адзінка лацінаамерыканскіх краін|калон
Грашовая адзінка некаторых афрыканскіх краін|квача
Грашовая адзінка некаторых краін|пені
Грашовая адзінка некаторых краін|пенс
Грашовая адзінка некаторых краін|су
Грашовая адзінка некаторых краін|эрэ
