Лекі ад злосці|дабрыня
Лекі ад баязлівасці|гераічнасць
Лекі, што вылечвае ўсё, акрамя алкагалізму|бальзам
Лекі|агапурин
Лекі|адрэналін
Лекі|альбуцыд
Лекі|анальгін
Лекі|антыпірын
Лекі|апамарфін
Лекі|баралгин
Лекі|барбітал
Лекі|біяміцын
Лекі|бутадион
Лекі|валідол
Лекі|гендевит
Лекі|диазепам
Лекі|диазолин
Лекі|димедрол
Лекі|карболен
Лекі|мезатон
Лекі|мидокалм
Лекі|нембутал
Лекі|оксолин
Лекі|папазол
Лекі|промедол
Лекі|раўнацін
Лекі|рэзерпін
Лекі|рибоксин
Лекі|санарын
Лекі|тавегил
Лекі|тазепам
Полівітамін|ундэвіт
Лекі|фенамін
Лекі|флуцинар
Лекі|фталазол
Лекі|холагол
Лекі|холосас
Лекі|эленіум
Лекі|эмбизин
Лекі|эфедрын
Лекар-самавук у рускай вёсцы, які дзейнічае ўласнымі метадамі|знахар
Лекцыя ў інтэрактыўным рэжыме|семінар
Стужка з запісаным гукам|тонстужка
Стужка званка для выкліку слугаў|сонетка
Стужачка для наручных гадзін|папружка
Істужачны чарвяк, што паразітуе ў целе чалавека і жывёл|саліцёр
Гультай бярэ іх некалькі і б'е|бібіка
Лянота, схільнасць да ляноты|ленасць
Лянота, бяздзейнасць, пустое времяпровождение|гультайства
Аладка з бульбы|дрочена
Аладка з фаршу|катлета
Лятальны апарат для ўздыму ў стратасферу|аэрастат
Лятальны апарат, махае крыламі|ортоптер
Лятальны апарат, цяжэй паветра|самалёт
Лятучая казурка|матылёк
Лета, якое паведамляе чырвань і сталасць пладам душы|радасць
Летапісец подзвігаў усенароднага Васіля Іванавіча|Фурманаў
Летапісец|аналіст
Летапіс|хроніка
Кажан|начніца
Кажан|остроух
Лятучыя эфірныя маслы, вымаемыя з раслін|эсэнцыя
Летняе памяшканне пры хаце|веранда
Летні лагер для аўтатурыстаў|кемпінг
Летняя адкрытая прыбудова да хаты|тэраса
Летняя рэзідэнцыя ангел. каралёў|Виндзор
Летняя прыбудова да жылой хаты, часта зашклёная|тэраса
Летняя прыбудова|тэраса
