Разменная манета Амана|байза
Разменная манета Румыніі|бань
Разменная манета Тайланда|сатанг
Разменная манета Туніса, Егіпту, Судану|мильем
Разменная манета Туніса|миллим
Разменная манета Турцыі, Лівана|піястр
Разменная манета Фінляндыі, сотая частка маркі|пені
Разменная манета Чэхіі і Славакіі|геллер
Разменная манета ў Егіпце, Іярданіі|піястр
Разменная манета ў Ізраілі|агорот
Разменная манета ў Лаосе. (Ал, Бу, Іт, Ат)|ат
Разменная манета ў Румыніі|лазні
Разменная манета ў Турцыі, Егіпце, Ліване і некаторых іншых краінах|піястр
Разменная манета ў Францыі|су
Разменная манета шэрагу краін|піястр
Разменная манета, 1/100 даляра ці інш. грашовых адзінак у розных краінах|цэнт
Разменная манета, 1/100 форынта, Вугоршчына|филлер
Разменная манета, адна сотая афгані|пул
Памер (даўжыня і шырыня) лістоў паперы, кніг, ілюстрацый, фатаграфій і т. п.|фармат
Памер заработнай платы, аклад|стаўка
Памер заработнай платы; пакрыццё на абразе|аклад
Памер заработнай платы|аклад
Памер кнігі, ліста, карткі|фармат
Памер кнігі, ліста?|фармат
Памер падатку, спаганяемага з адзінкі абкладання|квота
Памер друкаванага выдання|фармат
Памер па шчыкалатку|макси
Памер чаго-небудзь|фармат
Памер шрыфта ў пунктах (паліграф.)|кегель
Памер шрыфта ў пунктах|кегель
Памер, колькасць якога або грашовага збору|аклад
Памеры чалавека ці жывёлы ў вышыню|рост
Разметка на зямлі плану будучай драўлянай пабудовы з дапамогай бярвення ніжняга вянка|аклад
Спрэчка|сварка
Размолотые ў парашок збожжа пшаніцы, іржы|пакута
Размолотые ў парашок збожжа раслін|пакута
Размочаныя ў вадзе ці квасе кавалачкі хлеба з лукам і соллю|цура
Размяклая ад вады глеба|бруд
Розніца паміж двума фінансавымі паказчыкамі (за кошт якой узнікае прыбытак)|маржа
Розніца паміж курсамі валют|лаж
Розніца паміж курсамі каштоўных папер|маржа
Розніца паміж звычайным годам і высакосным|суткі
Розніца паміж продажным і пакупным коштам акцыі|маржа
Розніца паміж стаўкамі па прывабліваемых і якія прадстаўляюцца крэдытах|маржа
Разнавіднасць “пяра” (бандитск.)|фінка
Разнавіднасць абстракцыянізму (плямы, ляпы)|ташизм
Разнавіднасць дыямента, дробныя круглявыя прамяністыя агрэгаты|баллас
Разнавіднасць альбінізму|акромеланизм
Разнавіднасць армейскай зброі?|аўтамат
Разнавіднасць кірмаша, якая характарызуе стан расійскай эканомікі?|развал
Разнавіднасць бегу каня|галоп
Разнавіднасць камізэлькі|камізэлька
Разнавіднасць більярда|кайсу
Разнавіднасць більярдавага дуплета|круазе
Разнавіднасць куфля?|фужэр
Разнавіднасць бомбы ці снарада|фугас
Разнавіднасць штаноў|брыджы
Разнавіднасць штаноў|джынсы
Разнавіднасць вальса|бостан
Разнавіднасць віёлы|гамба
Разнавіднасць віста|казыры
Разнавіднасць вішні|антипка
Разнавіднасць вішні|бессея
Разнавіднасць вішні|шпанка
Разнавіднасць выкупу|калым
Разнавіднасць гармоніка, названая па імі легендарнага інш.-рус. спевака-казачніка|баян
Разнавіднасць гармоніка|акардэон
Разнавіднасць гонга, якая ўжываецца ў сімфанічным аркестры|тамтам
Разнавіднасць рухавіка|дызель
Разнавіднасць двухмоўя|адстрат
