Обстенная культура (ботанич.)|гарох
Акалічнасць, здольнае быць падставай для чаго-небудзь|нагода
Абмеркаванне дакладу|спрэчкі
Абмеркаванні, публічная спрэчка па якіх-небудзь пытаннях|спрэчкі
Абліпальныя парадныя формавыя штаны з ласінага замшу ў некаторых паліцах дорев. рускага войска|ласіны
Абліпальныя трыкатажныя жаночыя портачкі (совр.)|ласіны
Абутак для занятку спортам, якая ў нашы дні стала модная?|красоўкі
Абутак з аленевых шкур|кеньги
Абутак, мяккія туфлі|бабуши
Абутак на драўлянай падэшве|сабо
Абутак турыста|кеды
Абутак футбалістаў|буцы
Абутак, ичиги|боты
Абутак, футравыя боты|пимы
Абутак, якая спыняе цягнік|чаравік
Асмалены пры гарэнні кончык кнота|нагар
Клопат|цяжар
Абумоўленае супярэчнасцямі ў развіцці грамадства засмучэнне эканамічнага жыцця|крызіс
Навучанне і выхаванне сталых|андрагогика
Абыход для агляду; утоенае назіранне; карціна Н. Рериха|дазор
Абыход для агляду|дазор
Ашалёўка з тканіны|руш
Шырокі стэп на чарназёмных глебах у Паўночнай Амерыцы|прэрыя
Шырокая частка азіяцкай територии Расіі?|Сібір
Шырокае апавяданне ў вершах ці прозе пра выбітныя нацыянальна-гістарычныя падзеі|эпапея
Шырокі клас машын, якія ў Расіі цяпер не выкарыстоўваюць|станкі
Шырокі раён, які адпавядае некалькім абласцям ці краінам|рэгіён
Общ. дзяячка Аўстраліі|браун
Общ. назв. гатункаў крухмалу з каранёў маранта, куркумы|арроурут
Общ. характарыстыка метэаўмоў|надвор'е
Общ. назва горан. парод з вылучэннем крупн. крышталяў|парфір
Общ. назва для вышэйшага духавенства ў правосл. цэрквы|архірэй
Общ. назва габрэйскага Закона|галаха
Общ. назва краін Сірыі і Лівана|левант
Агульная карціна геологич. будынкі мясцовасці|архітэктоніка
Агульная карціна геалагічнага будынка|архітэктоніка
Агульная спешная праца|аўрал
Агульная сума|вынік
Агульная форма зямлі, абмежаваная паверхняй акіяна|геоид
Агульная частка дзвюх сумежных паверхняў|лінія
Агульная частка імя па бацьку ў арабскіх імёнах|ибн
Агульнае заражэнне арганізма|сэпсіс
Агульнае историч. назва Сірыі і Лівана, а таксама краін усяго вост. Міжземнамор'я (Грэцыя, Егіпет, Турцыя і інш.)|левант
Агульная колькасць асобнікаў выпусканага выраба|тыраж
Агульнае назв. нар. ангел. танцаў у 17–19 стст.|англез
Агульная назва арабскіх струнных смычковых музычных прылад|ребаб
Агульная назва бяспалубных парусно-вяслярных ці працоўных маторных судоў (баркасаў, ялаў і т. д.)|шлюпка
Агульная назва высокай пустазельнай травы|быльнік
Агульная назва высш. духавенствы ў праваслаўнай царкве|архірэй
Агульная назва для вышэйшага духавенства ў праваслаўі|архірэй
Агульная назва для любога сталага селішча|пункт
Агульная назва для назоўнікаў, прыметнікаў|імя
Агульная назва крывасмактальных казурак|гнюс
Агульная назва легкоупряжных парод канёў|рысак
Агульная назва шматлікіх сплаваў на аснове медзі?|бронза
Агульная назва некаторых муз. прылад|клавир
Агульная назва некаторых народаў Цэнтральнай і Паўднёвай Афрыкі|банту
Агульная назва некалькіх паляўнічых парод сабак|тэр'ер
Агульная назва одновалентных радыкалаў насычаных вуглевадародаў алифатического шэрагу|алкіл
Агульная назва асноўных прынцыпаў і ідэй рэлігійнага веравучэння, збор кіраваў якой-небудзь рэлігіі|закон
Агульная назва полупустынных плато ў Паўднёвай Афрыцы|карру
Агульная назва пароды ездавых, паляўнічых і вартаўнічых сабак|лайка
Агульная назва парашкоў, пры змешванні з вадой утваралых пластычную масу, якая цвярдзее затым да каменнага стану|цэмент
Агульная назва раслін з мяккім і тонкім сцяблом|трава
Агульная назва паўночнаамерыканскіх формаў дзікага паўночнага аленя|карибу
Агульная назва стэпавых плямёнаў, кочевавших ці што жылі асела за некалькі стагоддзяў да н. э. у паўночным Прычарнамор'і|скіфы
Агульная назва струнна-клавішных прылад|клавир
Агульная назва тых часцін мовы, якія супрацьпастаўляюцца дзеяслову?|імя
Агульная назва вуліц Нью-Ёрка, артаганальных стрыт|авеню
Агульная назва прылад і сродкаў для нападу і абароны|зброя
Агульная назва ўзгоркаў і гор з круглявай вяршыняй|сопка
Агульная назва цароў, каралёў, імператараў, султанаў, шахаў|манарх
Агульная назва часціц, якія ўваходзяць у склад атамнага ядра|нуклон
Агульная назва шырока распаўсюджаных двукрылых казурак|муха
Агульная назва японскіх страў, смажаных у масле|агемоно
Агульная назва, падыходнае і да палии і да кундже.|голец
Агульнае найменне розных выглядаў літоўскіх народных песень|дайна
Агульнае найменне св. манахаў, падзвіжнікаў, пустэльнікаў?|вялебны
Агульнае найменне цэнтр. устаноў папства ў Ватыкане?|курыя
Агульнае пазначэнне тлушчаў у японскай кухні|абура
Агульнае памяшканне для пасажыраў у транспартным сродку, напр., аўтамабілі, самалёце|салон
Агульнае прызнанне чыіх-або заслуг|слава
Агульная адлегласць, пройдзенае транспартным сродкам|прабег
Агульнае расстр-у функцый арганізма пры нервовым узрушэнні|шок
Агульнае слова для ВЧК, ТАСС і ДАІ|абрэвіятура
Агульны збор міжнароднай арганізацыі?|асамблея
Агульны збор рускіх ведзьмаў|шабас
Агульнае ў балярыны і цыгарэты|пачак
Агульнае ў гульцоў баскетбольнай каманды?|рост
Агульнае ў кракадзілаў і духоў?|амбра
Агульнае ў кашулі і студні|варот
Інтэрнат пры духоўных навучальных установах|бурса
Агульнавядомая, банальная праўда|труізм
Агульнавядомае прызнанне|поспех
Агульнапрызнаны вялікі дзеяч у якой-небудзь вобласці культуры (пісьменнік, навуковец, кампазітар, мастак), творчасць якога складае славу і гонар народа?|класік
Агульнапрызнаны ідэйны, палітычны кіраўнік|правадыр
Агульнапрынятае ўжыванне слоў і выразаў у супрацьлегласць окказиональному (абумоўленаму специфич. кантэкстам ці індывідуальным густам)|узус
Агульнапрынятыя, традыцыйныя правілы і становішчы якога-небудзь вучэння, царкоўныя дагматы і абрады і т. п.|канон
Грамадстваў. арганізацыя для заняткаў паветраным спортам|аэраклуб
Грамадская лазня ў старажытным Рыме|тэрма
Грамадская група людзей, недасягальная для іншых, якая адстойвае свае прывілеі і інтарэсы|каста
Грамадская значнасць|вага
Грамадская арганізацыя, што аб'ядноўвае групы людзей у мэтах зносін|клуб
Грамадская арганізацыя, якая ведае сродкамі, якія паступаюць да яе для якіх-небудзь мэт|фонд
Грамадская арганізацыя, што аб'ядноўвае людзей на аснове блізкасці інтарэсаў, падабенствы заняткаў|клуб
Грамадска-маральная добрая якасць|гонар
Грамадска-палітычная з'ява?|вайна
Грамадскі рух у Францыі ў сярэдзіне 17 стагоддзі|фронда
Грамадскі рух супраць панаванняў. ролі царквы|антыклерыкалізм
Грамадская ці прыватная ўстанова?|клуб
Грамадская казурка гарачых краін, якое жыве вялікімі асадамі|тэрміт
Грамадскае асяроддзе, асяроддзе, становішча|сфера
Грамадскае прызнанне|поспех
Грамадская ўстанова для самых маленькіх|яслі
Грамадскія лазні Старажытнага Рыма|тэрмы
Грамадскі дзеяч – бліскучы аратар і публіцыст|трыбун
Грамадскі дзеяч – выбітны аратар і публіцыст (агульнае)|трыбун
Грамадскі дзеяч Паўднёва-Афрыканскай рэспублікі. Нобелеўская прэмія Свету (1960)|лутули
Грамадскі дзеяч-бліскучы аратар і публіцыст|трыбун
Грамадскі выгнаннік|ізгой
Грамадства Рубинштейна|РМО
Грамадства рускіх скульптараў (1926–32 гг.) яго чальцамі былі В. І. Мухина, І. Д. Шадр, А. С. Голубкина|орс
Грамадства, прадпрыемства, капітал якога сабраны шляхам продажу акцый (адказ – прыметнік)|акцыянернае
Агульныя курчы?|канвульсіі
Агульны вынік|сума
Агульны план, структура, кампазіцыя худож. творы|архітэктоніка
Агульны ўклад жыцця|побыт
Агульная мова, які сфармаваўся з шэрагу роднасных дыялектаў|кайнэ
Абшчына манахаў?|манастыр
Абшчына на Русі|свет
