Вяршыня ў Азіі|Зердкух
Вегетатыўны сэкс|апыленне
Кіравальны харчовымі запасамі сям'і ў дваранскім побыце|ключнік
Вядзенне мяча ці шайбы адным гульцом|дрыблінг
Ведамасны прававы акт, які змяшчае прадпісанні падпарадкаваным органам|цыркуляр
Ведамства, дзе кіраваць павінна толькі Феміда|юстыцыя
Ведамства, якому заўзята служыў Леанід Бранявой разам з таткай Мюлерам|гестапа
Ведыйскія тэксты, прысвечаныя рытуалу, этымалогіі, граматыцы і астраноміі|веданга
Вэксалядавец|трасант
Стагоддзе|стагоддзе
Вектар, што паказвае кірунак і велічыню наискорейшего ўзрастанні некаторай функцыі|градыент
Вектар, які паказвае кірунак найболей хуткага змена скалярнага поля (физ., матем.)|градыент
Веларыкша|педикеб
Веламабіль для пяці і больш чалавек|велобус
Волат навыварат|ліліпут
Волат, волат, гігант|волат
Вялікая басаножка Айседора Дункан узяла і замяніла балетны ... хітонам|гарнітур
Вялікая спявачка, сястра Паліны Виардо|Малибран
Вялікае вучэнне, якое для ўсёй краіны прынесла пакута|ленінізм
Вялікабрытанія, сталіца Шатландыі (горад у Еўропе)|Эдынбург
Вялікабрытанія, вугальны цэнтр, сталіца Ўэльса (горад у Еўропе)|Кардифф
Вялікабрытанія, у Англіі (горад у Еўропе)|Блэкберн
Вялікабрытанія, у Англіі, кліматычны курорт на Ірландскім м. (горад у Еўропе)|Блэкпул
Вялікабрытанія, месца правядзення тэнісных турніраў (горад у Еўропе)|Уімблдон
Вялікабрытанія, порт (горад у Еўропе)|Ньюпорт
Вялікабрытанія, порт (горад у Еўропе)|Портсмут
Вялікадушны і высакародны чалавек, рамантык, не ахвотнік мірыцца з рэаліямі жыцця (па імі героя М. Сервантеса)|донкіхот
Пышны прадстаўнік хвалебнага сямейства Медычы|Лоренцо
Вялікі ангел. фізік, ужо з юнацкасці які пісаў шмат лістоў сваім сябрам і знаёмым, каб выпрацаваць ясны і лаканічны стыль|Фарадей
Вялікі рускі хімік-арганік|Бутлеров
Вялікі рускі спявак, артыст|Шаляпин
Вялікі рымскі аратар|Цыцэрон
Вялікі ўкраінскі паэт|Шаўчэнка
Вялікі венецыянскі авантурнік|Казанова
Вялікі дзеяч навукі, мастацтвы, літаратуры (агульная назва)|класік
Вялікі італьянскі скрыпач, майстар гульні на адной струне|Паганини
Вялікі італьянскі кампазітар, скрыпач па імі Николо|Паганини
Вялікі кіеўскі князь, вядомы сваёй адукаванасцю і шапкай|маномах
Вялікі кіеўскі князь|Ізяслаў
Вялікі князь Кіеўскі, сын Яраслава Мудрага|Усевалад
Вялікі князь кіеўскі|Яраслаў
Вялікі князь маскоўскі і ўладзімірскі|Данскі
Вялікі літаратар і філосаф-асветнік, што меў у ХVII ст. адну з лепшых у Францыі калекцыю жывых цюльпанаў|Вальтэр
Вялікі музыка, якому прысвяціў свой канцэрт для скрыпкі з аркестрам расійскі кампазітар Арам Хачатурян|Ойстрах
Найвялікая па воднасці рака свету|Амазонка
Найвялікі навуковец старажытнасці з Сіракуз, матэматык|Архімед
Велічыня чаго-небудзь у папярочніку|таўшчыня
Велічыня, зваротная перыяду ваганняў|чашчыня
Велічыня, якая характарызуе якая-небудзь уласцівасць прылады, сістэмы, з'явы|параметр
Велічыня, што характарызуе цеплавы стан сістэмы|энтрапія
Велічыня, якая характарызуе цеплавы стан цела ці сістэмы целаў|энтрапія
Велічыня, што выказвае лік паўтораў чаго-небудзь у адзінку часу|чашчыня
