Порт у Анголе|Лобиту
Порт у Бангладэш|Чална
Порт у Бельгіі|Брюгге
Порт у Беніне|Котону
Порт у Бразіліі|Белены
Порт у Бразіліі|Натал
Порт у Вялікабрытаніі|Глазга
Порт у Вялікабрытаніі|Дувр
Порт у Вялікабрытаніі|Суонси
Порт у Вялікабрытаніі|Халл
Порт у Венесуэле|Амуай
Порт у Даніі|Оденсе
Порт у Егіпце; горад на р. Ингулец; прыгарад Вашынгтона|Александрыя
Порт у Егіпце|Александрыя
Порт у Егіпце|Суэц
Порт у Ірландыі|Корк
Порт у Іспаніі, у Бискайском заліве (горад у Еўропе)|Авилес
Порт у Іспаніі|Віга
Порт у Італіі; заправа да ежы|Спецыя
Порт у Італіі|Анкона
Порт у Італіі|Спецыя
Порт у Лаосе|Паксе
Порт у Малайзіі|Пинанг
Порт у Марока|Сафи
Порт у Марока|Танжэр
Порт у М'янме на Андаманскім моры|Іі
Порт у Персідскім заліве|Дибай
Порт у Польшчы|Гдыня
Порт у Польшчы|Щецин
Порт у Партугаліі і акруга ў правінцыі Алгарви|Фару
Порт у Румыніі|Сулина
Порт у Румыніі|Тулча
Порт у Сальвадоры|Акахутла
Порт у Сауд. Аравіі|Даммам
Порт у Сауд. Аравіі|Джидда
Порт у Сауд. Аравіі|Янбо
Порт у Татарскім праліве|Ваніна
Порт у Турцыі|Измир
Порт у Фінляндыі|Кімі
Порт у Фінляндыі|Раума
Порт у Фінляндыі|Турцы
Порт у Швецыі|Истад
Порт у Швецыі|Мальме
Порт у Югаславіі|Опатия
Порт у Японіі|Кобе
Порт у Японіі|Сасебо
Порт у Японіі|Тиба
Порт у эстуорыі Тэмзы|Лондан
Порт у В'етнаме|Камфа
Порт у Францыі на Міжземным моры|Тулон
Порт у Францыі|Кале
Порт і адм. цэнтр о. Питкэрн (Голены.)|Адамстаун
Порт на Амазонцы|Икитос
Порт на Волзе|Цвер
Порт на Чырвоным моры, у старажытнасці Асана|Аден
Порт на Чорным моры|Батумі
Порт на беразе Охотского мардуючы|Ахоцк
Порт на захадзе Францыі|Нант
Порт на выспе Хансю|Аомори
Порт на рацэ Дон|Азоў
Порт на рацэ Ўругвай|Сальта
Порт на поўначы Францыі, куды вобцас несліся тры мушкецёра з д’Артаньянам|Кале
Порт на поўначы Чылі, адм. ц. вобл. Антофагаста (горад у Амерыцы)|Антофагаста
Порт на поўдні Турцыі, адміністрацыйны цэнтр иля Анталля (горад у Азіі)|Анталля
Порт, Алжыр (горад у Афрыцы)|Аннаба
Порт, Алжыр (горад у Афрыцы)|Арзев
Порт, Архангельская вобл. (горад)|Анега
Порт, Беліз (горад у Амерыцы)|Беліз
Порт, Бразілія (горад у Амерыцы)|Белены
Порт, Егіпет (горад у Афрыцы)|Суэц
Порт, Заір (горад у Афрыцы)|Матади
Порт, Зап. Цукры (сталіца, цэнтр)|Дахла
Порт, Іярданія, на беразе Чырвонага м. (горад у Азіі)|Акаба
Порт, Кот-д Івуар (горад у Афрыцы)|Абіджан
Порт, Краснадарскі край (горад)|Ейск
Порт, Краснадарскі край (горад)|Темрюк
Порт, Краснадарскі край (горад)|Туапсэ
Порт, Марока (горад у Афрыцы)|Агадир
Порт, Марока (горад у Афрыцы)|Сеута
Порт, Марока (горад у Афрыцы)|Танжэр
Порт, Мазамбік, адм. ц. пров. Софала (горад у Афрыцы)|Бейра
Порт, Нідэрланды, адм. ц. пров. Гелдерланд (горад у Еўропе)|Арнем
Порт, Чукотка (горад)|Певек
Порт, Экватарыяльная Гвінея, адм. ц. тэрыторыі Рыа-Муни – мацерыковай часткі краіны (горад у Афрыцы)|Бата
Порт, ПАР (горад у Афрыцы)|Дурбан
Порт, Японія, на о. Кюсю (горад у Азіі)|Беппу
Порт, Японія, на о. Хансю, прыгарад Кобе (горад у Азіі)|Акасі
Порт, сяўба.-вос. Бразіліі, адм. ц. шт. Сержипи (горад у Амерыцы)|Аракажу
Порт, сталіца Зап. Самоа, на о. Уполу (горад)|Апиа
Порт|гавань
Партатыўная хованка ад дажджу, сонцы|парасон
Партатыўная геадэзічная прылада|экер
Партатыўны грамафон з рупарам усярэдзіне?|патэфон
Партатыўны кампутар?|лэптоп
Партатыўны кампутар?|наўтбук
Кравецкі тэрмін, выгляд фальбоны|рюшка
Партовае збудаванне для прычальвання судоў з двух бакоў|пірс
