Сталіца дзяржавы блізкага замежжа|Кішынёў
Сталіца дзяржавы ў Азіі|Ташкент
Сталіца старажытнай Арменіі|Арташат
Сталіца і рэлігійны цэнтр древнеармянского дзяржавы Арменія Вялікая ў 4–2 стст. да н. э. (горад)|Армавир
Сталіца правінцыі Алава ў Краіне Баскоў|Витория
Сталіца штата С. Дакота|Бісмарк
Сталіца штата Небраска|Лінкольн
Сталіца штата Нью-Джэрсі|Трентон
Сталіца штата Коннектикут|Хартфорд
Сталіца штата Агаё|Колумбус
Сталіца штата Теннесси|Нашвилл
Сталіца штата Вашынгтон|Алімпія
Сталіца штата Віргінія|Рычманд
Сталіца штата Джаму і Кашмір|Сринагар
Сталіца штата Місісіпі|Джэксан
Сталіца штата Мічыган|Лангсинг
Сталіца штата Мэрыленд|Аннаполис
Сталіца поўдня Італіі і радзіма Піцы|Неапаль
Сталіца паўднёва-амерыканскай дзяржавы|Каракас
Сталіца паўднёва-амерыканскай дзяржавы|Сант'яга
Сутыкненне ў бою, барацьбе|сутычка
Сутыкненне якіх-небудзь процілеглых сіл, інтарэсаў|калізія
Сутыкненне процілеглых сіл, з'яў, інтарэсаў|калізія
Сутыкненне процілеглых поглядаў|калізія
Сутыкненне, спатканне|сустрэча
Сталярная і цяслярная прылада|стамеска
Сталярная прылада для габлёўкі жалабкоў|галтэль
Сталярная прылада|рейсмас
Сталярная прылада|гэбель
Сталярная прылада|стамеска
Сталярная прылада|фуганак
Ступня ў антычным вершаскладанні|антиспаст
Ступня ў метрычным вершаскладанні|спандэй
Чарка паперы|стос
Стаянка стэпавых пастухоў|вандроўка
Стаялая тычка для сцяга|флагшток
Гарачая просьба|маленне
Гарачыня і ўсхваляванасць у гаворкі|патэтыка
Гарачы, усхваляваны, выкананы пафасу тон|патэтыка
Пакутуючая ўмілаваная ў фільме “Восеньскі марафон” па расійскім пашпарце|Неелова
Страдная пара|сенажаць
Краіна з найвысокім у Еўропе вадаспадам – Бельбе|Нарвегія
Краіна, у якой усе коткі – сіямскія|Тайланд
Краіна, у якой вынайшлі канцылярскую сашчэпку|Нарвегія
Краіна, у якой пабываў у складзе французскага пасольства Делакруа, вынікам чаго сталі дзясяткі яго карцін-шэдэўраў|Марока
Краіна, дзе вельмі кахаюць чардаш|Вугоршчына
Краіна, дзе на грошы тарэадораў адкрылі помнік стваральніку пеніцыліну|Іспанія
Краіна, якую маляваў Іван Айвазоўскі падчас свайго вандравання па Каўказе|Арменія
Краіна, якую наведаў бацька гісторыі Герадот падчас свайго працяглага вандравання па Ўсходзе|Фінікія
Краіна, пазбаўленая самастойнасці, змешчаная пад уладай замежнай дзяржавы|асада
Краіна, наход. пад уладай іншай дзяржавы|асада
Краіна-ліліпут, у якой ніхто ніколі не народзіцца|Ватыкан
Вандроўны багамолец|паломнік
Вандроўны спявак з сярэднявечнай Францыі|жанглёр
Вандроўны спявак, акцёр, музыка, акрабат у сярэднявечнай Нямеччыне|шпильман
Дзіўная, дзіўная рэч, рэдкасць|дзіва
Вандроўца, валацуга|рэйнджар
Вандроўца|валацуга
Дзіўнае капрыз|дзівацтва
Дзіўны чалавек, дзівак|арыгінал
Страшылка для сталых|ужастик
Страшная казка А. Н. Талстога|вядзьмак
Страшная хвароба, якая паражае ўчасткі цела|свавольства
Страшная міфічная істота|пачвара
Страшны сон дысідэнта ў СССР|Лубянка
Стрэляная птушачка, якую на мякіне не падманеш|верабей
Страляльны прама ў яблычак|снайпер
Імкненне выканаць працу добра, добрасумленна|старанне
Імкненне да удовлетв. якога-небудзь запатрабавання|цяга
Імкненне да дасягнення яснай і вызначанай мэты|мэтанакіраванасць
Імкненне да новага, пошукі новых шляхоў|шуканне
Імкненне асобы сысці ад рэчаіснасці ў свет ілюзій|эскапизм
Быстрыня ракі ў рускім фальклоры|стрыжань
Будынак у садзе, парку|альтанка
Будынак драўніны, горнай пароды|тэкстура
Будынак цвёрдага рэчыва, горных парод, древисины|тэкстура
Будынак, малюнак паверхні|тэкстура
Строгае выкліканне, пакаранне|дыхт
Строгая вымова|дыхт
Строгі паслядоўнік вызначанага вучэння, кірункі|артадокс
Будуе. працоўны|бетоншчык
Будаўнік паветраных замкаў|фантазёр
Будаўнічая адмысловасць|цясляр
Будаўнічы штучны матэрыял|ксилолит
Будаўнічы матэрыял, разнавіднасць лёгкага бетону|арбаліт
Будаўнічы матэрыял, сумесь бітуму з якім-небудзь напаўняльнікам|асфальт
Лад у шэраг|лінейка
Лад вайскоўцаў|калона
Лад пяхоты ў старажытных грэкаў|фаланга
Лад, у якім вайскоўцы змесцаваны адзін поруч іншага на адной лініі|шэраг
Стройным, вытанчаным, летуценным, дакладным, з філасофскім розумам будзе той, хто народзіцца пад знакам гэтага дрэва ў канцы студзеня ці ліпеня|кіпарыс
Страфа з 3 вершаў|тэрцына
Струменевы апарат для адсмоктвання газаў ці вадкасцяў|эжэктар
Струменевая помпа ў сістэме апалу для змешвання гарачай вады з цепласеткі з вадой, якая вяртаецца з сістэмы|элеватар
Струменевая помпа для нагнятання газу ці вадкасці ў рэзервуары|інжэктар
Структура падпарадкаванасці ў арганізацыі, становішча чыноў і пасад у парадку падпарадкаванасці па службе|іерархія
Структурны складнік сталі, карбід жалеза|цэментыт
Структурнае падраздзяленне Вну, што ўключае выкладчыцкі і навуковы склад па адной ці шэрагу сумежных дысцыплін|кафедра
Струн. смычков. муз. прылада ў Южн. Сібіры|игиль
Струнны смычковый музычная прылада|скрыпка
Струнная ўдарна-клавішная прылада|піяніна
Стрыжаная і фарбаваная футравая овчина ў карычневы і інш. колеру для пашыву шапак, паліто і т. д.|цигейка
Стрыжаны мех авечкі|цигейка
Студэнт-медык, назіралы хворага ў клініцы|куратар
Студэнцкая латарэя|іспыт
Студнеобразующее рэчыва|жэлацін
Крэсла без спінкі|зэдлік
Ступеністае збудаванне, які рэгулюе рух вады ў вадасцёку з вялікім ухілам дна|перапад
Прыступка развіцця чалавецтва|фармацыя
Прыступка для ўваходу ў вагон, аўтамабіль|падножка
Створка для прычынення акна|аканіца
Змоўкла Ясеніна|кантата
Верш Ясеніна|Пушкіну
Верш Ясеніна|сіротка
Верш Лермантава|жаданне
Верш Лермантава|Напалеон
Змоўк Лермантава|расстанне
Верш Лермантава|русалка
Верш Лермантава|сіротка
Верш Лермантава|суседка
Верш Лермантава|трыснёг
Змоўк Лермантава|цевница
Верш Маякоўскага|Версаль
Змоўк Маякоўскага|Нямеччына
Верш Маякоўскага|ленінцы
Верш Маякоўскага|лиличка
Верш Маякоўскага|Мексіка
Верш Маякоўскага|надакучыла
Верш Маякоўскага|Плюшкін
Змоўк Маякоўскага|Пампадур
Змоўк Маякоўскага|развітанне
Верш Маякоўскага|селькар
Змоўк Маякоўскага|прыслужніца
Верш Маякоўскага|пляткар
Змоўк Маякоўскага|тропікі
Верш Маякоўскага|хуліган
Змоўк Пушкіна|мястэчка
Змоўкла Пушкіна|грачанцы
Верш Пушкіна|мадона
Верш Пушкіна|помнік
Змоўк Пушкіна|прыяцелю
Верш Пушкіна|развітанне
Верш Пушкіна|шавец
Змоўк Пушкіна|талісман
Змоўк у прозе Тургенева|вёска
Верш у прозе Тургенева|малітва
Верш у прозе Тургенева|старая
Верш у прозе Тургенева|Хрыстос
Змоўк, у якім усе словы пачынаюцца з адной літары|таўраграма
Верш, прысвечаны памерламу|эпітафія
Верш. А. Ахматавай|песенька
Верш. А. Ахматавай|чытач
Змоўк. А. Блока (пераклад з Плудониса)|рэквіем
Змоўк. А. Блока|двайнік
Змоўк. А. Блока|сябрам
Верш. А. Блока|Сольвейг
Верш. С. Ясеніна|голубень
Верш. С. Ясеніна|дзявочнік
Змоўк. С. Ясеніна|малацьба
Верш. С. Ясеніна|памінкі
Верш. С. Ясеніна|сіротка
Верш. С. Ясеніна|таварыш
Змоўк. Н. Огарева|арыштант
Змоўк. Багрицкого|птушкалоў
Змоўк. В. Маякоўскага|падлізнік
Верш. М. Светлова|гулянка
Верш. М. Лермантава|споведзь
Верш. М. Лермантава|пальчатка
Верш. М. Лермантава|развітанне
Верш А. Барта|конік
Верш С. Ясеніна|лябёдка
Верш Ясеніна|Бельгія
Верш В. В. Маякоўскага|шыльдам
Верш Валера Брюсова|паляўнічаму
Верш Лермантава|Валерик
Верш Лорки|мементо
Верш М. Лермантава|булевар
Верш М. Лермантава|бачанне
Верш Маякоўскага|Брадвей
Верш Пушкіна|ваўкалак
Верш у прозе І. Тургенева|гутарка
Верш з 8 радкоў з дзвюма рыфмамі|трыялет
Верш любоўна-лірычнага ўтрымання|мадрыгал
Верш, у якім пачатковыя літары радкоў складаюць якое-небудзь слова ці фразу|акраверш
Вершаваная казка К. Чуковского|Бармалей
Вершаваны ці музычны твор апавядальнага характару|балада
Вершаваны памер|дактыль
Вершаваны метр|дактыль
Вершы з індывідуальнай мелодыяй|верлібр
Стылявы кірунак у мастацтве Еўропы і Амерыкі канца 16 – сярэдзіны 18 стагоддзі|барока
Стылістыч. постаць, супастаўленне выдатных па сэнсе слоў|антытэза
Стылістычная постаць, агульны выпадак рыфмы: паўтор канчатковых частак (гукаў, слоў, граматычных формаў) сумежных адрэзкаў гаворкі|эпифора
Стылістычна правільная няправільнасць|анакалуф
Стыль у евр. мастацтве 17–18 стст.|барока
Стыль исп. гітарнай музыкі|фламенко
Стыль плавання|сажонкі
Стымул акультурвання для жанчыны|мужчына
Стык двускатнага даху ў драўляным дойлідстве|охлупень
Стыкуе вагоны|счэпшчык
Сцягнутая вяроўкай бярэмя галля, саломы|вязанка
