Калінінградская вобл. (горад)|Светлы
Камера для гадоўлі раслін|фітатрон
Камергер Кацярыны II|Чертков
Камердынер і сакратар Пятра I|Ганібал
Каменная маса, якая звалілася на Зямлю|аэраліт
Каменник, трава сямейства крыжакветных|бурачок
Каменныя метэарыты, што змяшчаюць хондры – сферич. часціцы памерам ад мікраскапічных да гарошыны|хондриты
Каменны вугаль вышэйшай якасці|антрацыт
Камень Данілы-майстры|малахіт
Камбоджа (Кампучыя) (сталіца, цэнтр)|Пномпень
Канаверал да 1973 г.|Кэнэдзі
Канаўка на паверхні глебы, праведзеная плугам|разора
Канаўка на глебе, праведзеная плугам|разора
Канаўка, якая ўтвараецца плугам|разора
Канаўка, што ўтвараецца пры ворыве плугам|разора
Канада (горад у Амерыцы)|Картрайт
Канада (горад у Амерыцы)|Китимат
Канада (горад у Амерыцы)|Шербрук
Канада, порт (горад у Амерыцы)|Ванкувер
Канада, порт (горад у Амерыцы)|Галифакс
Канада, правінцыя|Антарыа
Канадскі горад, у якім знаходзілася зала хакейнай славы|Таронта
Канал для перадачы ЗВЧ энергіі|хвалявод
Канал жаночых палавых органаў, маткавая труба|яйцавод
Канал ці латок у арашальнай сістэме|вадавод
Канал, які злучае плён з плацэнтай|пупавіна
Ліна для тармажэння, сбрасываемый з аэрастата пры пуску|гайдроп
Ліна пад дном патанулага судна пры яго ўздыме|грунтоў
Ліна, трос, якім марское судна мацуецца да прычала|швартов
Ліна, якім прывязваецца марское судна|швартов
Кандыдат на пост еўнуха|пакладанец
Вакацыі (устар.)|вакацыя
Канительный музычная прылада|дуда
Валаводнік, чалавек, які дзейнічае бесталкова і марудліва|капун
Канцылярская трымалка|сашчэпка
Канцылярская прыналежнасць|аўтаручка
Канцылярская прыналежнасць|клей
Канцылярская прыналежнасць|сашчэпка
Канцылярская прыналежнасць|сшытак
Канцыляршчына, бюракратызм|цяганіна
Канцлер ФРГ у 1949–63 гг.|Адэнаўар
Капельмайстар па сваёй сутнасці|дырыжор
Капоретто. Месца, дзе адбылася бітва ў 1917, Нямеччына, Аўстрыя–Італія|Кабарид
Капрыз з дзівацтвамі|дзівацтва
Капусны працэс, пры якім утворыцца малочная кіслата|квашанне
Капітальны рамонт зубоў|санацыя
Капітан зборнай СССР па хакеі|Міхайлаў
Капітан у кавалерыі|ротмістр
Капітан-камандор, памагаты Беринга ў Камчацкіх экспедыцыях|Чириков
Капітану Гастингсу такі аўтамабіль спадабаўся б|понтиак
Катастрофа падчас народнага гуляння ў дні каранавання Мікалая II|хадынка
Катанне на дошцы, слізгальнай па схіле хвалі|серфінг
Катэгорыя ваеннаабавязаных запасу 2-й чэргі ў Прусіі, Нямеччыны, Аўстра-Вугоршчыны|ландвер
Каталіцкія натхніцелі бальшавікоў|езуіты
Шпулька для намотвання нітак у швейных і ткацкіх машынах|шпулька
Шпулька, якая валодае малым супрацівам для сталага току і высокім для зменнага (з-за сваёй індуктыўнасці)|дросель
Кафляная плітка з румпой для мацавання ў муры|кафля
Якасць апрацоўванага матэрыялу, яго паверхні|фактура
Якасць прафесіянала|майстэрства
Якасць чалавека|удаласць
Якасць чалавека|абаянне
