Палярная лісіца|пясец
Палярная марская нырковая качка з каштоўным мехам|гага
Палярная птушка, якая здзяйсняе самыя далёкія міграцыі – з Арктыкі ў Антарктыду|крачка
Палярная птушка|конюга
Палярная птушка|сайка
Палярная станцыя СССР на Беразе Нокса, у Антарктыдзе|аазіс
Палярная станцыя ў Антарктыдзе, Аўстралія|дайвис
Палярная станцыя ў Антарктыдзе, Аўстралія|дейвис
Палярная станцыя ў Антарктыдзе, Аўстралія|кейси
Палярная станцыя ў Антарктыдзе, Аўстралія|Моусон
Палярная станцыя ў Антарктыдзе, Вялікабрытанія|халли
Палярная станцыя ў Антарктыдзе, Н. Зеландыя|Скот
Палярная станцыя ў Антарктыдзе, Расія|усход
Палярная станцыя ў Антарктыдзе, Расія|мірны
Палярная станцыя ў Антарктыдзе, ПАР|санаэ
Палярная станцыя, Аўстралія, да 1969 г.|уилкс
Палярная станцыя, Амундсен-Скот, ЗША|канцавоссе
Палярная станцыя, ЗША|бёрдаў
Палярны авітаміноз|цынга
Палярны лётчык. Удзельнік выратавання экспедыцыі У. Нобілю (1928) і паветранай экспедыцыі на Паўночнае канцавоссе|Аляксееў
Памада для захавання формы вусоў, бароды|фабра
Памяло|венік
Маёнтак у Англіі|манор
Маёнтак, зямельнае валоданне|маёнтак
Маёнтак|маёнтак
Мешанка : зайцаў беляка і русака; ваўка і сабакі|кухталь
Мешанка : зайцаў беляка і русака|кухталь
Мешанка жмінды са снобам|жлоб
Мешанка каня і асла|лашак
Мешанка льва і тыгрыцы|лигер
Мешанка асла і жарабіцы, мул, лашак|меск
Мешанка сабакі з яшчаркай|такса
Мешанка собаля і куніцы|кидус
Мешанка цецерука з глушыцай|межняк
Мешанка тыгра і львіцы|тигеон
Мешанка, вынік скрыжавання|гібрыд
Прыплод скаціны|шевяк
Прыплод, які ўжываецца як угнаенне|гной
Пазнака, малюнак, прадмет, якімі адзначаецца, пазначаецца што-небудзь|знак
Пазнака, што паказвае час (год, месяц, лік) напісанні чаго-небудзь|дата
Памяшканне ў хаце, якое служыць каморы і гаўпвахтай для гарэз|камора
Памяшканне ў будынку ніжэй узроўня зямлі|склеп
Памяшканне ў кватэры|туалет
Памяшканне ў кінатэатры, дзе можна купіць марозіва|фае
Памяшканне ў скале|пячора
Памяшканне ў тэатры|фае
Памяшканне ва ўстанове, месца, адмыслова адведзенае для якіх-небудзь заняткаў, для асветных мэт|куток
Памяшканне ў школе|клас
Памяшканне для анатамавання трупаў (састарэлае)?|тэатр
Памяшканне для вядзення тэлеперадач, фота- і кіназдымак, гукапісы|студыя
Памяшканне для часавага адзінкавага зняволення твараў, якія правініліся ў чым-небудзь|карцар
Памяшканне для выстаў, дэманстрацыі тавараў, а таксама крама, дзе прадаюцца мастацка вырабленыя тавары, ці атэлье, дзе праца выконваецца мастацка|салон
Памяшканне для гледачоў перад залай|фае
