Футравыя панчохі поўсцю ўнутр|липты
Меч з вузкім доўгім лязом|кончар
Меч, атрыбут каранавання польскіх каралёў|щербец
Кідае ікру, сарган, мінога|рыба
Мячэць|мимбар
Мара Матроскина|карова
Мара жыхароў хат без ліфтаў?|эскалатар
Мара праведніка|рай
Мара халасцяка, які сядзіць на сухамятцы|суп
Мара, прывідныя бачанні|мроі
Меч з вузкім лязом для паразы скрозь кальчугу|кончар
Што замінаюць гукі?|шум
Мяшок у сярэдняй частцы невада, куды трапляе злоўленая рыба|куль
Мяшок для прадуктаў, скрутак|пакет
Мяшок з суцэльнай шкуры (звычайна казінай) для захоўвання і перавозкі вадкасцяў на Ўсходзе|бурдзюк
Мяшок з суцэльнай шкуры жывёлы для захоўвання віна, кумысу|бурдзюк
Мяшок са шкуры для захоўвання вадкасці|бурдзюк
Мяшок з 40 сабалінымі скуркамі на Русі|сорак
Мяшок, з якога конь есць авёс|торба
Мяшок, набіты пянькой і свешиваемый за борт для змякчэння ўдараў судна пры падыходзе да прыстані|кранец
Мяшок, набіты сенам і службовец матрацам|цюхцяй
Мяшок, які аддае перавагу боўтацца за плячамі|заплечнік
Мяшок, торба са шнурком|кіца
Мяшок, "сума"|торба
Мяшок, тарбіна|торба
Мяшэчак для грошай (устар.)|мошна
Мяшэчак для махоркі|капшук
Мяшэчак для захоўвання грошай|мошна
Мяшэчак з аўсом ці з сухарамі, прыналежнасць сядла|саква
Мяшэчак з рэзкімі затаўкамі, тэрмін французскай кухні|нуэ
Містар ... (верш С. Маршака)|Твистер
Містычная плынь у пратэстанцтве|пиетизм
Сусветная літаратура абмежавана тварэннямі двух вялікіх сляпых. Адзін з іх, Гамер, стаяў у яе зыбкі. Другі – у смяротнага ложа, як лічаць шматлікія літаратуразнаўцы. Назавіце другога|Борхес
Светаўспрыманне, прасякнутае жыццерадаснасцю|аптымізм
Светапогляд, заснаванае на людскасці адносін паміж людзьмі|гуманізм
Міралюбная вегетарыянка, чалавекападобная малпа|гарыла
Мірнае, шчаслівае існаванне|ідылія
Мізантроп (антонім)|альтруіст
Мізар (састарэлае)|уверт
Мікраскапічных памераў чарвякі, шкоднікі|нематоды
Мікрараён у Маскве|Строгино
Микрогосударство ў Еўропе|Ватыкан
Микропористое цела, ужываюць у тэхніку як адсарбент, носьбіт каталізатараў|алюмагель
Мікрачасціна, утвораная з атамаў|малекула
Мікі-Маўс|мышаня
Миклухо|Маклай
Мікра-“Форд”|КА
Микровампир?|камар
Микролитражная машына без кузава для гонак|карт
Мікраарганізм, няздольны сінтэзаваць неабходнае для яго росту рэчыва|аўксатроф
Микроскопное шкло|лінза
Мікраэлемент у фасолі|цынк
Мікраэлемент, неабходны для развіцця раслін|цынк
Міланская (італьянская) дынастыя|Сфорца
Мілітарысцкі бог старажытных грэкаў|Арес
Міліцэйскае расследаванне, пазбаўленае рэальных шанцаў на завяршэнне|глушэц
Міліцэйскі спортклуб|дынама
Мільён грам|тона
Мільён на крымінальным жаргоне|цытрына
Мільён па старажытнарускім рахунку|леодр
Міласціна, ахвяраванне, абавязак кожнага мусульманіна|садака
Мілы сімпатычны чалавек|лапачка
Мілы, сімпатычны чалавек|мілка
Мімічны рух твару, якое паказвае размяшчэнне да смеху|усмешка
Мінерал – утрымоўвалая серу разнавіднасць садаліту|гакманит
Мінерал з групы жалезіста-глиноземистых гранатаў|альмандзін
Мінерал з групы палявых шпатаў|амазонит
Мінерал чырвонага колеру, сыравіна для атрымання ртуці, а таксама фарба з гэтага мінерала|цынобра
Мінерал класа сульфатаў|кизерит
Мінерал класа сульфідаў, алавяны калчадан|станнин
Мінерал класа карбанатаў ярка-зялёнага колеру з адценнямі|малахіт
Мінерал класа карбанатаў|витерит
Мінерал класа карбанатаў|магнезіт
Мінерал класа фасфатаў, крыніца рэдказямельных элементаў|манацыт
Мінерал падкласа складаных аксідаў|лопарит
Мінерал падкласа слоистых силикатов|каалініт
Мінерал энстатит з бронзавым адлівам, ювелірны камень|бранзіт
Мінерал ярка-зялёнага колеру, каштоўны вырабны камень|малахіт
Мінерал, агат|халцэдон
Мінерал, алюмасілікат літыя, вырабны камень|петалит
Мінерал, алюмасілікат натрыю і кальцыя з групы цэалітаў|томсонит
Мінерал, алюмасілікат натрыю, вырабны матэрыял|садаліт
Мінерал, што змяшчае кальцый і магнезію|даломіць
Мінерал, сульфід жалеза, использ. для изготовл. упрыгожванняў|пирит
Мінерал, силикат барыю і тытана, ограночный камень|бенитоит
