Жанчына з нічога можа зрабіць тры рэчы: салатик, капялюшык і ...|трагедыю
Жанчыну, якая сапраўды ведае дзе цяпер яе муж, завуць ...|удава
разг. Круглы лыч у жывёлы, звера (звычайна ў свінні)|пятачок
Вобласць у ферамагнітным крышталі, у якой існуе самаадвольная намагнічанасць пры тэмпературы ніжэй тэмпературы Кюры|дамен
устар. Найпростая металургічная печ; кавальскі горан|горан
перен. Тое, што з'яўляецца цэнтрам цяжкасцяў, выпрабаванняў і т. п., патрабавальных цвёрдасці, мужнасці і т. п.|горан
(ад ангел. “зорачка”) Якая падае надзеі маладая акторка, узыходная кіназорка|старлетка
Маладая, згаладалая поспеху і грошай акторка, гатовая на ўсё, каб прыцягнуць увагу масцітых рэжысёраў ці прадзюсараў, якая калі і становіцца вядомай, то, у першую чаргу, дзякуючы сваёй сэксуальнай знешнасці, а не таленту|старлетка
перен. Нешта процілеглае чаму-небудзь іншаму|канцавоссе
Нацыянальны парк у ЗША, шт. Фларыда. Заснаваны ў 1947. Плошадь 566,8 тыс. га. Субтрапічныя лясы, балоты, мангры. Вадаплаўныя птушкі, ламанцін, алігатар, пума і інш.|Эверглейдс
Працяглая, устойлівая адмова ад ежы; страта апетыту|анарэксія
устар. Твар, на якое завяшчальнік ускладаў выкананне сваёй волі па завяшчанні|душапрыказчык
Прынята лічыць, што гэты японскі тэрмін мае нейкі адмысловы сэнс, але насамрэч у Японіі так завуць любога выкладчыка, нават калі ён тлумачыць, як трэба стаяць за стойкай бара, ці выкладае асновы ангельскай мовы. Гэты тэрмін ставіцца і да выхавальніка дзіцячага саду, і да футбольнага трэнера вашага дзіцяці|сэнсэй
Нітка для чысткі межзубных прамежкаў|флосс
Любая вада ўяўляе сабою сумесь 18 розных злучэнняў, і 17 з іх – разнавіднасці чаго? (Барыс Сяргеяў “Займальная фізіялогія”)|цяжкай вады
Калі вы патрывалі караблекрушэнне і знаходзіцеся сярод у абшарах окена, піць ваду з яго нельга – яна салёная. Аднак прэсную ваду можна выціснуць з ... (Барыс Сяргеяў “Займальная фізіялогія”)|рыб
Вы, вядома, ведаеце выраз “Крокодиловы слёзы”. А чаму кракадзілы “плачуць”? Так арганізм кракадзіла вызваляецца ад лішку ... , паступілых з вадой і ежай (Барыс Сяргеяў “Займальная фізіялогія”)|соляў
