Прымат, род мандрылаў, мартышкообразное|дрил
Прымат, сабакагаловая малпа|павіян
Прымат, цепкохвостая малпа|сакі
Ўжыванне артылерыі перад наступам войскаў|артпадрыхтоўка
Ўжыванне гвалту аж да фізічнага уничножения|тэрор
Ужыванне пчелин. яду з лечебн. мэтай|апитерапия
Ўжывальныя даўней абарончыя збудаванні ў крэпасцях?|веркі
Ўжывальная ў некаторых краінах адзінка электрычнай праводнасці|мо
Ўжывальны ў навігацыі прыбор для вызначэння курсавога кута прадмета|пеленгатор
Ужывальны для феерверкаў і сігналізацыі снарад|ракета
Прыклад для ўсеагульнага пераймання?|узор
Прыціх для пераймання|ідэал
Прыкладна адпавядае брумеру|лістапад
Прыкладна трэцяя частка батальёна|рота
Прымесны атам у крышталічнай рашотцы паўправадніка|акцэптар
Прымесны атам, захапляльны электрон, утворыць дзіркі ў п/п|акцэптар
Прымета Землі, залітая агнямі|горад
Прымета, па якой ужо здалёку пазнаеш амялушка|чупрына
Пагадненне ўсіх у Адным|бог
Прымітыўная прылада для малацьбы збажыны з доўгай (да 2 м) драўлянай ручкі і кароткага (да 0,8 м) біла, злучаных рамянём|цеп
Прымітыўны плаўсродак|плыт
Прымітыўная сельскагаспадарчая прылада для ўзворвання зямлі|саха
Прымітыўная сельскагаспадарчая прылада для малацьбы збожжавых культур|цеп
Прымітыўнасць, грубіянства, пошласць?|вульгарнасць
Прымітыўны дзяўбаны вулей|борць
Прымітыўная крыніца асвятлення|свечка
Прымітыўная свяцільня|паходня
Прыморская пустэча ў Заходняй Еўропе|ланды
Прыморскі вецер|брыз
Прыморскі горад на поўначы Вялікабрытаніі|Бакі
Прыморскі горад на поўначы Калумбіі|Урибия
Прыморскі курорт у ЗША|Маямі
Прылеглая да спальні пакой|будуар
Прылеглая адным канцом да берага насып з камянёў, бетонных блокаў і т. п. збудаванне для абароны акваторыі порта ад хваль|маўляў
Прылеглае адным канцом да берага загараджальнае збудаванне для абароны партовай акваторыі ад марскіх хваль|маўляў
Прыналежнасць першакласніка?|пенал
Прыладдзе для запрэжкі каня|збруя
Прыладдзе для збруі|збруя
Прыладдзе, прадметы ўжытку|начынне
Прыналежнасць аўтааматара; юж. сузор'е|помпа
Прыналежнасць аўтааматара|помпа
Прыналежнасць акцёра|грым
Прыналежнасць у настольных гульнях|фішка
Прыналежнасць у фатаграфіі|кювета
Прыналежнасць ваеннай формы, плеценыя з каляровых нітак наплечные шнуры на мундзіры (адказ у мн. ч.)|аксельбанты
Прыналежнасць для верхавой язды|стэк
Прыналежнасць для гульні ў бадмінтон|валан
Прыналежнасць для гульні ў биллиард|кій
Прыналежнасць для гульні на більярдзе|кій
Прыналежнасць для гульні на некаторых музычных прыладах|смычок
Прыналежнасць для швіва|нітка
Прыналежнасць для швіва|ніткі
Прыналежнасць жаночай адзежы для сагравання рук|муфта
Прыналежнасць жаночай адзежы|турнюр
Прыналежнасць зімовай жаночай адзежы|муфта
Прыналежнасць кожнай кватэры|замак
Прыналежнасць коннай запрэжкі|дуга
Прыналежнасць гамарні|горан
Прыналежнасць твару да дзяржавы?|падданства
Прыналежнасць убору манаха вялікай схімы|аналав
Прыналежнасць аб'ектыва, прызначаная для абароны ад траплення бакавых прамянёў святла|бленда
Прыналежнасць пастуха; рыба|пуга
Прыналежнасць пастуха|пуга
Прыналежнасць старадаўніх даспехаў|шчыт
Прыналежнасць сталовага прыбора|відэлец
Прыналежнасць тарэадора|мулета
Прыналежнасць футбольнага поля|вароты
Прыналежнасць школьнага пенала?|гумка
Прыналежнасць, дапаможная дэталь|аксэсуар
Прынародная магчымасць бэсціць аднаго, маючы на ўвазе іншага?|крытыка
Прымусовы адплатны вынятак маёмасці ва ўласнасць дзяржавы?|рэквізіцыя
Прымусовае дастаўленне ў органы дазнання ці суд не які з'явіўся па выкліку твару|прывад
Прымусовае затрыманне, пазбаўленне волі|арышт
Прымусовае адчужэнне, вынятак?|экспрапрыяцыя
Прымусовыя “госцевыя вячоркі”|палон
Прымусовы асартымент да ружы|шыпы
Прымусовы гарадскі раён?|гета
Прымусовы натуральны ці грашовы збор з прыгонных сялян, які спаганяўся абшарнікам ці дзяржавай|чынш
Прымус з дапамогай палітычнага і эканамічнага ціску, воен. пагроз|дыктат
Прынц, маршал, камандуючы японскім войскам у руска-японскай вайне|Ояма
Прынц, прынцэса ў Іспаніі і Партугаліі|інфант
Прынцэса Дыяна|Дзі
Прынцэса з балета П. Чайковского “Спячая прыгажуня”|Аўрора
Прынцэса, дачка Лізаветы II, чэмпіёнка Еўропы па конным спорце|Ганна
Прынцып аднагалоснасці сталых чальцоў Рады Бяспекі пры ААН?|вета
Прынцып крымінальнай адказнасці ў раннеклассовом грамадстве (прычыненне такога ж шкоды)|талион
Прынцып мастацкага малюнка ў мастацтве, выкрывалая іронія|сатыра
Прынцыповы бязбожнік|атэіст
Прынятая ў Нямеччыне зямельная мера, роўная 30 акрам|гуфа
Прыняцце рашэння зборам на аснове воклічаў, без падліку?|аккламация
Прыняцце зборам якой-небудзь прапановы без падліку галасоў на аснове рэплік і воклічаў удзельнікаў збору|аккламация
Прынятае ў журналістыцы стаўленне мянта да парадку|вартавы
Прынятае ў навуцы ўмоўнае пазначэнне якой-небудзь адзінкі, велічыні|знак
Прынятае ўжыванне слоў і выразаў у супрацьлегласць окказиональному|узус
Прыняты ў каталіцкіх і праваслаўных цэрквах і ўжытны часам у гістарычнай літаратуры тэрмін для пазначэння адбывалых у хрысціянстве на працягу сярэдніх вякоў расколаў?|схізма
Набыццё адным народам формаў культуры інш. народа|аккультурация
Набытае практыкай уменне?|спрыт
Прыпыненне выдачы ўнёскаў, правы карыстанні маёмасцю|арышт
Прыпыненне аперацый па выдачы грошай з рахунку фундатара|арышт
Прыпыненне жыццядзейнасці арганізмаў у неспрыяльных умовах з наступным аднаўленнем|анабіёз
Прыпёк да бліноў, якімі частавалі блазнаў у аўторак масленага тыдня|брага
Пляскаты метамарфізмам граніт?|гнейс
Прыпаднятая пляцоўка ўздоўж чыг шляху на станцыі для пасадкі пасажыраў|перон
Прыпадняты вадаправод|акведук
Приполярная вобласць з беднай дробнай расліннасцю|тундра
Прыгадванне патаемнай нянавісці і жаданне зрабіць зло які засмуціў|гнеў
Заправа (каляндра)|кинза
Заправа ў слоіку з салёнымі агуркамі|кроп
Заправа для тых, хто кахае погорячее|чылі
Заправа з чэмпіёнскага вянка|лаўр
Заправа да мяса|гарнір
Заправа да ежы|соус
Заправа да ежы|спецыя
Заправа да ежы|чабор
Заправа да ежы|воцат
Заправа рэзкая затаўка, травяністая расліна|імбір
Заправа, без якой насілу абыходзіцца чалавек|соль
Заправа, якую просяць не сыпаць на раны (песень.)|соль
Заправа, якую сыплюць на хвост|соль
Заправа, рэзкая затаўка|карыца
Заправа-каменюка|соль
Заправа|кроп
Прырода, вольнае паветра|пленэр
Прырода, рэчаіснасць|натура
Природн. сплаў золата і срэбра; сплаў на аснове магнію|электр
Природн. сплаў золата і срэбра|электр
