Эстрадная спявачка, якая знялася ў фільме “Ўзброены і вельмі небяспечны”?|Сенчина
Гэты механізм з'явіўся ў 1743 году і быў усталяваны ў пакоях караля Людовіка Пятнаццатага?|ліфт
Гэта акторка дзякуючы сваім “сіськам-піськам” (выяўляючыся на мове тынэйджараў), у свой час, скарыла ўвесь Галівуд?|Стоун
Гэта амерыканская фірма, якая спецыялізуецца на выпуску зброі, у парадку канверсіі выпускала і пішучыя машынкі?|рэмінгтон
Гэта вясёлая негрыцянка атрымала “Оскара” за ролю ў фільме “Прывід”?|Голдберг
Гэта ўсім вядомая гісторыя пачалася апоўначы і скончылася пахавальнай працэсіяй і гарматным стрэлам. Хто галоўны герой?|Гамлет
Гэта газета заяўляе пра сябе як “самая масавая газета”?|СНІД-інфа
Гэты гмах з'яўляецца самай буйнай чалавекападобнай малпай. Гэта ... ?|гарыла
Гэта дзяўчына напісала сваё ўсім вядомы ліст па-французску, але мы ведаем толькі яго рускі пераклад. Хто яна?|Таццяна Ларина
Гэта дапатопная кистеперая рыба атрымала імя ў гонар настаўніцы Катрын, якая паведаміла пра яе прафесару Сміту?|латимерия
Гэта старажытнагрэцкая адзінка даўжыні ўраўноўвалася шасці падам і складала прыкладна адну цэлую восем дзясятых метра?|оргія
Гэта найстаражытная ў свеце літара ўжо больш 2000 лёт не змяняе сваёй формы, таму што нагадвае расчынены ў здзіўленні рот. Якая?|пра
Гэта еўрапейская сталіца названа так у гонар маці Веры, Надзеі і Любови?|Сафія
Гэта жамчужына Кижей была асвячона ў 1714 году. Гэта ... ?|Праабражэнская царква
Гэта жанчына ў 1964 году пабывала там, дзе да яе былі толькі мышы, сабакі ды мужчыны. Хто яна?|Терешкова
Гэта зямля так і не з'явілася на карце. Гэта зямля ... ?|Санникова
Гэта ўпадабаная заправа французскай і арабскай кухні складаецца з: ямайскага перцу, карыцы, цвічкі і мушкатовага арэха (ямайскі перац можна замяніць белым, а карыцу – імбірам) і завецца ... ?|Іван Грозны
Гэта мазь, изготовляемая цяпер з нафты, ужываецца ў медыцыне і тэхніцы. І хоць перакладзе з французска-грэцкага яе назва азначае “ильное масла”, у савецкіх анекдотах лёгка замяняла грузінскае імя. Гэта?|вазелін
Гэта муза насіла миртовый вянок і была заступніцай любоўнай паэзіі?|Эрато
Гэта навука на Русі лічылася не дваранскай?|геаграфія
Гэта опера Глінкі “Жыццё за цара” ў савецкі час звалася зусім інакш. Як?|Іван Сусанін
Гэта асноўная адзінка СІ роўная 1 665 763,73 даўжыні хвалі ў ваккуме выпраменьванні, які адпавядае пераходу паміж узроўнямі 2р10 і 5d5 атама крыптону-86?|метр
Гэта планета была першай, адкрытай “на кончыку пяра”?|Няптун
Гэта парода сабак стала незвычайна моднай у ЗША пасля выйсця ў святло аднаго з мультфільмаў Уолта Дыснею?|далматин
Гэта рэгалія рускіх цароў інакш звалася “яблык царскага чыну”?|дзяржава
Гэта рака – векавы шлях “з вараг у грэкі”, яна ж стала шляхам у “камунізм”, бо на ёй у 1921 г. паўстаў першынец плану ДЗЯЭЛРА?|Волхов
Гэта рускае прозвішча стала папулярнай у ЗША пасля вынаходства кактэйлю “Крывавая Мэры”?|Смірноў
Гэта рыба атрымана шляхам штучнай гібрыдызацыі бялугі і стерляди?|бестер
Гэта славесная характарыстыка адпавядае дзевяці балам па шкале Бофорта?|шторм
Гэта краіна мае чатыры дзяржаўных мовы, а на марках выкарыстоўвае латынь?|Швейцарыя
Гэта краіна першая пачаткі заваёва Амерыкі?|Іспанія
Гэта траса, перасякалая з усходу на захад усю Азію, пачыналася ў сталіцы Кітая Лояне. Што гэта за траса?|Шаўковы шлях
Гэтыя багіні-заступніцы ў рымскай міфалогіі завуцца Камены, а як у грэцкай?|музы
Гэтыя браты прапанавалі нашай увазе крымінальныя “Гонкі па вертыкалі”?|Вайнеры
