Касметычны сродак|лак
Космич. крыніца выпраменьвання|квазар
Космич. цела; верш. А. Блока; акварыумная рыбка|камета
Космич. цела|камета
Касмічныя воды ў ведыйскай міфалогіі|апас
Касмічны бухгалтар|астраном
Касмічны карабель ЗША|атлантис
Касмічны карабель, на якім лётаў Герман Цітоў|усход
Касмічны обьект, які выпраменьвае ў дзясяткі разоў больш энергіі, чым нават самыя магутныя галактыкі|квазар
Касмічны паляўнічы|арыён
Касмічнае цела|астэроід
Касмічная пачвара|гідра
Космодемьянская|Зоя
Касманаўт № 2|Цітоў
Касманаўт Афганістана|Моманд
Касманаўт В'етнама|Туан
Касманаўт СССР, у 1979–80 гг. двойчы які пабыў на станцыі “Салют-6”|Румін
Касманаўт СССР|Аўдзееў
Касманаўт СССР|Атьков
Касманаўт СССР|Аубакиров
Касманаўт СССР|Афанасьеў
Касманаўт СССР|Бяляеў
Касманаўт СССР|Воўк
Касманаўт СССР|Демин
Касманаўт СССР|Калери
Касманаўт ЗША, што высадзіўся на Месяц|Олдрин
Касманаўт ЗША, высадзіўся на Месяцы|Сернан
Касманаўт ЗША, высадзіўся на Месяц|Скот
Касманаўт ЗША|Вейц
Касманаўт ЗША|Глен
Касманаўт ЗША|Шмитт
Касманаўт ЗША|Эванс
Касманаўт Сірыі|Фарис
Касманаўт Францыі|Тонини
Касманаўт. Лётчык-касманаўт СССР (1975), двойчы Герай Савецкага Звяза (1975, 1978)|Грэчка
Касманаўт. Лётчык-касманаўт СССР (1980), палкоўнік, двойчы Герай Савецкага Звяза (1980, 1984)|Кизим
Касманаўт|Хрунов
Касманаўтыка|астранаўтыка
Касы “джэнтльмен поспеху”?|Крамаров
Касы ветразь|аксель
Касы ўдар у більярдзе|кікс
Костак не ломіць?|пара
Касцёл па сваёй сутнасці|храм
Вогнішча прамыслоўцаў у лесе, на начлегах (па Далю)|нодья
Касцяная тканіна, складнік галоўную масу зубоў|дэнцін
Касцяная адукацыя ў ротавай паражніне|зуб
Касцяная адукацыя, орган у роце|зуб
Костность, прытрымліванне аджылым правілам|руціна
Касцяны пояс у жывёл у задняй, у чалавека ў ніжняй частцы тулава, цёзка посуду|таз
Костачкавая культура з даўкімі пладамі|цёрн
Костачкавы плён|абрыкос
