Запаленне малочнай залозы?|мастыт
Запаленне сядалішчнага нерва?|ішыяс
Запаленне слізістай абалонкі зяпы, міндалін?|ангіна
Запаленне слізістай торбы, бурсы?|бурсіт
Запаленне слізістай абалонкі, часам і касцяных сценак верхнечелюстной пазухі носа?|гаймарыт
Запалёнае месца на скуры?|язва
Запаленчае захворванне печані, злучанае з інфекцыяй ці атручваннем?|гепатыт
Выхаваў Іхтыяндра доктар ... ?|Сальватор
Выхаванне дзяцей у гэтым горадзе-дзяржаве было гэтак суровым, што стала намінальным. Што за горад?|Спарта
Выхаванец ваенна-навучальнай установы?|кадэт
Паўстаў ён супраць меркаванняў святла адзін, як перш, і – ... а) забіты б) паранены ў) згінуў без весткі г) памёр сваёй смерцю?|а
Паўстанне Спартака было: а) у 73 г. да н. э. б) у 73 г. нашай эры ў) у 1973 г. г) пакуль яшчэ не было?|а
Аднаўленне арганізмам пашкоджаных ці згубленых органаў і тканін?|рэгенерацыя
Усход Францыі, у Альпах, адміністрацыйны цэнтр дэпартамента Верхняя Савоя (горад у Еўропе)?|Анэсi
Захоплены стан?|экзальтацыя
Усходняя мудрасць абвяшчае: “Перш, чым тузануць ката за хвост, пазнайце, якія ў яго ...”?|зубы
Усходняя краіна, якая ніколі не была нічыёй асадай?|Тайланд
Усходнія карты для варажбы?|таро
Усходні вецер?|ост
Усходні мужчынскі галаўны ўбор?|чалма
Усходні платан: дрэвы і хмызнякі?|чынара
Узыход сонца з-за гарызонту?|світанак
Восьмая прыступка гамы?|актава
Вось дантыст-надомнік Рудзік. У яго прымач ... Ён яго начамі круціць, ловіць, контра, ФРГ (Уладзімір Высоцкі)?|грундзіг
Наперад з носа судна?|бушпрыт
Вораг Маўглі?|Шэрхан
..., які прыйшоў за золатам?|вораг
Лекар, які праходзіць курс спецыялізацыі пад кіраўніцтвам заг. аддзяленнем лякарні?|ардынатар
Медычны метад агляду паражніны носа?|рынаскапія
Круцяшчая частка машыны?|ротар
Шкодная казурка?|блашчыца
Часавая стаянка ў шляхі?|прыпынак
Час адпачынку, забаўкі?|вольны час
Час сутак, змешчанае ў вядзенні Аўроры?|раніца
Час сутак?|вечар
Час неумерших надзей?|будучыня
Прыроджаныя белыя ці темныя плямы на валасяным полазе каня? (адз. л.)|меціна
“Усё было ціха, і, аднак, // У сне я чуў крык, // і ён Падабенствам знака які змоўк // Яшчэ трывожыў небасхіл.” – верш Б. Пастарнака?|Венецыя
Усе дванаццаць месяцаў?|год
Усё прыгожае, выдатнае?|прыгажосць
Уся даступная колькасць, лімітавая норма?|ліміт
Усё што заўгодна, “якое цягнецца” да магніта?|жалязякі
Усёвідушчае, нядрэмнае ...?|вока
Усяго 1 кг гэтага прадукта з бакалейнага аддзела гастранома дапаможа вам даставіць на іншы канец горада ў кузаве грузавіка восем вітрынных шклоў у цэласці і захоўнасці. Гэта ... ?|сланечнікавае масла
Усяго толькі адзін дзень прабыў ён алімпійскім чэмпіёнам Сеўла, пазбавіўшыся званні за ўжыванне допінгу. Гэта быў ... ?|Бэн Джонсан
Усім вядомая руская народная песня “Дубінушка”. А пра дрэва якой пароды ідзе гаворка ў яе прыпеве?|бяроза
Усім вядомы твор Жуля Дакладная “20000 лье пад вадой” доўгі час у рускіх перакладах звалася “... кіламетраў пад вадой”?|80000
Усім вядомы памагаты Шэрлака Холмса – Dr. Wаtsоn. Яго імя (Бел. літарамі)?|Джон
Вада якая ўскіпела?|кіпень
Выкрыццё трупа (мёд.)?|аутапсія
“Успомнім, як празрысты месяц плыве над начной прахалодай. Толькі пра тое, што ўсё пройдзе, успамінаць ня трэба” – чый голас?|Баярскі
Дапаможнае сцвярджэнне, неабходнае для доказу тэарэмы?|лема
Дапаможны гімнастычны снарад для апорных скачкоў?|плінт
Уставіць прапушчанае слова ў радок вядомай песні: “Я на ... ехаў плача, А вяртаюся вяселячыся”?|вачу
Устаўце прапушчаныя словы ў прымаўку: “Зрабіў справу – ...”?|шпацыруй смела
Устаўце прапушчаныя словы ў прымаўку: “Чым бы дзіцё не цешылася, абы не ...”?|плакала
Уся ў дзірках кухоннае начынне?|друшляк
Усякі чуе толькі тое, што ... ?|разумее
Другая вытворная шляху па часе?|паскарэнне
Другое прозвішча В. Церашковай?|Мікалаева
Другое прозвішча Чэрчыля гучала так – ... ?|Мальбара
Другая частка прозвішча жывапісца, які вывеў нябачаную пароду чырвоных канёў?|Водкін
Другая літара грэцкага алфавіту?|бэта
Другая страва (мясное)?|рагу
Другой з трох перыядаў мезазойскай эры. Можа адтуль пайшло прозвішча вядомага савецкага артыста, адна з роляў якога – Вікніксар?|Юрскі
Другі па велічыні на Зямлі выгляд кітоў?|фінвал
Вулкан у Італіі?|Везувій
Вулкан на Алясцы?|Катмай
Вулканічная маса|лава
Вчувствование, непасрэдны эмацыйны водгук на чужое перажыванне?|эмпатыя
Уезд, перасяленне людзей у дзяржаву на працяглае ці сталае жыхарства з іншых краін?|іміграцыя
Вы памятаеце Леля з оперы “Снягурка”? А якое другое імя цяпер мае Лель?|Каця
“Вы чуеце, грукочуць боты, і птушкі ашалелыя ляцяць, і жанчыны глядзяць з-пад рукі?”. Аўтар?|Акуджава
“Вы жадаеце быць цацачнай, // Але сапсаваны ваш завод, // Да вас ніхто на стрэл гарматны // Без вершаў не падыдзе”. Аўтар?|Мандельштам
(інш.-сканд.) Абіралая памерлых?|Валькірыя
Выснова, рэзультат?|вынік
Вымова, прайграванне гукаў гаворкі?|вымаўленне
Выгада, матэрыяльны зыск?|карысць
Выдатнага рускага паэта Цютчэва клікалі ... ?|Фёдар
