Калі вы жадаеце пабудаваць ... , вазьміце краіну, якую вам не шкада. (Бісмарк)?|сацыялізм
Калі грэкі лічылі, што гэта тыя, хто не кажа на іх мове. Жыхары сярэдняга царства тых, хто жыве за сцяной. Адкуль пачынаецца падобная мяжа ў ангельцаў? “ад ...”|Ла-Манша
Калі дым ідзе з трубы прама ўгару – то ён слупом. Калі сцелецца панізе – то поцягам. А калі загінаецца?|каромыслам
Калі хтосьці разгульвае непадалёк ад прысутнай на ланцугі сабакі, яна пачынае брахаць, а следам за ёй – і іншыя сабакі. Назавіце гэту з'яву з пункту гледжання фізікі|ланцужная рэакцыя
Калі каханне – гэта агонь, тое што па словах усё таго ж Кастуся Мелихана з'яўляецца вогнетушыцелем?|шлюб
Калі ў гэтай расліны тры ліста, яго завуць тантаза, калі чатыры – сипие, пяць – упие, шэсць – липие. А як яго завуць па-іншаму?|жэньшэнь
Ёсць легенда, што яна – дачка не Леды, а Немязіды, багіні помсты. Ісакрат, які жыў у IV–III павеках да н. э., выяўляў ёй удзячнасць за перамогу грэцкай зброі. А над кім? “над ...”|траянцамі
Чыгуначны працоўны, які злучае вагоны|счэпшчык
Жук|лістаед
Чыгуначны лакаматыў?|паравоз
Жоўта-чырвоная фарба?|хна
Жаночы род – гаранка, а мужчынскі?|горац
Жыраф, чорны леў, алень, велікоднае ягня на цыраце. Мядзведзь – на кардоне. А што знаходзілася ў руках Маргарыты, калі ўлічыць, што Андрэй памыліўся?|белыя ружы
Жыхар літоўскага горада-помніка|тракаец
Жыхары гэтага горада ніяк не могуць зразумець, чаму рускія, прамаўляючы яго назву летуценна гудуць. Пра які горад ідзе гаворка?|Парыж
Пацешная і дасціпная прымаўка, устаўляемая ў гаворку|прымаўка
Зебра на дарозе|пераход
За які горад ваяваў парыс?|Троя
Завошта з нядаўніх пор сталі штрафаваць у чытальных залах Бамбея?|сон
Завершыце радкі Галіча 1963 гады: А маўчальнікі выйшлі ў начальнікі, // Таму што...|маўчанне - золата
Завязку гэтага твора яго аўтар параўноўвае з тым, як каршун выхоплівае курыцу з пад толькі што які дагнаў яе пеўня. Назавіце гэты твор|Руслан і Людміла
Засаўка ў печкавай трубе?|люхта
Задаўга да ўзнікнення рэгулярнай паштовай службы, у сярэднявечнай Венецыі з'явіліся правобразы сучасных паштовых скрынь у выглядзе бронзавых звярыных пашчаў. Што ж туды кідалі?|ананімныя даносы
Зняволенне, канец?|фінал
Скончыце думку сэра Мортимера Уиллера, які заўважыў, што, падобна крыловскому наведвальніку кунсткамеры, археолаг можа знайсці бочку, але пры гэтым не заўважыць... Каго?|Дыягена
Скончыце прымаўку са слоўніка Даля: сам спявае, сам слухае, сам ...|хваліць
Скончыце фразу хірурга Пирогова: лепшая аперацыя – тая, якую атрымалася...?|не рабіць
Скончыце хокку Басе: Касач на беразе. // А вось іншы – да чаго падобны! – // ...|адлюстраванне ў вадзе
Замацаванне?|фіксаванне
Заняткі якім выглядам спорту ў эпоху барацьбы з касмапалітызмам прыраўноўвалася да вывучэння генетыкі і кібернэтыкі?|бейсболам
Запішыце наступныя лікі: 14, 12, 1825. А якое менавіта з іх дало імя групе людзей?|12
Гукі чашчынёй 15–100 гц выкарыстоўваліся кінематаграфістамі для суправаджэння фільма пра Лос-Анджэлесе. У якім жанры сняць фільм?|трылер
Земляная груша?|тапінамбур
Суніца бухарская, вінаград гиссарский, зліву дарвазская, парэчка мальволистная, груша кайон. Усе гэтыя расліны такія ж, якімі бываюць яшчэ ў т. ч. захад і пляж. Так якія ж?|дзікія
Зигией (ад греч. дзеяслова zigоо – злучаю ярмом) Гера звалася як багіня-заступніца... Чаго?|шлюбаў
Змея?|удаў
Знаўца чалавечай псіхалогіі?|псіхолаг
Ведаючы адказ на папярэдняе пытанне, скажыце, што іспанцы завуць bоtаs dе filtrо?|валёнкі
І выштукаваная барановая скурка, і гайка з дзвюма вушкамі|двухвушнік
І папракалі іх за шматлікія грахі: і за прававы нігілізм, і за прэтэнзіі на ўладу, і за тое што не мыюць рукі перад ежай. А якое пакаранне абралі для верхавода?|распяцце
Якаў, Иосий, Сымон, Юда. Пра іх мала хто ведае, але ўсё ведаюць іх найблізкага сваяка па маці. Хто ён?|Хрыстос
Іван Грозны распачаў рашучыя меры па ўніфікацыі расійскіх адзінак мер. А якая была практычная мэта падобных дзеянняў кіраўніка?|парадкаванне збору падаткаў
Ігумен Данііл Заточник, які пабываў там у 12 ст., і возжег незгасальную лампаду, быў першым рускім... Кім?|паломнікам у Іерусалім
Ідэалістычная сістэма ў медыцыне (аўтар – аўстрыйскі лекар Ф. Месмер, 18 ст.)?|месмеризм
З яго імя ясна, што яго шануюць за вакальныя здольнасці. Хто ён?|певень
З імя адной вядомай акторкі дасціпныя амерыканцы стварылі анаграму – вялікая грахаводніца – big sin mаkеr. Хто яна? (рус. літарамі)|Бэсинджер
З яго вылятае куля?|руля
З бавоўны атрымліваюць не толькі валакно, але і ...|масла
З чаго робяць корак?|кара
З чаго робяць хну?|хенна
З чаго робяць шакалад?|какава
З чаго зроблена карэта Папялушкі?|гарбуз
