Сістэма лячэбных прыёмаў?|масаж
Сістэма дробных заліваў у заходняга берага Азоўскага мора|сиваш
Сістэма мер для вымярэння цяжару|вага
Сістэма мерапрыемстваў супраць масавага заражэння?|карантын
Сістэма метрычнага вершаскладання ў класічнай арабскай паэзіі|аруз
Сістэма навукова-матэрыялістычных гледжанняў, якая адпрэчвае ўсю сукупнасць рэлігійных уяўленняў|атэізм
Сістэма навуковых поглядаў на што-небудзь|вучэнне
Сістэма нормаў грамадскіх паводзін чалавека|этыка
Сістэма абагульненых поглядаў?|светапогляд
Сістэма пазначэнняў ці сігналаў|код
Сістэма грамадскай прылады|лад
Сістэма агнястрэльнай зброі|маўзер
Сістэма аднастайных клетак у жывёльных і раслінных арганізмах|тканіна
Сістэма абрашэння палёў з дапамогай штучных каналаў?|ірыгацыя
Сістэма асноўных ідэй у якой-небудзь галіне ведаў|тэорыя
Сістэма асушвання глебы|дрэнаж
Сістэма адсмоктвання пылу з памяшкання?|аспірацыя
Сістэма ачысткі неканализованных гарадоў|асенізацыя
Сістэма палеазою|силур
Сістэма плосковершинных горных масіваў у Амурскай вобласці|янкан
Сістэма падрыхтоўкі твараў з высш. адукацыяй да далейшай навуковай кар'еры|аспірантура
Сістэма падрыхтоўкі выкладчыцкіх і навуковых кадраў?|аспірантура
Сістэма падземных каналаў, пры дапамозе якіх ажыццяўляецца асушванне земляў|дрэнаж
Сістэма практычных спосабаў навучання чаму-небудзь|метаду
Сістэма прыёмаў апрацоўкі сельскагаспадарчых культур|агратэхніка
Сістэма прыёмаў, кіроўных да мэты|метад
Сістэма якія праводзяць пучкоў у лісці раслін|жылкі
Сістэма рэгістрацыі дадзеных|улік
Сістэма рэгулявання руху цягнікоў; аўтаматычная змена рэжыму працы|аўтаблакоўка
Сістэма рэгулявання руху цягнікоў|аўтаблакоўка
Сістэма самакіравання евр. абшчын і сама абшчына, якая існавала ў краінах Вост. Еўропы ў 13–19 стст.|кагал
Сістэма сігнальных прылад, якія рэгулююць прытрымліванне чыгуначных праездаў?|блакаванне
Сістэма ставак?|тарыф
Сістэма вершаскладання на Ўсходзе|аруз
Сістэма стралковай зброі|кольт
Сістэма злічэння часу, злучаная з рухам нябесных целаў?|каляндар
Сістэма тэлебачання (рус. літарамі)|апалы
Сістэма тэлебачання (рус. літарамі)|секам
Сістэма кропак, некаторыя з якіх злучаны адрэзкамі|граф
Сістэма траншэй і труб для асушвання глебы|дрэнаж
Сістэма націскаў у мове; пазначэнне націскаў|акцэнтуацыя
Сістэма націскаў у мове|акцэнтуацыя
Сістэма ўпрыгожванняў збудавання|дэкор
Сістэма ўпрыгожвання збудавання|дэкор
Сістэма ўпрыгожвання|дэкор
Сістэма высноў, якая дазваляе Холмсу расчыняць злачынствы|метад
Сістэма кіравання, пры якой кіраўніку прыналежыць неабмежаваная вярхоўная ўлада|аўтакратыя
Сістэма практыкаванняў для выпрацоўкі якіх-небудзь навыкаў|трэнаж
Сістэма ўмоўных пазначэнняў, што перадаюць інфармацыю|код
Сістэма физич. практыкаванняў|атлетыка
Сістэма каляровага тэлебачання, сумяшчальная з чорна-белым вяшчаннем; прынята ў былым СССР, Францыі і інш. краінах|секам
Сістэма адчувальных нервовых адукацый|аналізатар
Сістэма, якая прабівае нечыя інтарэсы ў вышэйшых органах улады?|лобі
Сістэма, якая забяспечвае аўтаматызацыю, аптымізацыю кіравання вытворчасцю|аўтадыспетчар
Сістэматызаваны збор законаў|кодэкс
Сістэматыка, катэгорыя ў біялогіі?|клас
Сістэматыка, катэгорыя ў біялогіі?|разнавіднасць
Сістэматыка, катэгорыя ў біялогіі|биотип
Сістэматыка, катэгорыя ў біялогіі|выгляд
Сістэматыка, катэгорыя ў біялогіі|атрад
Сістэматыка, катэгорыя ў біялогіі|падвід
Сістэматыка, катэгорыя ў біялогіі|подрод
Сістэматыка, катэгорыя ў біялогіі|падтып
Сістэматыка, катэгорыя ў біялогіі|раса
Сістэматыка, катэгорыя ў біялогіі|род
Сістэматыка, катэгорыя ў біялогіі|шэраг
Сістэматыка, катэгорыя ў біялогіі|секцыя
Сістэматыка, катэгорыя ў біялогіі|тып
Сістэматычная складанка карт?|атлас
Сістэматычны збор карт, фатаграфій, схем і т. п., мелае выгляд альбома ці кнігі|атлас
Паркаль ці любая іншая х/б тканіна. Ішла на сукенкі|ситка
Сіці – афіцыйная сталіца Філіпін|кесон
Верш М. Ю. Лермантава|госць
Верш М. Ю. Лермантава|адказ
Верш М. Ю. Лермантава|з-за чаго
Верш М. Ю. Лермантава|рада
Верш з 2-х радкоў|дыстых
Сіцылійскі пастух, сын Гермеса і адной з німф, кінуты маці дзіцем на выспе Сіцылія|Дафнис
Імгненная папулярнасць|мода
Імгненныя грошы|нал
Імгненны лагер?|бівак
Гэта “стыкоўка” не па-братэрску, а, да няшчасця, па-пірацку|абардаж
Ззянне ў выглядзе светлага кружка вакол галавы|німб
Ззянне вакол галавы Бога, анёлаў, святых, адлюстроўванае ў хрысц. і будыйскім мастацтве|німб
Ззянне вакол галавы ў рэлігійным выяўленчым мастацтве|німб
Ззянне вакол галавы святога|німб
Ззянне славы вакол знакамітасцей|арэол
Ззянне, прыгажосць; глянец, глянец|бляск
Ззянне, прыгажосць|бляск
Ззянне, німб вакол чалавека|аўра
Зіхатлівыя вяршыні камунізму, абяцаныя бальшавікамі, па сваёй фізічнай сутнасці|міраж
Скажыце на лацінскай мове слова “захаваны”|рэзерв
Скажыце адным словам “шлях гармоніі і энергіі”?|айкидо
Скажыце па-грузінску – я замяню цябе ў бядзе|Генацвале
Скажыце па-іспанску “сын значнага чалавека”|идальго
Скажыце калі ласка, чаму ўшаноўвае секта ў Каліфорніі, якая налічвае 1200 вернікаў і ўзначаленая святым Сіліконам?|кампутару
Скажыце, у якія дні даўней звычайна складаліся гандлёвыя і пазыковыя абавязанні, калі знаходзіліся людзі, якія абяцалі аддаць абавязак у такой жа дзень, але не што выконвалі абяцанні “па ___”|пятніцам
Скажыце, як клікалі грэцкую багіню, якая персаніфікавала любое вылячэнне?|Панацэя
Скажыце, як клікалі мудрага настаўніка Телемака, сына Адысея, які, напэўна, кахаў павучаць свайго вучня?|Ментар
Скажыце, як клікалі самага вядомага ў СССР выхадца Марыўпаля?|Жданаў
Скажыце, якім італьянскім словам у марскім юрыдычным праве завуцца страты і надзвычайныя выдаткі па судне і грузу пры няшчасным выпадку?|аварыя
Скажыце, якое племя з'явілася ў выніку сувязі Ареса і Гармоніі? “племя ...”|амазонак
Сказ Н. Лескова|Ляўшун
Паданне ў шырокім сэнсе|сага
Паданне, легенда?|сага
Сказанае акцёрам у бок|апарт
Сказанае не сур'езна|жарт
Казка А. Н. Талстога|сініца
Казка А. Н. Талстога|гаспадар
Казка А. С. Пушкіна|жаніх
Казка А. Франса|пчолка
Казка Андэрсана; п'еса Е. Шварца|цень
Казка Андэрсана|буслы
Казка Андэрсана|маці
Казка Андэрсана|цень
Казка К. Чуковского?|тараканіща
Казка М. Салтыкова-Шчадрына|каняжына
Казка М. Салтыкова-Шчадрына|суседзі
Казка Міхася Салтыкова-Шчадрына|гіена
Казка Міхася Салтыкова-Шчадрына|каняжына
Казка Ханса Андэрсана|суседзі
Казка пра калектыўную працу|репка
Казка пра карысць грызуноў|репка
Казка, побаска|байка
Казка: хлусня, ды ў ёй намёк, добрым малайчынам...|урок
Казачная “Блакітная страла” як сродак перасоўвання|цягнік
Казачная гераіня краіны цудаў|Аліса
Казачная дзяўчынка з блакітнымі валасамі?|Мальвіна
Казачная дереза|каза
Казачная выява гарбуза|карэта
Казачная карціна Васняцова|Алёнушка
Казачная комунальная кватэра?|церамок
Казачная пячора са скарбамі|Сезам
Казачная птушка?|Фенікс
Казачная краіна золата і каштоўных камянёў, якую адшуквалі ў Амерыцы першыя іспанскія заваёўнікі?|Эльдарада
Казачная цокотуха|муха
Баечнік, добры апавядальнік на Русі|бахарь
Казачны пачастунак|страва
Казачная пачвара ў выглядзе крылатага агнядышнага змея|цмок
Казачная пачвара з галавой пеўня, тулавам жабы, хвастом змяі і каронай на галаве, якое забівала адным сваім поглядам?|васіліск
Казачная пачвара з тулавам змяі|змей
Казачная пачвара, змей?|васіліск
Казачная пачвара; п'еса Шварца; спорт. яхта; сузор'е|цмок
Казачная пачвара|цмок
Казачны “самалёт”, які патрапіў у загаловак аднаго з тварэнняў Ханса Андэрсана|куфар
Казачны антыпод дабра|ліха
Казачны волат-герой киргизскиго эпасу|манас
Казачны герой; галоўны персанаж у камедыі “Ліхвяр”|кащей
Казачны герой|кащей
Казачны гном, калі судзіць па яго росце|карлік
Казачны злыдзень|людаед
Казачны лятальны апарат|венік
Казачны насельнік лясоў і балот|лясун
Казачны пярэварацень-крывапівец|вампір
Казачны овощ|рэпа
Казачны персанаж|кашчэй
Казачны птэразаўр|цмок
Казачны пудзель, што насіў гадзіны на пярэдняй лапе?|Артемон
Казачны сын дацкага шаўца?|Андэрсан
Скок. конь, имеющ. максім. поспех на кароткіх дыстанцыях|фляйер
Скакун з назвы літаратурнага кафэ, заўсёднікам якога быў Сяргей Ясенін|Пегас
Скакун хаджы Насрэддзіна|асеў
Скакун, показавш. лучш. жвавасць на корот. і асяроддзяў. дыстанцыях|фляер
Скала, адшліфаваная вятрамі моды|канон
Скалы, небяспечныя для марскіх судоў|рыф
Скалы-останцы столбовидной формы|кекур
Скальная птушка, якая прыжылася ў шматлікіх гарадах свету|голуб
Лаўка|крама
Скандал, сварка, лаянка на грані бойкі (разг., устар.)|сварка
Скандальная выхадка, паводзіны, парушаючае агульнапрынятыя нормы і кіравала|эпатаж
Скандальныя выхадкі, парушэнне агульнапрынятых правіл і звычаяў|эпатаж
Скандынаўскі правадыр|конунг
Скандынаўскае мужчынскае імя|Бенгт
Скарабей|жук
Пахіл, але не рыба, і не кола аўтамабіля|схіл
Скача конь, абшару шмат, валіць снег і сцеле шаль (верш. Ясеніна)|церуха
Скаканне па перасечаны. мясцовасці ў нар. Ср. Азіі і Казахстана|байга
Скокі на кароткую дыстанцыю|догі
Скокі з ненатуральнымі перашкодамі|конкур
Свідравіна дыяметрам неск. гл, прасвідраваная ў горнай пародзе, напр., для закладкі выбухоўкі|шпур
Свідравіна, паглыбленне, вузкі прамежак паміж часткамі чаго-небудзь|зазор
Паўночная старонка|Арктыка
Скразная адтуліна ў шыне аўтамабіля|пракол
Скразны двор|праезд
Скразняк у раскладзе|акно
Скейт, пазбаўлены ролікаў|дошка
Шкілет выраба; драбы|каркас
Шкілет выраба|каркас
Шкілетная мера|костка
Зніжка з вагі, якая прадстаўляецца ў якасці кампенсавання за прымешкі ў тавары|фусти
Зніжка з установленн. кошты тавара за датэрміновую яго аплату|декорт
Зніжка з кошту тавара за датэрміновую яго аплату ці за ніжэйшую якасць у параўнанні з умовамі ўгоды|декорт
Зніжка з кошту тавара за датэрміновы плацёж|декорт
Сцірт хлеба|паклажа
Сцірта падоўжнага мура|зарод
Скифск. царэвіч, 1 з 7 вялікіх мудрацоў старажытнасці|анахарсис
Скіфская багіня Землі|Апи
Скіфскі калчан для лука|гарыць
Скіфскі магільнік|курган
Скіфска-сармацкія плямёны, якія насялялі са 2–1 стст. да н. э. у причерноморских стэпах і на Сяўбу. Каўказе. Продкі асяцінаў?|аланы
