Аргентынскі абаронца Лас Пальмаса?|Шурер
Аргентынскі абаронца Тэнэрыфэ?|Луссенхофф
Аргентынскі абаронца-ветэран з Пармы?|Сэнсіні
Аргентынскі нападнік Лечэ?|Асорыа
Аргентынскі нападнік Мальёркі?|Квінтерас
Аргентынскі нападнік Ромы, які быў гулец зборнай?|Бальбо
Аргентынскі нападнік Эспаньола?|Марцін Поссе
Былы паўабаронца Ромы, а цяпер Пьяченцы|Ді Франчэска
Бразільскі паўабаронца Дэпартыва?|Джалмінья
Бразільскі паўабаронца Мадрыдскага Рэала?|Флавіа Кансейсао
Бразільскі паўабаронца Ромы?|Маркос Ассунсао
Бразільскі паўабаронца Ромы?|Ліма
Бразільскі правафланговы гулец Кьево?|Эрыберта
Бразільскі абаронца Лечэ?|Жуарез
Бразільскі абаронца Пармы?|Жуніор
Бразільскі абаронца Перуджы?|Зэ Марыя
Бразільскі абаронца Ромы?|Антоніа Карлас
Бразільскі левафланговы нападнік Мадрыдскага Рэала?|Савіа
Бразільскі нападнік Вероны?|Адаілтан
Бразільскі апорны паўабаронца Дэпартыва?|Эмерсан
Бліскучы нямецкі гулец мінулых гадоў|Меллер
Бліскучы паўабаронца зборнай Францыі?|Кантона
Атакавалы паўабаронца Рэал Сосьедада?|Дэ Педра
Аргентынскі паўабаронца Мальёркі?|Ібагаза
Аргентынскі паўабаронца Марсельскага Алімпіка, гулец у Асасуне на правах арэнды?|Монтэнегра
Аргентынскі флангавы паўабаронца Інтэра?|Гулі
Аргентынскі форвард Удзінэзэ?|Соса
Аргентынскі цэнтральны паўабаронца Брэшыі?|Йлана
Аргентынскі цэнтральны паўабаронца Дэпартыва?|Душер
Італьянскі паўабаронца Кьево?|Дзанчэтта
Дацкі паўабаронца Ўдзінэзэ?|Гаарде
Вялікі французскі паўабаронца МЮ?|Кантона
Вялікі французскі футбаліст, які гуляў у васьмідзесятыя за Ювентус|Плаціні
Італьянскі паўабаронца Мілана?|Гаттузо
Італьянскі паўабаронца Ромы?|Фузер
Камерунскі паўабаронца Балонні?|Воме
Камерунскі паўабаронца Рэала?|Нжытап
Калумбійскі нападнік Мадрыдскага Рэала?|Конга
Калумбійскі паўабаронца Пармы?|Балана
Левы абаронца Валенсіі і моладзевай зборнай Бразіліі?|Фабіа Аурэліо
Левы абаронца Дэпартыва і зборнай Іспаніі?|Рамэра
Левы абаронца Інтэра і зборнай Грэцыі?|Георгатос
Левы абаронца Кьево?|Д'Ганна
Левы абаронца Мадрыдскага Рэала і зборнай Бразіліі?|Раберта Карлас
Левы абаронца Мальёркі?|Діаз
Левы абаронца Мілана, набыты з Кіеўскага Дынама?|Каладзе
Левы абаронца Пармы і зборнай Беларусі?|Гурэнка
Левы абаронца Пармы?|Фалсіні
Левы абаронца Перуджы?|Міланэзэ
Левы абаронца Рэал Сосьедада і зборнай Іспаніі?|Аранзабаль
Левы абаронца Рэала і зборнай Бразіліі?|Раберта Карлас
Левы абаронца Ромы і зборнай Францыі?|Кандела
Левы абаронца Ўдзінэзэ і моладзевай зборнай Італіі?|Манфрэдзіні
Левы абаронца Ювентуса і зборнай Бразіліі?!|Ацірсан
Левы паўабаронца Дэпартыва і зборнай Іспаніі?|Фран
Левы паўабаронца Валенсіі і зборнай Аргентыны?|Кілі Гонзалес
