Сельскагаспадарчая праца|сенажаць
Сельскагаспадарчая культура|грэчка
Сельскагаспадарчая машына, выкарыстоўваная пры прыбіральных працах|камбайн
Сельскагаспадарчая машына|саджалка
Сельскагаспадарчая прылада|касілка
Сельскагаспадарчае ўгоддзе|паша
Сельскагаспадарчы працаўнік|садоўнік
Сем. чарапах|матамата
Сямёрка пры мізары ў прэферансе|гаспадыня
Сямейства орхидных травы. расліна|чаравічак
Сямейства рыб атрада сарганообразных|сарганы
Сямейства бясхвостых земнаводных (яе профіль у старажытных егіпцян пазначаў мільён)|жабы
Сямейства бесхрыбтовых атрада десятиногих ракападобных|лангуст
Сямейства бабовых (травы. расліна)|гліцынія
Сямейства бабовых (травы. расліна)|канюшына
Сямейства парасонавых (травы. расліна)|азорелла
Сямейства парасонавых (травы. расліна)|бядрынец
Сямейства парасонавых (травы. расліна)|баршчэўнік
Сямейства травы (травы. расліна)|бекмания
Сямейства парнакапытных афрыканскіх жывёл|жырафы
Сямейства птушак атрада вераб'іных|нектарки
Сем канёў у адной запрэжцы|семярык
Сетка, сплеценая з кідаў. нітак і ўпрыгожаная жэмчугам. Ёю пакрывалі валасы жанчыны ў эпоху позняга сярэднявечча|трессуар
Сетка супрацоўнікаў вышукных ці выведвальных службаў|агентура
Сетка сувязі, якая перадае па электрычных каналах нерухомыя плоскія малюнкі|тэлефакс
Суседка Ілінойса|Индиана
Суседні ў ладу ваенны карабель|матэлот
Засяроджанасць, скіраванасць псіхічнай дзейнасці на аб'ект|увага
Пасудзіна з маслам і кнотам, зажигаемый перад абразам, бажніцай|лампада
Пасудзіна для ўтрымання рыб, водных раслін|акварыум
Пасудзіна для скупнасці газу ці пары|рэсівер
Пасудзіна для гарачага драўнянага вугля, таксама жалезная печка, нагреваемая вуглём|жароўня
Пасудзіна для пітва ў Інш. Русі (10–12 стст.)|корчага
Пасудзіна са шкла для вадкасцяў|бутэлька
Пасудзіна з гарбуза для захоўвання напояў|калебас
Пасудзіна, у які сцякае малако пры ручным даенні|даёнка
Пасудзіна, які атрымаў свая назва дзякуючы французскаму віну, але з якога ў Расіі п'юць самагонку|лафитник
Судзінапашыральны сродак|валідол
Сосисочный прыкід|цэлафан
Саслоўе на Русі|дваране
Саслоўе на Русі|абшарнік
Саслоўнае аб'яднанне купцоў у дарэвалюцыйнай Расіі|гільдыя
