Каморскія о-ў (сталіца, цэнтр)|Морони
Коморцы, народ Афрыкі|анталоатра
Камячок здробненага руднага канцэнтрату|акатыш
Комп. праграма, якая дазваляе выбіраць, загружаць на кампутар і праглядаць матэрыялы, змесцаваныя ў Інтэрнэце?|браўзар
Кампактнае грузоподъемное прылада з сістэмай блокаў ці лябёдкай|таль
Кампанія “Мацусита электрык” мае 4 гандлёвыя маркі: Nаtiоnаl, Quаzаr, Тесhniсs. Назавіце чацвёртую (адказ ангел. літарамі)|Раnаsоniс
Кампанія ў Нямеччыне, якая выпускае спартовую адзежу і абутак|пума
Кампанія, група людзей (пренебреж.)|шатия
Кампанія, кодла|шатия
Кампаньён джыну ў бутэльцы|тонік
Комплекс горных парод, непасрэдна папярэдні кембрию|венд
Комплекс будынкаў станцыі|вакзал
Комплекс мусульманскіх рэлігійных і свецкіх вышэйшых навучальных устаноў і навукова-даследчых устаноў у Каіры|азхар
Комплекс навыкаў, даведзены да дасканаласці|аўтаматызм
Комплекс нашых кантактаў адзін з адным?|узаемаадносіны
Комплекс адкладаў верхняга докембрия; древн. назв. Урала|рифей
Комплекс адкладаў верхняга докембрия|рифей
Комплекс адчуванняў ад моцнага спалоху|жах
Комплекс збудаванняў, прызначаны для ўзлёту і пасадкі самалётаў|аэрадром
Комплекс спартовых нормаў для кожнага грамадзяніна (сав.)|ГТО
Комплекс храмаў у Кампучыі|ангкор
Камплект акцый, дзель акцыянера ў акцыянерным грамадстве|пакет
Камплект дакументаў, афіцыйных папер|пакет
Камплект жаночай адзежы|туалет
Камплект знакаў для набору тэкстаў, звычайна ўлучальны алфавіт хоць бы адной мовы, лічбы і знакі прыпынку і мелы агульны характар малюнка|шрыфт
Камплект ігральных карт|калода
Камплект карт, але не калода|атлас
Камплект мэблі|сценка
Камплект зброі ў коннага ваяра|саадак
Камплект посуду?|сервіз
Камплект стралковай зброі вершніка|сайдак
Камплект стралковай зброі ў старажытнарускага вершніка|сайдак
Камплект друкарскіх літар?|шрыфт
Камплектавалая цэлага|частка
Кампазітар (опера “Анджело”)|Кюи
Кампазітар ХVIII ст., аўтар оперы “Орфей і Эўрыдзіка”|Глюк
Кампазітар у адносінах да сваёй оперы, аперэце, песне|аўтар
Кампазітар фільма В. Матыля “Белае сонца пустэльні”|Шварц
Кампазітар, “Рэквіем”|Арцёмаў
Кампазітар, “кароль аперэты”?|Кальман
Кампазітар, аўтар балета “Ангара”|Эшпай
Кампазітар, аўтар музыкі да кинокомедии “Карнавальная ноч”|Лепин
Кампазітар, аўтар музыкі да фільма “Браты Карамазовы”|Шварц
Кампазітар, аўтар аперэты “Мадэмуазель Нитуш”|Эрве
Кампазітар, аўтар оперы “Кармэн”|Бизе
Кампазітар, аўтар оперы “Фаўст”|Шпор
Кампазітар, аўтар араторыі “Ода салдату”|Левина
Кампазітар, аўтар песні “Арляня”|Белы
Кампазітар, аўтар сюіты “Кікімара”|Лядов
Кампазітар, балет “Абакаяда”|Пейко
Кампазітар, балет “Асель”|Уласаў
Кампазітар, балеты “Полымя Парыжа”, “Бахчысарайскі фантан”|Асафьев
Кампазітар, балеты: “Майстар і Маргарыта”, “Стварэнне свету”|Пятроў
Кампазітар, імя Рихард, оперы: “Саломея”, “Электра”|Штраўс
Кампазітар, народны артыст РСФСР?|Дунаевский
Кампазітар, народны артыст СССР, аўтар вакальна-сімфанічнага твора “Кантата пра Радзіму”|Арутюнян
Кампазітар, адзін з заснавальнікаў сучаснай амерыканскай музыкі|Айвз
Кампазітар, адзін са стваральнікаў казкі-грамкружэлкі “Брэменскія музыкі”|Энтин
Кампазітар, адзін са стваральнікаў французскай оперы|Гуно
Кампазітар, опера “Амерыканцы”|Фамін
Кампазітар, опера “Браняносец Пацёмкін”|Чишко
Кампазітар, опера “Вражья сіла”|Сяроў
Кампазітар, опера “Джордано”|Квінт
Кампазітар, опера “Орфей”|Фамін
Кампазітар, опера “Рагнеда”|Сяроў
Кампазітар, опера “Севиль”|Амиров
Кампазітар, опера “Юдифь”|Сяроў
Кампазітар, опера “Фурман на падставе”|Фамін
Кампазітар, рамансы “Сумнеў”, “Жаўрук”|Глінка
Кампазітар, сімфанічная карціна “Мцыри”|Азараў
Кампазітар, які склаў оперу “Аіда”|Верди
Кампазітар, настаўнік С. Рахманінава|Танеев
Кампазітар; кінарэжысёр; бабслеіст; баксёр; горад|Аляксандраў
Кампазітар|Аляксандраў
Кампазітар|Ганон
Кампазітар|Кац
Кампазіцыйны матэрыял|рамет
Кампазіцыя з трох абразаў|деисус
Кампанент адрона|кварк
Кампанент бутэрброда, “выкарыстоўваны” жывапісцамі|масла
Кампанент паветра|азот
Кампанент спіралі|віток
Кампанент сталі|перліт
Кампанент, які павялічвае стабільнасць гарэння дугі|паташ
Кампутар у сеткі, што прадстаўляе свае паслугі іншым, т. е. выконваючы вызначаныя функцыі па запытах іншых кампутараў|сервер
Кампутар старажытнага свету|абак
Кампутар, які злучае сеткі, што выкарыстоўваюць аднолькавыя пратаколы|вузел
Кампутар|ЭВМ
Кампутарызаваная крэпасць, дзе грошы ляжаць|банк
Кампутарная гульня|тэтрыс
Кампутарная праграма з крымінальнымі паводзінамі|вірус
Кампутарная праграма, здольная да саморазмножению і ажыццяўленню несанкцыянаваных карыстачом дзеянняў?|вірус
Кампутарная сістэма кадавання музыкі, якая дазваляе прайграваць гучанне традиц. прылад|міді
Кампутарны ўзломшчык|хакер
Кампутарная вокладка|сетка
Кампутарны хуліган|хакер
Кампазітар, “дзядуля рускага раманса”|Цітоў
Каму было прысвечана мастацтва выкладвання ўзораў з каменьчыкаў?|музам
Каму было прыгатавана лёсам рэгулярна сустракаць дарожныя паказальнікі, якія прадракаюць строга вызначаная колькасць непрыемнасцяў?|волату
Каму мы з вамі павінны паставіць помнік, за тое, што гэты чалавек прыдумаў гарэлку?|Мендзялееў
Каму падпарадкоўваюцца індзейцы|правадыру
Каму прысвечаны раманс “Я памятаю цудоўнае імгненне ...” Міхася Глінкі|Керн
Каму прысвечана эпіграма невядомага аўтара другой паловы ХVIII стагоддзі? “Не венцаносец ты ў Петровом хвалебным градзе, // Але варвар і капрал на вахтпарадзе”|Паўлу I
Каму прыналежыць усклік “Цесны свет”?|Калумб
Каму прыналежыць фраза “Выхаваем бабу Ягу ў сваім калектыве”?|Агуркоў
Каму прыналежыць фраза “Дзяржава – гэта я”?|Людовік ХIV
Канвеер, транспартная ўсталёўка?|транспарцёр
Канвой, прычыненне, суправаджэнне|эскорт
Кондит. выраб з разынкамі|кекс
Кондит. выраб, вост. саладосць|нуга
Кондит. выраб; палярная птушка; рыба сем. трасковых|сайка
Кондит. выраб|булка
Кондит. выраб|пончык
Кондит. выраб|пернік
Кондит. выраб|сайка
Кандытарскі выраб – салодкая глейкая маса з арэхамі|нуга
Кандытарскі выраб з зерняў алейных культур|халва
Кандытарскі выраб з міндальнага цеста|вафлі
Кандытарскі выраб з міндальнага цеста|вафля
Кандытарскі выраб з міндальнага цеста|кекс
Кандытарскі выраб з міндальнага цеста|торт
Кандытарскі выраб з арэхавай масы з цукрам|нуга
Кандытарскі выраб з расцёртых арэхаў, насення, змяшаных з карамельнай масай|халва
Кандытарскі выраб з цеста з начыннем?|рулет
Кандытарскі выраб з цеста з начыннем|торт
Кандытарскі выраб да святочнага стала|торт
Кандытарскі выраб, па гусце вельмі якое нагадвае пасцілу|зефір
Кандытарскі выраб, польскае пірожнае|пляцек
Кандытарскі выраб; сотая частка залатніка|пірог
Кандытарскі выраб?|карамель
Кандытарскі выраб?|торт
Кандытарскі выраб|коржик
Кандытарскі выраб|пірог
Кандытарскі выраб|заправа
Кандытарскі выраб|суфле
Кандытарская назва леденцовой расплаўленай масы|фондан
Канец тыдня, выходныя дні (ангел.)|уікэнд
Канец песціка|лычык
Канец ракі|вусце
Канец спартовай дыстанцыі|фініш
Канец тупіку на чыгунцы|упор
Канец чаго-небудзь|фінал
Канец, згуба|труна
Канец, згуба|каюк
Канчатковая стадыя развіцця яра|бэлька
Канчатковая частка траекторыі кулі|излет
Вядома, абдумвай “што”, але яшчэ больш абдумвай “...” (І. Гётэ)?|як
Канечнасць рака ці краба|клюшня
Канечнасць цюленя і знакаміты нямы. музыка|ласт
Канечнасць у ракападобных|клюшня
Канчатковы момант палёту якое ляціць цела перад падзеннем|излет
Канчатковы аддзел нагі чалавека|ступня
Канчатковы прадукт бялковага абмену?|мачавіна
Канчатковы пункт дыстанцыі ў змаганнях|фініш
Канчатковы пункт спартовага змагання на хуткасць|фініш
Канчатковы пункт спартовай дыстанцыі|фініш
Канчатковы этап выводзін на мэту знішчальніка?|перахоп
Канічная асадка на канцы трубкі для рэгулявання выходзільнай бруі вадкасці ці газу|сопла
Канічная частка трубы ці канічная асадка для рэгулявання выходзільнай бруі вадкасці, газу|сопла
Канічнае жыллё, уцепленае зямлёй, у народаў Поўначы|голомо
Канкрэтыка адсутнасці|абстракцыя
Канкурэнты пры ўспадкоўванні|радня
Конкурс манекеншчыц, фотамадэляў; конкурсны падбор выканаўцаў, артыстаў?|кастынг
Конкурсны распродаж|аўкцыён
Конкурсныя суддзі|журы
Конноспортивная гульня ў Грузіі|лело
Конноспортивное перашкода|оксер
Конныя спаборніцтвы па пераадоленні паласы перашкод|конкур
Конны пастух у Сяўбу. Амерыцы|каўбой
Конны пастух у заходніх штатах ЗША|каўбой
Конны экіпаж, санкі са спінкай|вазок
Конны экіпаж; тып кузава аўтамабіля|ландо
Конны экіпаж|брычка
Конны экіпаж|дармез
Конны экіпаж|дрожкі
Конны экіпаж|ландо
Конны экіпаж|рыдван
Конны экіпаж|фаэтон
Конны экіпаж|фіякр
Конопушки на абаранку?|мак
Кансервант фармацевтич. прэпаратаў|тымол
Кансерватыўнасць у мове, адмова ад запазычаных і новых слоў, гутарковых і жаргонных выразаў|пурызм
Кансерватыўны распарадак працы|руціна
Кансерватызм і застой у справах, у ладзе жыцця|руціна
Кансерватары ў Англіі|торы
Конская рысь з прыскокамі|тропат
Конская аброць без цугляў з адной нагодай для прывязі|аброць
Конская збруя|збруя
Конскае мяса|каніна
Канспектаванне; агучванне фільма|запіс
Канспектаванне|запіс
Канспірацыйная кватэра|яўка
Канспірацыйная мянушка О. Кошевого|кашук
Канспірацыйная ці жартаўлівая, кплівая мянушка|мянушка
Константи-Філосаф у перакладзе Андрэя Чернова глаголил пра тое, што дабро ёсць. Увага, пытанне з якога слова ён пачаў сваю гаворку?|аз
Кастусь Мелихан раіць на першы шлюб пытаць згоды ў сваіх бацькоў. А ў каго трэба пытаць дазволы на другі шлюб?|у сваіх дзяцей
Константиноп. патрыярх; рус. мітрапаліт|Фоцій
Константиноп. патрыярх|Фоцій
Канструяванне рэчаў, машын, інтэр'ераў, заснаванае на прынцыпах спалучэння выгоды, эканамічнасці і прыгажосці|дызайн
Канструктыўна-афарміцельскі элемент кнігі|каптал
