Савецкая гімнастка, чэмпіёнка свету?|Кім
Сукупнасць агульнаабавязковых правіл, усталяваных дзяржавай?|праў
Сучасны музычны кірунак?|рэп
Паводле афарызму Аляксандра Ботвинникова, з усіх барацьбітоў за шчасце рускага народа даўжэй усіх сядзеў менавіта ён. Хто?|Ілля Муромец
Паводле сусветнай дэкларацыі праў чалавека, чалавек становіцца грамадзянінам, як толькі з'яўляецца на святло. Як завецца першы дакумент дзіцяці ў яго грамадзянстве?|метрыка
Паводле закона штата Каліфорнія забараняецца выкарыстоўваць пасткі людзям, якія не маюць... Чаго?|паляўнічага квітка
Паводле легенды, падчас бітвы Кастуся з яго супернікам Максимианом над легионным значком Кастуся з'явіўся крыж з нейкай надпісам. Працытуйце яе на царкоўнаславянскім|гэтым победиши
Паводле польскай прыказкі, арэх, асёл, і жонка вельмі падобныя паміж сабой, бо нічога добрага яны не здольныя зрабіць, калі іх... Скончыце думку|не пабіць
Паводле папулярнага напачатку 80-х анекдоту, адметнай асаблівасцю мангольскага касманаўта Жугдэрдэмидийна Гуррагча стала пачырваненне нейкай часткі цела, а менавіта ...|рук
Паводле ўяўленняў старажытных рымлян спачатку ішлі практыкаванні, а менавіта: гучнае чытанне, фехтаванне, гульня ў мяч, шпацыр, затым – лазня. Чаму яны павінны былі папярэднічаць? (адказ у дат. п.)|ежы
Паводле ўяўленняў манголаў карысней усяго ўжываць у ежу мяса жывёл з гарачым дыханнем. Такіх жывёл манголы налічваюць два. Назавіце іх|конь і баран
Паводле Рабле, Гаргантюа прычэсваўся альменовским грэбнем. Прадэманструйце, калі ласка, гэты альменовский грэбень|далонь
Паводле Эміля Рахманаму, ён заўсёды вясёлкава наладжаны. Назавіце гэта недаўгавечнае чалавечае тварэнне|мыльная бурбалка
Салістам які рок-групы з'яўляецца Мик Джаггер?|rоlling stоnеs
Сумніўнае интерпретирование з'яў парапсихологии?|шаманства
Гатунак локшыны?|вермішэль
Соус з алею, воцату, яечнага жаўтка і розных запраў?|маянэз
Сафія – сталіца якой краіны?|Балгарыя
Сацыялагічныя апытанні паказваюць, што больш паловы расейцаў пакутуюць ад адсутнасці гэтага, а Р. Шекли сцвярджае, што гэта толькі адно з найпростых размеркаванняў хаосу. Што гэта?|парадак
Перш там была рэзідэнцыя каралёў, затым турма, а цяпер там музей. Назавіце першапачатковую функцыю гэтага збудавання?|вежа
Спартовы інвентар?|канькі
Спосаб муміфікацыі. ;)|алкагалізм
Спосаб спартовага плавання на грудзі, разнавіднасць брасу?|батэрфляй
Попыт з боку рыб на прапанаваную ім прынаду?|клев
Сярод брытанскіх адзінак вымярэння ёсць адзінка пеннивейт. Скажыце, а якой адзінкай карыстаемся мы замест яе?|карат
Сярод яго вядомых твораў – маурина, лайтербах, мунц, дэльфін, тосканка, а самае знакамітае сярод іх – алард. А ў якім горадзе ён жыў?|Кремона
Сярод іх згадвалі і палац Кіра, і статую Мемнона ў Фівах, і храм Святой Сафіі. Але мы ведаем іншыя. Што ж гэта?|цуды свету
Сярод продкаў сына Сяргея Львовіча самым прыкметным для нас апынуліся Гаўрыла Олексич і Абрам Пятровіч. А хто ж успомніць імя і імя па бацьку яго самога?|Аляксандр Сяргеевіч
Сярэднявечныя схаласты маглі спрачацца па якім заўгодна нагодзе, нават на прадмет, колькі чарцей можа змясціцца на кончыку іголкі. А пра што ім, па агульнай згодзе, забаранялася весці дыспуты?|густы
Сярэдні памер яго ў рублях такі (дадзеныя на 1990 год): у туркменіі – 17978, азербайджане – 7981, таджыкістане – 7017, узбекістане – 6397, казахстане – 4256, кіргізіі – 4206. Пра што ідзе гаворка?|калым
Старадаўні рускі галаўны ўбор замужняй жанчыны|кика
Найстарое значэнне гэтага слова – жадаць здароўя і цэласці. Зараз жа яно пазначае нейкае дзеянне, часцей за ўсё якое з'яўляецца праявай кахання. Што гэта за дзеянне? (адказ – дзеяслоў)|цалаваць
Старадаўняя залатая чатырохкутная манета Індыі|могур
Старадаўняя залатая чатырохкутная манета Індыі|мохур
Сталіца аўтаномнай рэспублікі ў складзе РСФСР?|Чэбаксары
Сталіца паўночнаамерыканскай дзяржавы?|Вашынгтон
Краіна|Ісландыя
Краіна|Карэя
Гарачы гулец у карты|карцёжнік
Страх, каханне, нянавісць... А якое з ім падобных у эпоху Брэжнева стала супернічаць па нейкім паказчыку з Марианской западзінай?|задавальненне
Струнная шчыпковая прылада, папулярны ў амер. неграў?|банджа
Струнная шчыпковая музычная прылада|канон
Сцэнічная карыкатура?|буфанада
Сын бацькі прафесара б'е бацьку сына прафесара. Кім (па ступені сваяцтва) даводзіцца першы другому, калі прафесар у бойцы не ўдзельнічае?|шваграм
Сыноў Меррилла Фернанда клічуць Дилхан і Малик. А ў якой краіне знаходзіцца галоўны офіс яго кампаніі?|Шри-Ланка
Тэатральная вуліца ў Нью-Ёрку|Брадвей
Тэнт|падстрэшак
Травы. расліна|баклажан
Травы. расліна|светнік
Травы. расліна|джугара
Травы. расліна|святаяннік
Травы. расліна|гарліца
Травы. расліна|беладонна
Травы. расліна|ладаннік
Травы. расліна|жывакост
Травы. расліна|дзядоўнік
Травы. расліна|родиола
Травы. расліна|рамонак
Травы. расліна|саладкакорань
Травы. расліна|бабок
Табель пра рангі: правінцыйны сакратар – падхарунжы, губернскі сакратар – харунжы, стацкі дараднік – подъесаул, таемны дараднік – ... Працягнеце?|вайсковы атаман
Так завецца і нейкая парода сабак, а з гісторыі нам вядома іх паўстанне напачатку 20 ст. Каго ж іх?|баксёраў
Тэхніка размалёўкі секко прадугледжвае нанясенне фарбы на сухую сцяну. А як па-італьянску будзе “вільготны”?|фреско
Тыбецкія манахі часам ствараюць мандалы, рассыпаючы па камені пясок, з тым каб неўзабаве змахнуць яго. Пра што павінны нагадваць іх дзеянні?|тленнасць свету
Тыповым заданнем на курсах дызайнерскага рамяства было заданне распрацаваць адзін ці некалькі арнаментаў. Пры гэтым забаранялі выкарыстоўваць... Што?|калейдаскоп
Тое, што пажадана ў жанчыне. Тое, што пажадана ў пытанні. Тое, што пажадана ў мучных вырабах. Калі скласці гэта разам, атрымаецца горад у Харкаўскай вобласці. Які менавіта?|Разынкі
Тонкая аладка з вадкага цеста?|блін
Тонкая непряденая нітка?|валакно
Ўрачысты прошаны абед, вячэра?|бяседа
Трапічная расліна, сцябло якога за дзень можа вырасці на 60 гл?|бамбук
Тугарин, змиулан, агністы часцей меў іншую мянушку. А яго атрыбутамі было 3, 6, 9 ці 12... Чаго?|галоў
Турцыя – 7–10%, ЗША – 15–20%, Швейцарыя – не больш за 10%, Малайзія – уключана ў рахунак, але ніхто не будзе супраць. Увага, пытанне! На што, калі верыць назве, ідзе гэты адсотак? “на ...”|чай
У аўтамабіляў якой з краін міжнародны рэгістрацыйны знак lt?|Літва
Ў ангельца Томаса Веддери ён быў самым доўгім – 19 гл, а нядаўна навукоўцы ўсталявалі, што яго левая палова працуе лепш, чым правая. Што гэта?|нос
У арабаў іх 28, таму што ў вярблюда 28 розных аллюров, а ў нас іх 5, і іх вывучаюць нават у школе. Пра што ідзе гаворка?|вершаваныя памеры
Ў ацтэкаў знакам аднаго з бажаствоў былі трус і расліна агава. А ступень чаго вымяралі ацтэкі ў трусах? (чаго?)|ап'яненні
Ў гатовы – Вульфил, у армян – Месроп Маштоц, у сербаў – Вук Сцяфанавіч Караджич, а хто ва ўсходніх славян?|Кірыла і Мяфодзій
У старажытных грэкаў, рымлян і народаў старажытнага ўсходу прадказанне, нібы якое зыходзіла ад бажаства і даваныя жрацамі што запытвалі вернікам. Таксама месца, дзе давалася прадказанне.|аракул
У старажытных грэкаў так звалася пасудзіна для змешвання вадкасцяў. зараз таго, што завуць гэтым словам вельмі мала на зямлі, але шмат у космасе. Што гэта?|кратар
У старажытных рымлян абед канчаўся садавінай. А чым ён пачынаўся?|яйкамі
Ў якой расліны хвосцік ліста ядомы, і важыць да кілаграма?|рабарбар
У Кім Бэсинджер іх 13, у іншай галівудскай кіназоркі – Мішэль Пфайфер – 9. А колькі іх у Біла Клінтана?|адна
Ў каго, па меркаванні Дзідро, была душа Брута і сэрца Клеапатры? (адказ у ім. п.)|Кацярына II
У шматлікіх народаў Сібіры лічыцца, што жанчына можа быць мацнейшым шаманам, чым мужчына, але толькі да адной падзеі ў яе жыцці. Якая гэта падзея?|нараджэнне дзіцяці
Ў нас бог і святыя маляваліся белым колерам, а ўсё, злучанае з пеклам, – чорным. А ў каго – наадварот? “у ...”|неграў
У нас ён знікаў на час, а потым з'явіўся зноў. Ангельскія лекары-тэрапеўты арганізавалі камітэт па яго абароне, каб не збіваць хворых і лекараў з толку. Пра што ідзе гаворка?|міліметр ртутнага слупа
Ў нас гэта забава была папулярная ў 60-х гг. А цяпер яна ахапіла ўвесь Кітай. Праўда, некаторыя занадта сытыя кітайцы атрымліваюць ад яе заварот кішак. Што гэта?|хулахуп
У Натти ён скураны. А ў каго ён доўгі?|Пеппи
У яго ёсць дзед і бабка, ёсць маці, ёсць жонка і дочкі, але ніколі няма бацькі і ніколі не бывае сыноў. Калі вас параўнаць з ім, вы можаце і пакрыўдзіцца. Хто ён?|труцень
У іх ёсць ротик, верхняя і ніжняя вусны і язычок, а больш за ўсё іх у Сіднэі – 10500. Хто яны?|арганныя трубы
Ў аднаго пірата 20 пістоляў, у другога 10 дублонаў, у трэцяга 40 эскуда. У каго больш усіх?|пароўну
Ў васьмінога іх тры, у кольчатого чарвяка – пяць, а колькі ў сабакі?|адно
Ў розных аўтараў ён розны. То фантастычны кароль эльфаў, то чараўнік, брат Меровея, то гном. А яшчэ яго імем назвалі адзін са спадарожнікаў Урана. Як?|Аберон
У розных народаў яна завецца па-рознаму: дуда, сернай, каза, гайда, бэгпайпс і т. д. Лічыцца, што яна прыйшла са Старажытнай Персіі, а свайго трыўмфу дасягнула ў Шатландыі. Пра што ідзе гаворка?|дуда
Ў славянскай багіні Лады было 2 сына: Лель і Полель. Лель – гэта калега Амура, а чый калега Полель? (каго?)|Гіменэя
Ў чэхаўскага героя іх было дзве, і абедзве на шыі?|Ганна
Ў гэтага пушнога звярка цвёрды асцюк і мяккі падшэрстак. Як яго назвалі кушняры?|выдра
Ў гэтай пальмы самае вялікае лісце ў свеце?|рафія
Ў гэтай краіны 4 дзяржаўных мовы. Дамен першага ўзроўня завецца сh. А як расшыфроўваецца гэта літараспалучэнне?|канфедэрацыя Гельветика
Састарэлае вайсковае званне|фельдмаршал
Збеглая кропка?|прамая
Паважаныя гульцы! У 50-е гады на польскім тэлебачанні былі свае амаль знаўцы. Там была гульнявая перадача, якая звалася...|Г Г Г
Паважаныя гульцы! Уявіце сабе надзьмутую козлиную шкуру, якую звычайна ўжывалі разам з некалькімі камянямі. А хто ў 1943 году ўдасканаліў гэта?|Кусто
Паважаныя гульцы! Скажыце, якое племя з'явілася ў выніку сувязі Ареса і Гармоніі? “племя ...”|амазонак
Звальненне афіцэраў|адстаўка
Вуглявод, які з'яўляецца галоўнай складовай часткай абалонак клетак раслін?|цэлюлоза
Ўзаконенае збавенне ад спадчыннікаў|аборт
Упрыгожванне для запясця?|бранзалет
Ужыванне ў ежу саранчы распаўсюджана ў Аўстраліі. Там нават існуе прымаўка: ешце саранчу, а не то... Скончыце думку|саранча зжарэ вас
Кіраваць гэтым паветраным суднам даводзіцца стоячы. Пра які самалёт ідзе гаворка?|кордовая авіямадэль
Удасканаліўшы ўсім вядомы прадмет, фінскія інжынеры атрымалі выдатную зброю для паляўнічых на птушак – бясшумнае і амаль імгненна якое зараджаецца. Што ж яны ўдасканалілі?|рагатку
Састарэлая мера даўжыні?|аршын
Састарэлая назва плашчака?|лерка
Зацверджаны 16 жніўня 1781 гады герб гэтага горада складаўся з белага возера, у якім было дзве стерляди, над якімі знаходзіўся месяц з крыжом. Што гэта за горад?|Белозерск
Навуковец, які вывучае пытанні климатообразования|кліматолаг
Установа, што захоўвае плёнкі фільмаў|фільматэка
Ф. М. Дастаеўскі (царства яму нябеснае) ласкава зваў яе палачкай, і вельмі засмучаўся калі яна куды-небудзь знікала. Што гэта?|пёравая ручка
Форма сувязі паміж прамысловымі прадпрыемствамі|кааперацыя
Форма страхавання кошту і прыбылі пры здзяйсненні фьючерских угод|хэджаванне
Форма залежнасці дзяржаў, якая ўсталёўваецца нераўнапраўнай дамовай|пратэктарат
Фармальная нагода|падстава
Фальстог, Андерсон, Ульваеус, Линдстад-Фредрикссон. Паважаныя гульцы! Успомніце імёны гэтых людзей. Ці няма. Назавіце хоць бы першыя літары гэтых імёнаў!|абба
Прозвішча Пятра I?|Нарышкин
Прозвішча таго, чыім голасам кажа кот Матроскин?|Табаков
Фізічныя практыкаванні для ўмацавання здароўя?|фізкультура
Фільм А. Тарковского?|Солярис
Фільтр для кантрабанды|мытня
Фінская лазня?|сауна
Фірмовы бланк для даносу на сябе|анкета
Форма магільнага склепа?|маўзалей
Форма хранічнага алкагалізму?|запой
Французская мера даўжыні?|лье
