С/г прыстасаванне|акучнік
С16Н34, бесцв. вадкасць, t стосаў. 286,5 град. С. Эталон пры вызначэнні цетанового лікі дызельных паліваў|цетан
САО і Са(ЁН)2?|вапна
Саратаўская вобл. (горад)|Ртищево
Саратаўская вобл., порт на р. Волга (Саратаўскае вдхр.) (горад)|Балакава
Цукар мёда|фруктоза
Цукар, які ўтрымоўваецца ў малацэ|лактоза
Цукровыя цаглінкі|рафінад
Цукровы сіроп для ўпрыгожвання салодкіх мучных вырабаў|глазура
Сад. расліна сем. казяльцовых|анемона
Сад. кветка|барвенак
Сад. кветка|гербера
Сад. кветка|гесперис
Сад. кветка|гіяцынт
Сад. кветка|камелія
Сад. кветка|лакфиоль
Сад. кветка|петунія
Сад. кветка|рудбекия
Сад. кветка|сальвія
Сад. кветка|скабіёза
Сад. кветка|тагетес
Сад. кветка|цюльпан
Сад. кветка|энотера
Садовы рамонак|пиретрум
Садовая расліна з пахкімі кветкамі|нарцыс
Садовая цыбульная расліна з белымі ці жоўтымі кветкамі|нарцыс
Садовая пладовая лячэбная расліна з пахкімі кветкамі|абляпіха
Садовыя нажніцы|кустарэз
Садовая хатка, дача з прысядзібнай гаспадаркай (разг., ирон.)|фазэнда
Садовая кветка, спадарожніца трывог (песеннае)|гваздзік
Садовая кветка|вяргіня
Садовая кветка|лилейник
Садовая кветка|цикламен
Садысцкі рондальчык для падрыхтоўкі юхі|акварыум
Садко, але не госць|ледакол
Салонны, бальны танец|факстрот
Сам худы, галава з пуд, як стукне – дужым стане (загадка)|малаток
Сам драўляны, а галава жалезная|малаток
Самая сутнасць, сутнасць чаго-небудзь|існасць
Самая вялікая ў Еўразіі пустэльня|гоби
Самая вялікая пресноводная рыба ў свеце|арапаима
Самая верхняя, закругленая частка кармавога ўскрайка судна|гакаборт
Самая высокая вяршыня зямнога шара|Эверэст
Самая высокая гара ў Альпах|Монблан
Самая высокая гара ў Паўднёвай Амерыцы|Аконкагуа
Самая дарагая з ангельскіх газет|обсервер
Самая дарагая штука ва ўладкаванай кватэры|інтэр'ер
Найстаражытнейшы пляц у Маскве|Саборная
Самая буйная аса, якая дасягае ў даўжыню 3 гл|шэршань
Самы буйны матылёк|тизания
Самая маленькая старадаўняя медная манета|паўгроша
Самая маленькая птушка на Зямлі|калібры
Самае мокрае паскуддзе|вадзянік
Самая многоводная рака ў Бірме|Иравади
Самая шматлікая нацыя на зямлі|кітайцы
Самая надзейная ўгода на біржы ва ўмове інфляцыі|ф'ючэрс
Самая нізкая школьная адзнака|адзінка
Самая дакладная характарыстыка вартаўніка морга Лукіча|п'яніца
Самая чесночная вобласць у Францыі|Гасконь
Самая зыркая зорка сузор'я Кіль|канопус
Самец у пчалінай сям'і|труцень
Самец каня, дасягнулы палавы сталасці|жарабец
Самастрэл|арбалет
Самы актыўны час у слонкі|ноч
Самы звычайны сродак ад ранак, парэзаў і іншых дробных траўмаў|зялёнка
Самая руская сукенка|сарафан
Самае бясспрэчнае і абсалютнае, найболей што супрацівіцца ўлады свету стан чалавека (па Н. Бярдзяеву)|жаль
Самае хуткарослае дрэва (10,6 м у год)|эўкаліпт
Самае вялікае млекопитающее на зямлі|кіт
Самае непадыходнае для творчасці стан з пункту гледжання эстраднага спевака Ўладзіміра Преснякова|сытасць
Самаапыленне ў кветкавых раслін|аўтагамія
Самаразгрузны чыгуначны вагон для перавозкі сыпкіх грузаў (вугля, руды)|думпкар
Самаразгрузны паўвагон|гандола
Самаходная пагрузна-разгрузная машына|аўтакран
Самаходнае глыбакаводнае судна, якое складаецца з трывалага адсека для экіпажа і напоўненага бензінам корпуса, што забяспечвае плавучасць|батыскаф
Самагубства японскага самурая|харакіры
Самакіраванне, права самастойнага рашэння ўнутраных пытанняў якой-небудзь часткай дзяржавы|аўтаномія
Самакіравальная дзяржава ў часы Брытанскай імперыі|дамініён
Самаварная цырымонія|чаяванне
Самаварны кошт (Чуковск.)|капейка
Самавольны захоп скаціны ў Ср. Азіі|баранта
Самаўладства, абсалютызм|тыранія
Самаўлюбёны прыгажун|нарцыс
Самаробак (разг.)|самапал
Самаробная агнястрэльная зброя|самапал
Самаздаволены і абмежаваны чалавек|філістар
Самарушны падводны выбухны снарад|тарпеда
Самарушны пад'ёмны кран|аўтакран
Самозакрывающийся электрамагнітны прыбор для аптычнай сігналізацыі|бленкер
Самазванец, які абвясціў сябе Пятром III|Пугачев
Самозвучащ. муз. прылада|идиофон
Самозвучащий музычная прылада, вядомы еўрапейскай музыцы з пачатку ХIХ ст.|ксилофон
Самозвучащий народная ўдарная музычная прылада|ляскотка
Самалёт з некалькімі плоскасцямі крылаў|трыплан
Самалёт з трыма крыламі, размешчанымі адно над іншым|трыплан
Самалёт для нанясення бомбавых удараў|бамбавік
Самалёт, які мае тры крыла|трыплан
Самалёты гэтага авіяканструктара першымі пераляцелі з Расіі ў Амерыку|Туполев
Самалюбаванне|автофилия
Саманазва Паўночнай Ірландыі|Ольстер
Самапісны вышынямер|альтиграф
Самапісны прыбор для вымярэння і запісы хуткасці ветра|анемограф
Самапісны прыбор|аўтаручка
Самацвет, састарэлая назва адуляра з галубай иризацией|аглаурит
Самацвет, якім апынуўся лал у кароне импер. Расіі|шпинель
Самачынная расправа з кім-небудзь без вядзёная ўлад|самасуд
Самыя стромкія горы на Зямлі|Гімалаі
Самы “неметалічны” з неметалаў|фтор
Самая сяўба. мыс Паўднёвай Амерыкі|Гальинас
Самы сонечны з абласных цэнтраў Расіі|Магадан
Найдужэйшы жук|скарабей
Самы распаўсюджаны хим. элемент космасу|вадарод
Самы ўдачлівы дзень тыдня, па меркаванні скандынаваў|пятніца
Самы разумны прымат|чалавек
Самая вялікая выспа Курыльскай грады|Шикотан
Самы вялікі мацярык Землі|Еўразія
Самы быстроваркий мясны прадукт|пячонка
Самы верхні рэгістр мужчынскага пеўчага голасу|фальцэт
Самы высокі гейзер|Ваймангу
Самы высокі масіў Паўднёвага Ўрала|Ямантау
Самы высокі пеўчы голас (жаночы ці дзіцячы)|сапрана
Самы галодны месяц для мусульман|рамазан
Самы грубіянскі гэбель|заструг
Самы галоўны карабель|флагман
Найстаражытнейшы ў свеце крыты тэатр|Алімпіко
Найстаражытнейшы на Русі пісчы матэрыял|бяроста
Самы доўгі жук у свеце|геркулес
Самы вядомы са Шварцэнэгераў|Арнольд
Самы вядомы літаратурны сын Д. Свіфта|Гулівер
Самы буйны з крыжадзюбаў|сосновик
Самы каханы чалавек|улюбёнец
Самы немудрагелісты са шлемаў, якія баранілі толькі верхнюю частку галавы рускага ваяра ў ХIV ст.|мисюрка
Самы цяжкі жанр журналістыкі|нарыс
Самы тытулаваны футбольны клуб Расіі|Спартак
Сандалі, адзін з атрыбутаў Меркурыя (Гермеса)|таларии
Боты ў карэлаў|саапаат
Боты са шкуры аленя|тарбасы
Шавецкі нож адмысловай формы|урезник
Сатана, д'ябал у хрысціянскай міфалогіі|люцыпар
Сатырычная камедыя Л. Зорина|дабракі
Сатырычны часопіс Н. Новікава (1769–70 гг.)|труцень
Саша, муж Святланы ў самай дружнай сям'і кінаакцёраў|Лазарев
Пазыковая ўстанова|ламбард
Сястра смерці|расстанне
Сястра карпа, ікра якой атрутная (у волкім выглядзе)|марынка
Шэры начны матылёк, шкоднік карняплодаў і капусты|соўка
Серабрыста-белы сплаў медзі з нікелем|мельхіёр
Серабрыста-белы метал, ізатоп якога з'яўляецца ядзерным гаручым|плутоній
Срэбная польская манета 14–15 стст.|квартник
Серабранка – невялікая прамысловая рыба атрада сельдеобразных, якая насяляе ў Атлантычным і Ціхім акіянах|аргентына
Срэбны бляск – мінерал, сярністае срэбра|аргентыт
Шаравата-блакітны колер|перванш
Сербія (горад у Еўропе)|Приштина
Сербія (горад у Еўропе)|Суботица
Сервіравальная адзінка рахунку|персона
Сергіеў Пасад у мінулым|Загорск
Сардэчная цягліца, цягліцавая тканіна сэрца, складнік асноўную частку яго масы|міякард
Сардэчны сродак|валідол
Сардэчнае, адкрытае стаўленне да людзей|ветлівасць
Сардэчнае, ласкавае і адкрытае стаўленне да людзей|ветлівасць
Сардэчная хвароба, ад якога спрабуюць бегаць трушком|інфаркт
Сэрца атамнай станцыі|рэактар
Серыя амерыканскіх аўтаматычных міжпланетных станцый|маринер
Серыя амерыканскіх касмічных караблёў|апалон
Серыя амерыканскіх касмічных караблёў|джемини
Серыя карцін Кустодиева|кірмашы
Сернокислая соль некаторых металаў|купарвас
Серпападобная кідальная прылада|бумеранг
Сяўба.-вос. ЗША, шт. Пенсільванія (горад у Амерыцы)|Бетлехем
Сяўба.-вос. Індыі, адміністрацыйны цэнтр шт. Трипура (горад у Азіі)|Агартала
Сяўба.-зап. Ірана (горад у Азіі)|Ардебиль
Сяўба. сузор'е|вознік
Сяўба. Румынія, адм. ц. жудеца Бистрица-Нэсэуд (горад у Еўропе)|Бистрица
Паўночна-усходні вецер, дующий у сярэдняй частцы возера Байкал|баргузин
Североамер. мядзведзь|барибал
Паўночная сваячка журавін|марошка
Паўночная балотная ягада|марошка
Паўночная птушка сямейства качыных|казарка
Паўночная ягада|марошка
Паўночная хатняя жывёла|алень
Паўночны горад, жах часоў рэпрэсій|Магадан
Паўночнік, але не Ігар|ітэльмен
Сезоннае гандлёвае прадпрыемства|кірмаш
Сезонныя вятры ў Юж. Азіі і інш. раёнах, дующие ўлетку з акіяна, узімку з сушы|мусоны
