Арм. оперная спявачка|Гаспарян
Арм. кампазітар, шарон. фам. Согомонян (1869–1935)|Комитас
Арм. кампазітар|Арутюнян
Арм. паэт|Исаакян
Арм. асветнік 19 ст.|Назарян
Армейскі інтэрнат|жаўнерня
Армейскае распараджэнне|каманда
Армейскае распараджэнне|загад
Армейскі суд|трыбунал
Армейскі святар|капелан
Армейскі рамень з кабурой|партупея
Армейскі чын амерыканскага прэзідэнта Дейвида Эйзенхауэра|генерал
Арменія (горад)|Иджеван
Войска фашысцкай Нямеччыны 1935–1945 гг.|вермахт
Армянская нацыянальная локшына|тархана
Армянскія нацыяналісты|дашнакі
Армянскія пяльмені|бораки
Армянскі паэт, публіцыст|Ованесян
Армянскі пісьменнік|Паронян
Артабстрэл|кананада
Артыст – адмысловец па складаных відовішчных труках|каскадзёр
Артыст балета, балетмайстар, з 1924 жыў і працаваў у ЗША (1880–1944)|Мордкин
Артыст цырка|жанглёр
Артыст, у дасканаласці які валодае тэхнікай выканання|віртуоз
Артыстка|балярына
Артылерыст|пушкар
Артылерыйская гармата для навясной стральбы па накрытых мэтах|гаўбіца
Артылерыйская гармата навяснога агню, што страляе мінамі|мінамёт
Артылерыйская гармата|марціра
Артылерыйскае вайсковае падраздзяленне|дывізіён
Артылерыйскі снарад для паразы жывой сілы, корпус якога запаўняўся кулямі, стрыжнямі, стрэламі і т. п. (устар.)|шрапнэль
Артылерыйскі снарад, начынены круглымі кулямі для масавай паразы жывых мэт на блізкай адлегласці|карцеч
Артылерыйскі агонь па якім-небудзь аб'екце|абстрэл
Артылерыйскі полк (вайсковае падраздзяленне)|артполк
Ахейцы, грэкі, старажытнае племя, народ (адказ у мн. ч.)|эліны
Ахилл, персанаж інш.-греч. міфалогіі|ахілес
Абсалютная вышыня (над узроўнем мора)|альтытуда
Першабытнік|аўтахтон
Абхазскі пісьменнік|Лакербай
Абат, прадстаўнік французскага ўтапічнага камунізму 18 ст.|Морелли
Аварыя, катастрофа|крушэнне
Авангардысцкі кірунак у западноевр. мастацтве пачатку 20 ст. (знарочыста неэстетичный, які эпатуе стыль)|дадаізм
Авангардысцкая плынь у мастацтве пач. 20 ст.|футурызм
Австр. архітэктар 19–20 стст.|Ольбрих
Австр. кампазітар, скрыпач|Крейслер
Австр. кампазітар|Шенберг
Австр. народны танец|Лендлер
Австр. пісьменнік|Бернхард
Австр. фізік і радиохимик, адкрыла пратактыній (1917)|Мейтнер
Австрал. рыба|рагазуб
Австрал. муз. прылада|гуделка
Австрал. фізік|Олифант
Аўстралійская жывёла, якое адкладвае яйкі, але выношвае дзіцянятаў у торбе і выкормлівае малаком|качканос
Аўстралійская кідальная прылада|бумеранг
Аўстралійскае млекопитающее атрада клоачных|качканос
Аўстралійскае яйцекладущее жывёла|качканос
Аўстралійскае яйцекладущее млекопитающее|качканос
Аўстралія (горад)|Графтон
Аўстралія (горад)|Куктаун
Аўстралія (горад)|Ліверпуль
Аўстралія (горад)|Ньюделит
Аўстралія (горад)|Портленд
Аўстралія (горад)|Тувумба
Аўстралія (горад)|Чарлвилл
Аўстралія (горад)|Эсперанс
Аўстралія, порт (горад)|Брисбен
Аўстралія, порт, у залу. Сэнт-Вінцэнт, адміністрацыйны цэнтр шт. Юж. Аўстралія (горад)|Адэлаіда
Аўстрыйскі мастак, прадстаўнік экспрэсіянізму па імі Оскар|Кокошка
Аўстрыйскі кампазітар, арганіст|Брукнер
Аўстрыйскі клуб, за які выступаў Блохин|форвертс
Аўстрыйскі піяніст і педагог (1882–1951)|Шнабель
Аўстрыйскі фізік і хімік (1821–1895)|Лошмидт
Аўстрыя, землі|Каринтия
Авіяцыйны боепрыпас|авіябомба
Авіяцыйны рухавік|турбіна
Автоамортизатор|рысора
Автосредство ад дарожных узрушэнняў|рысора
Аўтаспыннікі і хіпі завуць паездкі на гэтым сродку перасоўвання “ездзіць на сабаках”|электрычка
Аўтар казкі пра даверлівую дзяўчынку Алісе|Кэрролл
Аўтар сцэнара казкі пра каханне, дабрыні і Марозе Іванавічу, знятай у 1965 году і атрымалай прэмію на 2-м кінафэсце ў Кіеве|Бриттен
Аўтар асноўных законаў электратэхнікі|Кірхгоф
Аўтар раўнакутнай цыліндрыч. картографич. праекцыі|Меркатор
Аўтар кнігі пра Тарзана|Берроуз
Аўтар літаратурных твораў у прозе|пісьменнік
Аўтар помніка адміралу Нахімаву, пастаўленага ў Севастопалі|Томскі
Аўтар пабудовы Маскоўскага Манежа, створанага ў гонар перамогі рускага народа ў Айчыннай вайне 1812 г.|Карбонье
Аўтар партрэтаў, мастак ХVIII ст. Яго Партрэт Пятра I захоўваецца ў Таганрозе|Антропов
Аўтар тэорыі рэлятыўнасці|Эйнштэйн
Аўтар травапольнай сістэмы земляробства|Вільямс
Аўтар прац пра гісторыю Егіпту|Манефон
Аўтар фразы “Каб правільна задаць пытанне, трэба ведаць вялікую частку адказу”|Шекли
Аўтар ледзь не падарванага помніка Пятру ў сталіцы|Церетели
Аўтар, які спалучае ў складанні падкрэслена індывідуальную пазіцыю з нязмушаным выкладам|эсэіст
Аўтарскі паўтор худож. творы, малаважна адрознае ад арыгінала|рэпліка
Аўтобус, цягнік, судна, якія ідуць з падвышанай хуткасцю і меншым лікам прыпынкаў|экспрэс
Аўтамат, кіраўнік самалётам|аўтапілот
Аўтамат, што выдае гатоўка па крэдытнай картцы|банкамат
Автоматич. зброя|кулямёт
Аўтаматычна перадатны сігнал, які выклікае дзеянне якой-небудзь сістэмы, механізму|каманда
Аўтаматычны 8-зарадны пісталет аднайменнай нямецкай фірмы|вальтар
Аўтаматычны самаходны апарат для касмічных даследаванняў|месяцаход
Аўтамабіль з перакульным кузавам|самаскід
Аўтамабіль-цягач для перавозкі асоба цяжкіх і грамоздких грузаў|трэйлер
Аўтамабільнае шматпластовае шкло|триплекс
Аўтаномія Расіі|Башкірыя
Аўтаномія Расіі|Бурація
Аўтаномія Расіі|Калмыкія
Аўтаномія Расіі|Мардовія
Аўтаномія Расіі|Удмуртыя
Аўтаномія Расіі|Чувашия
Аўтаномія Расіі|Эвенкія
Аўтапрычэп для цяжкіх непадзельных грузаў|трэйлер
Аўтацыстэрна для перавозкі паліва|бензавоз
Агент трансп. прадпрыемствы, прыцягвае новыя грузы|аквизитор
Агора ў Грэцыі|пляц
Агрэгатны стан рэчыва|вадкасць
Агрономич. прыём|рыхленне
Агранамічны прыём|праполка
Адам у адносінах да любога з цяпер якія жывуць|прабацька
Пякельны водар|смурод
Аденин, тимин, гуанин, цитозин. Агульная назва|нуклеотиды
Адмін.-тэрытар. адзінка Вугоршчыны|камітат
Адмін.-тэрытар. адзінка ў Вялікабрытаніі|графства
Адмін.-тэрытар. адзінка|вобласць
Адмірал Флота Савецкага Звяза (1955), Герай Савецкага Звяза (1945)|Кузняцоў
Адмірал, паплечнік Пятра I|Головин
Адмірал, які кіраваў будаўніцтвам Адэсы, з-за чаго яе галоўная вуліца носіць яго імя|Дерибас
Адмірал, герой 1812 г.|Чичагов
Адмірал, камандаваў эскадрай у Руска-Турэцкую вайну|Сенявин
Адмірал, правадыр ангельцаў, якія атрымалі перамогу ў бітве ў Санта-Круз у 1656 г.|Блэйк
Адмін.-тэрытар. адзінка ў Іране|астан
Адміністрацыйная пасада ў феадальнай Грузіі|моурави
Адмін.-тэрытар. адзінка, Туніс, Турцыя|вілает
Адмін.-тэрытар. адзінка|графства
Адмін.-тэрытар. адзінка|камуна
Адмін.-тэрытар. адзінка|вобласць
Адміністрацыйна-тэрытарыяльная адзінка Расійскай імперыі|дистрикт
Адміністрацыйна-тэрытарыяльная адзінка ў Расіі, частка павета|воласць
Адміністрацыйна-тэрытарыяльная адзінка ў Тунісе, Турцыі|вілает
Адміністрацыйна-тэрытарыяльная адзінка ў Вугоршчыне|конитат
Адміністрацыйна-тэрытарыяльная адзінка ў старажытнай Эстоніі|мааконд
Адміністрацыйна-тэрытарыяльнае падраздзяленне якой-небудзь службы|участак
Адміністрацыйна-тэрытарыяльны цэнтр на Ўкраіне|Сімферопаль
Адміністрацыйны орган вну|рэктарат
Адміністрацыйны цэнтр Гавайскіх выспаў|Ганалулу
Адміністрацыйны цэнтр Фарэрскіх выспаў|Торсхавн
Адміністрацыйны цэнтр Французскай Гвіяны|Кайенна
Ажурны гафт з абкіданым контурам малюнка|рышэлье
Ажыятаж|гарачка
Рызыкоўная гульня, у якой вынік вызначаецца становішчам пасля прыпынку круцельнага кола (кінутага на яго шарыка)|рулетка
Рызыкоўная картачная гульня|фараон
Азерб. акцёр|Османлы
Азерб. мастак|Салахов
Азерб. кампазітар|Гаджиев
Азерб. спявак|Бейбутов
Азерб. паэт|Гянджеви
Азербайджанская дынастыя|Дербенди
Азербайджанская дынастыя|Саларид
Азербайджанскія дробныя пяльмені|дюшпара
Азербайджанскі графік (1880–1943)|Азимзаде
Азербайджанскі парламент|меджліс
Азербайджанскі спявак, акцёр і рэжысёр, народны артыст СССР па імі Рашыд|Бейбутов
Азотазмяшчальная арганічная кіслата|крэацін
Азотазмяшчальнае цыклічнае соед. (гл. выявай расліннага паходжання), звычайна валодаюць высокай физиологич. актыўнасцю, дзейнічаюць на нервовую сістэму і т. п. (хим.)|алкалоід
Азотазмяшчальнае арганічнае злучэнне|алкалоід
Азотнае ўгнаенне|мачавіна
Азотнае ўгнаенне|салетра
Азотнакіслая соль калія, натрыю, амонія|салетра
Азотнакіслая соль, якая спажываецца ў аграноміі, тэхніцы выбуховых рэчываў|салетра
Айнский, мова Азіі|айну
Акадэмік, заснавальнік рускай заатэхнікі|Куляшоў
Аксэсуар афіцыйнага іміджу мужчыны|гальштук
Аксэсуар хипповых джынсаў|латка
Аксіёма (супрацьлегласць)|тэарэма
Акробатич. элемент|кулёк
Акрабатычная постаць з людзей, якія робяцца адзін на аднаго ў некалькі шэрагаў|піраміда
Акрабатычны элемент|кулёк
Акустич. характ-ка якая гучыць гаворкі|фарманта
Акустычная характарыстыка гуку гаворкі, злучаная з вышынёй тону і ўтваралая тэмбр|фарманта
Акварыумная рыба|дианема
Акварыумная рыба|орнатус
Акварыумная рыба|пантодон
Акварыумная рыба|пецилия
Акварыумная рыба|пунтиус
Акварыумная рыба|расбора
Акварыумная рыба|тернеция
Акварыумная рыба|тилапия
Акварыумная рыба|філамена
Акварыумная рыба|ліхтарык
Акварыумная рыба|вострыца
Акварыумная рыба|элассома
Акварыумная рыбка атрада окунеобразных|скалярия
Акварыумная рыбка, што атрымала свая назва ад пышнага царскага адзення ў сярэднявечным мастацтве.|орнатус
Акварыумная рыбка|макрапод
Акварыумная рыбка|пеўнічак
Акварыумная рыбка|пунтиус
Акварыумная рыбка|шубункин
Акварыумная карпападобная рыба|пірання
Акорд не адразу|арпеджыа
Акумулятар механич. энергіі|махавік
