Два ачка на носу|пенснэ
Два паралельных хрыбта на мяжы Чэхіі і Нямеччыны|Шумава
Два раз'яднаных нагоды для кодлы канёў|лейцы
Два бота|пары
Два трохдзённых пераходзячых свята ў мусульман|байрам
Два чарачкі – гэта колькі?|чарка
Двойчы Герай Савецкага Звяза (1940, 1944), генерал-маёр авіяцыі (1958)|Ракаў
Двойчы Герай Савецкага Звяза (1942, 1944), генерал-лейтэнант авіяцыі (1967)|Таран
Двойчы Герай Савецкага Звяза (1942, 1944), маёр (1944)|Восіпаў
Двойчы Герай Савецкага Звяза (1942, 1945, пасмяротна), генерал-маёр авіяцыі (1943)|Полбин
Двойчы Герай Савецкага Звяза (1943), генерал-маёр авіяцыі|Алелюхин
Двойчы Герай Савецкага Звяза (1943), палкоўнік (1951)|Глінка
Двойчы Герай Савецкага Звяза (1943, 1944), генерал-палкоўнік авіяцыі (1972)|Гулаев
Двойчы Герай Савецкага Звяза (1943, 1944), капітан (1943)|Карпаў
Двойчы Герай Савецкага Звяза (1943, 1945), генерал-лейтэнант авіяцыі (1968)|Попков
Двойчы Герай Савецкага Звяза (1943, 1945), палкоўнік (1957)|Сенько
Двойчы Герай Савецкага Звяза (1943, 1945, за фарсіраванне рр. Днепр і Дунай), генерал-лейтэнант (1945)|Козак
Двойчы Герай Савецкага Звяза (1944), генерал-лейтэнант (1975)|Шилин
Двойчы Герай Савецкага Звяза (1944), палкоўнік (1944)|Блазнаў
Двойчы Герай Савецкага Звяза (1944, 1945), генерал-лейтэнант авіяцыі (1972), заслужаны ваенны лётчык СССР (1971)|Бяда
Двойчы Герай Савецкага Звяза (1944, 1945), генерал-маёр-інжынер (1975)|Сивков
Двойчы Герай Савецкага Звяза (1944, 1945), маёр (1944)|Паршин
Двойчы Герай Савецкага Звяза (1944, 1945), маёр (1948). Загінуў у авіяцыйнай катастрофе|Паўлаў
Двойчы Герай Савецкага Звяза (1944, 1945, пасмяротна), капітан (1944)|Клубаў
Двойчы Герай Савецкага Звяза (1944, 1948), палкоўнік (1960)|Кретов
