Жаба з памяранцавым брушкам|жарлянка
Жаба|квакуша
М. Булгакаў у Майстру і Маргарыце даў яму імя Воланд|Люцыпар
Паэма М. Лермантава|карсар
Маса аркестра, супрацьпастаўленая групе кончертино|рипиено
Масавая п'янка як выгляд спорту (разг.)|літрбол
Масавы распаўсюд інфекцыйнага захворвання чалавека ў якой-небудзь мясцовасці, краіне|эпідэмія
Масавае забойства|збіванне
Масавае гледзішча ў шэрагу краін|карыда
Масавае гледзішча ў Іспаніі|карыда
Масавае культурна-піцейнае мерапрыемства|гулянне
Масавы ўлік каго-небудзь|перапіс
Масавы часопіс ЦК КПСС|агітатар
Масіўнае кола: акумулятар механічнай энергіі|махавік
Масіўная труна, магільня|саркафаг
Маскіроўка прадметаў шляхам афарбоўкі палосамі, плямамі|камуфляж
Алейная расліна сем. губоцветных|перилла
Майстар – футроўшчык|кушнер
Майстар сваёй справы|эксперт
Майстар выраба меха|кушнер
Майстар з С.-Пецярбурга, аўтар падручніка па бильярдн. гульні|Капралаў
Майстар па вырабе мяхоў са шкур|кушнер
Майстар па вырабе бочак на Русі|бондар
Майстар па друкаванай справе|друкар
Майстар па вытворчасці ганчарных вырабаў|керамист
Майстар швіва|кравец
Майстар, які вытварае лёгкія вырабы з жалеза|скобарь
Майстар, што займаецца пашывам і папраўкай абутку|шавец
Майстар, які вырабляе з драўляных планак буйны посуд|бондар
Майстар, што пабудаваў сумесна з Бармой храм В. Блажэннага|Поснік
Майстэрня з горанам для ручнога кавання металу|гамарня
Майстэрня для подковывания канёў|гамарня
Майстэрня па вырабе буйнага посуду (бочак, кадак)|бандарня
Майстэрства лётчыка|пілатаж
Майстрыха пазбаўляцца ад хваста, але не шпіёнка|яшчарка
Масць канёў (муж. р.)|буланы
Маргарэт Тэтчер па партыйнай прыналежнасці|торы
Марыец|чараміс
Марынаваны прадукт|марынад
Марица, Сільва – жанр|аперэта
Марка аўтамабіля|крайслер
Марка аўтамабіля|міцубісі
Марка аўтамабіля|понтиак
Марка аўтамабіля|ферары
Марка аўтамабіля|шэўрале
Марка амерыканскага легкавога аўтамабіля|шэўрале
Марка амерыканскіх цыгарэт|винстон
Марка амерыканскіх легкавых аўтамабіляў|крайслер
Марка амерыканскіх легкавых аўтамабіляў|лінкольн
Марка савецкага радыёпрымача|альпініст
Марка савецкага халадзільніка|апшерон
Марка савецкіх легкавых аўтамабіляў|масквіч
Марка пральнай машыны|валжанка
Марка пральнай машыны|малютка
Марка айчыннага тэлевізара|гарызонт
Марка які адбельвае сродку|персоль
Марка радыёлы|мелодыя
Марка радыёпрымача|спидола
Марка белага бордосского віны|карбонье
Марка ровара|спадарожнік
Марка гарэлкі|смирнофф
Марка імпартнага аўтамабіля|шэўрале
Марка інсектыцыду|дихлофос
Марка італьянскіх аўтамабіляў|ферары
Марка італьянскіх гоначных, спартовых і турысцкіх аўтамабіляў|ферары
Марка чырвонага бордосского віны|леовиль
Марка крылатых ракет ЗША, здольных несці ядзерны зарад|тамагаўк
Марка легкавога аўтамабіля|масквіч
Марка легкавых аўтамабіляў ЗША, што выпускаліся ў 1929–37 гадах|корд
Марка легкавых аўтамабіляў ЗША|крайслер
Марка легкавых аўтамабіляў, якія выпускаліся ў ЗША напачатку стагоддзі|пакард
Марка лікёру|амаретто
Марка пыласоса|ветрык
Марка трактара|Беларусь
Марка трактара|кировец
Марка фашысцкага танка|пантэра
Марка французскага аўта|ситроен
Марка французскага каньяку|мартель
Марка французскіх аўтамабіляў|ситроен
Марка электрабрытвы|Харкаў
Марка японскага матацыкла|кавасаки
Мартышковая малпа|мангобей
Маршал авіяцыі (1961), двойчы Герай Савецкага Звяза (1944, 1945)|Савицкий
Маршал авіяцыі (1981), двойчы Герай Савецкага Звяза (1945)|Блазнаў
Маршал Савецкага Звяза (1935), тройчы Герай Савецкага Звяза (1958, 1963, 1968)|Будзёны
