Гатунак яблыкаў|янтарка
Гатунак яблыні з дробнымі пладамі|кітайка
Гатунак яблыні|ранетка
Гатунак яблыні|цітаўка
Захаванне дадзеных у выглядзе (фармаце), прызначаным для абмену з іншымі праграмамі (комп.)|экспарт
Соус|бешамель
Саўдзельнік гульні|партнёр
Саўдзельнік злачынства|саўдзельнік
Сабака родам з Балканскага паўвострава|далматин
Сабака для палявання на ваўка|ваўкадаў
Сабака-падводнік|вадалаз
Сабачае калье|нашыйнік
Уласная назва асобнага геаграфічнага месца|тапонім
Уласнаручна напісанае прозвішча|подпіс
Збор слоў, выразаў з тлумачэннямі ці з перакладам на іншую мову|слоўнік
Збор рэлігійных гімнаў, першы извест. помнік індыйскай літаратуры|ригведа
Збор усіх дзейсных законаў у ХVII ст.|укладанне
Збор высокапастаўленых твараў (современ., иронич.)|сінкліт
Збор для сумеснага правядзення вольнага часу|тусоўка
Збор гукапісаў|фанатэка
Збор гульняў для выдачы ў часавае карыстанне|гульнятэка
Збор кардыналаў, скліканае пасля смерці рымскага таты для абрання новага|канклаў
Збор найболей аўтарытэтных твараў для рашэння якога-небудзь пытання (перен.)|арэапаг
Збор прадстаўнікоў: орган самакіравання абласцей і земляў у некаторых заходнееўрапейскіх краінах|ландтаг
Збор, архіў негатываў|фотатэка
Сабраная пчоламі пылок|хлебина
Збіральнік манет і медаляў|нумізмат
Зборная назва складаных бялкоў|цитохром
Зборнае паняцце для пазначэння розных пухлін нервовай сістэмы|неврома
Падзея ў рамане, фільме, які вызначае пачатак канфлікту|завязка
Падзея, што ганіць рэпутацыю яго ўдзельнікаў|скандал
Сукупнасць выглядаў раслін, якія адносяцца да адной ці блізкім жыццёвым формам|синузия
Соў. : паэт; мастак|Калядны
Соў. арх-тор (Цэнтр. тэлеграф)|Рерберг
Соў. археолаг і этнограф|Талстоў
Соў. архітэктар|Абросимов
Соў. архітэктар|Мезенцев
Соў. артыст цырка|Куклачев
Соў. артыст цырка|Румянцаў
Соў. артыстка цырка|Назарава
Соў. авіяканструктар (1902–78)|Мясищев
