Герай рамана І. Гончарова?|Абломаў
Герай рамана Ф. М. Дастаеўскага “Ідыёт”|Мышкин
Герай рамана М. Митчелл “Панесеныя ветрам”|Ретт
Герай рамана Стендаля “Чырвонае і Белае”|Люсьен
Герай рамана Стендаля “Чырвонае і чорнае”|Реналь
Герай рамана Стендаля|Сорель
Герай рамана Ч. Диккенса|Домби
Герай рамана ў вершах А. Пушкіна|Онегин
Герай рамана Віктара Гюго “Працаўнікі мора”|Жильят
Герай рамана-эпапеі М. Горкага|Самгин
Герай раманаў В. Ильфа і Е. Пятрова|Бэндар
Герай раманаў Дрюона ў серыі “Праклятыя каралі”|Гуччо
Герай рускіх казак|Ямеля
Герай руска-японскай вайны 1904–1905 гг. камандзір крэйсера “Вараг”|руднеў
Герай рускай казкі|Ямеля
Герай сатырычных раманаў, які сцвярджаў яшчэ ў 1928 году, што “захад нам дапаможа”|Бэндар
Герай сказу П. Бажова|Даніла
Герай казкі Г. Х. Андэрсана?|Клаўс
Герай казкі К. І. Чуковского|Айбаліт
Герай скандин. міфалогіі і эпасу|Хельгі
Герай сярэднявечных легенд, чарнакніжнік і астролаг|Фаўст
Герай верш. Н. Некрасова|Мазай
Герай трагедыі “Барыс Гадуноў”|Пімен
Герай трагедыі В. Шэкспіра|Ромео
Герай трагедыі Сафокла|Эдип
Герай трафейных фільмаў 40-ых гадоў, які падарыў сваё імя знакамітаму атракцыёну?|Тарзан
Герай фантастычнага рамана А. Н. Талстога|Гарин
Герай фільма “Свінарка і пастух” па родзе заняткаў|чабан
Герай чэшскага народа па імі Ян|Гус
Герай шумерскіх і аккадских легенд|Саргон
Герай эпасу Грузіі|Амирани
Герай эпасу Ц. і В. Азіі|Гэсэр
Герай эпасу адыгов, сын Альбека і Барамбух|Тотреш
Герай эпасу паўднёвых славян|Юнак
Герай, згуляны А. Демьяненко ў кинокомедиях Гайдая|Шурык
Герай, згуляны гэтым акцёрам, унёс у наш побыт фразу: “Тостуемый п'е да дна”?|Лявонаў
Герай-волат, які перамагаў усіх у адзінаборстве, чэрпаючы сілы пры судотыку з маці-зямлёй, і пераможаны Гераклам|Антэй
Герай-найміт у інш.-греч. міфалогіі, які забіў у паядынку ўлюбёнца Апполона, завошта быў знішчаны злапомным богам|Ахилл
Героя адной з п'ес Астроўскага падчас дзеянні завуць жартам то сазанам, то акунём, то ментузом, то асетрам. Як яго клікалі насамрэч?|Карп
Герцагства ў сярэднявечнай Італіі|Парма
Гетэрацыклічнае злучэнне, духмянае рэчыва ў парфумерыі|индол
Гетман Украіны?|Мазепа
Геттингенские манеты 18 ст., соответствовашие 8 пфенігам|ахтпфеннигер
Гефест па-старажытнарымску|вулкан
Гіяцынт, арабская транскрыпцыя грэцкай назвы|джарджун
Гібрыд асла і дзікага афрыканскага каня|зеброід
Гібрыд каня з насарогам, які водзіцца на некаторых гербах|аднарог
Гібрыд міжвідавых і межродовых скрыжаванняў жывёл|бастард
Гнуткая тонкая плёнка, прыведзеная ў состояниие нацяжэнні і што валодае пругкасцю|мембрана
Гнуткая трубка, якая ўводзіцца ў паражніны цела для адводу вадкасцяў, прамыванні, як зонд і т. п. (мёд.)|катэтар
Гнуткая і трывалая (часам армаваная) трубка (рукаў) для падачы вадкасцяў і газаў|шланг
Гнуткая труба для адводу вадкасцяў і газаў|шланг
Гнуткая трубка для адводу, пераліванні і т. п., вадкасцяў і газаў|шланг
Гнуткія і трывалыя лісты з прасаванай папяровай масы, якія ўжываюцца як ізаляцыйны матэрыял і для выраба валізак, скрынак|фібра
Гнуткі магнітны дыск для запісу і счытванні інфармацыі|дыскета
Гнуткі дубец для біцця|дубец
Гнуткі дубец|вица
Гнуткі, пругкі і расцяжны матэрыял|эластык
Гнуткі, хвосткі дубец, кароткі бізун|дубец
Гнуткі доўгі кручаны выраб, трос|ліна
Прапашчы твор (драматургич.)|трагедыя
Прапашчая справа ў следчай практыцы|висяк
Гібрыд баяна і фартэпіяна|акардэон
Гібрыд кабылы і асла|мул
Гібрыд ложка і арэляў|гамак
Гібрыд асліцы з жарабцом, хатняя жывёла|лашак
Гібрыд ад скрыжавання вярблюдаў – дромедара з бактрыянам|нар
Гібрыд стерляди з бялугай|бестер
Гіганцкая да 3 метраў вышынёй страусообразная птушка, якая насяляла на Мадагаскары і знішчаная ў 18 ст. чалавекам|эпіёрніс
Гіганцкае рэліктавае іглічнае дрэва, якое расце ў Каліфорніі|секвоя
Гіганцкае іглічнае дрэва (вышыня да 100 м, диам. да 11 м), расце ў горах Каліфорніі і Юж. Арэгона|секвоя
Гіганцкі ўдаў з берагоў Амазонкі|анаконда
Гіганцкі дыназаўр|диплодок
Гігант без нюху са слабым зрокам і пышным слыхам|кіт
Гіганцкая хваля, якая ўзнікае на паверхні акіяна|цунамі
Гіганцкая маці|Гея
Гіганцкая разбуральная акіянічная хваля, што ўзнікае ў выніку падводнага землятрусу|цунамі
Гіганцкія хвалі; раман Задорнова|цунамі
Гіганцкія хвалі|цунамі
Гіганцкі дыназаўр крэйдавага перыяду|антарктозавр
Гіганцкі васьміног ці кальмар|спрут
Гігіенічны і асвяжальны сродак|адэкалон
Гід у Італіі|чычэроне
Гід, які водзіць телепутешественников па свеце жывёл|Драздоў
Гидрографический статут Анхеля|вадаспад
Гидротермальный мінерал, бериллосиликат|бавенит
Гидротехн. збудаванне ў выглядзе канала ці трубаправода|вадавод
Гідратэхнічнае збудаванне ў выглядзе канала ці трубаправода|вадавод
Гідратэхнічнае збудаванне для абароны акваторый порта ад хваль|хвалялом
Гідратэхнічнае збудаванне|хвалярэз
Гідратэхнічнае збудаванне|перапад
Гідратэхнічнае збудаванне|плаціна
Гідраўлічная велічыня, вызначаная раўнаннем Бярнулі|напор
Гідраўлічная музычная прылада, вынайдзены александрыйскім механікам Ктесибием|орган
Гідрыд мыш'яку, атрутны газ|арсін
Гидроакустический прыбор для вымярэння глыбінь мора|рэхалот
