Опера Флотова|Марта
Опера Шарля Тома|мін'ён
Опера Штраўса|Дафна
Опера італьянскага кампазітара Пьетро Масканьи|касач
Опера сав. кампазітара Н. Жиганова|алтынчеч
Опера чэшскага кампазітара Ёзэфа Богуслава Ферстера|Ева
Опера-балет Н. Рымскага-Корсакова|Млада
Опера-быліна Н. Рымскага-Корсакова|Садко
Аператыўнае вайсковае аб'яднанне з некалькіх карпусоў, дывізій|войска
Аператыўнае аб'яднанне, якое ўключае злучэнні і часці розных выглядаў і родаў узброеных сіл і прызначанае для вядзення аперацый?|войска
Аперацыя ў раслінаводстве|сяўба
Аперацыя выкручвання мокрай бялізны|адціск
Аперацыя мабільных частак, партызан, налёт авіяцыі на тылы суперніка|рэйд
Аперацыя аздаблення тканін|апрэтура
Аперацыя пры вымярэннях|замер
Аперацыя штампоўкі|абцісканне
Аперацыя: ты – мне, я – табе|угода
Апярэджанне аднаго транспартнага сродку іншым|абгон
Апярэджанне тэрмінаў росту і развіцці раслін шляхам гадоўлі расады|забег
Апярэджанне транспартнага сродку, злучанае з выездам на паласу сустрэчнага руху з наступным вяртаннем на раней займаную паласу|абгон
Опереточный танец|каскад
Аперэта І. Дунаевского|жаніхі
Аперэта І. Кальмана|Марица
Аперэта І. Кальмана|Сільва
Які аперыўся мячык|валан
Оперная спявачка, што выконвае галоўныя партыі (прымадона)|прыма
Оперны тэатр у Буэнас-Айрэсе; ден. ед. Сальвадора|калон
Оперны тэатр у Буэнас-Айрэсе|калон
Оперы “Сафо”, “Фаўст”, “Мирейль” (аўтар)|Гуно
Апісанне мораў, водных шляхоў і ўзбярэжжаў для патрэб караблекіравання|лоцыя
Апісанне паверхні планеты Марс|арэаграфія
Апісанне становішча пункта прызначэння, дастатковае для дастаўкі паведамлення|адрас
Апісанне прыроды ў літаратурным творы|пейзаж
Апісанне свайго жыцця|аўтабіяграфія
Апісанне спосабу падрыхтоўкі чаго-небудзь (стравы, прэпарата)?|рэцэпт
Апісанне, выклад чаго-небудзь у агульных, галоўных рысах|схема
Вопіс, спіс|рэестр
Опіум?|мак
Аплата ліцэнзіі ці аўтарскі ганарар у выглядзе рэгулярных выплат, памер якіх залежыць ад эфекту, атрыманага ад ліцэнзіі|роялці
Оплечье на Русі|барма
Аплодненае яйка|зігота
Промах з-за няўважлівасці, якая ў шахматах вылазіць бокам амаль адразу|позех
Апора вала?|цапфа
Апора для блізкага|плячо
Апора для рэек|шпала
Апора для ўсталёўкі і выверкі машын|чаравік
Апора для ўсталёўкі ручнога кулямёта – дэталь радавой навясной сеялкі|сошка
Апора моста, плаціны, набярэжнай у выглядзе зруба з бярвення, запоўненага камянямі|зруб
Апора пры хадзе па ўсходах|парэнчы
Апора сакратаркі|нага
Апора збудавання|паля
Апорная бэлька, якая падтрымлівае дах|прагон
Апорная кропка геодез. сеткі|астрапункт
Апорная кропка геадэзічнай сеткі, дакладныя каардынаты якой вызначаны астранамічнымі метадамі|астрапункт
Апорная частка аўтамабіля|шасі
Апорная частка стала|ножка
Апорная частка чаго-небудзь|аснова
Апорны камень пад аркай ці зборам|пята
Апаэтызаваная назва аўтаручкі пісьменніка|пяро
Апазіцыянер Бога?|Сатана
Апанент Цімура і яго каманды|Квакин
Оправдательница сродкаў|мэта
Вызначэнне якасці, адпаведнасці стандартам (прадукцыі, працоўных месцаў)|атэстацыя
Вызначэнне кваліфікацыі, узроўня ведаў працаўніка ці навучэнца|атэстацыя
Вызначэнне няспраўнасці ці захворванні?|дыягностыка
Вызначэнне сапраўднасці і аўтарствы твора мастацтва, чакай яго стварэнні|атрыбуцыя
Вызначэнне складу і ўласцівасцяў якога-небудзь рэчыва?|аналіз
Вызначэнне ўзроўня ведаў працаўніка, яго дзелавой кваліфікацыі?|атэстацыя
Вызначэнне, прибавляемое да назвы твару, прадмета|эпітэт
Вызначэнне, прибавляемое да апісання твару ці прадмета, з мэтай надаць яму мастацкую выразнасць, паэтычную яркасць?|эпітэт
Вызначаная ўгода|суитч
Вызначаны бок разгляданай з'явы, паняцці|аспект
Вызначаная прыступка развіцця|стадыя
Вызначаная частка тэрыторыі?|зона
Вызначаная частка, падраздзяленне арганізацыі, канферэнцыі і т. п.|секцыя
Вызначаная частка, перыяд у спартовай гульні|тайм
Вызначаная чалавечая агульнасць, напр., племя, нацыя|соцыум
Вызначанага колеру шырокае палатно на тронку, якое належыць вайсковай часткі, якой-небудзь арганізацыі, дзяржаве|сцяг
Вызначаная колькасць пораху, дзеяннем выбуху якога снарад (куля) выштурхваецца з канала ствала зброі?|зарад
Вызначаная колькасць тавара|партыя
Вызначаны момант падчас развіцці якога-небудзь працэсу|фаза
Вызначаны момант падчас развіцці працэсу|фаза
Вызначаны прамежак часу|перыяд
Вызначаны прамежак часу|тэрмін
Вызначаны памер выраба, прадмета|калібр
Вызначальнае паняцце, якое ляжыць у аснове теоретич. сістэмы|ідэя
Апытальны ліст|анкета
Апратэставанне пракурорам супярэчных закону актаў?|пратэст
Оптыка-механічны прыбор для дакладных кутніх вымярэнняў|аўтакаліматар
Оптич. прыбор для дакладных кутніх вымярэнняў|аўтакаліматар
Оптич. прыбор|аналізатар
Оптич. рашотка для пераўтварэння малюнка ў растравую (кропкавую) форму (полигр.)|растр
Оптич. сістэма ў кіназдымачным апараце|візір
Аптычная ... малекул прыцягнула ўвагу Луі Пастера, а пасля яго працы ў гэтай галіне ляглі ў аснову стереохимии|асіметрыя
Аптычная аберацыя, з-за якой малюнак кропкі мае выгляд коскі|кома
Аптычная дэталь, шматкантовік для заваротку ходу прамянёў, раскладанні ў спектр і інш.|прызма
Аптычная сістэма, якая служыць для кампаноўкі кадра|візір
Аптычная сістэма?|акуляр
Аптычная сістэма?|тэлескоп
Аптычная сістэма?|мікраскоп
Аптычны квантавы генератар, прылада для атрымання магутных вузканакіраваных праменьчыкаў святла|лазер
Аптычны зман|міраж
Аптычны прыбор для атрымання павялічаных малюнкаў непразрыстых прадметаў ці дыяпазітываў на экране|лупа
Аптычны прыбор для паляпшэння зроку|ачкі
Аптычны прыбор з дзвюх лінзаў, а таксама якія абараняюць вочы шклоў|ачкі
Аптычны прыбор, “умелы працаваць” скальпелем|лазер
Аптычны прыбор, “што ўсталёўваецца” на носу|ачкі
Аптычная атмасферная з'ява|смуга
Аптычная атмасферная з'ява|марыва
Аптычнае шкло з выпукла-ўвагнутымі паверхнямі|меніск
Аптычнае шкло адмысловай формы|лінза
Аптычнае шкло, абмежаванае сферычнымі паверхнямі|лінза
Аптычнае шкло; форма залягання горных парод|лінза
Аптычнае шкло|лінза
Аптычная з'ява – з'яўленне ў атмасферы ўяўных малюнкаў аддаленых прадметаў|міраж
Аптычная з'ява ў атмасферы: каляровыя кольцы, якія ўтвараюцца вакол ценю назіральніка, што падае на воблака ці на скупнасць смугі|глорыя
Аптычная з'ява ў атмасферы|гало
Аптычная з'ява|світанак
Аптычная з'ява|імга
Аптычная з'ява|вясёлка
Аптычная з'ява|ззянне
Аптовы рынак|біржа
Аптовы скупшчык скаціны і розных харчоў для перапродажу|прасал
Які апусціўся ўчастак зямной кары між двух разломаў (геол.)|грабен
Які апусціўся чалавек, не мелы сталага жыхарства і вызначаных заняткаў|бізун
Опухолевидное разрастанне носоглоточной міндаліны|адэноід
Опухолевидное разрастанне носоглоточных міндалін?|адэноід
Опухолевое захворванне крывятворнай тканіны|лейкоз
Пухліна, якая складаецца з крывяносных і лімфатычных пасудзін|ангіёма
Апушчаны па разломе ўчастак зямной кары|грабен
Досвед па-французску|эсэ
Дасведчаны, каштоўны адмысловец|зубр
Ап'яняльны напой з агавы ў ацтэкаў|октли
Ап'яняльны напой з каранёў дзікага перцу|кава
Памяранцава-чырвоная зорачка з сузор'я Льва|альгиеба
Памяранцавы восеньскі фрукт|хурма
Памяранцавы плён паўднёвага дрэва, але не апельсін|хурма
Аратар, прарок|красамоўца
Аратар, рытар, балака|красамоўца
Аратар|рытар
Араторыя Вивальди|юдифь
Араторыя Генделя|саул
Араторыя нямецкага кампазітара і арганіста Г. Ф. Генделя|саул
Прамоўніцкая трыбуна ў Старажытным Рыме|ростра
Орг. злучэнне, альдэгід воцатнай кіслаты|ацэтальдэгід
Орг. злучэнне, амід воцатнай кіслаты|ацэтамід
Орган ваеннай выведкі і контрвыведкі фашысцкай Нямеччыны|абвер
Орган паветранага сілкавання і газаабмену раслін у выглядзе тонкай, звычайна зялёнай пласцінкі|ліст
Орган узнаўлення і рассяленні шматлікіх раслін|насенне
Орган гарадскога самакіравання ў сярэднявечнай Еўропе|ратуша
Орган гарадскога кіравання ў Расійскай імперыі, скасаваны рэформай 1864 гады?|магістрат
Орган дзярж. улады, парламент у Польшчы, Латвіі і інш.|сойм
Орган руху ў бесхрыбтовых|велум
Орган для размнажэння ў найнізкіх раслін|спора
Орган дыхання шэрагу водных жывёл|жабры
Орган дыхання ў рыб|жабры
Орган дыхання чалавека, жывёл|лёгкія
Орган дыхальнай сістэмы|бронхі
Орган дыхальных шляхоў|трахея
Орган габрэйскага супольнага самакіравання, назва якога кажа, як шумна там у іх|кагал
Орган жывёлы, птушкі, чалавека|сэрца
Орган зроку (устар.)|вока
Орган зроку проціпаветранай абароны|радар
Орган зроку ў шматножак|стемма
Орган зроку|вока
Орган мясцовай выканаўчай улады|мэрыя
Орган малюскаў|радула
Орган нюху лятучай прыгажуні?|вусік
Орган нюху птушак|дзюба
Орган нюху|нос
Орган па мірным дазволе спрэчак|арбітраж
Орган паходнага ахоўвання ў сухапутных войсках і на флоце|ар'ергард
Орган прадстаўніцтва германскіх земляў, да 1918 г. верхняя палата германскага парламента?|бундэсрат
Орган птушак?|дзюба
Орган размнажэння раслін; рускі раманс|кветка
Орган размнажэння раслін|кветка
Орган размнажэння ў грыбоў у выглядзе торбы|аск
Орган размнажэння ў раслін|насенне
Орган самак неплацентарных млекаспажыўцоў|торба
Орган самакіравання ў гарадах феадальнай Нямеччыны|ратуша
Орган самакіравання суседзяў|дамкам
Орган слыху|вуха
Орган спороношения сумчатых грыбоў|аск
Орган вартаўнічага ахоўвання|сакрэт
Орган цела чалавека і жывёлы, які складаецца з тканіны, здольнай скарачацца пад дзеяннем нервовых імпульсаў|цягліца
Орган цела, здольны скарачацца пад уплывам нервовых імпульсаў|цягліца
Орган у птушак, казурак і некаторых млекаспажыўцоў|крыло
Орган у птушак|дзюба
Орган кіравання ў савецкіх міністэрствах|глаўк
Орган кіравання войскамі|штаб
Орган кіравання на Русі 16–17 ст.|загад
Орган кіравання ў запарожскіх казакоў|кош
Орган, які замяняе нос прусаку|вусік
Орган, што займаецца выдачай віз для выезду за мяжу (аббр.)|овир
Орган, які мае ролю мяхі (?) зг|лёгкае
Орган, не падпарадкоўвальны загадам (анатам.)|сэрца
Орган, які здзяйсняе працэс руху крыві ў арганізме|сэрца
Орган, пасродкам якога мы думаем, быццам мы думаем?|мозг
Орган, які нараджае законы|дума
Орган, што выпрацоўвае і які вылучае гармоны ці іншыя рэчывы, што забяспечваюць жыццядзейнасць арганізма|жалеза
