Каханая мужчынамі дэталь станіка?|шлейка
Каханая пушкінскім Доўбнем полба – гэта выгляд чаго?|пшаніцы
Каханая вуліца Булата Окуджавы?|Арбат
Каханая песня Б. Брыльски, Л. Ахеджаковой і В. Талызиной у вядомым фільме Э. Разанава?|вагончыкі
Каханая птушка Максіма Горкага, якая “лунае над сівой раўнінай мора”?|буравеснік
Каханае віно Рыгора Распуціна?|мадэра
Каханы выраз трунных спраў майстра Безенчука: “Туды яго ў ...” Падкажыце, куды?|качель
Каханае дзіцё?|дзіця
Каханы каня Пятра I клікалі ... ?|Лизетта
Каханая бабуліна шафа?|камода
Каханы жанр В. Маякоўскага?|агітка
Каханы заклік савецкіх піянераў “Бяры лыжку, бяры бак!” выконваўся на ... ?|горане
Каханы блазан Алы Пугачовай?|арлекін
Каханы напой ірландцаў па меркаванні Генрых Белячы?|чай
Аматар і знаток ежы?|гурман
Аматар паспаць (зверск.)?|сурок
Аматар вывучэння падземных хадоў?|дзігер
Аматарка засмоктаў, але не палюбоўніца, ахвотніца насаліць?|багна
Кахаю айчыну я, але  каханнем! – верш М. Ю. Лермантава?|радзіма
Любоўныя інтрыгі, заляцанне?|шашні
Любай з насельнікаў чэхаўскай “Палаты №б”?|дурань
Людзі імкнуцца, каб ЁН быў мірным. Хто ЁН?|атам
Людзі, размаўлялыя, што загаворамі могуць выклікаць гэта надвор'е, карыстаюцца і цяпер у Афрыцы вялікай пашанай. Якую?|дождж
Людзі, якія думаюць “піць трэба больш” і тыя, якія думаюць “піць трэба менш”, сыходзяцца ў адным – ...?|піць трэба
Людскія намовы.|гаворка
М. Горкі сцвярджаў, што ён не ведае нічога лепш, складаней і цікавей. Хто гэта?|чалавек
М. Горкі, “Дурны пінгвін нясмела хавае ... ва ўцёсах” а) цела тоўстае б) нішчымную грудзінку ў) заначку г) акваланг, зброя і дакументы?|а
Метал групы лантаноідаў|лютэцый
Чараўнік з Ордэна добрых чараўнікоў у кнізе Д. Р. Р. Толкіена?|Гендальф
Крама моднай, дарагой адзежы?|буцік
Магнітафон без узмацняльніка магутнасці?|дэка
Мадагаскар як геаграфічны обьект?|выспа
Майя Чибурданидзе як спартоўка?|шахматыстка
Макіяж, які ператварае да непазнавальнасці?|грым
Максім Перепелица ў свету?|Быкаў
Малаві (горад у Афрыцы)?|Блантайр
Малая планета?|астэроід
Маленькая жаночая сумачка, чыім “імем” нярэдка хібна завуць здаравенныя сумищи?|ридикюль
Маленькі круглы капялюшык?|ярмолка
Маленькі гігант вялікага смеху?|Хазанов
Маленькі агеньчык, які выскоквае з вогнішча?|іскра
Маленькі, гарэзны, падземны, а не гном (нямы. фальклор)?|кобольд
Мала таго, што прэмія дасталася яе мужу, зяцю і дочкі – яна сама атрымала яе двойчы. Хто яна?|Кюры
Малаадукаваны чалавек, невук?|невук
Маляня і Карлсан, Элли і Тотошка, Нильс і ... ?|Марцін
Мальвіна спрабавала навучыць Бураціну арыфметыцы і ... ?|гігіене
Мама – ... , Тата – шклянка портвейна – слова з песні В. Цоя?|анархія
Мама Леаніда Якубовича, па яго ж словам, была лекар-... ?|гінеколаг
Манера перажоўвання, вельмі далёкая ад добрых манер?|чмяканне
Манікюр для ног?|педыкюр
Вабіка вырабляецца з ... ?|пшаніцы
Маргарэт Тэтчер прыналежаць словы: “90% нашых клопатаў дакранаецца таго, што ніколі ...”?|не здарыцца
Марк Твен, як вядома, у маладосці плаваў па Місісіпі. А адзін з яго сяброў спусціў на ваду лодачку, якая кіруецца з берага пры дапамозе радыёапаратуры. Ён таксама быў геній. Хто ён?|Цеслы
Марка амерыканскага аўтамабіля?|додж
Марка амерыканскага аўтамабіля?|кадылак
Марка амерыканскага аўтамабіля?|крайслер
Марка амерыканскага аўтамабіля?|олдсмобиль
Марка шрубалёта?|арол
Марка нямецкага аўтамабіля?|БМВ
