Пратэст, перасцярога дзяржавы|дэмарш
Пратэстанцкі святар|пастар
Супраць яго няма прыёму|крышан
Супраць яго таксама няма прыёму, хоць ён і маленькі|ломик
Супернік Рыкі-Тикки-Тави|Наг
Супрацьзапаленчы гарачкапаніжальны лекавы прэпарат|аспірын
Процідзеянне?|апазіцыя
Супрацьмалярыйны прэпарат, горкі смакавы дадатак|хінін
Супрацьмінны сродак|трал
Противопеллагрич. фактар|ниацин
Супрацьлегласць анода|катод
Супрацьлегласць нацэнцы|зніжка
Супрацьлегласць эгаізму?|альтруізм
Проціпастаўленне відавочнага і ўтоенага сэнсу фразы як стылістычны прыём|іронія
Противорвотное лекавы сродак|аэрон
Супярэчнасць паміж двума меркаваннямі, лагічна аднолькава абгрунтаванымі|антыномія
Супярэчнасць|антаганізм
Процітанкавая загарода|надаўбень
Процітанкавая хованка|эскарп
Процітанкавы рэактыўны гранатамёт|базука
Противоугонное прылада, ужытае адным з герояў фільма “Беражыся аўтамабіля”|капкан
Супрацьударная прылада аўтамабіля|бампер
Проціяддзе – лекавы сродак для лячэння атручванняў|антыдот
Пратока ў пойме ракі ці паміж азёрамі|пратока
Прататып дзід|шэдэўр
Прататыпам якой вядомай казкі стаў нейкі Жиль дэ Рэ, французскі вайскавод, пакараны за заняткі чорнай магіяй і забойствы дзяцей?|Сіняя барада
Пратуберанец на Сонца па сваёй сутнасці|выкід
Працягласць чаго-небудзь у тым кірунку, у якім адлегласць менш|шырыня
Працяглы голас ветра, віхуры|выццё
Працяглы гучны крык; гучны плач|роў
Працяглы гучны крык|роў
Працяглы гучны плач, лямант|выццё
Працяглы гук, які выдаецца пры моцным болі, пакуце|стогн
Працяглы крык некаторых жывёл|выццё
Правулак, вуліца, што злучае паралельныя вуліцы|праезд
Проф. арганізацыя адвакатаў|адвакатура
Прафесіянал няшчасця|салдат
Прафесійная акторка, персанаж п'есы А. П. Чэхава “Гарбаткі”.|Аркадина
Прафесійная барацьба, у якой дазволены практычна любыя прыёмы для перамогі над супернікам|кетч
Прафесійная група пастухоў у Швейцарыі|зенн
Прафесійная відовішчная барацьба|кетч
Прафесійная фізкультура|спорт
Прафесійны лятун|лётчык
Прафесійны ашуканец?|кідала
Прафесійны наезнік на скоках, бегах|жакей
Прафесійны наезнік на скоках; адмысловец па падрыхтоўцы і выпрабаванням верхавых канёў|жакей
Прафесійны наёмны забойца?|кілер
Прафесійны налёт на твары камінара|сажа
Прафесійны ...|спорт
Прафесія Івана Груздева з фільма “Месца сустрэчы змяніць нельга”|лекар
Прафесія Леаніда Агутина ў “Старых песнях пра галоўны-1”|шафёр
Прафесія Негиной у п'есе А. Н. Астроўскага “Таленты і прыхільнікі”|акторка
Прафесія лекара|уролаг
Прафесія лекара|хірург
Прафесія персанажа, які сказаў гістарычную фразу: “Раніцай гроша – увечар крэслы”|манцёр
Прафесія працоўнага|каваль
Прафесія працоўнага|шахцёр
Прафесія навукоўца, што вывучае Зямлю|геолаг
Прафесія навукоўца, які вывучае даўніну|археолаг
Прафесія навуковага, што навучае каго-або?|выкладчык
Прафесія навукоўца|афрыканіст
Прафесія навукоўца|фізік
Прафесія навукоўца|хімік
Прафесія, якой славілася драпак. Рупасово; укр. пісьменнік|ганчар
Прафесія, якой славілася драпак. Рупасово|ганчар
Прафесар – асістэнт, лекар – фельчар, інжынер – ...|тэхнік
Прафесар Венцель прапануе такі сабачы слоўнічак: Паф, Пиф, Баф, Бау, Кнур, Ау. Але адно слова ён відавочна выпусціў. Якое?|ррр
Прафесар медыцыны, які быў лейб-медык, расстраляны разам з сям'ёй Мікалая II у ліпені 1917 гады|Боткин
Прафесар, што пабыў на борце “Наўтылуса”|Аронакс
Прафесар, адмысловец па лек. раслінам|варлих
Прафілактычная противозаразная прышчэпка?|вакцынацыя
Прафіляваная архітэктурная дэталь, якая служыць апорай для пяты аркі|импост
Прафіляванае рабро крыжовага збору ў гатычнай архітэктуры|гурт
Профіль выразаў у валках і металу ў пракатнай вытворчасці|калібр
Прахалодзіць. напой|квас
Ахаладжальны бясколерны напой, выкарыстоўваны для падрыхтоўкі кактэйляў|тонік
Ахаладжальны малочны напой|айран
Ахаладжальны напой з ягаднага ці фруктовага соку|морс
Ахаладжальны напой; рыба|фанта
Ахаладжальны напой|крушон
Ахаладжальны напой|фанта
Праход войскаў ва ўрачыстым ладу|марш
Прахадная ласосевая рыба|нерка
Прахадная рыба з роду сігаў|омуль
Прахадная рыба роду сігаў|муксун
Прахадная рыба сямейства ласосевых|сима
Мінанне шляху конна на каню|язда
Працэдура прызначэння дипл. прадстаўніка|акрэдытаванне
Працэдура прызначэння дипломатич. прадстаўніка|акрэдытацыя
Працэдура, да якой звяртаюцца, калі трэба кагосьці жаніць ці пахаваць|рытуал
Працэджаная вадкасць|цеж
Адсотак, отчисляемый у бюджэт|падатак
Адсоткі з капіталу?|рэнта
Працэс бракопроизводства?|халтура
Працэс вядзення куплі і продажы|гандаль
Працэс збірання падаткаў?|збор
Працэс даставання вугля|здабыча
Працэс вымання рыбаком окунька з-подо лёду|лоўля
Працэс перакладу молек. атм. азоту ў формы, дост. раслінам|азотофиксация
Працэс атрымання гульцамі сваіх карт|рэшта
Працэс атрымання вырабаў з цвёрдых матэрыялаў|ліццё
Працэс ператварэння каучуку ў гуму?|вулканізацыя
Працэс ператварэння аднаго выгляду энергіі ў іншай|праца
Працэс ператварэння пеўня ў каплуна|адкорм
Працэс ператварэння сельскагаспадарчай краіны ў прамысловую?|індустрыялізацыя
Працэс набыцця лётчыкам практычных навыкаў|трэнаж
Працэс падзелу?|класіфікацыя
Працэс разбурэння хвалямі берагоў вадаёмаў|абразія
Працэс разбурэння горных парод, які складваецца з механічнага размывання, шліфаванні і истирания воднымі струменямі|эрозія
Працэс разбурэння глебы, горнай пароды, вырабляны вадой, лёдам ці ветрам|эрозія
Працэс нараджэння ў буйнай рагатай скаціны|цяленне
Працэс злучэння канструкцый|зварка
Працэс злучэння металічных дэталяў?|паянне
Працэс стварэння неразъемного злучэнні элементаў канструкцыі|клёпка
Працэс знішчэння прусакоў на кухні|ганенне
Працэс частковага расплаўлення горных парод|анатексис
Працэс эвалюцыйна-гістарычнага формир-я чалавека|антрапагенез
Працэс, які ператварае гліну ў кераміку|абпал
Працэс, пры якім павольна сціраецца паверхня зямлі|эрозія
Працэс, пры якім снежная баба ператвараецца ў вялікую лужыну|раставанне
Працэс, ураўнаважвальны інстытуцкі набор|выпуск
Працэс, у якім можа дапамагчы спавівальная бабка|роды
Трывалая аборка|шпагат
Трывалае ахоўнае абліцоўванне з адмысловых сталёвых пліт|браня
Трывалая і шчыльная шматпластовая х/б тканіна, пасля насычэння ўжываецца і для швіва ботаў|кірза
Трывалая нітка для кіравання лятучымі па крузе авіямадэлямі|корд
Трывалая тоўстая вяроўка, ліна|ліна
Трывалая х/б тканіна з густым ворсам на асабовым боку для куртак і т. п.?|вельвет
Трывалая баваўняная тканіна|нанка
Трывала ўмацаванае на корпусе якой-небудзь машыны, грузавога кантэйнера і т. п. кольца для мацавання строп пры ўздыме|рым
Трывалае шклопадобнае пакрыццё, якое наносіцца на металічныя прадметы для іх абароны ад вонкавых уздзеянняў ці ў мастацкіх мэтах|эмаль
Трывалае шклопадобнае пакрыццё, што наносіцца на металічны прадмет і якое замацоўваецца абпалам|эмаль
Трывалыя ніткі, выкарыстоўваныя для армавання гумовых вырабаў|корд
Трывалыя тканыя трасы плоскага перасеку ў парашута|строп
Прашытая хвалістая зморшчына ў адзежы|зборка
Прашытая дробная хвалістая зморшчына на матэрыі, адзежы|зборка
Мінулае ва ўрачыстым уборы|былое
Мінулае кветкі|бутон
Бывай жа, пара, мая радасць! // Я саскочу цяпер, правадыр... – верш Б. Пастарнака?|вакзал
Развітальны ўбор?|саван
Развітанне з “праўдай”, якая апынулася на паверку памылкай?|разупэўненне
Развітанне з таямніцай|адказ
Прабачэнне|амністыя
Праява “карыесу” зямлі, з якім борятся пасадкай дрэў|яр
Праява алергіі|дыятэз
Праява варожых пачуццяў у ваяўніча-пагрозлівай форме|агрэсіўнасць
Праява духоўнага стану ў выглядзе адмысловага арэолу (религ., мист.)|аўра
Праява душы і духу чалавека|аўра
Праява літасці да каго-небудзь, прабачэнне|літасць
Праява літасці, спачуванні|літасць
Праява страху|спалох
Праява ў нашчадка прыкмет, уласцівых яго аддаленым продкам|атавізм
Праяўлялае рэчыва, якое ўжываецца ў фатаграфіі|амідол
Сажалка ў просты люд|ставок
Сажалкавая рыба|карп
Спружынныя плоскія абцужкі|пінцэт
Што спружыніць разрезная ўтулка для заціску дробных прадметаў (у алоўках, станках, прыборах)|цанга
Якая спружыніць разрезная ўтулка для заціску цыліндрычных прадметаў|цанга
Што спружыніць прылада для скачкоў-прыскокаў|батут
Прускі абшарнік?|юнкер
Пруць для біцця|розга
Пруць для жарения мяса над агнём?|круціў
Дубец для забівання зарада ў рулю стрэльбы|шомпал
Пруць, лазіна, розга ў рускім фальклоры|вица
Якая скача казурка з празрыстымі крыламі, што выдае характэрны шчокат|цыкада
Скакун на аўстралійскім гербе?|кенгуру
Скачок у балеце|антраша
Скачок у класічным балеце|антраша
Скачок у фігурным катанні на каньках|аксель
Скачок у фігурным катанні на каньках|лутц
Скачок у фігурным катанні на каньках|оллер
Скачок у фігурным катанні на каньках|кажух
Скачок жакея з зямлі на круп неоседл. скачущ. коні|курс
Скачок каня на задніх нагах, эл-т высш. школы верх. язды|курбет
Скачок з перевертыванием целы ў паветры|сальта
Пасмы валасоў, звычайна зблытаныя, ускалмачаныя?|кудлы
Прядильная машына бесперапыннага дзеяння|ватэр
Прядильное валакно з канопляў|пянька
Пасма валасоў на лбу|чубок
Пасма якія тырчаць валасоў|віхор
Прадзіва ў простонаречье|жыць
Прадзіва з валасянога полага жывёлы|поўсць
Прадзіва з сумесі каляровых валокнаў|меланж
Прадзіва з сумесі ваўняных пачассяў і бавоўны|вігонь
Прамое і шырокае шабля, двухбаковавострая да канца|палаш
Прамая каардынат|вось
Прамая тонкая палка для апоры пры хадзе|кій
Прамая, што ідзе ад цэнтра акружнасці ці сферы да любой яе кропкі|радыус
Прамая, да якой дарма імкнецца крывая|асімптота
Прамая, да якой неабмежавана набліжаюцца кропкі некаторай крывой па меры таго, як гэтыя кропкі выдаляюцца ў бясконцасць|асімптота
Прамая, да якой неабмежавана набліжаецца галіна крывой|асімптота
Прамая, якая злучае дзве кропкі на акружнасці ці інш. крывы|хорда
Прамое дзяленне клеткі|амитоз
Прамое дзяленне ядра|амитоз
Прамы падатак у карысць дзяржавы, які збіраўся з народаў Паволжа і Сібіры|ясак
Прамы падатак у Францыі з 15 па 18 стагоддзе, пераважна з сялян|талля
Прамы абмен таварамі без грашовых разлікаў|бартар
Прамы ветразь пад бушпрытам|блінд
Прамы нашчадак Мухамеда з дынастыі Алидов|иммам
Прамая страта|шкода
