Мястэчка поруч маскоўскага тэлецэнтра.|астанкіна
Адно з назваў Снежнага чалавека.|еці
Одзін з асноўных атрыбутаў хрысціянства.|крыж
Слова, якое азначае небяспека ў рабаўнікоў.|атас
Вялікае памяшканне.|зала
Форма шлюбных паводзін млекаспажыўцоў.|гон
Няроўнасць дарожнага пакрыцця.|выбоіна
Прыбор для вызначэння кірунку і хуткасці ветра.|флюгер
Граф, авантурнік італьянскага паходжання.|Калиостро
Яе корм – маракі.|акула
Бег з крыкам ура.|напад
У перакладзе з італьянскага назва гэтай птушкі азначае “папскі певень”.|чыюк
Крыніца святла на чорны дзень?|свечка
Сцэна ў шапіто.|манеж
Гаспадыня хірургіі.|медыцына
“Развод і дзявоцкая ...”|прозвішча
Папера, выпацканая навінамі.|газета
Праектар, каб глядзець слайды.|диаскоп
“Рулявой партыі”.|лідар
Ён ніколі не прыходзіць, калі табе трэба, хіба што ён ідзе ў процілеглы бок.|аўтобус
Народная мудрасць абвяшчае: “Калі трымаць зачыненым ... , то муха туды не патрапіць”.|рот
Мордаха ў свінні.|лыч
“Рэклама рая” пасярод пустэльні.|міраж
Хто працуе ў домны?|сталявар
Плач “у тры раўчука”.|рыданне
Перашкода на шляхі да дакладнага рашэння.|памылка
Ўжо не сухасць, але яшчэ і не зусім макроцце.|волкасць
Што хавае ў сабе братэрства?|адзінства
Чароўная хросная казачнай Папялушкі.|фея
Драўняны “эталон складнасці”.|кіпарыс
На вуснах яго мёд, а ў сэрца лёд.|крывадушнік
“За ... адкажаш!” (блатная фраза)|кірмаш
Трэці Астап Бэндар нашага кіно.|Міронаў
Овощ для прафілактыкі прастуды.|лук
“Цяжкавагавік” сярод празаікаў.|раманіст
Змушаны перапынак у працы.|простай
Літары, вышыхаваныя па парадку.|алфавіт
Які амерыканскі горад зрабіў зорку з баскетбаліста Майкла Джордана?|Чыкага
Аскепак бервяна.|трэска
Гусенічнае зняволенне.|кокан
Станцыя менскага мятро.|усход
Станцыя менскага мятро.|маскоўская
Станцыя менскага мятро.|кастрычніцкая
Станцыя менскага мятро.|пляц леніна
Станцыя менскага мятро.|партызанская
Станцыя менскага мятро.|пралетарская
Станцыя менскага мятро.|моладзевая
Станцыя менскага мятро.|пушкінская
Станцыя менскага мятро.|трактарны завод
Станцыя менскага мятро.|купалаўская
Станцыя менскага мятро.|няміга
Станцыя менскага мятро.|фрунзенская
Станцыя менскага мятро.|спартовая
Станцыя менскага мятро.|магілёўская
“Кліент лактацыі”.|блазнюк
Спам для нябёсаў.|малітва
Месцапражыванне жмурыка.|магіла
Ўзяць першыя чатыры літары ад назвы галоўнага твора Бокаччо, і атрымаецца тэрмін аудиотехники.|дэка
Літарны ранжир.|алфавіт
Прадмет, карысны ў зняволенні.|асялок
Аб'ект бабскага палягчэння.|кабыла
Генератар ора.|крыкун
Грошы напракат.|крэдыт
Снег-пачатковец.|церуха
Круцячыся, яно прарабляе адтуліну трэннем.|свердзел
Ён прыляцеў з Крыптону.|супермэн
Жыў неяк у лесе страшны людаед. Але знайшоўся высакародны юнак, які прыйшоў у лес і забіў людаеда... Забіў і ___ .|з'еў
Каханне – гэта хвароба, якая патрабуе ___.|пасцельнага рэжыму
Біблія вучыць кахаць блізкага свайго, а ... тлумачыць, як менавіта.|Камасутра
Агонь кахання гарыць ярчэй, калі падкідаць у яго ___ .|грошы
Каханне з першага позірку прыходзіць пасля другой ___ .|бутэлькі
Каханне вечная... толькі ___ змяняюцца.|партнёры
Каханне зла... Вось ___ і карыстаюцца гэтым.|казлы
Варта толькі захацець і любая жанчына будзе ў вашых ног. Галоўнае – сапраўды патрапіць у ___.|сківіца
Жанчын трэба насіць на руках – на ... яны сядуць самі.|шыю
