Гістарычная вобласць у Іране|Луристан
Гістарычная вобласць у Італіі (цэнтр – Генуя)|Лигурия
Гістарычная вобласць у Італіі|Калабрия
Гістарычная вобласць у Італіі|Сіцылія
Гістарычная вобласць у Польшчы і Нямеччыны|Сілезія
Гістарычная вобласць у Чэхіі (старажытнае насельніцтва – кельты, мораване)|Маравія
Гістарычная вобласць у цэнтральнай частцы Пелопонесса ў Грэцыі|Аркадзя
Гістарычная вобласць на поўдні Азіі, у бас. ніжняй плыні Ганга і дэльты Ганга і Брахмапутры|Бенгалія
Гістарычная вобласць на поўдні Румыніі|Валахия
Гістарычная радзіма: для габрэяў – Ізраіль, а для рускіх – ...|Украіна
Гістарычная роля пралетарыята|гегемон
Гістарычная старажытная вобл. у Ю. Італіі|Кампанія
Гістарычная правінцыя Нідэрландаў|Брабант
Гістарычная правінцыя Нідэрландаў|Зеландыя
Гістарычная правінцыя Нідэрландаў|Лимбург
Гістарычная правінцыя Канады|Альберта
Гістарычная правінцыя Канады|Антарыа
Гістарычная правінцыя Бельгіі|Антвэрпэн
Гістарычная правінцыя Бельгіі|Брабант
Гістарычная правінцыя Бельгіі|Лимбург
Гістарычная правінцыя Іспаніі|Андалусия
Гістарычная правінцыя Іспаніі|Валенсія
Гістарычная правінцыя Іспаніі|Галисия
Гістарычная правінцыя Іспаніі|Кастылія
Гістарычная правінцыя Францыі|Аквітанія
Гістарычная правінцыя Францыі|Бурбонне
Гістарычная правінцыя Францыі|Арлеане
Гістарычная правінцыя ў Францыі|Гасконь
Гістарычная правінцыя ў Францыі|Лангедок
Гістарычная правінцыя ў Францыі|Пикардия
Гістарычная правінцыя ў Францыі|Фландрыя
Гістарычная правінцыя ў Францыі|Шампань
Гістарычная правінцыя на паўднёвым усходзе Францыі|Праванс
Гістарычна пэўны тып сацыяльнай сістэмы|грамадства
Гістарычна першая і найболей грубіянская форма эксплуатацыі|рабства
Гістарычныя жаўнерні на Кубе|монкада
Гістарычны раён Н. Ноўгарада|Сормово
Гістарычны раён Масквы да ўсходу ад Крамля|Заяузье
Гістарычны раман Г. Данилевского|Мирович
Гістарычны раман Г. Флобера|саламбо
Гістарычны ўзровень развіцця грамадства|культура
Выток|вярхоўе
Апальшчык пры паравым катле|качагар
Крыніца дабравесту|звон
Крыніца энергіі, якая атрымліваецца пры спальванні|паліва
Патрачаныя грошы|марнаванне
Знішчэнне асобных груп насельніцтва па расавых, этнічных ці рэлігійных прыкметах|генацыд
Праўда, пастаўленая на галаву, каб на яе звярнулі ўвагу|парадокс
Іран (сталіца, цэнтр)|Тэгеран
Іран, остан, адм. ц. – Ахваз|Хузистан
Іран, остан, адм. ц. – Бахтаран (Керманшах)|Бахтаран
Іран, порт (горад у Азіі)|Пехлеви
Іранская дынастыя|Пехлеви
Іранічная ўсмешка|усмешка
Іранічная назва буйнай, мажнай жанчыны з камандным голасам|грэнадзёр
Іранічная мянушка лекара|коновал
Іркуцкая вобл., прыстань на р. Витим (горад)|Бодайбо
Іх развялося так шмат, што цэгле няма дзе зваліцца (анекдот)|дэпутат
Юдзейская дынастыя|Макковей
З чаго робяць хлеб?|пшаніца
Иблис|шайтан
Верб. хмызняк|лазняк
Іван-так-мар'я; травы. расліна|огнецвет
Вярбовы хмызняк|ракітнік
Вярба белая|вярба
Вярба, брэднік, меданос (агульнае)|ракіта
Вярба|вярба
Іван па-французску|Жан
Скрыпень|скрыпень
Іванаўская вобл. (горад)|Шуя
Ивасевый кіт|сейвал
Вярбовае дрэва|вярба
Вярбовы хмызняк|лазняк
Гульня слоў з камічным эфектам|каламбур
Гульня на адмысловым стале касцянымі шарамі|більярд
Гульня прывязаным да палачкі шарыкам, які падкідаецца і ловіцца на лязо палачкі ці ў кубачак|більбацы
Гульня, у якой ціснуць на педалі|велобол
Гульня, у якой неабходна пляскаць далонямі|ладачкі
Гульня, у якой які прайграў перамагае|паддаўкі
Гульня, якой усё ўзросту пакорлівыя|шахматы
Гульня, у якой гульцы пераскокваюць сябар праз сябра|чахарда
Гульня, якую вельмі кахала Кацярына II|більярд
Гульня-задача, у якой размешчаныя ланцугом клетачкі запаўняюцца словамі такім чынам, што апошняя літара аднаго слова пачынае сабой наступнае|чайнворд
Гульня: скачкі праз партнёраў, што стаяць у сагнутым становішчы|чахарда
Ігральная карта|сямёрка
Гулец зборнай свету, які забіў гол у развітальным матчы О. Блохина|Савичев
Гулец Спартака па імі Фядор|Тронкаў
Гулец у некаторых камандных гульнях|брамнік
Гулец у футболе, хакеі|абаронца
Гулец лініі нападу ў спартовых гульнях|форвард
Гулец нападу|форвард
Гулец футбольнай каманды|форвард
Гулец, якому дазволена ганяць мяч і рукамі, і нагамі|рэгбіст
Игрунка, малпа|тамарин
Іголка з галоўкай, якая служыць для прикалывания|шпілька
Іголка з прыгожай галоўкай для ўпрыгожвання|шпілька
Іголка на даху|спічак
Іголкападобны ці лускаваты ліст некаторых, звычайна вечназялёных, дрэў ці хмызнякоў|ігліца
