Лесвічны пралёт|марш
Лётае, і заўсёды без апазнавальных знакаў|нла
Смяротны зыход|смерць
Лётанне на апаратах лягчэй паветра?|паветраплаванне
Лятальныя апараты цяжэй паветра|авіяцыя
Лятальны апарат лягчэй паветра|аэрастат
Лятальны апарат з адным крылом з песні на словы А. Узнясенскага|раяль
Лятальны апарат, які рухаецца пад дзеяннем сілы рэакцыі|ракета
Лятальны апарат, з якога барон Мюнхгаўзен аглядаў варожыя пазіцыі|ядро
Лятальны апарат, што спалучае рысы самалёта і шрубалёта?|аўтажыр
Лятальны апарат; судна на падводных крылах|ракета
Лятальны апарат|ракета
Лётаюць палымяныя позіркі, І ровам скрыпак заглушаны Раўнівы ... модных жонак. (А. Пушкін, “Яўген Онегин”)|шэпт
Лятучая талерка|НЛА
Лятучая назойлівая казурка|муха
Лятучая казурка, перапрацоўчае кветкавыя сокі ў мёд|пчала
Лятучы акушэр|бусел
Ляціць агністая страла, і ніхто яе не зловіць|маланка
Годка-... (слова, якое ператварае гэту бяссэнсіцу ў некалі папулярны танец)|енка
Летнія канькі|ролікі
Летні ... “Ніцая вярба” стаў цэнтрам правядзення аперацыі “Дзічына” з кинокомедии “Дыяментавая рука”?|рэстаран
Летняя загарадная хата|дача
Летні макіяж|загар
Летні гатунак яблыні|мелба
Летні супец?|халаднік
Летні цырк, разборная каркасная канструкцыя з брызентавым верхам?|шапіто
Лётнае падраздзяленне|звяно
Лётных спраў майстар|пілот
Летняя спякота|спёка
Летні клопат уладальніка коннага транспарта (фольк.)|санкі
Летні крамнінны капялюш з мяккімі палямі|панама
Летняя напружанка ў вёсцы|прыпар
Летняе сухое і яснае надвор'е; ёмістасць; рус. мера аб'ёму|вядро
Летняе сухое і яснае надвор'е|вядро
Летняя цырымонія ў індзейцаў Каліфорніі|баска
Летні капялюш|панама
Ўлетку шэры, узімку белы (загадка)|заяц
Кажан, якая сілкуецца толькі крывёй млекаспажыўцоў і птушак, насяляе ў амер. тропіках|вампір
Кажан|калонг
Кажан|скуранка
Кажан|палятуха
Кажан|кажан
Лятучая шарападобная дымчатая маса|клуб
Лятучае хімічнае рэчыва|эфір
Лятучыя прадукты гарэння|дым
Лятучы “крывасмок”, які пасяліўся ў нашых гарадскіх кватэрах|камар
Лётчык у ВОВАЎ, 4 тарана|Ковзан
Лётчык, Герай СССР, удзельнік па выратаванні экіпажа “Челюскина”|Аляксееў
Лётчык, Герай Савецкага Звяза, пералёт Масква–С. Канцавоссе–ЗША|Грамоў
Лётчык, Герай Савецкага Звяза|Анохин
Лётчык, Герай Савецкага Звяза|Анціпаў
Лётчык, Герай Савецкага Звяза|Елян
Лётчык, Герай Савецкага Звяза|Седов
Лётчык, Герай Савецкага Звяза|Сяроў
Лётчык, Герай Савецкага Звяза|Фрунзе
Лётчык, двойчы Герай Савецкага Звяза (1940, 1941, пасмяротна), падпалкоўнік (1940)|Супрун
Лётчык, пілот|авіятар
Лётчык-выпрабавальнік, Герай СССР|Анохин
Лётчык-выпрабавальнік, Герай Савецкага Звяза (1942)|Дзюба
Лётчык-выпрабавальнік, Герай Савецкага Звяза (1948). На выпрабавальнай працы з 1939|Іванаў
Лётчык-выпрабавальнік, Герай Савецкага Звяза (1966)|Казлоў
Лётчык-выпрабавальнік, Герай Савецкага Звяза (1974)|Арлоў
Лётчык-выпрабавальнік, генерал-маёр авіяцыі (1981), Герай Савецкага Звяза (1966)|Мухин
Лётчык-выпрабавальнік, генерал-маёр авіяцыі, Герай Савецкага Звяза (1957). Лётаў на самалётах св. 100 тыпаў|Васин
Лётчык-выпрабавальнік, кандыдат тэхнічных навук (1979), генерал-лейтэнант авіяцыі (1980). Герой Савецкага Звяза (1975)|Микоян
Лётчык-выпрабавальнік, маёр, Герай Савецкага Звяза (1971)|Гудкоў
Лётчык-выпрабавальнік, падпалкоўнік|Алашеев
Лётчык-кудлаў. СССР|Артюхин
Лётчык-касманаўт Балгарыі, падпалкоўнік, Герай Балгарыі (1979), Герай Савецкага Звяза (1979). Першы грамадзянін Балгарыі, які здзейсніў палёт у космас|Іванаў
