Маёмасць, уласнасць|маёнтак
Маёмасць|вопіс
Імя (греч. скала, камень); селянін у драме “І святло ў цемры свеціць”|Пётр
Імя (греч. скала, камень)|Пётр
Імя (слаўшы. багіня кахання і домаш. агменю)|Лада
Імя – знак няверы|Тамаш
Імя – сінонім няверы?|Тамаш
Імя Адам, польскі пісьменнік, паэт|Міцкевіч
Імя акцёра Крамарова|Савелій
Імя амерыканскай кінаактрысы Монро|Мэрилин
Імя ангельскага пісьменніка Шоў|Бярнард
Імя сабакі з аповяду А. Н. Талстога|Шарлота
Імя саліста групы “Дюран – Дюран”|Сайман
Імя Сафія ў перакладзе|мудрасць
Імя жонкі Напалеона, якая абажала фіялкі|Жазэфіна
Імя Напалеона|Банапарт
Імя Рузвельта|Франклін
Імя Агата, ангельская пісьменніца, майстар дэтэктыва|Крысці
Імя Агнія, сучасная паэтка|Барта
Імя Алана Фрыда, дыск-жакея з Кліўленда, мала каму вядома, але гэта менавіта ён даў назву папулярнаму кірунку ў музыцы. Што гэта за кірунак?|рок-н-ролл
Імя Арлазорова|Ян
Імя Арнольд, швейцарскі драматург|Отт
Імя Ахеджаковой, якая згуляла роля Малеевой у камедыі “Гараж”|Лія
Імя Ахматавай|Ганна
Імя Балаганова з “Залатога цяля”|Шура
Імя Бальзака|Анарэ
Імя Бельды|Кола
Імя Бісмарка, Лилиенталя|Отто
Імя Бога|Яхве
Імя Буніна|Іван
Імя Верещагина з фільма “Белае сонца пустэльні”|Павел
Імя Веронезе|Паоло
Імя Ва – ангельскага пісьменніка, сатырыка-мараліста|Ивлин
Імя Ўсевалад, папулярны акцёр|Санаев
Імя Ганс, дацкі пісьменнік-баечнік|Андэрсан
Імя Гандзі, прэзідэнта Індыі|Індзіра
Імя Гарсиа, іспанскі пісьменнік, паэт|Лорка
Імя Геракла пры нараджэнні|Алкид
Імя Герберт, ангельскі пісьменнік, “Чалавек-нябачнік”|Уэллс
Імя Гарбатага з банды “Чорнай коткі”|Карп
Імя Грооупа|Яким
Імя Деги|Эдгар
Імя Джона, суперзвезды амер. эстрады|Элтан
Імя Жана Батыста Шамри стала вядома з ХIII стагоддзі дзякуючы аднаму яго вынаходству, якое цяпер становіцца ўсё больш актуальным. Што гэта?|батыст
Імя Жорж, аўтар рамана “Орас”|Санд
Імя Жуль, французскі пісьменнік-фантаст|Верн
Імя Илюмжинова|Кірсан
Імя Іосіф, спяваў дуэтам з Лещенко (упершыню) на развітальным матчы Блохина|Кобзон
Імя Кавалеровича|Вожыкі
Імя Карл, нямецкі філосаф|Маркс
Імя Касторского з серыяла пра “Няўлоўныя”|Буба
Імя Кірава, але не Сяргея Міронавіча|Пацеркі
Імя Кацельнікава, вынаходніка ранцевого парашута|Глеб
Імя Корчагина з рамана Н. Астроўскага “Як гартавалася сталь”|Павка
Імя Малевича, заснавальніка руху супрематизм у жывапісе напачатку 20 ст.|Казімір
Імя Магомаева|Муслим
Імя Маккавея, які падняў паўстанне супраць сірыйскай дынастыі Селевкидов|Юда
Імя Макартні, Ньюмена|Падлога
Імя Мандельштама|Восіп
Імя Марадоны|Диего
Імя Марыя, малдаўская спявачка|Биешу
Імя Мисербеева, чачэнскага кунака Л. Талстога?|Садо
Імя Монтана|Верб
Імя Нагульнова (литерат.)|Макар
Імя Намулу|Стас
Імя Неедлы|Вит
Імя Неруды, Пікасо|Пабла
Імя Адысея ў рымлян|Уліс
Імя Окуджавы|Булат
Імя Олесь, украінскі пісьменнік, аўтар рамана “Таўрыя”|Ганчар
Імя Амар, персідскі пісьменнік, паэт|Хайям
Імя Павлиашвили|Сосо
Імя Плисецкой, Кристалинской|Майя
Імя Прымадоны|Ала
Імя Рекъ – “назваўшы імя”, ужывалася даўней у дакументах і малітвах там, дзе павінна быць прастаўлена ўласнае імя|імярэк
Імя Рабиндранат, індыйскі пісьменнік, паэт|Тагор
Імя Радзівон, кампазітар, балеты: “Кармэн-сюіта”, “Канёк-гарбунок”|Шчадрын
Імя Радзівон, кампазітар, балеты: “Гарбаткі”, “Поэтория”, “Ганна Карэніна”|Шчадрын
Імя Санд (літаратура)|Жорж
Імя Сямён, артыст тэатра і кіно|Фарада
Імя Сафі, італьянская суперзвезда кіно|Лорен
Імя Стывен, амерыканскі акцёр, майстар рукапашнага бою|Сігаў
