Гангстарская затычка|кляп
Гандикап|фора
Гараж шрубалёта|ангар
Гараж самалётаў|ангар
Гарэм, у якім “еўнухам працуе” баран|атара
Гаремный слуга|еўнух
Гарманічнае музычнае сугучча|акорд
Гарнітур у адзежы?|гарнітур
Гарнітура шрыфта|эрбар
Гаррига, зараслі вечназялёных хмызнякоў|гарига
Гарриет ...-Стоу (завершыце прозвішча аўтара “Халупы дзядзькі Тома”)|Бичер
Гарун аль-... – калиф|Рашыд
Гасільнік ваганняў|амартызатар
Густая поліўка|кулеш
Гастрольная паездка|турнэ
Гаўр, капытная жывёла|бык
Гвардыі малодшы сяржант, Герай Савецкага Звяза (1944, пасмяротна). Цяжка паранены, захоплены фашыстамі ў палон. Пасля катаванняў раскрыжаваны на сцяне бліндажа|Смірноў
Гварнери і Страдивари – яго вучні|Амати
Гватэмала, адміністрацыйны цэнтр дэпартамента Сакатепекес (горад у Амерыцы)|Антыгуа
Гватэмальская грамадская дзяячка. Нобелеўская прэмія свету (1992)|Менчу
Гватэмальскі пісьменнік, Нобелеўская прэмія (1967)|Астуриас
Гвіяна, франц. (сталіца, цэнтр)|Кайенна
Гвизоция|нуг
Гвінея (сталіца, цэнтр)|Конакри
Гвінея-Бісаў, аўтаномны сектар, адм. ц. – Бісаў|Бісаў
Цвік, які можна ўбіць у бетон|дзюбель
Цвік|метиз
Дзе самае месца чыгуначнаму шлагбаўму|пераезд
Дзе зручней усяго ў хатніх умовах утрымоўваць лялиуса|акварыум
Дзе ўпершыню было ўведзена абавязковае школьнае навучанне|Прусія
Дзе каралі смерцю Ісуса Хрыста|Галгофа
Дзе з'явіліся першыя відэльцы|Візантыя
Дзе проса, там і ... (погов.)|верабей
Дзе адбывалася ў 1485 вайна белай і пунсовай ружы|Босворт
“Дзесьці далёка прыгажунь шмат, а сваю дзяўчынку не забудзься...” (исполн. песні)|Овсиенко
Дзе ў 1945 адбылася сустрэча войскаў ЗША і СССР|Торгау
Дзе ўпершыню запалілі агонь сучасных Алімпійскіх гульняў|Афіны
Дзе ўпершыню з'явіўся раён “чырвоных ліхтароў” у 1617 г.|Эдо
Дзе рыхтуюць шашлыкі?|мангал
Дзе заблудзіўся вожык з мультыка|смуга
Дзе касмапаліту добра, там у яго і ...|радзіма
Дзе міністры расійскага ўрада захоўвалі бюджэты ведамстваў?|банк
Дзе можа выліцца гінгівіт, калі зубы не чысціць|рот
Дзе можна ўбачыць зморшчыну на зморшчыне, сонца, крыж?|у цырку
Дзе мы можам бачыць адначасова літары ад А да Э, лікі ад 1 да 20 і вясёлку?|тэлевізійная табліца
Дзе сапраўднаму джэнтльмену прыстала праводзіць свой вольны час|клуб
Дзе знаходзіцца 22-главая Праабражэнская царква|Кижи
Дзе знаходзіцца Сандрагуптов слуп, выраблены ў 4 павеку з практычна чыстага жалеза?|Дзялі
Дзе знаходзіцца самы магутны мікраскоп|Цюрых
Дзе знаходзіцца штат Уттар-Прадеш|Індыя
Дзе знаходзяцца ў чалавека тлушчавыя груды Биша?|пад скурай шчок
Дзе не месца грэшнікам|рай
Дзе некалькі гадоў назад 10 былі жоўтыя, 15 – зялёныя, 20 – чырвоныя? “у ...”|мятро
Дзе адпачывае трамвай|дэпо
Дзе адбываецца дзеянне казкі італьянца Джані Родари з жыцця гародніны і садавіны|гарод
Дзе размяшчаўся храм Спасу-на-Бульбачцы? “у ...”|Арбатове
Дзе размешчана Акадэмія навук Арменіі|Ерэван
