Зодиакальное сузор'е, ліпень|леў
Зодиакальное сузор'е, чэрвень|рак
Зодиакальное сузор'е, сакавік|авен
Зодиакальное сузор'е, верасень|шалі
Зодиакальное сузор'е, люты|рыбы
Зодиакальный знак, пад якім нарадзіўся Аляксандр Герцэн|авен
Дойлідства, мастацтва праектаваць і будаваць|архітэктура
Попелаў. манета Якава I у гонар уніі Англіі і Шатландыі (17 ст.)|юнайт
Попелаў. манета, чаканілася ў 18 ст. саксонск. курфюрстам Аўгустам|августдор
Залатая ангельская манета, якая выпускаецца з 14 ст.|нобль
Залатая ангельская старадаўняя манета|гінея
Залатая цацанка на крымінальнай мове|цацка
Залатая ці срэбная манета|талер
Залатая ці срэбная манета 16 стагоддзі|талер
Залаты выканаўца жаданняў у казках А. Пушкіна|рыбка
Залатая манета Афганістана, якая выпускалася ў 1920–1929 гг.|амани
Залатая манета Японіі ў 1592–1871 гадах, папярэдніца ены|кобан
Залатая манета часоў трох мушкецёраў|луідор
Залатая манета каралеўства Непал|бакла
Залатая манета, уведзеная манетнай рэформай Каракаллы ў 1 ст.|бинио
Залатая арда ў русічаў|няволя
Залатая порцыя|злітак
Залатая роля для народнага артыста Расіі Сяргея Юрскага ў спектаклі “Гедда Габлер” нарвежца Генрика Ибсена|тесман
Залатая шатландская манета позняга сярэднявечча|райдер
Залацісты ён і вусаты, у ста кішэнях – сто дзяцей (адказ на загадку)|колас
Залацістая асалода еўроп. гурмана і крыніца прядильного валокны на Філіпінах|ананас
Залацісты заяц – грызун, які насяляе ў тропіках Паўднёвай і Цэнтральнай Амерыкі|агути
Золата, зямныя багацці, а таксама чэрава, тоўстае пуза|мамон
Золата, зямныя багацці, а таксама чэрава, тоўстае пуза|мамона
Залатое дрэва, род раслін сем. кизиловых (“каўбаснае”)|аукуба
Залаты ... – ідал “новых рускіх”|цялё
Залаты вянок, ззянне|арэол
Залаты зуб (жарг.)|фікса
Залаты ці срэбны самародак|злітак
Залаты фільм для Сільвестра Сталлоне|Рокки
Золотоносящая хатняя птушка|Ряба
Золатаардынскі вайскавод, войскі якога былі разгромлены Зміцерам Данскім на Куліковым полі ў 1380 г.|Мамай
Золатаардынскі начальнік?|Мамай
Золотопромышленный раён на С.-З. Канады?|Кландайк
Зона марскога дна|абиссаль
Зона распаўсюду тых ці іншых жывёл і раслін, якой-небудзь з'явы|арэал
Зоогеографическое падраздзяленне сушы|неогея
Зрэнка на старадаўні лад|зрэнка
Зрэнка, вока?|зрэнка
Спее песня. Адусюль вее весялосцю. Душа ўсё гэтак жа гатовая служыць шчасцю. Прачнуўся лес. Адкажыце максімальна сапраўды: а што ў прыродзе адбылося перад усім гэтым?|сонца ўстала
Спелая вірусная часціца|вирион
Відовішчнае прадпрыемства|тэатр
Бачны знак святасці|німб
Глядач, якога ніхто ў гледачы не запрашаў|разявака
Глядзельнае адчуванне, якое ўзнікае ў чалавека без уздзеяння святла на вока|фосфен
Глядзельны|нерв
Зуб, размешчаны непасрэдна за разцом|ікол
Зубная “затычка”|пломба
Зубны газ|фтор
Зубны метал|золата
Зубалячэбная галгофа|крэсла
Зубалячэбны свердзел|бор
Зуборезный прылада|шевер
Зубчастая перадача?|рэдуктар
Зубчастае кола ў ланцужных перадачах?|зорачка
Зулускі кіраўнік пачатку 19 стагоддзі|Чака
Зулускі, мова Афрыкі|зулу
Дрыгва, які зарастае вадаём|сплавина
Зыбкае багністае месца|багна
Зюйд|поўдзень
Зяць, прыняты ў хату і сялянскае хоз-у цесця (устар.)|прымак
І “Кумпарсита”, і “Пырскі шампанскага”|танга
І “Хаммер”, і “Ўранглер”, і “Гранд-Чэрокі”|джып
І “пякучая” казурка, і раман Э. Войнич|авадзень
І “падлога-імя” казачнага парася, і “полназвания” французскай фірмы, якая вырабляе адзежу|Наф
І + рака = птушка|жаўтушка
І ... айчыны нам салодкі і прыемны (А. Грыбаедаў)|дым
І Астрея, і Гигия|планета
І авоська, і батут, ды і невад – таксама тут|сетка
І акцёр, і прытворшчык|акцёр
І ангел. паэт мінулага стагоддзя, і амерыканскі канструктар зброі|браўнінг
І шавецкая і зубная|шчотка
І зліюцца нашы вусны|пацалунак
І Суриков, і Гаген, і Юон|мастак
І славесная вымова, і характар вымаўлення|вымова
І здольнасць бачыць, і здань, адрозны з дапамогай гэтай здольнасці|бачанне
І спадарожнік, і залежная краіна|сатэліт
І овощ, і піцейная ўстанова|шынок
І размяшчэнне тавараў на вітрыне крамы, і тое, што салдату даводзіцца цягнуць у паходзе|выкладка
І Тацит, і Тацішчаў|гісторык
І Архипова, і Мирошниченко, і Хакамада|Ірына
І Болдинская, і залатая|восень
І Бродскі, і Хейфиц|Іосіф
І ГАЗ, і КАМАЗ, і МАЗ, і ВАЗ|аўтазавод
І Гайдар, і Ладаў, ды і князь Ігар|Ягор
І Дзяніс Давыдаў, і паручнік Ржэўскі|гусар
І Краснадарскі, і Краснаярскі|край
І Леанід Якубович, і Юлія Меньшова і Ўладзімір Познер|кіроўны
І Лигачев, і Ладаў|Ягор
І Мухтар, і Джульбарс|аўчарка
І Мітэран, і Вийон|Франсуа
І Монблан, і Джомолунгма|гара
І Ньютан, і Бабель|Язэп
І Образцова, і Водорезова|Алена
І скарачаюцца вялікія адлегласці, калі спявае далёкі сябар. Пра каго так спяваў Марк Бернес?|Монтан
І Стральцоў, і Ўспенскі|Эдуард
І Табаков, і Ефрэмаў|Алег
І Сёмуха-Сергіева, і Кіева-Пячэрская?|лаўра
І Ўцёсаў, і Жванецкий, і Алег Філімонаў|адэсіт
І Хиль, і Лімонаў|Эдуард
І Шаляпин, і Дастаеўскі|Фёдар
І авоська, і батут|сетка
І ангел. пісьменнік-утапіст, і нідэрландскі мастак|Мор
І аргон, і азот|газ
І арыстакратычная гульня, і няпарная панчоха вызначанага фасону|гольф
І афрыканская рэспубліка, і патухлы вулкан|Кенія
І матылёк, і старажытнагрэцкае бажаство|сатыр
І баскетбол, і хованкі|гульня
І бярозавы, і страўнікавы|сок
І біблейскі прарок, і прэзідэнт Лінкольн|Аўраам
І боепрыпас, і заступнік|патрон
І вялікая вінная бутля, і горад у Чалябінскай вобласці|бутля
І батанічны, і дзіцячы|сад
І бронза, і сталь, і чыгун|сплаў
І хутка і павольна, і салодка і горка – адным словам|прыслоўе
І турок для дзіцяці, і Мэрсэдэс для дзядзькі Вовы|цацка
І вялікі цар, і трывіяльная выпіўка|кір
І вугорка, і алыча|зліву
І вецер, і тканіна, і пасціла|зефір
І ўзяцце ў найманне, і рэшта ў найманне, і плата за найманне ж|арэнда
І вонкавы выгляд, выгляд, і характар, душэўны склад чалавека|аблічча
І ўнутраны, і друкаваны, і кампетэнтны|орган
І смурод, і пах|пах
І каўнер футра, і жыллё той, з якой гэта футра зроблена|норка
І ўсход, і абрэвіятура стандартаў СССР|ост
І грыб, і чалавек|смаржок
І галоп, і рысь, і кар'ер|алюр
І гамадрыл, і бабуін|павіян
І верхавод хеўры, і генсак КПСС, і частка дзяржавы|лідар
І горад у ЗША, і ваўняная тканіна, і вальс?|бостан
І горы ў Сярэдняй Азіі, і марка танных, задушлівых савецкіх цыгарэт|Памір
І горкі, і навуковы|досвед
І вяслярны, і воднолыжный, і горны выгляд спорту|слалам
І грыбны і праліўны|дождж
І грот, і фок, і бізань|шчогла
І група пратэсту, і 100 метраў на чыгунцы|пікет
І двухколавы воз, і пустая галава|шарабан
І рух акіяна, і палягчэнне арганізма|адліў
І дзень тыдня, і месца рассялення|асяроддзе
І дэрвіш, і каліка перехожий|падарожнік
І доўгі цягнік, і ўтрыманне хімічных элементаў у рэчыве|склад
І дамова, і кантракт, і завяшчанне|угода
І каштоўны камень, і крупчасты плён|гранат
І дзірачка ў дзверы, і нырка на бульбачцы|вочка
І жаночае імя, і пладовае дрэва, і спрынцоўка|груша
І паліцца, і лечыць, і ў ежу ідзе|крапіва
І жук-алень, і вілкі|рагач
І жудасныя выспы, і “весяленькія штонікі”?|бярмуды
І захапляльны кампанент рамана, і каверза|інтрыга
І заход Сонцы, і чарговая спроба студэнта здаць іспыт|заход
І абарона Филидора, і іспанская партыя, і ферзевай гамбіт|дэбют
І злоснае пустазелле, і лекарст. споравая расліна|хвошч
