Плён раслін|тыквина
Плямёны Паўднёвай і Цэнтральнай Амерыкі ўжывалі ва ўжытку шакальи хвасты. Які прадмет ужытку яны замянялі?|насоўкі
Пладовая расліна; дрэвы і хмызнякі|аліва
Абцугі, кусачкі, разак для дрота?|пасатыжы
Па імі легендарнага продка Арама іншымі народамі стала звацца іх краіна. А хто яны?|армяне
Па меркаванні Мэры Херберт, гэта парода сабак вызначанага памеру, прыкладна, полсобаки у вышыню і паўтары сабакі ў даўжыню. Што гэта за парода?|такса
Па меркаванні вядомага лінгвіста Макса Фасмера, гэта рускае слова першапачаткова азначала частку скандынаўскага баявога даспеха, якая зачыняла рукі ваяроў ніжэй локцяў. Назавіце гэта слова|рукавіца
Па меркаванні Іосіфа Бродскага, цывілізацыі – якія яны ні на ёсць – перасоўваюцца з поўдня на поўнач, як бы імкнучыся запоўніць вакуум, пакінуты... Чым?|аблядненнем
Па меркаванні Кастуся Мелихана жанчына робіць гэта з тварам, каб потым рабіць гэта з мазгамі мужчын. Што ж яна робіць з тварам?|пудрыць
Па меркаванні Міхася Лермантава, драгуны былі з конскімі ...?|хвастамі
Па меркаванні некаторых, гэты горны леў ніколі не нападае на людзей. Насупраць, пры сустрэчы з чалавекам ён падлашчваецца, запрашаючы пагуляць з ім. Хто гэта?|пума
Па меркаванні аднаго з герояў Набокава, у сярэднія вякі да 480 унцыям лёгкага пяску можна было прыраўнаваць|1 гадзіна
Па меркаванні гумарыстаў, назва гэтай радыёстанцыі – не што іншае, як пачатковы фрагмент фрывольнага надпісу на старажытнарымскім плоце. Што ж гэта за радыёстанцыя?|Еўропа плюс
Па рускіх законах, гэтыя дакументы належыла перадаваць на разгляд кату. Што гэта за дакументы?|ананімкі
Па словах сатырыка Фелікса Кривина, аптымізм песіміста складаецца ў тым, што толькі там пачуваешся як за мурам. А дзе? “у ...”|турме
Па старым марскім законе ў штармавое надвор'е, каб каманду не ўкалыхвала, на палубу судна выкочвалі бочку. у ёй знаходзіліся... Што?|салёныя агуркі
Па забабонных уяўленнем з дапамогай гэтых істот напускалася псута. Але, кажуць, адным з выглядаў вар'яцтва і бесноватости з'яўляецца п'янства. Хто гэтыя істоты?|мухі
Па царскім загадзе для аховы рускіх судоў на Балтыйскім моры ўпершыню была пабудавана баявая флатылія. Назавіце гэтага цара|Іван Грозны
Па-арабску sаrаb – пітво, напой, віно. Слова гэта патрапіла ў сярэднявечную латынь і праз еўрапейскія мовы – да нас. Як яно гучыць у нас?|сіроп
Па-латыні гэта костка завецца сlаviсulа, а як па-руску?|ключыца
Па-навуковаму, наяўнасць у пладоў не цвёрдых, а вельмі маленькіх, мяккіх і ледзь прыкметных костачак завецца стеноспермокарпией. А як яно завецца па-руску?|кишмишность
Кухарам якой краіны Расія абавязана ўсталяваннем строгай рэцэптуры ў падрыхтоўцы страў?|Францыя
Аповесць тургенева?|Ася
Нагода звярнуцца да лекара?|хвароба
Пад якой яшчэ прозвішчам вядомая сям'я Гольдштейн-Готторпов?|Раманавы
Пад гэта гукавое суправаджэнне старажытныя рымляне думалі пра шлюб, а рускія – пра смерць. Намалюеце гэтыя гукі|кукаванне
Падскурны графічны малюнак зроблена фарбай з дапамогай адмысловага прыстасавання. Назавіце гэты своеасаблівы выгляд мастацтва?|татуяванне
Чырвонагаловік – такі грыб, іглічныя пароды дрэў – такі лес, мануфактура – такі тавар. Які?|чырвоны
Падраздзяленне з 2–4 і больш прылад у артылерыйскіх частках і на караблях?|батарэя
Падлетак, физич. развіццё якога апярэджвае яшчэ дзіцячую псіхіку?|акселерат
Паездка на далёкую адлегласць?|вандраванне
Пойла, тулово, стоян і паддон. Аб'яднаеце ўсё адным словам|куфель
Пойла, тулово, стоян і паддон. Аб'яднаеце ўсё адным словам|кубак
Палінезійскія мараплаўцы звалі яго залатой дарогай Кане, бога сонца. А як яго завём мы?|экватар
Политич. рэжым, пры якім улада прыналежыць вузкай групе твараў (напр., багатыроў, вышэйшых вайскоўцаў)?|алігархія
Паўхвіліны: жанчына – 80, мужчына – 50. хвіліна: жанчына – 116, мужчына – 112. 2 хвіліны: жанчына – 214, мужчына – 152. Чаго менавіта?|слоў
Напаўзабытая назва ржы?|жыта
Паўвостраў на паўднёвым усходзе Азіі?|Індакітай
Панос (мёд.)?|дыярэя
Папулярная ў 60–70-е гады музычная група?|бітлз
Порошкообразный прадукт няпоўнага згарання?|сажа
Пасля заваёвы новага святла іспанцы прывезлі ў Еўропу камень, які з поспехам выкарыстоўваўся лекарамі для лячэння захворванняў нырак. Што гэта за камень?|нефрыт
Пасля аб'яднання Нямеччыны ў ёй з'явілася 6500 беспрацоўных. Амаль усе яны будуць прададзены ў рабства. Хто яны?|памежныя аўчаркі
Пасля канчатка малітвы, услаўлялай бога, святар дае кожнаму верніку кавалачак прасфоры і трохі віны – частка святых дарункаў. Як завецца гэты абрад?|дзеепрыметнік
Пасля з'яўлення гэтага кітайскага вынаходства ў Англіі рэзка зменшыліся прыбыткі лонданскіх кебменов. Пра якое вынаходства ідзе гаворка?|парасонікі
Пасля таго, як кошты на гэты прадукт былі падвышаны з 2 да 3 пенсаў за фунт, Амерыка пачала вайну за незалежнасць ад Англіі. Што гэта за прадукт?|чай
Паслухайце двухрадкоўе кітайскага паэта: “Беласцю падобны нефрыту, тонкасцю – паперы. // Бляскам падобны люстэрку, звонкасцю – цымбалам”. Пра што гэтыя радкі?|парцалян
Паслухайце апісанне гульнявога поля: цэнтральная лінія, бакавыя лініі, праходы, рамкі, лініі кідку, першага ўдару і падмятанні. Назавіце гэту камандную гульню|керлинг
Паслухайце вызначэнні, якія даў у адным з вершаў С. Маршак: апошняя, дзівак, кривоносый, завітыя. А пра што верш?|знакі прыпынку
