Найстарая франц. штодзённая газета|фігаро
Найстарая прылада, якое падказала мальцам ідэю рагаткі?|прашча
Найстары Оксфардскі музей|ашмола
Найстары з парыжскіх раёнаў|Сіце
Найстары гатунак піва ў Англіі|эль
Найстары спосаб плоскага друку, пры якім друкаваная форма вырабляецца на спец. літаграфічным камені?|літаграфія
Найстарым армейскім злучэннем у свеце з'яўляецца швейцарская гвардыя, створаная яшчэ да 1400 г. Якая дзяржава дагэтуль ахоўвае гэта гвардыя?|Ватыкан
Старэйшына роду ў арабаў|каид
Старэйшына, правадыр у Інданэзіі, Філіпінах|дата
Старац, які славіўся мудрасцю, персанаж “Іліяды” Гамера|Нестар
Старац-каўказец|аксакал
Што старэе правадыр ваўчынай зграі, “якая ўсынавіла” Маўглі|Акела
Стары Хоттабыч па сваёй адмысловасці|джын
Стары, пакараны Аидом|Окн
Стары-вандроўца з драматычнага эцюда А. П. Чэхава “На вялікай дарозе”|Сава
Старин. попелаў. манета Іспаніі, Швейцарыі, Італіі|дублон
Старин. падстаўка для лучыны|светец
Старин. португ. ці исп. танец, песня|фолия
Старин. рукапіс|хартыя
Старин. рускі пернік|начка
Старин. форма кнігі|скрутак
Старин. фр. дробная серебр. манета|тестон
Старин. карточн. гульня, падобная на фараон|басета
Старин. кіргіз. конноспортивн. гульня, адзінаборства вершнікаў|сайыш
Старин. цяжкі крыты шматмесцавы паштовы воз|брик
Даўніна, старажытнасць рэчы|антык
Старинн. сярэднеазіяцкі плуг|омач
Старинн. мера сыпкіх целаў|куль
Старадаўняя ангельская парода догообразных сабак|мастыф
Старадаўняя архітэктурная постаць|гірка
Старадаўняя вялікая карэта, прыстасаваная для сну ў шляхі|дармез
Старадаўняя ватрушка|шаньга
Старадаўняя верхняя сялянская адзежа ў выглядзе кафтана, звычайна з грубіянскага самаробнага сукна|бравэрка
Старадаўняя верхняя адзежа без рукавоў|бугай
Старадаўняя вагавая і грашовая адзінка ў Паўднёвай Індыі|пон
Старадаўняя ваенная прафесія|гусар
Старадаўняя адзінка ёмістасці сыпкіх целаў|мерка
Старадаўняя жаночая адзежа тыпу целагрэйкі, якая згадваецца ў вершах Ясеніна|шушун
Старадаўняя забягалаўка|карчма
Старадаўняя залатая манета Ўсходу|дынар
Старадаўняя залатая манета Іспаніі, Францыі|луідор
Старадаўняя залатая манета Іспаніі|дублон
Старадаўняя залатая манета Персіі|смуга
Старадаўняя залатая манета|талер
Старадаўняя залатая манета|цехин
Старадаўняя залатая, срэбная манета|дукат
Старадаўняя іспанская залатая манета|дублон
Старадаўняя іспанская манета са срэбра|дурніца
Старадаўняя іспанская манета|піястр
Старадаўняя іспанская, італьянская, мексіканская залатая і мараканская срэбная манета|унцыя
Старадаўняя карточн. гульня|шкарпэткі
Старадаўняя картачная гульня, падобная з вістам і прэферансам|ералаш
Старадаўняя картачная гульня|ералаш
Старадаўняя картачная гульня|макао
Старадаўні сялянскі абутак (адказ у ед. ч.)|лапаць
Старадаўняя сялянская адзежа: кафтан з тоўстага сукна|бравэрка
Старадаўні крыты зімовы воз|вазок
Старадаўняя медная манета ў дзве капейкі, пазней полкопейки|грош
Старадаўняя манета Іспаніі, Партугаліі|піястр
Старадаўняя манета Партугаліі|рэйс
Старадаўняя манета Францыі|ліўр
Старадаўняя манета ў некаторых заходнееўрапейскіх краінах|дукат
Старадаўняя манета, вакол якой развіваюцца падзеі рамана Р. Чандлера “Высокае акно”|дублон
Старадаўняя манета|рэал
Старадаўняя муж. адзежа (вышэй каленаў, без рукавоў)|камзол
Старадаўняя мужчынская верхняя адзежа, звычайна без рукавоў|камзол
Старадаўняя мужчынская даўгакрысая верхняя адзежа|кафтан
Старадаўняя нямы. залатая і срэбная манета|талер
Старадаўняя абрадавая жаласная песня на пахаваннях, памінках ці вяселлю|плач
Старадаўняя адзежа, доўгі шырокі парадны ці дарожны плашч|апанча
Старадаўняя прычоска – узбітая чупрына валасоў на галаве|тупей
Старадаўняя гармата ці цяжкая стрэльба, зброя|пищаль
Старадаўняя разменная манета Нямеччыны|геллер
Старадаўняя разнавіднасць рыбалоўнай сеткі|абор
Старадаўні рукапіс у вокладцы|кодэкс
Старадаўні рукапіс, а таксама матэрыял, на якім яна напісана|хартыя
Старадаўняя руская верхняя адзежа, доўгая і ворная, без каўняра|ферязь
Старадаўняя руская верхняя адзежа|апанча
Старадаўняя руская жаночая ворная адзежа тыпу кофты|шушун
Старадаўняя руская мера даўжыні, роўная адлегласці паміж рассунутымі вялікім і паказальным пальцамі|пядзя
Старадаўняя руская мера даўжыні?|аршын
Старадаўняя руская мера даўжыні?|вярста
Старадаўняя руская мера даўжыні?|локаць
Старадаўняя руская мера аб'ёму вадкасцяў|кружка
Старадаўняя руская мера аб'ёму|кайданоў
Старадаўні рускі металічны ці драўляны посуд для разліва віна, піва, брагі ў выглядзе круглявай чары з шырокім горлам і носікам|яндоўка
Старадаўняя руская манета|шастак
Старадаўняя руская адзежа ў выглядзе шырокага плашча без рукавоў|апанча
Старадаўні рускі плецены абутак|лапці
Старадаўняя руская чорная кніга прыме па сустрэчах у дарозе|падарожнік
Старадаўняя срэбная ці медная манета ў некаторых краінах Еўропы і Лацінскай Амерыкі|рэал
Старадаўняя срэбная манета Італіі|рэал
Старадаўняя срэбная манета Італіі|скудо
Старадаўняя срэбная манета Персіі, Юдэі|сикл
Старадаўняя срэбная манета Партугаліі|сольда
Старадаўняя срэбная манета, ад назвы якой адбылося слова “даляр”|талер
Старадаўняя срэбная партугальская манета|сольда
Старадаўняя срэбная манета ў Іспаніі, Партугаліі і інш. краінах|рэал
Старадаўняя срэбная манета, якая з'явілася ў Венецыі|дукат
Старадаўняя цёплая мужчынская шапка|треух
Старадаўняя турма|астрог
