Калідор у магільні|дромос
Карычневая фарба|сіена
Карычневая мінеральная фарба|умбра
Карычнева-зелянявы колер|хакі
Карычнева-зялёны, зелянковы колер тканіны|хакі
Карычневае што фарбуе рэчыва, якое выдаткоўваецца каракатицей|сэпія
Скарынка з засохлай крыві і інш. вылучэнняў на ране, апёку, што гнояцца больках|струп
Скарынка ранкі|струп
Корм для акварыумных рыбак?|дафніі
Корм для акварыумных рыбак|матыль
Корм для канёў, скаціны, птушкі|фураж
Корм для каня|авёс
Корм для сельскагаспадарчых жывёл|фураж
Корм для скаціны, камбікорм|силос
Корм. сямейства травы (травы. расліна)|овсец
Кормы карабля|ахтэрштэвень
Кормы карабля|ют
Кормы на судне|бак
Кармавая культура, меданос|канюшына
Кармавая культура|баркун
Кармавая шчогла на ветразных судах|бізань
Кармавая надбудова судна з каютамі і службовымі памяшканнямі|ют
Кармавая сельскагаспадарчая культура|рапс
Кармавая трава сямейства бабовых з суквеццямі ў выглядзе шаровидной галоўкі|канюшына
Кармавая трава сямейства бабовых|нут
Кармавая трава, отличающияся ад травы трохкантовым сцяблом і якая расце на забалочаных, кіслых сенажацях|асот
Кармавая трава|мятліца
Кармавая фасоль|маш
Кармавая частка верхняй палубы судна|ют
Кармавая расліна, трава|жытняк
Кармавая трава|пырнік
Кармавы прадукт сілкавання|вотруб'е
Кармушка ў хляве|яслі
Кармушка для скаціны, нахільна прымацаваная да сцяны ці ў выглядзе што звужваецца дадолу скрыні|яслі
Кармушка, у якую корм паступае самацёкам (конегадоўля)|аўтакармушка
Камедыя Корнеля|ілгун
Карняплод з буйным шарападобным саладкавым коранем светла-жоўтага колеру|бручка
Карняплод з вострым густам і пахам|рэдзька
Карняплод з тоўстым і светлым коранем|рэдзька
Карняплод з тоўстым салодкім коранем, якія ідуць у ежу|бурак
Карняплод, асноўнае кармленне ў фашысцкіх канцлагерах|бручка
Карняплод, вельмі папулярны ў Старажытнай Русі|рэпа
Карняплод, што патрапіў у казку|репка
Карняплод|рэпа
Корнеплодная агародная культура сямейства крыжакветных|дайкон
Карняплоды і іншыя ядомыя расліны, якія гадуюцца на градах|гародніна
Карнет (духавая музычная прылада)|цынк
Карані грыбоў, мохаў|рызоід
Карані са сцебламі ржы, пшаніцы|жняя
Кораб з бяросты|кузаў
Кораб з лыка ці бяросты для збору грыбоў|кузаў
Кораб, ёмістасць для захоўвання адзежы|куфар
Скрынка для алоўкаў|пенал
Скрынка для пісьмовага прыладдзя|пенал
Скрынка, чахол|футарал
Скрыначка для школьных пісьменнікаў|пенал
Карова ў дзявоцтве|цялушка
Карова і крэсла, курыца і рогіль, штатыў і раяль. Што агульнага ў кожнай пары?|колькасць ног
Карове не ідзе|сядло
Каровін нашыйнік са званком; тыбецкі як|кутас
Каровін нашыйнік са званком|кутас
Каровіна салата|силос
Каровін табун|статак
Каровіны кансервы|силос
Каровіна антылопа|бубал
Каровіна антылопа|гну
Каровіна хвароба|яшчур
Каровіна дадзенасць|малако
Каровіна мамка-нянька|даярка
Караед сярод мастакоў?|гравёр
Каралева Вялікабрытаніі (1837–1901)?|Вікторыя
Каралева з фільма “Шклянка вады”|Ганна
Каралева-ваяўніца з ірландскіх міфаў|Айве
Каралевіч як сваяк манарха?|сын
Каралеўская дынастыя, царствовавшая ў Францыі ў 1594–1792 гадах?|Бурбоны
Каралеўская мантыя, аздобленая гарнастаем|парфіра
Каралеўская раскоша?|шык
Каралеўская шашка|дамка
Каралеўскі палац з мушкетерского рамана А. Дзюма|луўр
Каралеўскі псеўданім|манарх
Каралеўскі знак Францыі|лілея
Каралеўскае піяніна|раяль
Каралеўства, заснаванае ўсходнімі саксамі|Эсэкс
Кароль Іспаніі ў 1870–73 (1845–90)|Амадэй
Кароль Нарвегіі па мянушцы Святы|Олаф
Кароль брытаў у V–VI ст., які змагаўся з англасаксонскімі заваёўнікамі|Артур
Кароль вестготаў у 466 г.|Эйрих
Кароль вестготаў з 395 г.|Аларих
Кароль сярод каштоўных камянёў|дыямент
Кароль, упершыню ў гісторыі які арганізаваў “круглы стол”|Артур
Кароль, герой сатыры П. Беранже на напалеонаўскі рэжым|Ивето
Кароль, які ахрысціў Швецыю|Эрык
Кароль, што празерыў пасля асляплення|Лір
Кароль, цар|манарх
Карона таты Рымскага|тыяра
Каронная партыя Сяргея Лемешова|вертер
Каронная партыя рускага барытону Паўла Хохлова|Онегин
Кароны, возлагаемые на жаніха і нявесту падчас шлюбу?|вянкі
Караценькая куртка – элемент адзежы рускага гусара|менцік
Караценька пра смешны|анекдот
Коротк. аповесць у вершах у франц. ср.-стагоддзе. літ-рэ|фабліо
Кароткая камізэлька ў іспанскім нац. гарнітуры|балеро
Кароткая вераўчаная пуга|лінёк
Кароткая верхняя жаночая адзежа ў стан|жакет
Кароткая верхняя адзежа на зашпільцы|куртка
Кароткая верхняя адзежа|жакет
Кароткая гусарская куртка|менцік
Кароткая гусарская накідка з футравым узлескам|менцік
Кароткая жаночая адзежа, носная са спадніцай ці штанамі|кофта
Кароткая застольная гаворка?|тост
Кароткая і пышная спадніца балярыны|пачак
Кароткая і шырокая шлюпка, якая мае ад дзвюх да васьмі вёслаў|ял
Кароткая камедыйная п'еса|скетч
Кароткая куртка, ніз якой сканчаецца притачным поясам|блузон
Кароткая мужчынская адзежа без каўняра і рукавоў, па-над якой апранаецца пінжак, сурдут, фрак, а таксама жаночая адзежа такога ж пакроячы|камізэлька
Кароткая адзежа без рукавоў|камізэлька
Кароткая палка, якой рэгулёўшчык руху дае ўказанні транспарту, пешаходам|жазло
Кароткая палка, якую выкарыстоўвае рэгулёўшчык руху|жазло
Кароткая прычоска|вожык
Кароткая гаворка з прапановай выпіць віны|тост
Кароткая сатырычная аповесць у французскай сярэднявечнай літаратуры|фабліо
Кароткая смешная гісторыя|анекдот
Кароткая спадніца|міні
Кароткія штаны, да каленаў ці вышэй|шорты
Кароткія валокны бавоўны і т. п., атрыманыя пры часанні|пачассе
Кароткія панчохі ці доўгія да каленаў нашэння|гольфы
Кароткія панчохі|шкарпэткі
Кароткія порткі, якія насілі дваране ў Францыі да пач. 19 ст.|кюлот
Кароткія порткі|баязліўцы
Кароткія порткі|шорты
Кароткія, адрывістыя гукі пры частых ударах, груку|сокат
Кароткі ваенны мундзір у рускім войску|коле
Кароткі ваенны мундзір з белага сукна ў старым рускім войску|коле
