Германскі бог|Водан
Германскі ваенны дзеяч, генерал-палкоўнік. Адзін з тэарэтыкаў “вокамгненнай вайны”, які адводзіў галоўную ролю ў ёй буйным злучэнням бранетанкавых войскаў?|Гудэрыян
Германскі пісьменнік і царкоўны дзеяч|Авит
Германскі кіраўнік Італіі (?), які захапіў у 476 г. Заходнюю Рымскую імперыю|Одоакр
Германскі флатаводзец, яго імем быў названы крэйсер, затоплены ў Вялікую Айчынную|Тирпиц
Германскае племя ў дэльце Рэйна|батавы
Германскае племя|бавары
Герметызаваны рэзервуар, які ўжываецца ў вытворчасці шампанскіх вінаў|акратофор
Герметычна ізаляваны провад|кабель
Герметычная пасудзіна са што даходзіць да дна трубкай для газавання і разлівання напояў|сіфон
Герметычная пасудзіна, прызначаны для награвання вадкасцяў пад ціскам?|аўтаклаў
Героі германскага эпасу, уладальнікі цудоўнага залатога скарбу?|нибелунги
Гераіня Гончарова “Абрыў”|Вера
Гераіня Купрына “Гранатавы бранзалет”|Вера
Гераіня Лідзіі Вертинской з фільма-казкі “Каралеўства крывых люстэркаў”?|Анидаг
Гераіня Шэкспіра носіць імя, падобнае па паходжанні з імем вядомай амерыканскай акторкі і мужы князя. А самага князя клікалі...|Андрэй
Гераіня анекдотаў пра Чапаева|Анка
Гераіня балета П. І. Чайковского “Шчаўкунок”|Мари
Гераіня башкірскага эпич. творы “Ўрал-батыр”|Айхылу
Гераіня барацьбы супраць рабства ў ЗША|Табмен
Гераіня драмы Ибсена “Лялечная хата”|Нара
Гераіня шматлікіх дэтэктыўных раманаў Агаты Крысці|Марпл
Гераіня нартского эпасу адыгов|Адиюх
Гераіня нартского эпасу адыгов|Ахумида
Гераіня нартского эпасу|Эльда
Гераіня аднаго з твораў Астрид Линдгрен, чыё імя стала назвай аповесці?|Пеппи
Гераіня аперэты французскага кампазітара Оффенбаха|Алена
Гераіня оперы А. Даргомыжского “Русалка”|Бетси
Гераіня оперы А. С. Даргомыжского “Русалка”?|Вольга
Гераіня оперы Дж. Россини “Севільскі цырульнік”|Розина
Гераіня оперы П. Чайковского “Орлеанская панна”|Іяана
Гераіня асяцінскага нартского эпасу|Агунда
Гераіня аповесцяў-казак Л. Кэрролла|Аліса
Гераіня павесці А. Грина “Пунсовыя ветразі”|Ассоль
Гераіня павесці А. Герцэна “Сарака-зладзейка”|Анэта
Гераіня апошняга рамана І. Ефрэмава|Таис
Гераіня паэтычнага твора Н. Некрасова|Орина
Гераіня произв. К. Федина “Вогнішча”|Улина
Гераіня произв. узб. паэта Навоі; перс. паэмы Нізамі|Шырынь
Гераіня произв. узб. паэта Навоі|Шырынь
Гераіня произв. Андэрсана (кашулі з крапівы для братоў)|Элиза
Гераіня твора А. Грина|Ассоль
Гераіня твора Э. Па|Лигейя
Гераіня пушкінскай паэмы “Хатка ў Каломне”|Параша
Гераіня п'есы А. Н. Астроўскага “Без віны вінаватыя”|Брехт
Гераіня п'есы К. Тренева|Яравая
Гераіня п'есы Лопе дэ Вега “Настаўнік танцаў”|Альдемаро
Гераіня п'есы М. Метерлинка “Сіняя птушка”|Митиль
Гераіня п'есы Астроўскага “Таленты і прыхільнікі”|Негина
Гераіня рымскай навэлы Стендаля|Ванини
Гераіня ром. А. Дзюма|Марго
Гераіня рамана А. Грина “Пунсовыя ветразі”|Ассоль
Гераіня рамана Андэрсана-Нексе|Дитте
Гераіня рамана Т. Драйзера|Кэры
Гераіня казкі Г.-Х. Андэрсана “Снежная каралева”|Герда
Гераіня казкі оперы-балета М. Раухверга “Снежная каралева”|Герда
Гераіня фільма Н. Міхалкова|Ганна
Гераіня хрысціянскай агіяграфічнай легенды|Урсула
Героич. ці романтич. паэма ў фальклоры народаў Усходу|дастан
Героич. рус. канонерская лодка|карэец
Гераічныя паданні|эпас
Гераічны рускі крэйсер|вараг
Гераічны эпас шэрагу цюркамоўных народаў СССР|едигей
Гераічны, самаадданы ўчынак|подзвіг
Герай ВОВАЎ, герой французскага супраціву|Порик
Герай ВОВАЎ, камандарм|Батов
Герай ВОВАЎ, камандзір батарэі “Кацюш”|Флеров
Герай ВОВАЎ, марак|Ісакаў
Герай ВОВАЎ, марак|Лявонаў
Герай ВОВАЎ, партызан|Корж
Герай ВОВАЎ, партызан|Руднеў
Герай ВОВАЎ, выведнік па імі Рихард, хаваўся за Рамзаем|Зорге
Герай ВОВАЎ, сяржант, удзельнік Сталінградскай бітвы|Паўлаў
Герай ВОВАЎ, штабіст|Антонаў
Герай ВОВАЎ, юны партызан|Каток
Герай Вялікай айчыннай вайны, які ўзняў сцяг Перамогі над рэйхстагам|Ягораў
Герай Г. Жженова ў трох фільмах пра савецкага рэзідэнта|Тульев
Герай Гётэ, доктар, заляцаўся за Маргарытай|Фаўст
Герай Гражд. войны|Дундич
Герай Гражд. войны|Жлоба
Герай Гражд. войны|Ковтюх
Герай Гражд. войны|Федько
Герай Грамадзянскай вайны|Азин
Герай Грамадзянскай вайны|Лаза
Герай Грамадзянскай вайны|Фрунзе
Герай Кулікоўскай бітвы, манах Сёмуха-Сергіева манастыра|Ослябя
Герай Л. Н. Талстога “Казакі”|абрэк
Герай Лема|Ціхі
Герай Марка Твена?|Соер
Герай Н. Яроменка ў фільме “Царскае паляванне”|Арлоў
Герай Айчыннай вайны 1812 г.|Фигнер
Герай Айчыннай вайны 1812, генерал, кавалерыст, удзельнік Бородин. бітвы|Уваров
Герай Севаст. абароны 1854–55 гг.|Котка
Герай Савецкага Звяза (1943), палкоўнік (1958)|Ковзан
Герай Савецкага Звяза (1944), генерал-маёр (1943). У 1941–43 сакратар Гомельскага падпольнага абкама КП(б) Беларусі, камандзір партызанскага злучэння|Кожар
Герай Савецкага Звяза (1945), поўны кавалер ордэна Славы (1944, 1945, 1945), старэйшы сяржант|Алешин
Герай Савецкага Звяза (1945), поўны кавалер ордэна Славы (1944, 1945, 1980 – прадстаўлены ў 1945), старэйшы сяржант?|Кузняцоў
Герай Савецкага Звяза (1945), старэйшы лейтэнант. Падчас Сталінградскай бітвы камандзір выведвальнай групы, якая ў верасні 1942 заняла і ўтрымлівала т. н. Хата ___а ў цэнтры Сталінграда|Паўлаў
Герай Сталлоне|Рембо
Герай Траянскай вайны па Гамеру|Ахилл
Герай Франсуа Шатобриана, загублены эгацэнтрызмам|Нене
Герай Шэкспіра|Генрых
Герай абхазск. нартск. эпасу, сын Куна і Зилхи|Цвицв
Герай абхазскага героич. эпасу|Абрскил
Герай анекдотаў|чупрына
Герай арм. эпасу|Арам
Герай у міфах яванцаў, балийцев і малайцаў|Бома
Герай вугорскай песні|Ракоци
Герай вестэрнаў?|шэрыф
