Вулкан на о. Хансю|Ивате
Вулкан на выспе Минданао|Апо
Вулкан на выспе Суматра|Демпо
Вулканічная горная парода, якая ўжываецца як будаўнічы матэрыял|парфір
Вулканічны масіў у Турцыі|Арарат
Вулканічная выспа ў Ціхім акіяне|Таіці
Вулканічны раён на поўначы Цэнтральнага Французскага масіва|Овернь
Ваўкалак|упір
Уваход у храм|партал
Уваход з паражніны рота ў глотку|зяпа
Ўваходная адтуліна ў печы|жарало
Ўваходная перашкода, вітацца праз якое дрэнная прымета|парог
Уваходная ў федэрацыю дзяржаўная тэрытарыяльная адзінка ў некаторых краінах|штат
Ушыты каляровы шнурок, палоска тканіны па краі ці шву адзежы|кант
Вы ўсё напэўна ведаеце нейкага Хольгерсона, жыхара вёскі Вестменхег. А як яго клікалі?|Нильс
Вы ўсё чулі пра гэтага сына Марыі Магдаліны. Яго самая вядомая фантазія, дзякуючы вобразнаму мысленню паэта Л. Гельштаба, непарыўна злучана ў нашай свядомасці з нябесным аб'ектам. А якім? “з ...”|месяцам
“Вы думалі, што сустрэлі ў мне ваш ...” (А. Чэхаў “Пасля тэатра”)|ідэал
Вы яго знойдзеце ў партфелі ў школьніка|пенал
Вы ведаеце гісторыю першых вядомых сіямскіх двайнят, Чанга і Энга Банкеров. А што ў перакладзе з тайскай мовы азначаюць імёны Чанг і Энг?|левы і правы
Вы, вядома ж, чулі пра харчовую піраміду? Тады скажыце, на чым, па меркаванні Карла Линнея, зиждилось у ХVIII павеку дабрабыт Лапландыі?|лішайнік
Вы, напэўна, ведаеце, што блювал – гэта блакітны кіт. А як назваць па-руску аднарога?|паўночны кіт
Вы, напэўна, чулі пра вядомы гаитянском рэвалюцыянеру Туссене Лувертюре. Скажыце, які святы быў яго заступнікам?|усе святыя
Высмаглае на кораню дрэва|сухастой
Высокая вежа пры мячэці, з якой муэдзін склікае мусульман на малітву|мінарэт
Высокая пасада містара Твистера|міністр
Высокі мужчынскі капялюш з невялікімі цвёрдымі палямі|цыліндр
Высока развітыя разумовыя здольнасці|інтэлектуальнасць
Высокае іглічнае дрэва, распаўсюджанае пераважна ў Паўднёвай Амерыцы і Аўстраліі|араўкарыя
Высокае майстэрства ў мастацтве, віртуознасць|артыстызм
Высокаўраджайны зимоустойчивый гатунак агрэста|арляня
Высоковязкое аліва|вісказін
Высакагорны кліматычны курорт у Грузіі|бахмаро
Высакагорная сенажаць|парамос
Высокоградусная вадкасць, але не спірт|кіпень
Высокодисперсная сістэма|коллоид
Высакаякасны выкапнёвы вугаль|антрацыт
Фанабэрыстасць, пыха|ганарыстасць
Высокапастаўлены анёл, наступны за серафімам у нябеснай іерархіі (хрысц. міф.)|херувім
Высокапрадуктыўная парода свінняў|ёркшыр
Высокія боты з шырокімі халявамі раструбам|ботфорты
Высокі стол, які стаіць пасярэдзіне царкоўнага алтара|пасад
Высокі дзіцячы голас (у хлопчыкаў)|діскант
Высокі і няскладны чалавек|бамбіза
Высокі кавалерыйскі бот з раструбам|батфорт
Высокі калючы хмызняк ці дрэва сямейства лоховых з кіслявымі памяранцава-жоўтымі ягадамі|абляпіха
Вышыня кропкі зямной паверхні над узроўнем акіяна|альтытуда
Вышынямер|альтыметр
Вышыннік, скалалаз|верхолаз
Найвысокая вяршыня Каўказа|Эльбрус
Найвысокая вяршыня Ўрала|Народная
Найвысокая вяршыня свету ў Гімалаях|Эверэст
Найвысокая горная сістэма зямнога шара|Гімалаі
Найвысокае іглічнае дрэва|сэквоя
Выседжванне|выседжванне
Выскачка, пераймальнік|парвеню
Выстава (ці яе частка) для дэманстрацыі новых мадэляў аўтамабіляў|аўтасалон
Выстава для дэманстрацыі новых мадэляў аўтамабіляў|аўтасалон
Выстражаная верхавіна галавы ў прадстаўнікоў каталіцкага духавенства|танзура
Выступ у сцяне ці бэлька, што падтрымлівае карніз, гаўбец|кансоль
Выступ у сцяне, бэлька, заладжаная ў сцяну адным канцом|кансоль
Выступ ва ўмацаванні для вядзення флангавага агню па курціне|бастыён
Выступ ці заладжаная адным канцом у сцяну бэлька, службоўцы апорай|кансоль
Выступ марскога дна, утвораны рэшткамі прабывалых на гэтым месцы арганізмаў|биогерм
Выступалая ў сцяне ў якасці апоры частка бэлькі|кансоль
Выступалая частка вобада кола|рэборда
Выступалая частка будынка|рызаліт
Выступоўца ў абарону|замоўца
Выступоўца на вобадзе кола край (утрымлівае кола на рэйцы ці, напр., рамень на шківе)|рэборда
Выступ прыезджага артыста ці калектыва артыстаў|гастроль
Выступы прыезджых артыстаў, тэатра, цырка і т. п.|гастролі
Выступы, спектаклі, якія даюцца прыезджымі акцёрамі|гастролі
Вышэйшая ступень святарства ў праваслаўнай, каталіцкай і англіканскай цэрквах|біскуп
Вышэйшая ступень развіцця грамадства, уздым|росквіт
Вышэйшая ступень развіцця чаго-небудзь, уздым|росквіт
Вышэйшая прыступка спазнання|мысленне
Вышэйшая ўлада службовай асобы ў Старажытным Рыме|імперый
Вышэйшая, хоць і не афіцыйная, навуковая ступень|свяціла
Вышэйшае (пасля Таты) званне ў каталіц. цэрквы|кардынал
Вышэйшая ваенная навучальная ўстанова|акадэмія
Вышэйшы духоўны твар у каталіцкай царкве|біскуп
Вышэйшы духоўны твар у праваслаўнай, англіканскай, каталіцкай цэрквах, частка царкоўнай акругі|біскуп
Вышэйшы духоўны твар, частка Епархіі|біскуп
Вышэйшая жывая істота|чалавек
Вышэйшае званне рыцара ў рыцарскім ордэне ў сярэднія вякі|камандор
Вышэйшая ці сярэдняя навучальная ўстанова, можа ўваходзіць у склад універсітэта|каледж
Вышэйшая навуковая, навучальная, мастацкая ўстанова|акадэмія
Вышэйшая праява розуму|мудрасць
Вышэйшы анёл у христианск. рэлігіі|арханёл
Вышэйшы анёл у хрысціянстве|херувім
Вышэйшы анёльскі чын (хрысц. міф.)|серафім
Вышэйшы сан у каталіцкай царкве|кардынал
Вышэйшы гатунак шкла|крышталь
Вышэйшы суд і кантралявальны орган у старажытных Афінах|арэапаг
Вышэйшы орган судовай і палітычнай улады ў старажытных Афінах|арэапаг
Вышэйшы грамадзянскі чын царскай Расіі|канцлер
Вышэйшы духоўны сан у праваслаўнай царкве|патрыярх
Вышэйшы духоўны сан, архірэй|біскуп
Вышэйшы духоўны тытул у мусульман-шыітаў|аятала
Вышэйшы духоўны тытул у адным з асноўных кірункаў ісламу ў Іране|аятала
Вышэйшы законадательный орган земляў у ФРГ і Аўстрыі|ландтаг
Вышэйшы праваслаўны царкоўны сан|патрыярх
Вышэйшы тытул для пісьменніка, які можна атрымаць толькі пасля смерці|класік
Вышэйшы, пасля таты, каталіцкі духоўны сан|кардынал
Высь, вышыня (лунаць у ...) (ед. ч.)|эмпірэй
Аб'езджванне, прывучванне да язды|аб'езджванне
Выпрацоўваемае клеткамі хим. рэчыва, якое ўдзельнічае ў перадачы нервовых імпульсаў|медыятар
Выраз сутнасці ў філасофіі|з'ява
Выраз ухвалы|хвала
Выраз праўдзівай сутнасці чалавека|аблічча
Выраз ідэі з дапамогай мастацкай выявы|алегорыя
Выраз твару|грымаса
Выразнік і абаронца ідэалогіі грамадскага класа|ідэолаг
Выразнік якога-небудзь кірунку|ідэолаг
Выразная знешнасць чалавека|прыгажосць
Вылюдак сярод прастакутнікаў|квадрат
Вылюдак, ублюдак, міжпародны (грубіянскі.)|бастард
Высечаны, павалены лес|высечак
Выйсце вулканічных газаў|фумарола
Выйсце газаў са страўніка праз рот|адрыжка
Выйсця няма|сплін
Выбар грамадзянства, звычайна які прадстаўляецца насельніцтву тэрыторыі, пераходзячай ад адной дзяржавы да іншага|аптацыя
Выбар з дзвюх магчымасцяў|дылема
Выбар кропак на мясцовасці і замацаванне іх колами|пикетаж
Выбарная пасада ў Расіі|стараста
Выбарная службовая асоба з сялян, што выконвала паліцэйскія абавязкі ў вёсцы|дзясятнік
Выбарны твар ад групы|дэлегат
Выбарны твар ад групы|дэпутат
Выбарны орган з адмысловымі заканадаўчымі паўнамоцтвамі ў некаторых краінах|канвент
Выбарны орган, кіраўнічы вызначанай працай|камітэт
Выбарны прадстаўнік арганізацыі, калектыва|дэлегат
Выбарны прадстаўнік на зборы, з'ездзе і т. п.|дэлегат
Выбарны прадстаўнік, полномоченный дзяржавы, арганізацыі, калектыва|дэлегат
Выбарны прадстаўнічы орган улады ў Югаславіі|скупшчына
Выкід кулі з канала ствала агнястрэльнай зброі|стрэл
Выгаленае месца на верхавіне ў каталіцкіх святароў|танзура
Выбіўная костка чэрапа|скула
Выбіты малюнак|чаканка
Выбоіна на дарозе|выбоіна
Выбар тварам грамадзянства|апцыён
Выбар, адбор|разбор
Выбарная разбойніцкая пасада|атаман
Выбарны прадстаўнік?|дэпутат
Выбарны кіраўнічы орган|бюро
Выбарны, пасланы куды-небудзь з прашэннем|хадок
Выведывание, збіранне ці выкраданне звестак, якія з'яўляюцца таямніцай, з мэтай перадачы іх зацікаўленаму твару|шпіянаж
Вываз выкапняў з месца выпрацоўкі|адкочванне
Вываз тавараў з краіны за мяжу па коштах, значна ніжэйшым, чым кошты ўсярэдзіне гэтай краіны ці на сусветным рынку, у мэтах ухілення канкурэнцыі і захопу вонкавых рынкаў|дэмпінг
Вываз тавараў з краіны|экспарт
