Гэтым лекарам навукоўцы рэкамендуюць насіць на працы адмысловыя заглушкі. Што лечаць гэтыя лекары?|зубы
Гэтым дарункам Пушкін валодаў у поўнай меры|талент
Гэтым імем Ала Пугачова назвала свайго першага дзіця|Крысціна
Гэтым імем названы тэатр у Маскве|Сац
Гэтай прыладай карыстаецца і хірург, і філатэліст|пінцэт
Гэтым кіпячым напоем абносілі госцяў на вяселлі Руслана і Людмілы|піва
Гэтым можна займацца не толькі за мяжой, але і на суседняй фірме|шпіянаж
Гэтым мінералам нават назвалі горад на Кольскім паўвостраве|апатыт
Гэтым карыстаюцца шматлікія кожны дзень|ліфт
Гэтым прызам А. Карпаў валодаў 9 раз|Оскар
Гэтым словам на Русі звалі пугу, які выкарыстоўваўся пры пашы кароў, а тое, што ім завуць цяпер, з'явілася ў рускага цара толькі ў 1490 г. Назавіце яго|чыюк
Гэтым словам завуць клас рачных мелкосидящих баявых караблёў, а таксама то, на што мы захоплена глядзім, музыкі слухаюць, а англамоўныя гартаюць. Што гэта?|манітор
Гэтым словам няня паэта Арына Радзівонаўна звала ўсіх злыдняў|аспід
Гэтым прыхільнікі ангельскага караля Георга спрабавалі атруціць Джорджа Вашынгтона?|памідор
Гэтай халоднай зброяй у ХVIII–ХIХ ст. была ўзброена руская кавалерыя|палаш
Гэтымі словамі пачынаецца шаснаццатая “Песня заходніх славян” – “Што ты ржэш, мой конь ... ”?|заўзяты
Гэтых свінняў у Францыі не адкормліваюць адмыслова, і тым не менш яны стаяць у тры разу даражэй звычайных. А ўсё таму, што яны ведаюць ноў-гаў. Якое?|пошук труфеляў
Этич. праблемы взаимоотн. лекара і пацыента, трансплантацыі|биоэтика
Этычнае вучэнне, мэтай жыцця і вышэйшай выгодай якая прызнае асалода|геданізм
Этычным ідэалам стоікаў было дасягненне стану, калі чалавек становіцца не ўспрымальны да ўсяго вонкавага. Як зваўся гэты стан?|апатыя
Этнічная група грузінаў, якія пакідаюць карэннае насельніцтва адной з тэрыторый Заходняй Грузіі|мегрэлы
Этнічная група грузінаў, карэннае насельніцтва адной з тэрыторый Заходняй Грузіі|мінгрэл
Этнічная група ў Паўднёва-усходняй Азіі|нгэ
Этнічная група, што склалася ў 16–17 стст. ад шлюбаў іспанцаў з індзейскімі жанчынамі Аргентыны і Ўругвая|гаучо
Этнічная група: мардва, складнік карэннае насельніцтва паўднёвай і заходняй часткі Мардовіі|мокша
Этнографич. група мардвы|мокша
Этнаграфічная група мардвы|эрзя
Этнаграфічная група рускіх на ўзбярэжжа Белага і Баранцавая мораў|паморы
Гэта – імя амерыканскай спявачкі, гэта слова прысутнічае ў песні чарапахі Тортиллы, а яшчэ гэта старадаўняя назва рубля. Назавіце гэта слова|ціна
Гэта Герасім, які пасля таго, як утапіў Му-Му, завёў карову. П. Асс|маньяк
Гэта автоприспособление служыць для таго, каб пазбегнуць самаадвольнага руху аўтамабіля|ручнік
Гэта бітва душ, а не вайна слоў. Эдвард Далберг|кніга
Гэта набажэнства суправаджаецца пераламленнем збажыны. У Расіі яно мае два варыянту назвы: грэцкае і славянскае. Назавіце славянскі варыянт|абедня
Гэты вялікі будынак у стылі класіцызму, пабудаванае ў ХVIII ст., сначало было царквой, затым – магільным склепам сыноў Францыі. Як яно завецца?|пантэон
Гэта вялікі мяшок зманаў. Лоуренс Аліўе|акцёр
Гэта бывае лекавым, ачышчальным і пажыўным. Што гэта?|клізма
Гэта было вынайдзена для машын, і ўжываецца для машын у ЗША і Еўропе. А ў Нямеччыне гэта ўжываецца не толькі для машын, але і для кароў. Кажуць, каровам падабаецца. Што ж гэта?|мыйка
Гэта важная сельскагаспадарчая ядомая расліна расце галоўным чынам пад вадой. Напрыклад, у Нігеры глыбіня, на якой яго выгадоўваюць, дасягае 2.5 м, а ў Індыі – да 6 м. Што гэта за расліну?|рыс
Гэта вясёлае застолле здараецца ва ўсіх казках Пушкіна|баль
Гэта рэчыва пакрывае вашы зубы знадворку|эмаль
Гэта ўпершыню ўжылі ў складзе цяжкага аддзялення кулямётнага корпуса 15 верасня 1916 г. у бітве ў Флёр-Курслетт (Францыя). Назавіце гэта|танкі
Гэта ўсім вядомы ліст быў напісана па-французску, але вядомы толькі яго рускі пераклад. Хто і каму яго напісаў?|Таццяна Онегину
Гэты выраз узыходзіць да друку, з дапамогай якой алхімікі закаркоўвалі пасудзіны. Хто быў намаляваны на іх друку?|Гермес
Гэта грэцкае слова сначало пазначала шахту і рудня, а пасля стала пазначаць і тое, што там здабывалі. Што гэта за слова?|метал
Гэта справа ў савецкі час звалі “бітвай за хлеб”|жніво
Гэта павінна быць чорным, як д'ябал, які гарачыцца, як пекла, чыстым, як анёл і салодкім, як каханне. Пра што так сказаў вялікі Талейран?|кава
Гэта адзінка вымярэння шчасця. (В. Жамчужнікаў)?|імгненне
Гэта адзінае, што мы атрымліваем без высілкаў, гэтыя лепшыя лекі ад кахання, але разам з тым гэта і выдумка сумных людзей. Што гэта?|узрост
Гэта ёсць і ў сцен?|вушы
Гэта жывёла яшчэ завуць сарнабык|орикс
Гэта жывёла так кахае чысціню, што мые нават ежу?|янот
Гэта ўстанова, дзе дзяцей вучаць патрэбнаму і непатрэбнаму ўперамешку, усяляк замінаючы ім адрозніваць адно ад іншага. Віктар Кратоў|школа
Гэта злое, бязлітаснае бажаство старажытных славян перасоўвалася ў можжале і патрабавала крывавых ахвяр, каб накарміць дзвюх сваіх унучак. Пра каго ідзе гаворка?|баба-яга
Гэта і бог, і планета, і расліна|Аданіс
Гэта і пяцікутнік якасці, і Авен, і коска, і дарожная “цэгла”|знак
Гэта імя робіць Репина і Глазунова цёзкамі|Ілля
Гэта імя носіць оперны спявак Соткилава, раней гуляў у тбіліскім “Дынаму”|Зураб
Гэта прыгожая з'ява прыроды можна ўбачыць яснай марознай ноччу|палярнае ззянне
Гэта лавіна, якую юнак і дзяўчына абвальваюць сабе на галаву, пацягнуўшыся за кветкай?|шлюб
Гэта можа адбыцца і са скалой, і з эканомікай|абвал
Гэту казурку часта ўстаўляюць у корак|жучок
Гэта не карлікі, а людзі такія (пра каго казаў Юры Сянкевіч у тэлеперадачы?)|пігмеі
Гэта не толькі рака ў Падмаскоўе, але і першая сталіца Японіі|Нара
Гэта не маркота, проста – пяць раніцы. Для цябе каханне – гульня, а мне спаць пара... (исполн. песні)|Арканаў
Гэта нягоднік, які жадае таго ж, што і я?|супернік
Гэта няшчасце шчаслівых людзей. Хорас Уолпол|нуда
Гэта адна з нешматлікіх рэк, якія пачынаюцца ў Андах, якая ўпадае ў Атлантычны акіян, а не ў Ціхі. Яе перуянскія вытокі завуцца Укаяли і Тапожос. Пра якую раку ідзе гаворка?|Амазонка
Гэта зброя парушае запаведзь “Не убий”|наган
Гэта паняцце трэба кіраўнікам, каб неяк абмежаваць вашы правы – напрыклад, па ўзросце, па прапісцы|цэнз
Гэта паэзія, якую бачаць?|жывапіс
Гэта з'явілася ў Старажытным Егіпце і было прывілеем фараона. У Старажытнай Грэцыі, наадварот, гэтым карысталіся жанчыны, дзеці і хворыя. А ў наш час гэта парой выкарыстоўваюць для забойства. Што гэта?|крэсла
Гэта з'явілася ў Індыі, дзе выкарыстоўвалася для растлумачэння стратэгічных і тактычных пытанняў у ваеннай справе і імітацыі манеўраў. Пра што ідзе гаворка?|шахматы
Гэта першым чынам той, хто не бярэцца судзіць. Антуан Сэнт-Экзюпери|сябар
Гэта даводзілася браць Пушкіну, асабліва ў апошнія гады жыцця, для таго, каб утрымоўваць сям'ю|абавязак
Гэта прамаўлялі татара-манголы, калі крычалі: “Бей, бі”. Мы крычым гэта ў хвіліну радасці ці калі ўжо няма чаго губляць. Што?|ура
Гэта вандраванне па маршруце Севілля – Сан-Дамінга – Гавана – Севілля пачалося ў 1540 г., а скончылася ў 1898 г. Які вялікі вандроўца яго здзейсніў?|Калумб
Гэта шлях у часе. Карл Ясперс|мэта
Гэта радыё, якое распачало свае трансляцыі ў 1953 году, вядзе свае перадачы з Кёльна на трыццаці чатырох мовах. Гэта ... ?|нямецкая хваля
Гэта расліна ўвасабляе сабой адначасова і роднага, і прыёмнага сваяка. Назавіце яго|маці-і-мачаха
Гэта расліна, паводле Линнею, з'яўляецца ежай богаў. А мы ведаем яго пад яго індзейскай назвай. Назавіце яго|какава
Гэта святло лямпы, пры якой адзін чытае Святую кнігу, а іншы падрабляе подпіс. (прыказка)|праўда
Гэта здаюць у паліклініку|аналіз
Гэта слова ў літаральным перакладзе з латыні азначае “малодшы, навабранец”|юніёр
Гэта слова старажытнагабрэйскае, яго ўсё ведаюць, але ўжываюць нячаста. Азначае яно прыблізна: несумнеўна, так. Назавіце гэта слова|амэн
Гэта слова мае некалькі значэнняў. Гэта – адна з асноўных частак птушкі і самалёта, акрамя таго гэта асноўная арганізацыйна-тактычная частка паветраных сіл ЗША. Пра што ідзе гаворка?|крыла
Гэта слова можна перавесці з лацінскага як “прыстасаванне”|адаптар
Гэта слова на старажытнагрэцкім азначала прамую палку. У значэнні правіла, становішчы яно сустракаецца ў вобласці эстэтычных навук, мастацтвы, логікі, граматыкі. Назавіце гэта слова|канон
Гэта слова не заўсёды пазначала той колер, які нам знакам. Раней гэта быў шызы ці шэры колер. Што гэта за слова?|галубай
Гэта слова адкрывае шматлікія сакрэты|пароль
Гэта слова прыйшло да нас з нямецкай мовы і ўзыходзіць да арабскага – барракон – род чорнай адзежы. Што гэта за слова?|аксаміт
Гэта слова адбываецца ад авестыйскага каеnа – пакаранне, штраф, пяня. Што гэта за слова?|кошт
Гэта слова адбываецца ад старажытнагабрэйскага слова машиах. Першапачаткова так зваліся цары шэрагу блізкаўсходніх дзяржаў. Што гэта за слова?|месія
Гэта слова адбываецца ад среднелатинского роsitа, месца стаянкі для змены канёў. Цяпер у гэтым канёў амаль не выкарыстоўваюць, але паслугамі гэтага карыстаецца большасць жыхароў Зямлі. Што гэта?|пошта
Гэта слова, удасканальваючыся, ператварылася спачатку ў “падатак”, потым у “рэкет”|чынш
Гэта суправаджае чалавецтва на працягу амаль усёй яго гісторыі, з'яўляецца прадметам вывучэння адной з матэматычных дысцыплін, робіць, па словах Шылера, чалавека чалавекам. Што гэта?|гульня
Гэта складаецца з вады, якой хопіць на мыццё 2-х кашуль; жалеза, якога хопіць на выраб аднаго цвіка; волас, з якіх можна зрабіць адзін парык; а таксама з розных атрутных рэчываў, якіх хопіць, каб забіць адну блыху?|чалавек
Гэта здольнасць лёгка рабіць тое, што цяжка для іншых. Анры Амиел|талент
Гэта цень, адкінутая жаданнем. (неизв.)|зло
Гэта тое, вынікаючы чаму можна атрымаць вынік. (неизв.)|метад
Гэта ўжо традыцыя фінскай нацыі. Тут паміралі і нараджаліся, і лячыліся. Тут прамочвалі солад для піва, вэндзілі мяса. А што ж гэта такое?|сауна
Гэта ўменне маўчаць удваіх?|сяброўства
Гэта чалавек, які на апошнія грошы купляе папернік. (Франсуаза Подбер)?|аптыміст
Гэта чалавек, з якім я магу быць шчырым. Ральф Эмерсан?|сябар
Гэта мова, які зняў пінжак, што папляваў на рукі і які прыняўся за працу. Карл Сэнберг|слэнг
Гэта: фізічная адзінка, рэзкі заваротак каня, ухіленне ад удару ў фехтаванні, іншасказальна – спрытны прыём, шулерский фокус. Што ж гэта?|вольт
Гэтага звярка завуць гарбатым зайцам|агути
Гэтага гульца для сваёй каманды трэнер Леверкузенского Байера знайшоў праз Інтэрнэт?|Эмерсан
Гэтага палітычнага дзеяча больш кахаюць за мяжой, чым у краіне, дзе ён быў прэзідэнтам|Гарбачоў
Гэтай хваробай ніхто на зямлі не хварэе, хоць амаль кожны да яе ўспрымальны. Што гэта за хваробу?|марская хвароба
Гэтай навуцы прысвяцілі сябе Зинин і Бертолле|хімія
Гэтай праблемай заклапочаны шматлікія жанчыны, і вырашае яе кожная па-свойму. А некаторыя першабытныя плямёны выкарыстоўвалі для рашэння гэтай праблемы татуяванне. Так што ж гэта за праблема?|маршчыны
Этолиец, пераўтвораны ў “птушку, падобную на лебедзя”|Акмон
Гэтай дзяржаве прыналежыць народны парк Белавежская пушча|Польшча
Гэты Лёваў быў для Леніна “люстэркам рускай рэвалюцыі”?|Талсты
Гэты аўтамабіль лічыцца “самым дарагім аўтамабілем усіх часоў і народаў”. Яго пабудавала авіяцыйная фірма “Боінг”. І выкарыстоўваўся ён усяго ў дзвюх паездках. Назавіце месца, дзе на ім ездзілі.|Месяц
Гэты акцёр згуляў Дукалиса ў сориале “Вуліцы пабітых ліхтароў”|Селин
Гэты афарызм, асабліва папулярны пры развітым сацыялізме, нарадзіўся з каманды, прынятай у танкавых войсках і ВПС таго перыяду, калі не было развітай радыёсувязі. Што гэта за афарызм?|рабі як я
Анекдот: адна п'яўка тэлефануе іншай п'яўцы. З якой рэплікі яна пачынае гутарку?|выбач што адрываю
Скончыце двума словамі кароткі анекдот: – Мадам, у гэтым туалеце вы выдатныя.   – Хам! ... !|зачыніце дзверы
Гэты сусветна вядомы персанаж пасля сустрэчы са сваім сябрам пры даволі дзіўных акалічнасцях раптам зразумеў, які ён дурны і вырашыў бегчы з хаце і стаць мараком. Хто ж ён?|Пятачок
Гэты горад Сувораў браў штурмам|Ізмаіл
Гэты горад паўстаў як умацаваны пункт Разанскага княства|Ялец
Гэты горад паўстаў каля адной тысячы гадоў назад на беразе маленькай рэчкі Ло. А сталіцай якой краіны гэты горад з'яўляецца?|Нарвегія
Гэты грызун мае свой год ва ўсходнім календары|пацук
Гэты дэкрэт быў трэцім дэкрэтам бальшавікоў пасля “Дэкрэту пра свет” і “Дэкрэту пра зямлю”: “Дэкрэт пра ...”?|арфаграфіі
Гэты джазавы тэрмін адбыўся ад ангел. словы “рух” і азначае высокі тэмп выканання|драйв
Гэты егіпецкі царскі тытул перакладаўся раней як “вялікая хата”?|фараон
Гэты звярок з вядомага мультфільма баяўся свайго адлюстравання ў рацэ|янот
Гэты вядомы ангелец быў вандроўцам і паэтам, паляўнічым на буйнага звера і паветраплавальнікам. Сапраўднае яго імя было Эдуард. А пад якім імем яго ведаем мы?|Віні-Пух
Гэты індыйскі бог кахання па адданні валодае незвычайнай прыгажосцю. Малюецца ён з лукам са сцябла цукровага трыснёга з цецівой з пчол. Хто гэта?|Кама
Гэта прылада Гермес вырабіў з чарапашага панцыра|ліра
Гэта прылада ўжываецца асобнымі ўмельцамі, апроч свайго асноўнага прызначэння, таксама для выканання музычных твораў і капіяванні карцін вялікіх майстроў. Што гэта?|пішучая машынка
Гэты каляндар бярэ пачатак з моманту ўцёкаў Мухамеда з Мекі (хіджра) 16.07.662 г.?|магометанский
Гэты каляндар бярэ пачатак з першых Алімпійскіх гульняў у 01.07.776 г. да н. э.?|старажытнагрэцкі
Гэты каляндар бярэ пачатак з меркаванага нараджэння Ісуса Хрыста 01.01.01 г. н. э.?|хрысціянскі
Гэты каляндар, вядомы таксама як праваслаўны, бярэ пачатак ад міфічнага стварэння свету ў 01.09.5508 г. да н. э.?|візантыйскі
Гэты камень крыжакі бралі з сабой у паходы, каб засцерагчы сябе ад чумы|лал
Гэты камерны песенны жанр узнік у Іспаніі|раманс
Гэты карабель разбіў на часткі француз Лакайль, т. да. у грэцкім алфавіце ўсяго 24 літары. Пра які карабель ідзе гаворка?|сузор'е карабель арго
Гэты кароль жыве ў палацы за шырокай ракой. У яго выдатны твар і выродлівае скрукаванае цела. Яго бацька – Юлій Цэзар, а маці – фея Моргана. А якім народам ён кіруе?|эльфамі
Гэты хмызняк вельмі хораша квітнее|акацыя
Гэта лабараторная пасудзіна прызначаны для плаўлення якога-небудзь рэчыва|тыгель
Гэты легендарны спявак услаўляў жаніха і нявесту (Руслан і Людміла)|Баян
Гэты лясны звярок хоць і маленькі, але тэрмін цяжарнасці ў яго больш чым у чалавека – 10 месяцаў. Хто гэты лясны жыхар?|куніца
Гэты майстар усходніх адзінаборстваў быў зарэзаны ў пад'ездзе сваёй хаты|Цой
Гэты майстар займаўся пейзажным жывапісам у Італіі, аўтар “Каррары”|Ге
Гэты метал у Італіі абараняў ад ліхіх вачэй|свінец
Гэты міністр фінансаў Францыі ўславіўся ўнёскам не ў эканоміку, а ў мастацтва. Назавіце яго прозвішча|Сілуэт
Гэты напой можна з поўнай падставай назваць “можжевеловкой”?|джын
Гэты напой, які вырабляецца з кактусаў, рэкамендуюць піць з цытрынай і соллю?|текила
Гэты нямала які паўплываў на рускую культуру народ у Расіі называлі то егіпцянамі, то эфіёпамі. Так каго ж мелі на ўвазе?|цыган
Гэта выява інспектара парыжскай крымінальнай паліцыі паўстаў у 30-х гг.|Мегрэ
Гэты ордэн ваяроў Ісуса, заснаваны іспанскім дваранінам Игнацио Лойолой быў зацверджаны татам Паўлам III. Назва ордэна?|езуіты
Гэты плён персы назвалі партугальскім, немцы-кітайскім яблыкам, а французы сталі выгадоўваць у аранжарэях. Пра што ідзе гаворка?|апельсін
Гэты плён падпіхнуў Ньютана да вялікага адкрыцця|яблык
Гэта пераможца Спартака, гандлюючы маёмасцю грамадзян, пакараных узурпатарам Суллой, стаў самым багатым чалавекам у Рыме|Красс
Гэты сапраўды вялікі чалавек пабываў амаль ва ўсіх краінах Еўропы. А апошнім яго прыстанкам стала Хата інвалідаў у Парыжы. Хто ён?|Напалеон
Гэты паласаты, які прыйшоў з ярка-чырвонага, вельмі кахае зялёнае ў сонечнага, ды так, што застаецца толькі сеткаватае. Хто ж гэты паласаты?|колорадский жук
Гэты малюнак Пабла Пікасо вядомы ўсім вам. Вядомы ён стаў з 1949 гады. Што намалявана на ім?|голуб свету
Гэты род травы расце ў расколінах скал, і адгэтуль з'явілася іх назва. Якое?|каменяломнік
Гэты сібірскі горад заснаваны ў 1604 году як крэпасць для абароны рускіх меж ад уварвання стэпавых качэўнікаў|Томск
Гэта сучасная мова лічыцца найстаражытнай кніжнай мовай свету. Ён налічвае каля 1500 гадоў бесперапыннай гісторыі. Назавіце яго|армянскі
Гэты звяз пачынае сабой прапанова, якое змяшчае выснова з папярэдняга|такім чынам
Гэты сплаў атрымліваюць у даменных печах|чыгун
Гэты старадаўні рускі горад доўга насіў імя М. І. Калініна|Цвер
Гэты сталічны горад Скандынавіі быў заснаваны каля 1048 г.|Осла
Гэты сын музы Каллиопы сваім цудоўным спевам зачароўваў богаў і людзей|Орфей
Гэты тэкст кананізаваны на Тридентском папскім саборы ў сярэдзіне 16 ст. У ім ад твару арханёла Гаўрыіла перадаецца прывітанне, а каму?|панне Марыі
Гэты умнейший старажытнагрэцкі філосаф быў сынам каменярэза і спавівальнай бабкі|Сакрат
Гэты французскі кампазітар вядомы галоўным чынам дзякуючы музычнаму твору, напісанаму не ім. Назавіце яго прозвішча|Крэйцар
Гэты футбольны клуб ёсць і ў Англіі і ў Расіі (1-ая ліга)?|арсенал
Гэты хим. элемент з'яўляецца самым пластычным: з аднаго грама можна выцягнуць дрот даўжынёй 2,4 км. Назавіце яго|золата
Гэты драпежнік валачэ сваю здабычу і з'ядае яе ў зацішным месцы. Адгэтуль і пахабна яго назва. Хто гэта?|воўк
Гэты драпежнік выкарыстоўваецца ў Францыі пры паляванні на трусаў|тхор
Гэты ўзгорак па абрысах нагадвае чэрап. Менавіта таму ён так і завецца. Назавіце яго|Галгофа
Гэты чалавек у кнізе “Галеча філасофіі” прыйшоў да высновы: “Гарэлка перамагла віно і піва”?|Маркс
Гэты чалавек пад канец жыцця лічыў, што ўсе няшчасці прынесла яму літара М. Яму не везла ні на людзей, ні на гарады, якія пачынаюцца з яе. Хто ён?|Напалеон
Гэты чалавек пахаваны ў Вестмінстарскім абацтве ў Лондане, а яго сэрца аддана зямлі каля афрыканскай вёскі Читамбо. Хто гэты чалавек?|Ливингстон
Гэты чалавек нарадзіўся 6 траўня, у дзень святога Іёва Шматпакутнага, а цяпер сам стаў святым вялікапакутнікам. Ён лічыў, што ўсё жыццё яму спадарожнічалі няшчасці. Хто ж ён?|Мікалай II
Гэты чалавек нарадзіўся ў Швецыі, але вялікую частку жыцця правёў у Расіі, Францыі, Італіі. В. Гюго назваў яго “самым багатым валацугам Еўропы”. Хто гэта?|Нобель
Гэты эксперымент у зямных умовах пад сілу правесці любому з нас, але ў космасе ён так і не праводзіўся. Нягледзячы на якія ўзнікаюць час ад часу чуткі. Што з'яўляецца вынікам гэтага досведу?|дзеці
Гэты рэжысёр адкрыў свету Алена Делона|Висконти
Этруская Юнона|Уни
Этрускі Апалон|Аплу
Этрускі бог, сын Генія, унук Юпітара, які з'явіўся з разоры падчас ворыва і шматлікаму што навучыў этруссков|Таг
Гэта баярскае, а пасля графскае прозвішча, часта хібна пішуць з мяккім знакам пасля Т, на што яе ўладальнікі, распавядаюць, моцна крыўдзіліся. Што гэта за прозвішча?|Шереметевы
Гэту геаметрычную фігуру ведае кожны з нас. Упершыню яе назва з'явілася на старонках часопіса для мужчын “Аргози” у 1964 году. А як завецца гэта постаць?|Бярмудскі трыкутнік
Гэту еўрапейскую сталіцу можна назваць горадам-музеем|Рым
Гэту самую маленькую з сабачак прэзідэнт Мексікі паднёс спявачцы Аделине Патти у букеце кветак?|чихуахуа
Гэту тэрыторыю адзін час звалі яшчэ Ингерманландией|Ижора
Гэту гандлёвую марку насіла савецкая кіно- і фотастужка|свема
Гэту траву дадаюць у вермут|мята
Гэту традыцыю пачаў храм Артэміды ў Эфесе, працягнулі амаль усе грэцкія архітэктурныя збудаванні, а ў нашы дні годна пераняло маскоўскае мятро. Што гэта за традыцыя?|абліцоўванне мармурам
Гэта прозвішча, на якой “уся Расія трымаецца”, насіў у фільме “Жывыя і мёртвыя” герой Алега Ефрэмава|Іванаў
Гэту постаць выкраў Астап Бэндар у аднавокага шахматыста ў сеансе адначасовай гульні|ладдзя
Этьен – персанаж рамана Э. Папелячы “Жэрміналь”|Лантье
Эцюд А. І. Куинджи|вясёлка
Эцюд для спеву на адных галосных гуках без тэксту|вакаліз
Эфиромасличное і рэзкая расліна|маяран
Эфіёп. спартовец-марафонец, 2 разу завоев. Алімп. золата|Бикила
