Парода сабак, атрыманая скрыжаваннем лабрадора і пудзелі|лабрадудель
разг. Цела таўстуна, таўстушкі|цела
Ў Францыі: жабрак, валацуга|клошар
Прыклад трохмернага выпуклага цела з адной устойлівай і адной няўстойлівай кропкай раўнавагі, пабудаваны ў 2006 году вугорскімі матэматыкамі Габором Домокошем і Петером Варконьи|гембец
Назва атамнай бомбы, скінутай на Хірасіму|Маляня
Назва атамнай бомбы, скінутай на Нагасакі|Таўстун
Аб'яднанне высілкаў для сумеснай дзейнасці|кансалідацыя
Аб'яднанне высілкаў для сумеснай дзейнасці|кансалідаванне
Пушкін сказаў, што яны – паштовыя коні асветы|перакладнікі
Жаргонны тэрмін, які з'яўляецца сінонім слова “гламур” у дачыненні да модных часопісаў|глянец
Назва праграмы IСQ азначае “Я ... цябе”|шукаю
Які дзеяслоў Амброз Бирс вызначыў як «прасіць адмены законаў Сусвету ў карысць аднаго які прызнаецца ў сваёй мізэрнасці просьбіта»? (адказ – інфінітыў)|маліцца
Бертрана Рассела неяк спыталі, каб ён сказаў, калі, памёршы, апынуўся б тварам да твару з усявышнім, якія пытаюцца, чаму ён у яго не верыў. “Занадта мала ... , Пане, занадта мала ...”, – быў адказ Рассела. (Р. Докинз, “Бог як ілюзія”)|доказаў
Па словах Джорджа Бярнарда Шоў, “шчасце ... у параўнанні са скептыкам азначае не больш, чым шчасце п'яніцы ў параўнанні з цвярозым чалавекам”|верніка
Амерыканская камедыйная акторка Кети Лэдман заўважыла: «Якую рэлігію ні вазьмі, усё пераконваюць што ты вакол вінаваты, толькі ... у іх розныя»|святы
Назва гэтай гульні адбываецца ад перс. «кароль памёр»|шахматы
Ў філасофіі: крайні суб'ектывізм, які прызнае адзінай рэальнасцю індывідуальная свядомасць, уласнае «я» і што адмаўляе існаванне навакольнага свету|саліпсізм
Нейроны, у мембране якіх ёсць рэцэптары да глюкозы|глюкорецепторы
Перыферыя, правінцыя|глыбінка
Месцы, выдаленыя ад культурных цэнтраў|глыбінка
Назавіце слова, транскрыпцыя якога тры разу ўтрымоўвае спалучэнне гукаў “ка”|бульбакапалка
Хармс казаў: – Тэлефон у мяне просты – 32-08. Запамінаецца лёгка: трыццаць два зуба і восем ...|пальцаў
Да якой літаратурнай формы аднёс Гогаль свае “Мёртвыя душы”?|паэма
Той, хто непрыстойна паводзіць сябе; гарэза, нахабнік|нахабнік
Думка, якая выконвае піруэт (Жорис дэ Брюйн)|афарызм
Тэхніка дойдзе да такой дасканаласці, што чалавек зможа абыйсціся без ... (афарызм С. Е. Леца)|сябе
Ўсе людзі акцёры, за выключэннем, мабыць, некаторых ... (Саша Гитри)|акцёраў
Якая птушка нясе самыя дробныя ў параўнанні з уласнымі памерамі яйка?|страўс
Назва гэтай жывёлы ў перакладзе з грэцкага азначае “земляны леў”|хамелеон
Па загадзе Нерона была забіта яго ўласная ... (З “Кнігі ўсеагульных памылак”)|маці
Калі ... заспела вас на адкрытай мясцовасці, ведайце: самая бяспечная пастава – далей ад дрэў устаць на карачкі і задраць азадак угару (З “Кнігі ўсеагульных памылак”)|навальніца
Старажытныя грэкі лічылі, што гэтыя жывёлы ніколі нічога не забываюць (З “Кнігі ўсеагульных памылак”)|вярблюд
Мужчына, які надае вялікая ўвага свайму вонкаваму выгляду, актыўны спажывец найновай касметычнай прадукцыі, адзежы і аксэсуараў|метрасексуал
Менавіта гэты населены пункт даў сваю назву аднаму з найцяжкіх выглядаў лёгкаатлетычных спаборніцтваў.|Марафон
Менавіта так старажытныя грэкі звалі вярбовыя шчыты, пакрытыя пераважна казінай шкурай.|эгіда
Менавіта так старажытныя грэкі звалі раба-чытальніка.|лектар
Менавіта гэтага старажытнагрэцкага бога часта малявалі з набрынялымі стагоддзямі і апушчанымі вейкамі, цела якога было абчэплена кветкамі маку.|Марфей
Менавіта так у рабаўладальніцкіх дзяржавах Старажытнай Грэцыі называўся кіраўнік дэмакратычнай партыі.|дэмагог
... – гэта талент вынаходства таго, чаму нельга вучыць ці навучыцца. (Імануіл Кант)|геній
... вельмі далікатная рэч: яно б'ецца. (Цаль Меламед)|сэрца
Дакучлівая ідэя|пунтик
Хлусня бывае чатырох выглядаў: хлусня, нахабная хлусня, статыстыка і ...|цытаванне
