Гатунак чорнай парэчкі|дачка
Назва шакаладу|Марс
Гатунак яблыкаў|арнад
Гатунак яблыкаў|лобо
Гатунак яблыкаў|мантет
Гатунак яблыкаў|мелба
Гатунак яблыкаў|ворлік
Гатунак яблыкаў|ренет
Гатунак яблыкаў|сінап
Гатунак яблыкаў|шафран
Гатунак яблыкаў|ясовка
Гатунак яблыні|аніс
Гатунак яблыні|мельба
Гатунак яблыні|пепин
Гатунак яблыні|сінап
Гатунак яблыні|уэлси
Гатунак яблыні|шафран
Гатунак, якасць|марка
Сусед Алжыра і Лівіі|Туніс
Сусед бялку па яйку|жаўток
Сусед в'етнамца і кхмера|лаосец
Сусед еўрапейца|азіят
Суседка Еўропы?|Азія
Суседка Землі па Сонечнай сістэме|Венера
Суседка Невады|Юта
Саслоўе грамадзян у інш. Рыме, затым – месца паседжання рымскага Сената?|курыя
Саслоўе на Русі, раб|халоп
Саслоўе на Русі|смерд
Саслоўна-прадстаўнічы орган у феадальнай Польшчы|сойм
Саслоўны статут скандынаўскіх ярлов|ведаць
Хвоя, пад якой кахаў паседжваць Карл Брюллов, знаходзячыся ў Італіі|пиния
Хвоя|елка
Хваёвы лес на пяшчаных і камяністых глебах?|бор
Засяроджванне прамысловасці і насельніцтвы ў буйных гарадах?|урбанізацыя
Засяроджанасць псіхічнай дзейнасці на якім-небудзь аб'екце ці дзеянні?|увага
Состоние, калі чалавек забыўшыся сябе становіцца сабой (школа дзэн)|сатори
Сост. слоўніка рускай мовы; сав. акцёр|Далеч
Сост. слоўніка рускай мовы|Далеч
Склад для шмаравання дратвы|вар
Склад для шмаравання лыж|мазь
Склад з алеяў для выраба алейных фарбаў, для насычэння драўляных паверхняў|пакост
Склад працаўнікоў прадпрыемства, установы?|штат
Склад працаўнікоў прадпрыемства; Адмін.-тэрытар. адзінка ў ЗША|штат
Склад працаўнікоў прадпрыемства|штат
Склад счэпленых чыгуначных вагонаў, якія рухаюцца лакаматывам?|цягнік
Склад, які наносіцца на палатно будучай карціны|грунт
Склад, што надае той ці іншы колер прадметам|фарба
Склад, які ўжываецца для памяншэння трэння, для абароны ад карозіі|змазка
Складальнік “Тлумачальнага слоўніка” і складанкі прыказак|Далеч
Складальнік анал|аналіст
Складальнік першай крыжаванкі|Уинн
Складанне букетаў; перакладанне муз. творы|аранжоўка
Складанне букетаў|аранжоўка
Складанне караляў з жамчужын|нізкая
Складанне, складанне?|кампазіцыя
Складнік снежнай бабы|кім
Складнік якога-небудзь цэлага|звяно
Складнік, элемент чаго-небудзь?|кампанент
Складальнае птушынага футра|пяро
Составн. частка дорич. ордары: 4-х угольн. блокі з упрыгожваннямі|метопа
Складовая частка античн. арх-ры – апорная поперечн. бэлька|архітраў
Складовая частка артылерыйскага стрэлу|снарад
Складовая частка доказу; становішча, праўдзівасць якога даказваецца?|тэза
Складовая частка хаткі (гульняў.)|карта
Складовая частка выкапнёвага вугля|дюрен
Складовая частка выкапнёвага вугля|кларен
Складовая частка каменнага вугля|вітрэн
Складовая частка гарнітура-тройкі|камізэлька
Складовая частка чырвоных крывяных цельцаў?|гемаглабін
Складовая частка крухмалу|амілоза
Складовая частка крухмалу|амілапектын
Складовая частка кухоннага мэблевага камплекта|пенал
Складовая частка шкілета?|костка
Складовая частка слоў са значэннямі: вялікі, буйны, у цэлым|макра
Складовая частка складаных слоў са значэннем “шмат”|мульты
Складовая частка складаных слоў з сэнсам “дзейсны на адлегласці”, “аддалены”|целе
Складовая частка складаных слоў: у значэнні “ўласнаручны”, напр.: мастак, які намаляваў свой партрэт|аўта
Складовая частка фізічнай культуры?|спорт
Складовы элемент крыві (састарэлае)?|шарык
Складнік малекулы|атам
Складовая частка шкілета|костка
Стан матылька, калі яна ўжо можа рабіць крылцамі “бяк-бяк-бяк-бяк”|имаго
Стан абыякавасці, абыякавасці, адсутнасць цікавасці да атачальнага|апатыя
Стан баксёра|грогги
Стан удавы, якая апранула чорнае|жалоба
Стан рэчыва; складовая частка крыві|плазма
Стан рэчыва|плазма
Стан спраў у якой-небудзь краіне, дзе кіраўніцтва жадае як лепш, а атрымліваецца як заўсёды|бардак
Стан зямной паверхні ў абласцях, глеба якіх утворана з растваральных прыроднымі водамі ападкавых крупнозернистых парод|карст
Стан вагальнага працэсу ў дадзены момант часу (физ., техн.)|фаза
Стан крайняй узрушанасці і моракі пачуццяў|чад
Стан крайняй напругі (перен.)|напал
Стан крайняй ступені захаплення|экстаз
Стан куртызанкі, не якая дайшла да галечы|бляск
Стан гультаяватага кішачніка|завала
Стан матэрыяльнага цела, пры якім дзейсныя на яго сілы цяжару не выклікаюць ціскаў часціц цела адзін на аднаго?|бязважкасць
Стан медыума падчас сеансу|транс
Стан напругі арганізма чалавека|стрэс
Стан напругі, узрушанасці, хваляванні|напал
Стан нерухомасці|супакой
Стан обездвиженности, няма рэакцыі на боль і інш. раздражнення|ступар
Стан ап'янення|хмель
Стан арганізма, пры якім часткова спыняецца праца свядомасці|сон
Стан арганізма, схіляльнае да вызначаных захворванняў ці да алергіі|дыятэз
Стан паслаблення дзейнасці|заняпад
Стан адхіленасці, у якое можна запасці, страціўшы цалкам над сабой кантроль|транс
Стан адчужанасці чалавека ад грамадства|аномия
Стан першага бліна|кім
Стан падвышанай напругі арганізма|стрэс
Стан падвышанай напругі, перанапружанні|стрэс
Стан падвышанай нервовай напругі, перанапружанні|стрэс
Стан супакою ў чалавека і жывёл|сон
Стан поўнага заняпаду псіхафізічнай дзейнасці?|маразм
Стан порабощенности, у якім знаходзіцца чалавек, захоплены супернікам і пазбаўлены волі|палон
Стан пасля багатага ўзлівання|бодун
Стан амаль кожнага нашага састарэлага кіраўніка на зыходзе кіравання|руіна
Стан пры спалоху|дрыготка
Стан пры самаадвольным сутаргавым руху глоткі|ікаўка
Стан прывыкання арганізма да новага клімату|акліматызацыя
Стан разрэджанага газу пры ціску ніжэй атмасфернага|вакуум
Стан самалёта, калі ён стромка змяншаецца з нарастальнай хуткасцю|піцы
Стан моцна разрэджанага рэчыва|вакуум
Стан моцнай узрушанасці, страта самакантролю?|афект
Стан моцнага хвалявання з-за небяспекі|страх
Стан моцнага оводнения клетак расліны|тургор
Стан цішыні, адпачынку, бяздзейнасці|супакой
Стан таго, хто блёкату аб'еўся|тлум
Стан таго, хто захоплены ў вайне супернікам і пазбаўлены волі|палон
Стан удушша?|асфіксія
Стан чалавека ў момант найвялікага паслаблення нервова-псіхічнага і цягліцавага тонусу?|прастрацыя
Стан чалавека пад гіпнозам, адхіленасць|транс
Стан чалавека, даведзенага да ручкі – адным словам|стрэс
Стан чалавека, аглушанага не ўдарам, а весткай|транс
Стан чалавека, пачуццё адзіноты|нуда
Стан чалавека|актыўнасць
Стан чалавека|гнеў
Стан чалавека|прыкрасць
Стан чалавека|злосць
Стан чалавека|стома
Стан чалавека|смутак
Стан чалавека|скруха
Стан чалавека|нуда
Стан чалавека|сорам
Стан чалавека|лютасць
Стан, у якое ўпадаюць удзельнікі спірытычнага сеансу|транс
Стан, у якое падвяргаюць гледачоў шэрыя кинокомедии|нуда
Стан, у якое фантасты апускаюць сваіх герояў пры працяглых касмічных пералётах|анабіёз
Стан, у якім празорца адчувае сябе ў форме|транс
Стан, да якога бальшавікі раздулі адзін адзіны стрэл “Аўроры”|залп
Стан, калі душа і цела ў розных прасторах|смерць
Стан, пры якім за забойства саджаюць на ўколы?|непрытомнасць
Заможны чалавек?|багатыр
Змаганне “паказух”|агляд
Змаганне ў хуткаснай яздзе|гонка
Змаганне рыцараў у сярэднія вякі|турнір
Змаганні па ўтаймаванні необъезженных канёў, уменню ўтрымацца на дзікім каню ці быку?|радэа
Змаганні рыцараў у сярэднія вякі|турнір
Змаганні скаковых канёў; горад у Вялікабрытаніі|дэрбі
Змаганні скаковых канёў|дэрбі
Змаганні, гонкі рысистых канёў у запрэжках|бегі
Состязательная форма закупу, якая ўжываецца на біржах|гандаль
Пасудзіна (шкляначка) з вогнетрывалага матэрыялу для плаўлення ці гартаванні|тыгель
Пасудзіна ў выглядзе вядра з трубкай, праз якую льюць вадкасць для палівання|палівачка
Пасудзіна ў выглядзе што пашыраецца дагары кубкі без ручкі|пиала
Пасудзіна ў выглядзе чары, куфля|кубак
Пасудзіна ў калумбарыі|урна
Пасудзіна ў форме шклянкі з ручкай|кружка
Пасудзіна для алкагольных напояў|чарка
Пасудзіна для віна, памерам поболее чаркі|куфель
Пасудзіна для віна|куфель
Пасудзіна для пахавання ці захоўванні праху|урна
Пасудзіна для спаражненняў, для мачы|судна
Пасудзіна для вадохрышча немаўлятаў|хрысцільня
Пасудзіна для вадохрышча пры хрысціянскім абрадзе|хрысцільня
Пасудзіна для курэння ладанам пры набажэнстве|кадзіла
Пасудзіна для перагонкі і кіпячэнні вадкасцяў|куб
Пасудзіна для пітва ў Азіі|пиала
Пасудзіна для пітва ў выглядзе невялікай якая пашыраецца дагары кубкі?|пиала
Пасудзіна для пітва ў выглядзе рога жывёлы|ритон
Пасудзіна для пітва ў выглядзе рога, які завяршаецца скульптурай|ритон
Пасудзіна для пітва ў форме невялікай чары без ручкі|пиала
Пасудзіна для пітва спіртнога|чарка
Пасудзіна для мыцця са што зачыняецца злівам|лавабо
Пасудзіна для химич. прац|колба
Пасудзіна для захоўвання вантроб бальзамаванага нябожчыка ў Старажытным Егіпце|канопа
Пасудзіна для захоўвання лекавых раствораў|ампула
Пасудзіна для захоўвання ежы|тэрмас
Пасудзіна для захоўвання змесціва пры сталай тэмпературы?|тэрмас
Пасудзіна для кветак, садавіны|ваза
Пасудзіна для шампанскага|фужэр
Пасудзіна з вогнетрывалага матэрыялу для плаўлення металу|тыгель
Пасудзіна вытанчанай формы для садавіны, кветак ці дэкаратыўны|ваза
Пасудзіна на Каўказе|рог
Пасудзіна з доўгай ручкай для варэння кавы|туркі
Пасудзіну са шчыльным вечкам для падрыхтоўкі кактэйляў устрэсваннем|шейкер
Пасудзіна з ручкай і носікам?|імбрычак
Пасудзіна з ручкай, выкарыстоўваны ў гаспадарцы|вядро
Пасудзіна з соскай для кармлення немаўлятаў|ражок
Пасудзіна з трубкай, для захоўвання і пераліванні игристых напояў|сіфон
Пасудзіна з узк. горлачкам у інш. рымлян; залітаваны. стекл. пасудзіна|ампула
