Звіліна, выгін|лукавіна
Снежинкообразные крышталі лёду на галінах дрэў, праводзінах і т. п., якія ўтвараюцца са што асядаюць часціц вільгаці ў марознае надвор'е|намаразь
Вельмі дробны, які імжыць дождж|імга
Вялікая колькасць, мноства|багацце
Лінія на карце, што злучае кропкі з аднолькавым магнітным ладам|ізакліна
Лінія, якая злучае на карце ці дыяграме кропкі з аднолькавымі колькаснымі паказчыкамі (ціскі, тэмпературы, вільготнасці і т. п.)|ізалінія
Рэчыва, не якое праводзіць электрычны ток; дыэлектрык|ізалятар
Выраб (звычайна з парцаляну ці сцякла), прызначанае для ізаляцыі і мацаванні электрычных правадоў і іншых правадыроў току на апорах ліній электраперадачы, у машынах, прыборах, на сценах збудаванняў|ізалятар
Памяшканне для хворых, што патрабуюць у ізаляцыі|ізалятар
Лінія на карце, якая злучае месцы з аднолькавай сярэдняй тэмпературай у вызначаны прамежак часу|ізатэрма
Лінія на дыяграме цеплавых працэсаў, што злучае кропкі роўнай тэмпературы|ізатэрма
Самка ізюбра|изюбрица
Зашклёная шафа для абразаў; бажніца|иконница
Мінерал чорнага колеру, вокісел тытана і жалеза; тытаністы жалязняк|ильменит
Сямейства драўняных двухдольных раслін; вязовые|ильмовые
Сямейства трапічных раслін, багатых эфірнымі масламі, да якога ставяцца імбір, кардамон і т. п.|імбірныя
Прыбор, усталёўка, якія прайграваюць штосьці з магчымай дакладнасцю|імітатар
Майстэрскае перайманне прайграванне з магчымай дакладнасцю|імітацыя
Стварэнне бачнасці; падробка, не сапраўднасць|імітацыя
Руская залатая манета, што чаканілася з 1755 г., добрай якасцю ў 10 рублёў, а пасля 1897 г. – у 15 рублёў|імперыял
Верхняя частка дарожнай карэты, дыліжанса, амнібуса і т. п. з месцамі для пасажыраў|імперыял
Твар, арганізацыя, дзяржава, якія займаюцца імпартам|імпарцёр
Замежная валюта|інвалюта
Невялікая музычная п'еса, што змяшчае знаходку ў вобласці меладычнага развіцця|інвенцыя
