Горад у Іспаніі|Мурсия
Горад у Італіі недалёка ад Рыма|Сканно
Горад у Італіі, вядомы падальнай вежай|Пиза
Горад у Італіі, месца правядзення конкурсаў скрыпачоў імя Н. Паганини|Генуя
Горад у Італіі, які стаіць на аднайменнай рацэ|Парма
Горад у Італіі; марка айчынных тэлефонаў|Парма
Горад у Італіі|Ала
Горад у Італіі|Александрыя
Горад у Італіі|Алессандрия
Горад у Італіі|Ареццо
Горад у Італіі|Арона
Горад у Італіі|Асти
Горад у Італіі|Брешиа
Горад у Італіі|Варезе
Горад у Італіі|Ези
Горад у Італіі|Имола
Горад у Італіі|Кунео
Горад у Італіі|Лечэ
Горад у Італіі|Лоди
Горад у Італіі|Мантуя
Горад у Італіі|Маса
Горад у Італіі|Мілан
Горад у Італіі|Модена
Горад у Італіі|Навара
Горад у Італіі|Нардо
Горад у Італіі|Навіны
Горад у Італіі|Нола
Горад у Італіі|Падуя
Горад у Італіі|Парма
Горад у Італіі|Прато
Горад у Італіі|Рагуза
Горад у Італіі|Римини
Горад у Італіі|Сар
Горад у Італіі|Сіена
Горад у Італіі|Спецыя
Горад у Італіі|Тренто
Горад у Емене|Кишн
Горад у КНДР|Канге
Горад у КНДР|Кэсон
Горад у КНДР|Хамхын
Горад у Казахстане; спорт. клуб у Кыргызтане|Алга
Горад у Казахстане|Акмола
Горад у Казахстане|Алга
Горад у Казахстане|Жалтыр
Горад у Казахстане|Иссык
Горад у Казахстане|Кентау
Горад у Казахстане|Рудны
Горад у Казахстане|Талгар
Горад у Казахстане|Темир
Горад у Казахстане|Чарск
Горад у Калінінградскай вобласці, порт на рацэ Нёман?|Советск
Горад у Калінінградскай вобласці|Нёман
Горад у Калінінскай вобласці|Ржэў
Горад у Камбоджы, у якім выбітнасцю з'яўляюцца храмы, палацы|Ангкор
Горад у Кампучыі|Кахкае
Горад у Канадзе|Ошава
Горад у Карэліі, на верфях якога будаваліся першыя караблі Балтыйскага флота пры Пятру I|Олонец
Горад у Кемеровской вобл.|Юрга
Горад у Кеніі|Либон
Горад у Кзыл-Ординской вобласці Казахстана|Аральск
Горад у Кіеўскай вобласці на Ўкраіне|Узин
Горад у Кіеўскай вобласці|Ирпень
Горад у Кіеўскай вобласці|Сквира
Горад у Кіеўскай вобласці|Тетиев
Горад у Кіеўскай вобласці|Яготин
Горад у Кіргізіі і ў Францыі|Ош
Горад у Кіраўскай вобл.|Кирс
Горад у Кіраўскай вобл.|Луза
Горад у Кіраўскай вобл.|Арлоў
Горад у Кітаі ў правінцыі Цзянсу|Уси
Горад у Кітаі на рацэ Хуайхэ|Банбу
Горад у Кітаі, администр. цэнтр правінцыі Шэньси|Сиань
Горад у Кітаі, у даліне Янзцы|Дае
Горад у Кітаі, у правінцыі Хубэй|Ичан
Горад у Кітаі, у правінцыі Хэйлунцзян|Цзиси
Горад у Кітаі, у правінцыі Шаньси|Датун
Горад у Кітаі, рэлігійны цэнтр ламаізму|Лхаса
Горад у Кітаі, пров. Цзянсу|Янчжоу
Горад у Кітаі; рус. пісьменнік-сатырык|Инин
Горад у Кітаі|Баотоу
Горад у Кітаі|Гирин
Горад у Кітаі|Илань
Горад у Кітаі|Инин
Горад у Кітаі|Кантон
Горад у Кітаі|Мукден
Горад у Кітаі|Нанкин
Горад у Кітаі|Урумчи
Горад у Кітаі|Ухань
Горад у Кітаі|Фучжоу
